CAN Message; 0x150:0300f6d480615e93
Timestamp;Amplitude
1739209595.9465222;-45.120503652039325
1739209595.9465299;-33.981070128970906
1739209595.9465373;-38.13080360867914
1739209595.946545;-45.120503652039325
1739209595.9465525;-45.120503652039325
1739209595.9465601;-33.981070128970906
1739209595.9465675;-38.13080360867914
1739209595.9465752;-45.120503652039325
1739209595.9465828;-38.13080360867914
1739209595.9465904;-38.13080360867914
1739209595.9465978;-38.13080360867914
1739209595.9466054;-45.120503652039325
1739209595.946613;-38.13080360867914
1739209595.9466207;-38.13080360867914
1739209595.9466283;-38.13080360867914
1739209595.9466357;-38.13080360867914
1739209595.9466434;-45.120503652039325
1739209595.946651;-38.13080360867914
1739209595.9466586;-38.13080360867914
1739209595.946666;-45.120503652039325
1739209595.9466736;-38.13080360867914
1739209595.9466813;-38.13080360867914
1739209595.946689;-35.57807855764607
1739209595.9466963;-45.120503652039325
1739209595.946704;-38.13080360867914
1739209595.9467115;-45.120503652039325
1739209595.9467192;-35.57807855764607
1739209595.9467268;-45.120503652039325
1739209595.9467342;-35.57807855764607
1739209595.9467418;-35.57807855764607
1739209595.9467494;-45.120503652039325
1739209595.946757;-45.120503652039325
1739209595.9467645;-35.57807855764607
1739209595.946772;-32.816014438256545
1739209595.9467797;-31.141103565318915
1739209595.9467874;-45.120503652039325
1739209595.9467947;-33.981070128970906
1739209595.9468024;-35.57807855764607
1739209595.94681;-38.13080360867914
1739209595.9468176;-38.13080360867914
1739209595.9468253;-33.981070128970906
1739209595.9468327;-38.13080360867914
1739209595.9468403;-35.57807855764607
1739209595.946848;-38.13080360867914
1739209595.9468555;-38.13080360867914
1739209595.946863;-45.120503652039325
1739209595.9468706;-45.120503652039325
1739209595.9468782;-38.13080360867914
1739209595.9468858;-38.13080360867914
1739209595.9468932;-38.13080360867914
1739209595.9469008;-31.141103565318915
1739209595.9469085;-38.13080360867914
1739209595.946916;-38.13080360867914
1739209595.9469237;-38.13080360867914
1739209595.9469311;-45.120503652039325
1739209595.9469388;-45.120503652039325
1739209595.9469464;-38.13080360867914
1739209595.946954;-33.981070128970906
1739209595.9469614;-38.13080360867914
1739209595.946969;-35.57807855764607
1739209595.9469767;-45.120503652039325
1739209595.9469843;-45.120503652039325
1739209595.9469917;-45.120503652039325
1739209595.9469993;-45.120503652039325
1739209595.947007;-38.13080360867914
1739209595.9470146;-38.13080360867914
1739209595.947022;-38.13080360867914
1739209595.9470296;-45.120503652039325
1739209595.9470372;-45.120503652039325
1739209595.9470448;-38.13080360867914
1739209595.9470525;-38.13080360867914
1739209595.9470599;-45.120503652039325
1739209595.9470675;-45.120503652039325
1739209595.9470751;-45.120503652039325
1739209595.9470828;-30.49652367304973
1739209595.9470901;-38.13080360867914
1739209595.9470978;-45.120503652039325
1739209595.9471054;-38.13080360867914
1739209595.947113;-38.13080360867914
1739209595.9471204;-45.120503652039325
1739209595.947128;-38.13080360867914
1739209595.9471357;-35.57807855764607
1739209595.9471433;-33.981070128970956
1739209595.947151;-45.120503652039325
1739209595.9471583;-38.13080360867914
1739209595.947166;-45.120503652039325
1739209595.9471736;-45.120503652039325
1739209595.9471812;-38.13080360867914
1739209595.9471886;-45.120503652039325
1739209595.9471962;-45.120503652039325
1739209595.9472039;-25.826314394896354
1739209595.9472115;-29.438486411369333
1739209595.947219;-45.120503652039325
1739209595.9472265;-38.13080360867914
1739209595.9472342;-35.57807855764607
1739209595.9472418;-38.13080360867914
1739209595.9472494;-38.13080360867914
1739209595.9472568;-35.57807855764607
1739209595.9472644;-45.120503652039325
1739209595.947272;-45.120503652039325
1739209595.9472797;-38.13080360867914
1739209595.947287;-38.13080360867914
1739209595.9472947;-45.120503652039325
1739209595.9473023;-38.13080360867914
1739209595.94731;-45.120503652039325
1739209595.9473174;-45.120503652039325
1739209595.947325;-38.13080360867914
1739209595.9473326;-38.13080360867914
1739209595.9473403;-45.120503652039325
1739209595.9473479;-45.120503652039325
1739209595.9473553;-45.120503652039325
1739209595.947363;-45.120503652039325
1739209595.9473705;-45.120503652039325
1739209595.9473782;-38.13080360867914
1739209595.9473855;-38.13080360867914
1739209595.9473932;-45.120503652039325
1739209595.9474008;-45.120503652039325
1739209595.9474084;-38.13080360867914
1739209595.9474158;-38.13080360867914
1739209595.9474235;-38.13080360867914
1739209595.947431;-33.981070128970906
1739209595.9474387;-35.57807855764607
1739209595.9474463;-45.120503652039325
