CAN Message; 0x150:06004e273b6af83d
Timestamp;Amplitude
1739209606.627519;-45.120503652039325
1739209606.627524;-45.120503652039325
1739209606.627529;-45.120503652039325
1739209606.627534;-45.120503652039325
1739209606.627539;-45.120503652039325
1739209606.627544;-38.13080360867914
1739209606.6275492;-45.120503652039325
1739209606.6275542;-45.120503652039325
1739209606.6275592;-35.57807855764607
1739209606.6275642;-38.13080360867914
1739209606.6275692;-38.13080360867914
1739209606.6275742;-45.120503652039325
1739209606.6275792;-32.816014438256545
1739209606.6275842;-38.13080360867914
1739209606.6275892;-45.120503652039325
1739209606.6275942;-38.13080360867914
1739209606.6275992;-38.13080360867914
1739209606.6276042;-45.120503652039325
1739209606.6276093;-45.120503652039325
1739209606.6276145;-38.13080360867914
1739209606.6276195;-38.13080360867914
1739209606.6276245;-38.13080360867914
1739209606.6276295;-38.13080360867914
1739209606.6276345;-38.13080360867914
1739209606.6276395;-45.120503652039325
1739209606.6276445;-45.120503652039325
1739209606.6276495;-38.13080360867914
1739209606.6276546;-38.13080360867914
1739209606.6276596;-45.120503652039325
1739209606.6276646;-38.13080360867914
1739209606.6276696;-35.57807855764607
1739209606.6276746;-38.13080360867914
1739209606.6276796;-31.141103565318915
1739209606.6276848;-45.120503652039325
1739209606.6276898;-38.13080360867914
1739209606.6276948;-45.120503652039325
1739209606.6276999;-32.816014438256545
1739209606.6277049;-38.13080360867914
1739209606.6277099;-45.120503652039325
1739209606.6277149;-45.120503652039325
1739209606.6277199;-45.120503652039325
1739209606.627725;-38.13080360867914
1739209606.62773;-45.120503652039325
1739209606.627735;-45.120503652039325
1739209606.62774;-45.120503652039325
1739209606.627745;-38.13080360867914
1739209606.6277502;-38.13080360867914
1739209606.6277552;-45.120503652039325
1739209606.6277602;-45.120503652039325
1739209606.6277652;-45.120503652039325
1739209606.6277702;-45.120503652039325
1739209606.6277752;-45.120503652039325
1739209606.6277802;-33.981070128970906
1739209606.6277852;-38.13080360867914
1739209606.6277902;-38.13080360867914
1739209606.6277952;-38.13080360867914
1739209606.6278002;-28.58837851428586
1739209606.6278052;-35.57807855764607
1739209606.6278102;-38.13080360867914
1739209606.6278155;-38.13080360867914
1739209606.6278205;-32.816014438256545
1739209606.6278255;-35.57807855764607
1739209606.6278305;-38.13080360867914
1739209606.6278355;-45.120503652039325
1739209606.6278405;-33.981070128970956
1739209606.6278455;-45.120503652039325
1739209606.6278505;-45.120503652039325
1739209606.6278555;-33.981070128970906
1739209606.6278605;-38.13080360867914
1739209606.6278656;-45.120503652039325
1739209606.6278706;-45.120503652039325
1739209606.6278756;-45.120503652039325
1739209606.6278806;-32.816014438256545
1739209606.6278858;-35.57807855764607
1739209606.6278908;-45.120503652039325
1739209606.6278958;-45.120503652039325
1739209606.6279008;-38.13080360867914
1739209606.6279058;-38.13080360867914
1739209606.6279109;-38.13080360867914
1739209606.6279159;-45.120503652039325
1739209606.6279209;-38.13080360867914
1739209606.6279259;-38.13080360867914
1739209606.6279309;-45.120503652039325
1739209606.627936;-45.120503652039325
1739209606.627941;-38.13080360867914
1739209606.627946;-38.13080360867914
1739209606.6279511;-45.120503652039325
1739209606.6279562;-38.13080360867914
1739209606.6279612;-45.120503652039325
1739209606.6279662;-45.120503652039325
1739209606.6279712;-33.981070128970906
1739209606.6279762;-45.120503652039325
1739209606.6279812;-45.120503652039325
1739209606.6279862;-38.13080360867914
1739209606.6279912;-38.13080360867914
1739209606.6279962;-45.120503652039325
1739209606.6280012;-31.141103565318893
1739209606.6280062;-32.816014438256545
1739209606.6280112;-45.120503652039325
1739209606.6280165;-45.120503652039325
1739209606.6280215;-38.13080360867914
1739209606.6280265;-32.816014438256545
1739209606.6280315;-45.120503652039325
1739209606.6280365;-35.57807855764607
1739209606.6280415;-45.120503652039325
1739209606.6280465;-38.13080360867914
1739209606.6280515;-45.120503652039325
1739209606.6280565;-38.13080360867914
1739209606.6280615;-45.120503652039325
1739209606.6280665;-38.13080360867914
1739209606.6280715;-38.13080360867914
1739209606.6280766;-45.120503652039325
1739209606.6280816;-31.141103565318893
1739209606.6280868;-28.58837851428586
1739209606.6280918;-45.120503652039325
1739209606.6280968;-38.13080360867914
1739209606.6281018;-38.13080360867914
1739209606.6281068;-33.981070128970906
1739209606.6281118;-45.120503652039325
1739209606.6281168;-38.13080360867914
