CAN Message; 0x1a7:000045587c188f19
Timestamp;Amplitude
1739209657.4654052;-35.57807855764607
1739209657.4654143;-38.13080360867914
1739209657.465423;-38.13080360867914
1739209657.4654322;-45.120503652039325
1739209657.465441;-45.120503652039325
1739209657.46545;-38.13080360867914
1739209657.4654589;-38.13080360867914
1739209657.4654677;-35.57807855764607
1739209657.4654768;-38.13080360867914
1739209657.4654856;-38.13080360867914
1739209657.4654946;-38.13080360867914
1739209657.4655035;-45.120503652039325
1739209657.4655125;-45.120503652039325
1739209657.4655213;-28.992665084841942
1739209657.4655302;-38.13080360867914
1739209657.4655392;-45.120503652039325
1739209657.465548;-45.120503652039325
1739209657.465557;-38.13080360867914
1739209657.465566;-45.120503652039325
1739209657.465575;-45.120503652039325
1739209657.4655838;-38.13080360867914
1739209657.4655926;-38.13080360867914
1739209657.4656017;-38.13080360867914
1739209657.4656105;-33.981070128970906
1739209657.4656196;-45.120503652039325
1739209657.4656284;-35.57807855764607
1739209657.4656374;-38.13080360867914
1739209657.4656463;-38.13080360867914
1739209657.465655;-35.57807855764607
1739209657.4656641;-38.13080360867914
1739209657.465673;-38.13080360867914
1739209657.465682;-35.57807855764607
1739209657.4656909;-38.13080360867914
1739209657.4657;-45.120503652039325
1739209657.4657087;-45.120503652039325
1739209657.4657176;-38.13080360867914
1739209657.4657266;-35.57807855764607
1739209657.4657354;-38.13080360867914
1739209657.4657445;-45.120503652039325
1739209657.4657533;-38.13080360867914
1739209657.4657624;-38.13080360867914
1739209657.4657712;-45.120503652039325
1739209657.46578;-35.57807855764607
1739209657.465789;-45.120503652039325
1739209657.465798;-38.13080360867914
1739209657.465807;-38.13080360867914
1739209657.4658158;-45.120503652039325
1739209657.4658248;-38.13080360867914
1739209657.4658337;-35.57807855764607
1739209657.4658425;-38.13080360867914
1739209657.4658515;-45.120503652039325
1739209657.4658604;-38.13080360867914
1739209657.4658694;-35.57807855764607
1739209657.4658782;-38.13080360867914
1739209657.4658873;-45.120503652039325
1739209657.4658961;-35.57807855764607
1739209657.465905;-32.816014438256545
1739209657.465914;-35.57807855764607
1739209657.4659228;-38.13080360867914
1739209657.465932;-45.120503652039325
1739209657.4659407;-31.141103565318893
1739209657.4659498;-38.13080360867914
1739209657.4659586;-45.120503652039325
1739209657.4659674;-38.13080360867914
1739209657.4659765;-45.120503652039325
1739209657.4659853;-38.13080360867914
1739209657.4659944;-38.13080360867914
1739209657.4660032;-38.13080360867914
1739209657.4660122;-45.120503652039325
1739209657.466021;-35.57807855764607
1739209657.46603;-35.57807855764607
1739209657.466039;-38.13080360867914
1739209657.4660478;-35.57807855764607
1739209657.4660568;-33.981070128970906
1739209657.4660656;-45.120503652039325
1739209657.4660747;-45.120503652039325
1739209657.4660835;-35.57807855764607
1739209657.4660923;-45.120503652039325
1739209657.4661014;-45.120503652039325
1739209657.4661102;-38.13080360867914
1739209657.4661193;-45.120503652039325
1739209657.466128;-45.120503652039325
1739209657.4661372;-38.13080360867914
1739209657.466146;-38.13080360867914
1739209657.4661548;-45.120503652039325
1739209657.4661639;-33.981070128970906
1739209657.4661727;-38.13080360867914
1739209657.4661818;-38.13080360867914
1739209657.4661906;-38.13080360867914
1739209657.4661994;-38.13080360867914
1739209657.4662085;-45.120503652039325
1739209657.4662173;-45.120503652039325
1739209657.4662263;-45.120503652039325
1739209657.4662352;-45.120503652039325
1739209657.4662442;-45.120503652039325
1739209657.466253;-45.120503652039325
1739209657.4662619;-38.13080360867914
1739209657.466271;-38.13080360867914
1739209657.4662797;-35.57807855764607
1739209657.4662888;-45.120503652039325
1739209657.4662976;-35.57807855764607
1739209657.4663067;-45.120503652039325
1739209657.4663155;-38.13080360867914
1739209657.4663243;-33.981070128970906
1739209657.4663334;-45.120503652039325
1739209657.4663422;-45.120503652039325
1739209657.4663513;-38.13080360867914
1739209657.46636;-35.57807855764607
1739209657.4663692;-38.13080360867914
1739209657.466378;-45.120503652039325
1739209657.4663868;-45.120503652039325
1739209657.4663959;-38.13080360867914
1739209657.4664047;-32.816014438256545
1739209657.4664137;-33.981070128970906
1739209657.4664226;-45.120503652039325
1739209657.4664316;-45.120503652039325
1739209657.4664404;-38.13080360867914
1739209657.4664493;-45.120503652039325
1739209657.4664583;-45.120503652039325
1739209657.4664671;-38.13080360867914
1739209657.4664762;-38.13080360867914
1739209657.466485;-38.13080360867914
1739209657.466494;-35.57807855764607
1739209657.466503;-38.13080360867914
1739209657.4665117;-45.120503652039325
1739209657.4665208;-38.13080360867914
1739209657.4665296;-35.57807855764607
1739209657.4665387;-31.141103565318915
1739209657.4665475;-45.120503652039325
1739209657.4665565;-38.13080360867914
1739209657.4665654;-38.13080360867914
1739209657.4665742;-45.120503652039325
1739209657.4665833;-45.120503652039325
1739209657.466592;-45.120503652039325
1739209657.4666011;-33.981070128970906
1739209657.46661;-45.120503652039325
1739209657.466619;-38.13080360867914
1739209657.4666278;-38.13080360867914
1739209657.4666367;-35.57807855764607
1739209657.4666457;-45.120503652039325
1739209657.4666545;-45.120503652039325
1739209657.4666636;-45.120503652039325
1739209657.4666724;-38.13080360867914
1739209657.4666815;-33.981070128970906
1739209657.4666903;-45.120503652039325
1739209657.4666991;-45.120503652039325
1739209657.4667082;-38.13080360867914
1739209657.466717;-38.13080360867914
1739209657.466726;-45.120503652039325
1739209657.466735;-45.120503652039325
1739209657.466744;-45.120503652039325
1739209657.4667528;-45.120503652039325
1739209657.4667616;-45.120503652039325
1739209657.4667706;-38.13080360867914
1739209657.4667795;-45.120503652039325
1739209657.4667885;-45.120503652039325
1739209657.4667974;-38.13080360867914
1739209657.4668064;-45.120503652039325
1739209657.4668152;-45.120503652039325
1739209657.466824;-33.981070128970906
1739209657.466833;-33.981070128970906
1739209657.466842;-45.120503652039325
1739209657.466851;-35.57807855764607
1739209657.4668598;-38.13080360867914
1739209657.4668689;-38.13080360867914
1739209657.4668777;-38.13080360867914
1739209657.4668865;-35.57807855764607
1739209657.4668956;-31.141103565318915
1739209657.4669044;-45.120503652039325
1739209657.4669135;-45.120503652039325
