CAN Message; 0x98:000086a8cc0724d2
Timestamp;Amplitude
1739209663.9881508;-45.120503652039325
1739209663.9881608;-33.981070128970906
1739209663.9881709;-45.120503652039325
1739209663.9881809;-45.120503652039325
1739209663.988191;-45.120503652039325
1739209663.988201;-38.13080360867914
1739209663.988211;-32.816014438256545
1739209663.988221;-45.120503652039325
1739209663.988231;-38.13080360867914
1739209663.988241;-38.13080360867914
1739209663.9882507;-38.13080360867914
1739209663.9882607;-38.13080360867914
1739209663.9882708;-45.120503652039325
1739209663.9882808;-45.120503652039325
1739209663.9882908;-45.120503652039325
1739209663.9883008;-38.13080360867914
1739209663.9883108;-45.120503652039325
1739209663.9883208;-38.13080360867914
1739209663.9883308;-45.120503652039325
1739209663.9883409;-38.13080360867914
1739209663.9883509;-45.120503652039325
1739209663.988361;-38.13080360867914
1739209663.988371;-38.13080360867914
1739209663.988381;-38.13080360867914
1739209663.988391;-38.13080360867914
1739209663.988401;-33.981070128970906
1739209663.988411;-45.120503652039325
1739209663.988421;-45.120503652039325
1739209663.988431;-45.120503652039325
1739209663.988441;-45.120503652039325
1739209663.9884508;-45.120503652039325
1739209663.9884608;-45.120503652039325
1739209663.9884708;-38.13080360867914
1739209663.9884808;-30.49652367304973
1739209663.9884908;-45.120503652039325
1739209663.9885008;-38.13080360867914
1739209663.9885108;-33.981070128970906
1739209663.9885209;-33.981070128970906
1739209663.9885309;-38.13080360867914
1739209663.988541;-38.13080360867914
1739209663.988551;-38.13080360867914
1739209663.988561;-31.141103565318915
1739209663.988571;-38.13080360867914
1739209663.988581;-45.120503652039325
1739209663.988591;-45.120503652039325
1739209663.988601;-45.120503652039325
1739209663.988611;-38.13080360867914
1739209663.988621;-45.120503652039325
1739209663.988631;-38.13080360867914
1739209663.988641;-38.13080360867914
1739209663.9886508;-45.120503652039325
1739209663.9886608;-45.120503652039325
1739209663.9886708;-38.13080360867914
1739209663.9886808;-38.13080360867914
1739209663.9886909;-45.120503652039325
1739209663.9887009;-38.13080360867914
1739209663.9887109;-38.13080360867914
1739209663.988721;-45.120503652039325
1739209663.988731;-45.120503652039325
1739209663.988741;-45.120503652039325
1739209663.988751;-45.120503652039325
1739209663.988761;-45.120503652039325
1739209663.988771;-45.120503652039325
1739209663.988781;-38.13080360867914
1739209663.988791;-38.13080360867914
1739209663.988801;-33.981070128970906
1739209663.988811;-38.13080360867914
1739209663.988821;-38.13080360867914
1739209663.988831;-45.120503652039325
1739209663.988841;-45.120503652039325
1739209663.9888508;-45.120503652039325
1739209663.9888608;-45.120503652039325
1739209663.9888709;-45.120503652039325
1739209663.9888809;-45.120503652039325
1739209663.988891;-38.13080360867914
1739209663.988901;-45.120503652039325
1739209663.988911;-45.120503652039325
1739209663.988921;-38.13080360867914
1739209663.988931;-32.816014438256545
1739209663.988941;-45.120503652039325
1739209663.988951;-45.120503652039325
1739209663.988961;-31.141103565318915
1739209663.988971;-38.13080360867914
1739209663.988981;-45.120503652039325
1739209663.988991;-45.120503652039325
1739209663.989001;-38.13080360867914
1739209663.989011;-45.120503652039325
1739209663.989021;-38.13080360867914
1739209663.989031;-45.120503652039325
1739209663.989041;-38.13080360867914
1739209663.9890509;-32.816014438256545
1739209663.9890609;-45.120503652039325
1739209663.989071;-45.120503652039325
1739209663.989081;-38.13080360867914
1739209663.989091;-32.816014438256545
1739209663.989101;-45.120503652039325
1739209663.989111;-45.120503652039325
1739209663.989121;-33.981070128970906
1739209663.989131;-45.120503652039325
1739209663.989141;-45.120503652039325
1739209663.989151;-45.120503652039325
1739209663.989161;-45.120503652039325
1739209663.989171;-45.120503652039325
1739209663.989181;-45.120503652039325
1739209663.989191;-45.120503652039325
1739209663.989201;-45.120503652039325
1739209663.989211;-45.120503652039325
1739209663.989221;-33.981070128970906
1739209663.989231;-45.120503652039325
1739209663.9892411;-38.13080360867914
1739209663.989251;-38.13080360867914
1739209663.989261;-38.13080360867914
1739209663.989271;-45.120503652039325
1739209663.989281;-45.120503652039325
1739209663.989291;-38.13080360867914
1739209663.989301;-45.120503652039325
1739209663.989311;-45.120503652039325
1739209663.989321;-45.120503652039325
1739209663.989331;-45.120503652039325
1739209663.989341;-45.120503652039325
1739209663.989351;-45.120503652039325
1739209663.989361;-38.13080360867914
1739209663.989371;-45.120503652039325
1739209663.989381;-45.120503652039325
1739209663.989391;-45.120503652039325
1739209663.989401;-38.13080360867914
1739209663.989411;-35.57807855764607
1739209663.9894211;-38.13080360867914
1739209663.9894311;-45.120503652039325
1739209663.9894412;-38.13080360867914
1739209663.989451;-35.57807855764607
1739209663.989461;-45.120503652039325
1739209663.989471;-38.13080360867914
1739209663.989481;-45.120503652039325
1739209663.989491;-38.13080360867914
1739209663.989501;-38.13080360867914
1739209663.989511;-45.120503652039325
1739209663.989521;-38.13080360867914
1739209663.989531;-45.120503652039325
1739209663.989541;-45.120503652039325
1739209663.989551;-45.120503652039325
1739209663.989561;-38.13080360867914
1739209663.989571;-38.13080360867914
1739209663.989581;-45.120503652039325
1739209663.9895911;-45.120503652039325
1739209663.9896011;-38.13080360867914
1739209663.9896111;-32.816014438256545
1739209663.9896212;-38.13080360867914
1739209663.9896312;-45.120503652039325
1739209663.9896412;-45.120503652039325
1739209663.989651;-38.13080360867914
1739209663.989661;-38.13080360867914
1739209663.989671;-45.120503652039325
1739209663.989681;-38.13080360867914
1739209663.989691;-45.120503652039325
1739209663.989701;-45.120503652039325
1739209663.989711;-38.13080360867914
1739209663.989721;-38.13080360867914
1739209663.989731;-45.120503652039325
1739209663.989741;-45.120503652039325
1739209663.989751;-38.13080360867914
1739209663.989761;-38.13080360867914
1739209663.9897711;-45.120503652039325
1739209663.9897811;-45.120503652039325
1739209663.9897912;-45.120503652039325
1739209663.9898012;-38.13080360867914
1739209663.9898112;-35.57807855764607
1739209663.9898212;-45.120503652039325
1739209663.9898312;-45.120503652039325
1739209663.9898412;-45.120503652039325
1739209663.989851;-38.13080360867914
1739209663.989861;-33.981070128970906
1739209663.989871;-45.120503652039325
1739209663.989881;-45.120503652039325
1739209663.989891;-45.120503652039325
1739209663.989901;-38.13080360867914
1739209663.989911;-38.13080360867914
1739209663.989921;-38.13080360867914
1739209663.989931;-35.57807855764607
1739209663.9899411;-38.13080360867914
1739209663.9899511;-38.13080360867914
1739209663.9899611;-38.13080360867914
1739209663.9899712;-38.13080360867914
1739209663.9899812;-45.120503652039325
1739209663.9899912;-38.13080360867914
1739209663.9900012;-45.120503652039325
1739209663.9900112;-31.141103565318915
1739209663.9900212;-31.141103565318915
1739209663.9900312;-45.120503652039325
1739209663.9900413;-38.13080360867914
1739209663.990051;-38.13080360867914
1739209663.990061;-38.13080360867914
1739209663.990071;-45.120503652039325
1739209663.990081;-45.120503652039325
1739209663.990091;-45.120503652039325
1739209663.990101;-38.13080360867914
1739209663.990111;-38.13080360867914
1739209663.9901211;-45.120503652039325
1739209663.9901311;-45.120503652039325
1739209663.9901412;-38.13080360867914
1739209663.9901512;-35.57807855764607
1739209663.9901612;-45.120503652039325
1739209663.9901712;-38.13080360867914
1739209663.9901812;-33.981070128970906
1739209663.9901912;-45.120503652039325
1739209663.9902012;-33.981070128970906
1739209663.9902112;-38.13080360867914
1739209663.9902213;-38.13080360867914
1739209663.9902313;-30.49652367304973
1739209663.9902413;-45.120503652039325
1739209663.990251;-38.13080360867914
1739209663.990261;-28.992665084841942
1739209663.990271;-45.120503652039325
1739209663.990281;-38.13080360867914
1739209663.990291;-38.13080360867914
1739209663.9903011;-38.13080360867914
1739209663.9903111;-45.120503652039325
1739209663.9903212;-38.13080360867914
1739209663.9903312;-38.13080360867914
1739209663.9903412;-28.58837851428586
1739209663.9903512;-45.120503652039325
1739209663.9903612;-45.120503652039325
1739209663.9903712;-38.13080360867914
1739209663.9903812;-45.120503652039325
1739209663.9903913;-45.120503652039325
1739209663.9904013;-45.120503652039325
1739209663.9904113;-38.13080360867914
1739209663.9904213;-38.13080360867914
1739209663.9904313;-38.13080360867914
1739209663.9904413;-38.13080360867914
1739209663.990451;-45.120503652039325
1739209663.990461;-35.57807855764607
1739209663.9904711;-35.57807855764607
1739209663.9904811;-35.57807855764607
1739209663.9904912;-38.13080360867914
1739209663.9905012;-38.13080360867914
1739209663.9905112;-38.13080360867914
1739209663.9905212;-38.13080360867914
1739209663.9905312;-45.120503652039325
1739209663.9905412;-45.120503652039325
1739209663.9905512;-45.120503652039325
1739209663.9905612;-33.981070128970906
1739209663.9905713;-35.57807855764607
1739209663.9905813;-45.120503652039325
1739209663.9905913;-45.120503652039325
1739209663.9906013;-38.13080360867914
1739209663.9906113;-38.13080360867914
1739209663.9906213;-38.13080360867914
1739209663.9906313;-45.120503652039325
1739209663.9906414;-38.13080360867914
1739209663.9906511;-35.57807855764607
1739209663.9906611;-38.13080360867914
1739209663.9906712;-45.120503652039325
1739209663.9906812;-45.120503652039325
1739209663.9906912;-45.120503652039325
1739209663.9907012;-45.120503652039325
1739209663.9907112;-38.13080360867914
1739209663.9907212;-45.120503652039325
1739209663.9907312;-38.13080360867914
1739209663.9907413;-38.13080360867914
1739209663.9907513;-45.120503652039325
1739209663.9907613;-45.120503652039325
1739209663.9907713;-45.120503652039325
1739209663.9907813;-38.13080360867914
1739209663.9907913;-45.120503652039325
1739209663.9908013;-38.13080360867914
1739209663.9908113;-35.57807855764607
1739209663.9908214;-38.13080360867914
1739209663.9908314;-45.120503652039325
1739209663.9908414;-45.120503652039325
1739209663.9908514;-38.13080360867914
1739209663.9908612;-38.13080360867914
1739209663.9908712;-45.120503652039325
1739209663.9908812;-45.120503652039325
1739209663.9908912;-45.120503652039325
1739209663.9909012;-38.13080360867914
1739209663.9909112;-45.120503652039325
1739209663.9909213;-38.13080360867914
1739209663.9909313;-38.13080360867914
1739209663.9909413;-38.13080360867914
1739209663.9909513;-45.120503652039325
1739209663.9909613;-38.13080360867914
1739209663.9909713;-38.13080360867914
1739209663.9909813;-38.13080360867914
1739209663.9909914;-45.120503652039325
1739209663.9910014;-33.981070128970906
1739209663.9910114;-38.13080360867914
1739209663.9910214;-45.120503652039325
1739209663.9910314;-32.816014438256545
1739209663.9910414;-38.13080360867914
1739209663.9910514;-38.13080360867914
1739209663.9910612;-35.57807855764607
1739209663.9910712;-45.120503652039325
1739209663.9910812;-38.13080360867914
1739209663.9910913;-35.57807855764607
1739209663.9911013;-45.120503652039325
1739209663.9911113;-38.13080360867914
1739209663.9911213;-45.120503652039325
1739209663.9911313;-38.13080360867914
1739209663.9911413;-38.13080360867914
1739209663.9911513;-45.120503652039325
1739209663.9911613;-35.57807855764607
1739209663.9911714;-38.13080360867914
1739209663.9911814;-45.120503652039325
1739209663.9911914;-35.57807855764607
1739209663.9912014;-38.13080360867914
1739209663.9912114;-32.816014438256545
1739209663.9912214;-35.57807855764607
1739209663.9912314;-38.13080360867914
1739209663.9912415;-45.120503652039325
1739209663.9912515;-45.120503652039325
1739209663.9912612;-45.120503652039325
1739209663.9912713;-45.120503652039325
1739209663.9912813;-45.120503652039325
1739209663.9912913;-45.120503652039325
1739209663.9913013;-45.120503652039325
1739209663.9913113;-45.120503652039325
1739209663.9913213;-45.120503652039325
1739209663.9913313;-45.120503652039325
1739209663.9913414;-32.816014438256545
1739209663.9913514;-32.816014438256545
1739209663.9913614;-45.120503652039325
1739209663.9913714;-45.120503652039325
1739209663.9913814;-45.120503652039325
1739209663.9913914;-33.981070128970906
1739209663.9914014;-38.13080360867914
1739209663.9914114;-38.13080360867914
1739209663.9914215;-45.120503652039325
1739209663.9914315;-45.120503652039325
1739209663.9914415;-35.57807855764607
1739209663.9914515;-45.120503652039325
1739209663.9914613;-38.13080360867914
1739209663.9914713;-45.120503652039325
1739209663.9914813;-45.120503652039325
1739209663.9914913;-45.120503652039325
1739209663.9915013;-38.13080360867914
1739209663.9915113;-38.13080360867914
1739209663.9915214;-38.13080360867914
1739209663.9915314;-38.13080360867914
1739209663.9915414;-38.13080360867914
1739209663.9915514;-30.49652367304973
1739209663.9915614;-38.13080360867914
1739209663.9915714;-45.120503652039325
1739209663.9915814;-38.13080360867914
1739209663.9915915;-32.816014438256545
1739209663.9916015;-35.57807855764607
1739209663.9916115;-38.13080360867914
1739209663.9916215;-45.120503652039325
1739209663.9916315;-38.13080360867914
1739209663.9916415;-45.120503652039325
1739209663.9916515;-45.120503652039325
1739209663.9916613;-45.120503652039325
1739209663.9916713;-45.120503652039325
1739209663.9916813;-45.120503652039325
1739209663.9916914;-45.120503652039325
1739209663.9917014;-38.13080360867914
1739209663.9917114;-38.13080360867914
1739209663.9917214;-45.120503652039325
1739209663.9917314;-38.13080360867914
1739209663.9917414;-45.120503652039325
1739209663.9917514;-38.13080360867914
1739209663.9917614;-38.13080360867914
1739209663.9917715;-45.120503652039325
1739209663.9917815;-38.13080360867914
1739209663.9917915;-33.981070128970906
1739209663.9918015;-33.981070128970906
1739209663.9918115;-45.120503652039325
1739209663.9918215;-38.13080360867914
1739209663.9918315;-45.120503652039325
1739209663.9918416;-38.13080360867914
1739209663.9918516;-38.13080360867914
1739209663.9918613;-38.13080360867914
1739209663.9918714;-38.13080360867914
1739209663.9918814;-35.57807855764607
1739209663.9918914;-38.13080360867914
1739209663.9919014;-38.13080360867914
1739209663.9919114;-38.13080360867914
1739209663.9919214;-38.13080360867914
1739209663.9919314;-45.120503652039325
1739209663.9919415;-45.120503652039325
1739209663.9919515;-31.141103565318915
1739209663.9919615;-28.992665084841942
1739209663.9919715;-45.120503652039325
1739209663.9919815;-45.120503652039325
1739209663.9919915;-45.120503652039325
1739209663.9920015;-45.120503652039325
1739209663.9920115;-45.120503652039325
1739209663.9920216;-38.13080360867914
1739209663.9920316;-38.13080360867914
1739209663.9920416;-38.13080360867914
1739209663.9920516;-45.120503652039325
1739209663.9920614;-38.13080360867914
1739209663.9920714;-38.13080360867914
1739209663.9920814;-45.120503652039325
1739209663.9920914;-38.13080360867914
1739209663.9921014;-38.13080360867914
1739209663.9921114;-38.13080360867914
1739209663.9921215;-38.13080360867914
1739209663.9921315;-45.120503652039325
1739209663.9921415;-35.57807855764607
1739209663.9921515;-35.57807855764607
1739209663.9921615;-45.120503652039325
1739209663.9921715;-45.120503652039325
1739209663.9921815;-33.981070128970906
1739209663.9921916;-38.13080360867914
1739209663.9922016;-38.13080360867914
1739209663.9922116;-45.120503652039325
1739209663.9922216;-35.57807855764607
1739209663.9922316;-35.57807855764607
1739209663.9922416;-38.13080360867914
1739209663.9922516;-38.13080360867914
1739209663.9922614;-38.13080360867914
1739209663.9922714;-33.981070128970906
1739209663.9922814;-31.141103565318915
1739209663.9922915;-45.120503652039325
1739209663.9923015;-38.13080360867914
1739209663.9923115;-35.57807855764607
1739209663.9923215;-45.120503652039325
1739209663.9923315;-45.120503652039325
1739209663.9923415;-45.120503652039325
1739209663.9923515;-45.120503652039325
1739209663.9923615;-32.816014438256545
1739209663.9923716;-38.13080360867914
1739209663.9923816;-38.13080360867914
1739209663.9923916;-45.120503652039325
1739209663.9924016;-38.13080360867914
1739209663.9924116;-35.57807855764607
