CAN Message; 0x1a7:0000ae6b02d5db74
Timestamp;Amplitude
1739209675.092187;-38.13080360867914
1739209675.0921888;-45.120503652039325
1739209675.092191;-38.13080360867914
1739209675.0921931;-45.120503652039325
1739209675.0921953;-45.120503652039325
1739209675.0921972;-45.120503652039325
1739209675.0921993;-38.13080360867914
1739209675.0922015;-38.13080360867914
1739209675.0922034;-38.13080360867914
1739209675.0922055;-38.13080360867914
1739209675.0922077;-38.13080360867914
1739209675.0922098;-45.120503652039325
1739209675.0922117;-45.120503652039325
1739209675.0922139;-33.981070128970906
1739209675.092216;-38.13080360867914
1739209675.092218;-45.120503652039325
1739209675.09222;-45.120503652039325
1739209675.0922222;-33.981070128970906
1739209675.0922244;-33.981070128970906
1739209675.0922263;-45.120503652039325
1739209675.0922284;-45.120503652039325
1739209675.0922306;-45.120503652039325
1739209675.0922325;-45.120503652039325
1739209675.0922346;-38.13080360867914
1739209675.0922368;-38.13080360867914
1739209675.092239;-45.120503652039325
1739209675.0922408;-45.120503652039325
1739209675.092243;-45.120503652039325
1739209675.092245;-38.13080360867914
1739209675.092247;-32.816014438256545
1739209675.0922492;-45.120503652039325
1739209675.0922513;-38.13080360867914
1739209675.0922534;-45.120503652039325
1739209675.0922554;-32.816014438256545
1739209675.0922575;-32.816014438256545
1739209675.0922596;-45.120503652039325
1739209675.0922616;-38.13080360867914
1739209675.0922637;-45.120503652039325
1739209675.0922658;-45.120503652039325
1739209675.092268;-45.120503652039325
1739209675.09227;-38.13080360867914
1739209675.092272;-45.120503652039325
1739209675.0922742;-38.13080360867914
1739209675.092276;-38.13080360867914
1739209675.0922782;-38.13080360867914
1739209675.0922804;-45.120503652039325
1739209675.0922825;-45.120503652039325
1739209675.0922844;-35.57807855764607
1739209675.0922866;-45.120503652039325
1739209675.0922887;-32.816014438256545
1739209675.0922909;-29.438486411369333
1739209675.0922928;-38.13080360867914
1739209675.092295;-32.816014438256545
1739209675.092297;-38.13080360867914
1739209675.092299;-38.13080360867914
1739209675.0923011;-33.981070128970906
1739209675.0923033;-32.816014438256545
1739209675.0923054;-45.120503652039325
1739209675.0923073;-31.141103565318943
1739209675.0923095;-45.120503652039325
1739209675.0923116;-45.120503652039325
1739209675.0923135;-45.120503652039325
1739209675.0923157;-45.120503652039325
1739209675.0923178;-38.13080360867914
1739209675.09232;-45.120503652039325
1739209675.0923219;-38.13080360867914
1739209675.092324;-32.816014438256545
1739209675.0923262;-45.120503652039325
1739209675.092328;-33.981070128970906
1739209675.0923302;-38.13080360867914
1739209675.0923324;-35.57807855764607
1739209675.0923345;-38.13080360867914
1739209675.0923364;-33.981070128970906
1739209675.0923386;-45.120503652039325
1739209675.0923407;-38.13080360867914
1739209675.0923426;-38.13080360867914
1739209675.0923448;-35.57807855764607
1739209675.092347;-45.120503652039325
1739209675.092349;-45.120503652039325
1739209675.092351;-38.13080360867914
1739209675.092353;-38.13080360867914
1739209675.0923553;-38.13080360867914
1739209675.0923572;-32.816014438256545
1739209675.0923593;-38.13080360867914
1739209675.0923615;-38.13080360867914
1739209675.0923636;-38.13080360867914
1739209675.0923655;-35.57807855764607
1739209675.0923676;-38.13080360867914
1739209675.0923698;-33.981070128970906
1739209675.0923717;-45.120503652039325
1739209675.0923738;-45.120503652039325
1739209675.092376;-38.13080360867914
1739209675.0923781;-35.57807855764607
1739209675.09238;-45.120503652039325
1739209675.0923822;-45.120503652039325
1739209675.0923843;-38.13080360867914
1739209675.0923862;-38.13080360867914
1739209675.0923884;-38.13080360867914
1739209675.0923905;-38.13080360867914
1739209675.0923927;-45.120503652039325
1739209675.0923946;-45.120503652039325
1739209675.0923967;-45.120503652039325
1739209675.092399;-45.120503652039325
1739209675.0924008;-45.120503652039325
1739209675.092403;-45.120503652039325
1739209675.092405;-45.120503652039325
1739209675.0924072;-33.981070128970906
1739209675.0924091;-38.13080360867914
1739209675.0924113;-45.120503652039325
1739209675.0924134;-45.120503652039325
1739209675.0924153;-38.13080360867914
1739209675.0924175;-45.120503652039325
1739209675.0924196;-38.13080360867914
1739209675.0924218;-38.13080360867914
1739209675.0924237;-32.81601443825658
1739209675.0924258;-45.120503652039325
1739209675.092428;-38.13080360867914
1739209675.0924299;-45.120503652039325
1739209675.092432;-45.120503652039325
1739209675.0924342;-45.120503652039325
1739209675.0924363;-45.120503652039325
1739209675.0924382;-45.120503652039325
1739209675.0924404;-31.141103565318915
1739209675.0924425;-33.981070128970906
1739209675.0924444;-38.13080360867914
1739209675.0924466;-45.120503652039325
1739209675.0924487;-38.13080360867914
1739209675.0924509;-32.816014438256545
1739209675.0924528;-45.120503652039325
1739209675.092455;-38.13080360867914
1739209675.092457;-33.981070128970906
1739209675.092459;-38.13080360867914
1739209675.092461;-38.13080360867914
1739209675.0924633;-35.57807855764607
1739209675.0924654;-35.57807855764607
1739209675.0924673;-45.120503652039325
1739209675.0924695;-45.120503652039325
1739209675.0924716;-38.13080360867914
1739209675.0924735;-33.981070128970906
1739209675.0924757;-38.13080360867914
1739209675.0924778;-45.120503652039325
1739209675.09248;-45.120503652039325
1739209675.0924819;-38.13080360867914
1739209675.092484;-45.120503652039325
1739209675.0924861;-45.120503652039325
1739209675.0924883;-45.120503652039325
1739209675.0924902;-45.120503652039325
1739209675.0924923;-45.120503652039325
1739209675.0924945;-45.120503652039325
1739209675.0924964;-33.981070128970906
1739209675.0924985;-33.981070128970906
1739209675.0925007;-38.13080360867914
1739209675.0925028;-45.120503652039325
1739209675.0925047;-38.13080360867914
1739209675.092507;-38.13080360867914
1739209675.092509;-45.120503652039325
1739209675.092511;-45.120503652039325
1739209675.092513;-38.13080360867914
1739209675.0925152;-38.13080360867914
1739209675.0925174;-45.120503652039325
1739209675.0925193;-38.13080360867914
1739209675.0925214;-38.13080360867914
1739209675.0925236;-38.13080360867914
1739209675.0925255;-38.13080360867914
1739209675.0925276;-35.57807855764607
1739209675.0925298;-45.120503652039325
1739209675.092532;-38.13080360867914
1739209675.0925338;-35.57807855764607
1739209675.092536;-35.57807855764607
1739209675.092538;-38.13080360867914
1739209675.09254;-38.13080360867914
1739209675.0925422;-38.13080360867914
1739209675.0925443;-38.13080360867914
1739209675.0925465;-38.13080360867914
1739209675.0925484;-45.120503652039325
1739209675.0925505;-45.120503652039325
1739209675.0925527;-38.13080360867914
1739209675.0925546;-45.120503652039325
1739209675.0925567;-45.120503652039325
1739209675.0925589;-38.13080360867914
1739209675.092561;-38.13080360867914
1739209675.092563;-38.13080360867914
1739209675.092565;-45.120503652039325
1739209675.0925672;-30.49652367304973
1739209675.092569;-33.981070128970906
1739209675.0925713;-38.13080360867914
1739209675.0925734;-38.13080360867914
1739209675.0925756;-38.13080360867914
1739209675.0925775;-35.57807855764607
1739209675.0925796;-45.120503652039325
1739209675.0925817;-38.13080360867914
1739209675.0925837;-38.13080360867914
1739209675.0925858;-38.13080360867914
1739209675.092588;-38.13080360867914
1739209675.09259;-45.120503652039325
1739209675.092592;-38.13080360867914
1739209675.0925941;-38.13080360867914
1739209675.0925963;-38.13080360867914
1739209675.0925982;-33.981070128970906
1739209675.0926003;-33.981070128970906
1739209675.0926025;-35.57807855764607
1739209675.0926046;-45.120503652039325
1739209675.0926065;-45.120503652039325
1739209675.0926087;-38.13080360867914
1739209675.0926108;-35.57807855764607
1739209675.0926127;-45.120503652039325
1739209675.092615;-45.120503652039325
1739209675.092617;-45.120503652039325
1739209675.0926192;-45.120503652039325
1739209675.092621;-45.120503652039325
1739209675.0926232;-35.57807855764607
1739209675.0926254;-38.13080360867914
1739209675.0926273;-45.120503652039325
1739209675.0926294;-35.57807855764607
1739209675.0926316;-38.13080360867914
1739209675.0926337;-33.981070128970906
1739209675.0926356;-38.13080360867914
1739209675.0926378;-38.13080360867914
1739209675.09264;-38.13080360867914
1739209675.0926418;-38.13080360867914
1739209675.092644;-35.57807855764607
1739209675.0926461;-45.120503652039325
1739209675.0926483;-45.120503652039325
1739209675.0926502;-45.120503652039325
1739209675.0926523;-32.816014438256545
1739209675.0926545;-38.13080360867914
1739209675.0926564;-38.13080360867914
1739209675.0926585;-38.13080360867914
1739209675.0926607;-45.120503652039325
1739209675.0926628;-45.120503652039325
1739209675.0926647;-45.120503652039325
1739209675.0926669;-32.816014438256545
1739209675.092669;-38.13080360867914
1739209675.0926712;-45.120503652039325
1739209675.092673;-45.120503652039325
1739209675.0926752;-35.57807855764607
1739209675.0926774;-28.58837851428586
1739209675.0926793;-38.13080360867914
1739209675.0926814;-45.120503652039325
1739209675.0926836;-38.13080360867914
1739209675.0926857;-33.981070128970906
1739209675.0926876;-45.120503652039325
1739209675.0926898;-38.13080360867914
1739209675.092692;-33.981070128970906
1739209675.0926938;-45.120503652039325
1739209675.092696;-45.120503652039325
1739209675.092698;-45.120503652039325
1739209675.0927002;-38.13080360867914
1739209675.0927022;-45.120503652039325
1739209675.0927043;-45.120503652039325
1739209675.0927064;-38.13080360867914
1739209675.0927083;-33.981070128970906
1739209675.0927105;-28.58837851428586
1739209675.0927126;-38.13080360867914
1739209675.0927148;-38.13080360867914
1739209675.0927167;-38.13080360867914
1739209675.0927188;-33.981070128970906
1739209675.092721;-35.57807855764607
1739209675.092723;-38.13080360867914
1739209675.092725;-45.120503652039325
1739209675.0927272;-45.120503652039325
1739209675.0927293;-38.13080360867914
1739209675.0927312;-38.13080360867914
1739209675.0927334;-38.13080360867914
1739209675.0927355;-45.120503652039325
1739209675.0927374;-45.120503652039325
1739209675.0927396;-45.120503652039325
1739209675.0927417;-45.120503652039325
1739209675.0927439;-32.816014438256545
1739209675.0927458;-35.57807855764607
1739209675.092748;-38.13080360867914
1739209675.09275;-35.57807855764607
1739209675.092752;-32.816014438256545
1739209675.0927541;-38.13080360867914
1739209675.0927563;-35.57807855764607
1739209675.0927584;-45.120503652039325
1739209675.0927603;-45.120503652039325
1739209675.0927625;-38.13080360867914
1739209675.0927646;-35.57807855764607
1739209675.0927665;-45.120503652039325
1739209675.0927687;-45.120503652039325
1739209675.0927708;-38.13080360867914
1739209675.092773;-45.120503652039325
1739209675.0927749;-45.120503652039325
1739209675.092777;-45.120503652039325
1739209675.0927792;-38.13080360867914
1739209675.092781;-38.13080360867914
1739209675.0927832;-38.13080360867914
1739209675.0927854;-38.13080360867914
1739209675.0927875;-38.13080360867914
1739209675.0927894;-45.120503652039325
1739209675.0927916;-38.13080360867914
1739209675.0927937;-31.141103565318915
1739209675.0927956;-38.13080360867914
1739209675.0927978;-38.13080360867914
1739209675.0928;-45.120503652039325
1739209675.092802;-45.120503652039325
1739209675.092804;-45.120503652039325
1739209675.092806;-38.13080360867914
1739209675.0928082;-38.13080360867914
1739209675.0928102;-33.981070128970906
1739209675.0928123;-38.13080360867914
1739209675.0928144;-45.120503652039325
1739209675.0928166;-45.120503652039325
1739209675.0928185;-35.57807855764607
1739209675.0928206;-45.120503652039325
1739209675.0928228;-45.120503652039325
1739209675.0928247;-45.120503652039325
1739209675.0928268;-27.267205301931607
1739209675.092829;-33.981070128970906
1739209675.0928311;-38.13080360867914
1739209675.092833;-38.13080360867914
1739209675.0928352;-45.120503652039325
1739209675.0928373;-33.981070128970906
1739209675.0928392;-38.13080360867914
1739209675.0928414;-45.120503652039325
1739209675.0928435;-32.816014438256545
1739209675.0928457;-31.141103565318915
1739209675.0928476;-38.13080360867914
1739209675.0928497;-45.120503652039325
1739209675.0928519;-38.13080360867914
1739209675.0928538;-38.13080360867914
1739209675.092856;-45.120503652039325
1739209675.092858;-45.120503652039325
1739209675.0928602;-33.981070128970906
1739209675.0928621;-33.981070128970906
1739209675.0928643;-35.57807855764607
1739209675.0928664;-45.120503652039325
1739209675.0928686;-45.120503652039325
1739209675.0928705;-38.13080360867914
1739209675.0928726;-38.13080360867914
1739209675.0928748;-35.57807855764607
1739209675.0928767;-33.981070128970906
1739209675.0928788;-33.981070128970906
1739209675.092881;-38.13080360867914
1739209675.092883;-45.120503652039325
1739209675.092885;-38.13080360867914
1739209675.0928872;-38.13080360867914
1739209675.0928893;-38.13080360867914
1739209675.0928912;-45.120503652039325
1739209675.0928934;-45.120503652039325
1739209675.0928955;-33.981070128970906
1739209675.0928977;-38.13080360867914
1739209675.0928996;-38.13080360867914
1739209675.0929017;-38.13080360867914
1739209675.0929039;-45.120503652039325
1739209675.0929058;-38.13080360867914
1739209675.092908;-45.120503652039325
1739209675.09291;-38.13080360867914
1739209675.0929122;-38.13080360867914
1739209675.092914;-38.13080360867914
1739209675.0929163;-38.13080360867914
1739209675.0929184;-45.120503652039325
1739209675.0929203;-38.13080360867914
1739209675.0929224;-35.57807855764607
1739209675.0929246;-45.120503652039325
1739209675.0929267;-38.13080360867914
1739209675.0929286;-28.992665084841942
1739209675.0929308;-45.120503652039325
1739209675.092933;-38.13080360867914
1739209675.0929348;-38.13080360867914
1739209675.092937;-38.13080360867914
1739209675.0929391;-45.120503652039325
1739209675.0929413;-45.120503652039325
1739209675.0929432;-45.120503652039325
1739209675.0929453;-31.14110356531892
1739209675.0929475;-38.13080360867914
1739209675.0929494;-45.120503652039325
1739209675.0929515;-45.120503652039325
1739209675.0929537;-38.13080360867914
1739209675.0929558;-38.13080360867914
1739209675.0929577;-45.120503652039325
1739209675.09296;-38.13080360867914
1739209675.092962;-33.981070128970906
1739209675.092964;-45.120503652039325
1739209675.092966;-45.120503652039325
1739209675.0929682;-38.13080360867914
1739209675.0929704;-45.120503652039325
1739209675.0929723;-45.120503652039325
1739209675.0929744;-38.13080360867914
1739209675.0929766;-38.13080360867914
1739209675.0929785;-33.981070128970956
1739209675.0929806;-45.120503652039325
1739209675.0929828;-35.57807855764607
1739209675.092985;-45.120503652039325
1739209675.0929868;-38.13080360867914
1739209675.092989;-38.13080360867914
1739209675.092991;-38.13080360867914
1739209675.092993;-45.120503652039325
1739209675.0929952;-45.120503652039325
1739209675.0929973;-45.120503652039325
1739209675.0929995;-38.13080360867914
1739209675.0930014;-38.13080360867914
1739209675.0930035;-38.13080360867914
1739209675.0930057;-45.120503652039325
1739209675.0930076;-38.13080360867914
1739209675.0930097;-38.13080360867914
1739209675.0930119;-38.13080360867914
1739209675.093014;-45.120503652039325
1739209675.093016;-35.57807855764607
1739209675.093018;-38.13080360867914
1739209675.0930202;-45.120503652039325
1739209675.093022;-45.120503652039325
1739209675.0930243;-38.13080360867914
1739209675.0930264;-38.13080360867914
1739209675.0930285;-45.120503652039325
1739209675.0930305;-45.120503652039325
1739209675.0930326;-45.120503652039325
1739209675.0930347;-38.13080360867914
1739209675.0930367;-38.13080360867914
1739209675.0930388;-35.57807855764607
1739209675.093041;-45.120503652039325
1739209675.093043;-38.13080360867914
1739209675.093045;-32.816014438256545
1739209675.0930471;-31.141103565318915
1739209675.0930493;-33.981070128970906
1739209675.0930512;-45.120503652039325
1739209675.0930533;-33.981070128970906
1739209675.0930555;-38.13080360867914
1739209675.0930576;-45.120503652039325
1739209675.0930595;-45.120503652039325
1739209675.0930617;-45.120503652039325
1739209675.0930638;-33.981070128970906
1739209675.093066;-38.13080360867914
1739209675.093068;-45.120503652039325
1739209675.09307;-38.13080360867914
1739209675.0930722;-35.57807855764607
1739209675.093074;-45.120503652039325
1739209675.0943167;-45.120503652039325
1739209675.0943205;-35.57807855764607
1739209675.0943246;-35.57807855764607
1739209675.0943286;-38.13080360867914
1739209675.0943327;-45.120503652039325
1739209675.0943365;-45.120503652039325
1739209675.0943406;-45.120503652039325
1739209675.0943446;-35.57807855764607
1739209675.0943484;-45.120503652039325
1739209675.0943525;-45.120503652039325
1739209675.0943565;-38.13080360867914
1739209675.0943606;-38.13080360867914
1739209675.0943644;-38.13080360867914
1739209675.0943685;-45.120503652039325
1739209675.0943725;-45.120503652039325
1739209675.0943766;-45.120503652039325
1739209675.0943804;-38.13080360867914
1739209675.0943844;-38.13080360867914
1739209675.0943885;-38.13080360867914
1739209675.0943923;-38.13080360867914
1739209675.0943964;-45.120503652039325
1739209675.0944004;-35.57807855764607
1739209675.0944045;-45.120503652039325
1739209675.0944083;-38.13080360867914
1739209675.0944123;-35.57807855764607
1739209675.0944164;-45.120503652039325
1739209675.0944202;-45.120503652039325
1739209675.0944242;-38.13080360867914
1739209675.0944283;-35.57807855764607
1739209675.0944324;-38.13080360867914
1739209675.0944362;-38.13080360867914
1739209675.0944402;-45.120503652039325
1739209675.0944443;-45.120503652039325
1739209675.094448;-45.120503652039325
