CAN Message; 0x62:00298fb27e7d1286
Timestamp;Amplitude
1739209677.9078035;-38.13080360867914
1739209677.9078062;-45.120503652039325
1739209677.907809;-45.120503652039325
1739209677.9078119;-45.120503652039325
1739209677.9078145;-45.120503652039325
1739209677.9078174;-38.13080360867914
1739209677.90782;-33.981070128970906
1739209677.9078228;-38.13080360867914
1739209677.9078257;-38.13080360867914
1739209677.9078283;-35.57807855764607
1739209677.9078312;-38.13080360867914
1739209677.907834;-38.13080360867914
1739209677.9078367;-38.13080360867914
1739209677.9078395;-45.120503652039325
1739209677.9078422;-35.57807855764607
1739209677.907845;-38.13080360867914
1739209677.907848;-45.120503652039325
1739209677.9078505;-45.120503652039325
1739209677.9078534;-45.120503652039325
1739209677.9078562;-33.981070128970906
1739209677.9078588;-38.13080360867914
1739209677.9078617;-45.120503652039325
1739209677.9078643;-45.120503652039325
1739209677.9078672;-45.120503652039325
1739209677.90787;-45.120503652039325
1739209677.9078727;-45.120503652039325
1739209677.9078755;-45.120503652039325
1739209677.9078784;-38.13080360867914
1739209677.907881;-45.120503652039325
1739209677.907884;-45.120503652039325
1739209677.9078865;-33.981070128970906
1739209677.9078894;-35.57807855764607
1739209677.9078922;-38.13080360867914
1739209677.9078948;-38.13080360867914
1739209677.9078977;-35.57807855764607
1739209677.9079006;-38.13080360867914
1739209677.9079032;-45.120503652039325
1739209677.907906;-35.57807855764607
1739209677.9079087;-38.13080360867914
1739209677.9079115;-45.120503652039325
1739209677.9079144;-45.120503652039325
1739209677.907917;-38.13080360867914
1739209677.90792;-38.13080360867914
1739209677.9079227;-45.120503652039325
1739209677.9079254;-45.120503652039325
1739209677.9079282;-38.13080360867914
1739209677.9079309;-31.141103565318915
1739209677.9079337;-38.13080360867914
1739209677.9079366;-38.13080360867914
1739209677.9079392;-38.13080360867914
1739209677.907942;-33.981070128970906
1739209677.907945;-38.13080360867914
1739209677.9079475;-38.13080360867914
1739209677.9079504;-38.13080360867914
1739209677.907953;-38.13080360867914
1739209677.907956;-45.120503652039325
1739209677.9079587;-45.120503652039325
1739209677.9079614;-38.13080360867914
1739209677.9079642;-38.13080360867914
1739209677.907967;-45.120503652039325
1739209677.9079697;-38.13080360867914
1739209677.9079726;-33.981070128970906
1739209677.9079752;-38.13080360867914
1739209677.907978;-38.13080360867914
1739209677.907981;-38.13080360867914
1739209677.9079835;-35.57807855764607
1739209677.9079864;-32.816014438256545
1739209677.9079893;-38.13080360867914
1739209677.907992;-45.120503652039325
1739209677.9079947;-35.57807855764607
1739209677.9079974;-35.57807855764607
1739209677.9080002;-45.120503652039325
1739209677.908003;-38.13080360867914
1739209677.9080057;-38.13080360867914
1739209677.9080086;-38.13080360867914
1739209677.9080114;-38.13080360867914
1739209677.908014;-35.57807855764607
1739209677.908017;-35.57807855764607
1739209677.9080195;-38.13080360867914
1739209677.9080224;-45.120503652039325
1739209677.9080253;-38.13080360867914
1739209677.908028;-45.120503652039325
1739209677.9080307;-38.13080360867914
1739209677.9080336;-38.13080360867914
1739209677.9080362;-45.120503652039325
1739209677.908039;-35.57807855764607
1739209677.9080417;-35.57807855764607
1739209677.9080446;-32.816014438256545
1739209677.9080474;-45.120503652039325
1739209677.90805;-45.120503652039325
1739209677.908053;-38.13080360867914
1739209677.9080558;-38.13080360867914
1739209677.9080584;-38.13080360867914
1739209677.9080613;-45.120503652039325
1739209677.908064;-38.13080360867914
1739209677.9080667;-45.120503652039325
1739209677.9080696;-45.120503652039325
1739209677.9080722;-38.13080360867914
1739209677.908075;-38.13080360867914
1739209677.908078;-30.49652367304973
1739209677.9080806;-45.120503652039325
1739209677.9080834;-45.120503652039325
1739209677.908086;-45.120503652039325
1739209677.908089;-29.438486411369333
1739209677.9080918;-32.816014438256545
1739209677.9080944;-45.120503652039325
1739209677.9080973;-38.13080360867914
1739209677.9081001;-35.57807855764607
1739209677.9081028;-35.57807855764607
1739209677.9081056;-45.120503652039325
1739209677.9081082;-45.120503652039325
1739209677.908111;-45.120503652039325
1739209677.908114;-45.120503652039325
1739209677.9081166;-45.120503652039325
1739209677.9081194;-45.120503652039325
1739209677.9081223;-45.120503652039325
1739209677.908125;-45.120503652039325
1739209677.9081278;-45.120503652039325
1739209677.9081304;-45.120503652039325
1739209677.9081333;-45.120503652039325
1739209677.9081361;-45.120503652039325
1739209677.9081388;-45.120503652039325
1739209677.9081416;-45.120503652039325
1739209677.9081445;-32.816014438256545
1739209677.908147;-33.981070128970906
1739209677.90815;-45.120503652039325
1739209677.9081526;-45.120503652039325
1739209677.9081554;-35.57807855764607
1739209677.9081583;-35.57807855764607
1739209677.908161;-45.120503652039325
1739209677.9081638;-45.120503652039325
1739209677.9081666;-45.120503652039325
1739209677.9081693;-45.120503652039325
1739209677.9081721;-38.13080360867914
1739209677.908175;-33.981070128970906
1739209677.9081776;-45.120503652039325
1739209677.9081805;-45.120503652039325
1739209677.908183;-45.120503652039325
1739209677.908186;-38.13080360867914
1739209677.9081888;-45.120503652039325
1739209677.9081914;-45.120503652039325
1739209677.9081943;-45.120503652039325
1739209677.9081972;-45.120503652039325
1739209677.9081998;-28.21854285175415
1739209677.9082026;-30.49652367304973
1739209677.9082053;-45.120503652039325
1739209677.9082081;-38.13080360867914
1739209677.908211;-38.13080360867914
1739209677.9082136;-35.57807855764607
1739209677.9082165;-45.120503652039325
1739209677.9082193;-38.13080360867914
1739209677.908222;-45.120503652039325
1739209677.9082248;-45.120503652039325
1739209677.9082274;-38.13080360867914
1739209677.9082303;-45.120503652039325
1739209677.9082332;-45.120503652039325
1739209677.9082358;-45.120503652039325
1739209677.9082386;-45.120503652039325
1739209677.9082415;-45.120503652039325
1739209677.9082441;-32.816014438256545
1739209677.908247;-30.49652367304973
1739209677.9082496;-45.120503652039325
1739209677.9082525;-45.120503652039325
1739209677.9082553;-35.57807855764607
1739209677.908258;-33.981070128970906
1739209677.9082608;-45.120503652039325
1739209677.9082637;-45.120503652039325
1739209677.9082663;-45.120503652039325
1739209677.9082692;-45.120503652039325
1739209677.9082718;-38.13080360867914
1739209677.9082747;-38.13080360867914
1739209677.9082775;-38.13080360867914
1739209677.9082801;-38.13080360867914
1739209677.908283;-45.120503652039325
1739209677.9082859;-38.13080360867914
1739209677.9082885;-45.120503652039325
1739209677.9082913;-45.120503652039325
1739209677.908294;-45.120503652039325
1739209677.9082968;-38.13080360867914
1739209677.9082997;-38.13080360867914
1739209677.9083023;-45.120503652039325
1739209677.9083052;-38.13080360867914
1739209677.908308;-38.13080360867914
1739209677.9083107;-35.57807855764607
1739209677.9083135;-27.267205301931607
1739209677.9083161;-38.13080360867914
1739209677.908319;-38.13080360867914
1739209677.9083219;-45.120503652039325
1739209677.9083245;-38.13080360867914
1739209677.9083273;-38.13080360867914
1739209677.9083302;-38.13080360867914
1739209677.9083328;-45.120503652039325
1739209677.9083357;-32.81601443825658
1739209677.9083383;-38.13080360867914
1739209677.9083412;-38.13080360867914
1739209677.908344;-45.120503652039325
1739209677.9083467;-45.120503652039325
1739209677.9083495;-45.120503652039325
1739209677.9083524;-38.13080360867914
1739209677.908355;-38.13080360867914
1739209677.9083579;-28.992665084841942
1739209677.9083605;-32.816014438256545
1739209677.9083633;-38.13080360867914
1739209677.9083662;-38.13080360867914
1739209677.9083688;-32.816014438256545
1739209677.9083717;-38.13080360867914
1739209677.9083745;-33.981070128970906
1739209677.9083772;-45.120503652039325
1739209677.90838;-30.49652367304976
1739209677.9083827;-32.816014438256545
1739209677.9083855;-33.981070128970906
1739209677.9083884;-45.120503652039325
1739209677.908391;-45.120503652039325
1739209677.9083939;-38.13080360867914
1739209677.9106438;-38.13080360867914
1739209677.9106486;-32.816014438256545
1739209677.910653;-38.13080360867914
1739209677.910658;-45.120503652039325
1739209677.9106627;-45.120503652039325
1739209677.9106674;-45.120503652039325
1739209677.910672;-38.13080360867914
1739209677.9106767;-33.981070128970906
1739209677.9106815;-31.141103565318915
1739209677.9106863;-35.57807855764607
1739209677.910691;-38.13080360867914
1739209677.9106956;-38.13080360867914
1739209677.9107003;-33.981070128970906
1739209677.910705;-45.120503652039325
1739209677.9107099;-45.120503652039325
1739209677.9107144;-45.120503652039325
1739209677.9107192;-38.13080360867914
1739209677.910724;-45.120503652039325
1739209677.9107287;-45.120503652039325
1739209677.9107332;-45.120503652039325
1739209677.910738;-38.13080360867914
1739209677.9107428;-35.57807855764607
1739209677.9107475;-45.120503652039325
1739209677.9107523;-38.13080360867914
1739209677.9107568;-33.981070128970906
1739209677.9107616;-45.120503652039325
1739209677.9107664;-45.120503652039325
1739209677.9107711;-38.13080360867914
1739209677.9107757;-33.981070128970906
1739209677.9107804;-45.120503652039325
1739209677.9107852;-38.13080360867914
1739209677.91079;-45.120503652039325
1739209677.9107947;-45.120503652039325
1739209677.9107993;-38.13080360867914
1739209677.910804;-45.120503652039325
1739209677.9108088;-45.120503652039325
1739209677.9108136;-38.13080360867914
1739209677.910818;-45.120503652039325
1739209677.9108229;-45.120503652039325
1739209677.9108276;-38.13080360867914
1739209677.9108324;-45.120503652039325
1739209677.9108372;-38.13080360867914
1739209677.9108417;-38.13080360867914
1739209677.9108465;-38.13080360867914
1739209677.9108512;-35.57807855764607
1739209677.910856;-45.120503652039325
1739209677.9108605;-45.120503652039325
1739209677.9108653;-45.120503652039325
1739209677.91087;-33.981070128970906
1739209677.9108748;-38.13080360867914
1739209677.9108794;-45.120503652039325
1739209677.9108841;-35.57807855764607
1739209677.910889;-38.13080360867914
1739209677.9108937;-45.120503652039325
1739209677.9108984;-38.13080360867914
1739209677.910903;-35.57807855764607
1739209677.9109077;-31.141103565318915
1739209677.9109125;-38.13080360867914
1739209677.9109173;-38.13080360867914
1739209677.9109218;-38.13080360867914
1739209677.9109266;-38.13080360867914
1739209677.9109313;-45.120503652039325
1739209677.910936;-45.120503652039325
1739209677.910941;-45.120503652039325
1739209677.9109454;-33.981070128970906
1739209677.9109502;-38.13080360867914
1739209677.910955;-38.13080360867914
1739209677.9109597;-45.120503652039325
1739209677.9109643;-45.120503652039325
1739209677.910969;-38.13080360867914
1739209677.9109738;-38.13080360867914
1739209677.9109786;-45.120503652039325
1739209677.9109833;-33.981070128970906
1739209677.9109879;-33.981070128970906
1739209677.9109926;-38.13080360867914
1739209677.9109974;-45.120503652039325
1739209677.9110022;-45.120503652039325
1739209677.9110067;-45.120503652039325
1739209677.9110115;-45.120503652039325
1739209677.9110162;-45.120503652039325
1739209677.911021;-38.13080360867914
1739209677.9110258;-33.981070128970906
1739209677.9110303;-45.120503652039325
1739209677.911035;-45.120503652039325
1739209677.9110398;-38.13080360867914
1739209677.9110446;-45.120503652039325
1739209677.9110491;-45.120503652039325
1739209677.911054;-38.13080360867914
1739209677.9110587;-38.13080360867914
1739209677.9110634;-38.13080360867914
1739209677.911068;-38.13080360867914
1739209677.9110727;-45.120503652039325
1739209677.9110775;-45.120503652039325
