CAN Message; 0x1d3:00007f4287be82e8
Timestamp;Amplitude
1739209681.0699222;-45.120503652039325
1739209681.0699306;-38.13080360867914
1739209681.0699387;-35.57807855764607
1739209681.069947;-35.57807855764607
1739209681.0699553;-38.13080360867914
1739209681.0699637;-45.120503652039325
1739209681.069972;-38.13080360867914
1739209681.0699804;-38.13080360867914
1739209681.0699885;-45.120503652039325
1739209681.0699968;-38.13080360867914
1739209681.0700052;-45.120503652039325
1739209681.0700135;-38.13080360867914
1739209681.0700219;-45.120503652039325
1739209681.0700302;-45.120503652039325
1739209681.0700383;-38.13080360867914
1739209681.0700467;-33.981070128970906
1739209681.070055;-38.13080360867914
1739209681.0700634;-45.120503652039325
1739209681.0700717;-33.981070128970906
1739209681.0700798;-33.981070128970906
1739209681.0700881;-45.120503652039325
1739209681.0700965;-38.13080360867914
1739209681.0701048;-35.57807855764607
1739209681.0701132;-35.57807855764607
1739209681.0701215;-45.120503652039325
1739209681.0701296;-38.13080360867914
1739209681.070138;-31.141103565318915
1739209681.0701463;-38.13080360867914
1739209681.0701547;-45.120503652039325
1739209681.070163;-38.13080360867914
1739209681.0701714;-38.13080360867914
1739209681.0701795;-45.120503652039325
1739209681.0701878;-45.120503652039325
1739209681.0701962;-45.120503652039325
1739209681.0702045;-45.120503652039325
1739209681.0702128;-38.13080360867914
1739209681.070221;-38.13080360867914
1739209681.0702293;-45.120503652039325
1739209681.0702376;-38.13080360867914
1739209681.070246;-35.57807855764607
1739209681.0702543;-45.120503652039325
1739209681.0702627;-38.13080360867914
1739209681.0702708;-38.13080360867914
1739209681.0702791;-38.13080360867914
1739209681.0702875;-38.13080360867914
1739209681.0702958;-38.13080360867914
1739209681.0703042;-38.13080360867914
1739209681.0703125;-38.13080360867914
1739209681.0703206;-45.120503652039325
1739209681.070329;-33.981070128970906
1739209681.0703373;-45.120503652039325
1739209681.0703456;-45.120503652039325
1739209681.070354;-35.57807855764607
1739209681.070362;-38.13080360867914
1739209681.0703704;-45.120503652039325
1739209681.0703788;-45.120503652039325
1739209681.0703871;-35.57807855764607
1739209681.0703955;-38.13080360867914
1739209681.0704038;-38.13080360867914
1739209681.070412;-38.13080360867914
1739209681.0704203;-35.57807855764607
1739209681.0704286;-38.13080360867914
1739209681.070437;-38.13080360867914
1739209681.0704453;-35.57807855764607
1739209681.0704536;-38.13080360867914
1739209681.0704618;-38.13080360867914
1739209681.07047;-45.120503652039325
1739209681.0704784;-38.13080360867914
1739209681.0704868;-38.13080360867914
1739209681.0704951;-38.13080360867914
1739209681.0705032;-45.120503652039325
1739209681.0705116;-45.120503652039325
1739209681.07052;-35.57807855764607
1739209681.0705283;-38.13080360867914
1739209681.0705366;-38.13080360867914
1739209681.070545;-38.13080360867914
1739209681.070553;-45.120503652039325
1739209681.0705614;-38.13080360867914
1739209681.0705698;-35.57807855764607
1739209681.070578;-38.13080360867914
1739209681.0705864;-38.13080360867914
1739209681.0705948;-45.120503652039325
1739209681.070603;-45.120503652039325
1739209681.0706112;-45.120503652039325
1739209681.0706196;-35.57807855764607
1739209681.070628;-38.13080360867914
1739209681.0706363;-45.120503652039325
1739209681.0706444;-45.120503652039325
1739209681.0706527;-38.13080360867914
1739209681.070661;-38.13080360867914
1739209681.0706694;-38.13080360867914
1739209681.0706778;-45.120503652039325
1739209681.070686;-38.13080360867914
1739209681.0706942;-33.981070128970906
1739209681.0707026;-35.57807855764607
1739209681.070711;-33.981070128970906
1739209681.0707192;-45.120503652039325
1739209681.0707276;-38.13080360867914
1739209681.070736;-35.57807855764607
1739209681.070744;-28.992665084841942
1739209681.0707524;-45.120503652039325
1739209681.0707607;-38.13080360867914
1739209681.070769;-38.13080360867914
1739209681.0707774;-45.120503652039325
