CAN Message; 0x77:a9dde935f426cb70
Timestamp;Amplitude
1739209690.1971257;-32.816014438256545
1739209690.1971292;-38.13080360867914
1739209690.1971326;-38.13080360867914
1739209690.1971362;-45.120503652039325
1739209690.1971395;-45.120503652039325
1739209690.1971428;-45.120503652039325
1739209690.1971464;-45.120503652039325
1739209690.1971498;-45.120503652039325
1739209690.1971533;-38.13080360867914
1739209690.1971567;-38.13080360867914
1739209690.19716;-45.120503652039325
1739209690.1971636;-38.13080360867914
1739209690.197167;-35.57807855764607
1739209690.1971703;-35.57807855764607
1739209690.1971738;-45.120503652039325
1739209690.1971772;-45.120503652039325
1739209690.1971807;-45.120503652039325
1739209690.197184;-45.120503652039325
1739209690.1971874;-45.120503652039325
1739209690.197191;-32.816014438256545
1739209690.1971943;-28.58837851428586
1739209690.197198;-45.120503652039325
1739209690.1972013;-38.13080360867914
1739209690.1972046;-33.981070128970906
1739209690.1972082;-38.13080360867914
1739209690.1972115;-45.120503652039325
1739209690.197215;-38.13080360867914
1739209690.1972184;-38.13080360867914
1739209690.1972218;-45.120503652039325
1739209690.1972253;-38.13080360867914
1739209690.1972287;-38.13080360867914
1739209690.197232;-35.57807855764607
1739209690.1972356;-38.13080360867914
1739209690.197239;-38.13080360867914
1739209690.1972425;-38.13080360867914
1739209690.1972458;-45.120503652039325
1739209690.1972492;-45.120503652039325
1739209690.1972528;-45.120503652039325
1739209690.197256;-38.13080360867914
1739209690.1972597;-38.13080360867914
1739209690.197263;-45.120503652039325
1739209690.1972663;-33.981070128970906
1739209690.19727;-38.13080360867914
1739209690.1972733;-38.13080360867914
1739209690.1972768;-32.816014438256545
1739209690.1972802;-45.120503652039325
1739209690.1972835;-45.120503652039325
1739209690.197287;-38.13080360867914
1739209690.1972904;-38.13080360867914
1739209690.1972938;-45.120503652039325
1739209690.1972973;-35.57807855764607
1739209690.1973007;-45.120503652039325
1739209690.1973042;-45.120503652039325
1739209690.1973076;-38.13080360867914
1739209690.197311;-38.13080360867914
1739209690.1973145;-45.120503652039325
1739209690.1973178;-33.981070128970906
1739209690.1973214;-38.13080360867914
1739209690.1973248;-38.13080360867914
1739209690.197328;-35.57807855764607
1739209690.1973317;-35.57807855764607
1739209690.197335;-38.13080360867914
1739209690.1973386;-45.120503652039325
1739209690.197342;-38.13080360867914
1739209690.1973453;-45.120503652039325
1739209690.1973488;-45.120503652039325
1739209690.1973522;-35.57807855764607
1739209690.1973555;-38.13080360867914
1739209690.197359;-45.120503652039325
1739209690.1973624;-45.120503652039325
1739209690.197366;-38.13080360867914
1739209690.1973693;-35.57807855764607
1739209690.1973727;-32.816014438256545
1739209690.1973763;-38.13080360867914
1739209690.1973796;-45.120503652039325
1739209690.1973832;-45.120503652039325
1739209690.1973865;-38.13080360867914
1739209690.1973898;-38.13080360867914
1739209690.1973934;-38.13080360867914
1739209690.1973968;-38.13080360867914
1739209690.1974003;-45.120503652039325
1739209690.1974037;-38.13080360867914
1739209690.197407;-45.120503652039325
1739209690.1974106;-45.120503652039325
1739209690.197414;-45.120503652039325
1739209690.1974175;-38.13080360867914
1739209690.1974208;-33.981070128970906
1739209690.1974242;-38.13080360867914
1739209690.1974277;-38.13080360867914
1739209690.197431;-38.13080360867914
1739209690.1974344;-38.13080360867914
1739209690.197438;-45.120503652039325
1739209690.1974413;-38.13080360867914
1739209690.197445;-33.981070128970906
1739209690.1974483;-38.13080360867914
1739209690.1974516;-45.120503652039325
1739209690.1974552;-38.13080360867914
1739209690.1974585;-38.13080360867914
1739209690.197462;-38.13080360867914
1739209690.1974654;-38.13080360867914
1739209690.1974688;-35.57807855764607
1739209690.1974723;-38.13080360867914
1739209690.1974757;-35.57807855764607
1739209690.1974792;-33.981070128970906
1739209690.1974826;-45.120503652039325
1739209690.197486;-45.120503652039325
1739209690.1974895;-45.120503652039325
1739209690.1974928;-38.13080360867914
1739209690.1974962;-45.120503652039325
1739209690.1974998;-38.13080360867914
1739209690.197503;-33.981070128970906
1739209690.1975067;-38.13080360867914
1739209690.19751;-45.120503652039325
1739209690.1975133;-45.120503652039325
1739209690.197517;-45.120503652039325
1739209690.1975203;-45.120503652039325
1739209690.1975238;-38.13080360867914
1739209690.1975272;-31.141103565318915
1739209690.1975305;-45.120503652039325
1739209690.197534;-45.120503652039325
1739209690.1975374;-33.981070128970906
1739209690.197541;-33.981070128970906
1739209690.1975443;-38.13080360867914
1739209690.1975477;-38.13080360867914
1739209690.1975513;-45.120503652039325
1739209690.1975546;-32.816014438256545
1739209690.197558;-45.120503652039325
1739209690.1975615;-45.120503652039325
1739209690.1975648;-45.120503652039325
1739209690.1975684;-45.120503652039325
1739209690.1975718;-38.13080360867914
1739209690.197575;-35.57807855764607
1739209690.1975787;-38.13080360867914
1739209690.197582;-45.120503652039325
1739209690.1975856;-45.120503652039325
1739209690.197589;-38.13080360867914
1739209690.1975923;-38.13080360867914
