CAN Message; 0x1b8:020098b454d11179
Timestamp;Amplitude
1739209690.5049582;-45.120503652039325
1739209690.5049627;-45.120503652039325
1739209690.504967;-45.120503652039325
1739209690.5049715;-38.13080360867914
1739209690.504976;-29.438486411369333
1739209690.5049806;-33.981070128970906
1739209690.504985;-45.120503652039325
1739209690.5049896;-38.13080360867914
1739209690.504994;-38.13080360867914
1739209690.5049984;-38.13080360867914
1739209690.505003;-38.13080360867914
1739209690.5050075;-38.13080360867914
1739209690.505012;-45.120503652039325
1739209690.5050163;-32.816014438256545
1739209690.5050209;-38.13080360867914
1739209690.5050254;-45.120503652039325
1739209690.50503;-33.981070128970906
1739209690.5050344;-45.120503652039325
1739209690.505039;-38.13080360867914
1739209690.5050433;-45.120503652039325
1739209690.5050478;-38.13080360867914
1739209690.5050523;-45.120503652039325
1739209690.5050569;-45.120503652039325
1739209690.5050614;-45.120503652039325
1739209690.505066;-38.13080360867914
1739209690.5050702;-30.49652367304973
1739209690.5050747;-38.13080360867914
1739209690.5050793;-45.120503652039325
1739209690.5050838;-45.120503652039325
1739209690.5050883;-38.13080360867914
1739209690.5050926;-38.13080360867914
1739209690.5050972;-45.120503652039325
1739209690.5051017;-38.13080360867914
1739209690.5051062;-45.120503652039325
1739209690.5051107;-45.120503652039325
1739209690.5051153;-45.120503652039325
1739209690.5051196;-38.13080360867914
1739209690.505124;-45.120503652039325
1739209690.5051286;-38.13080360867914
1739209690.5051332;-38.13080360867914
1739209690.5051377;-38.13080360867914
1739209690.505142;-45.120503652039325
1739209690.5051465;-45.120503652039325
1739209690.505151;-45.120503652039325
1739209690.5051556;-38.13080360867914
1739209690.50516;-35.57807855764607
1739209690.5051646;-45.120503652039325
1739209690.505169;-45.120503652039325
1739209690.5051734;-35.57807855764607
1739209690.505178;-26.487275050834715
1739209690.5051825;-38.13080360867914
1739209690.505187;-45.120503652039325
1739209690.5051913;-38.13080360867914
1739209690.5051959;-35.57807855764607
1739209690.5052004;-38.13080360867914
1739209690.505205;-45.120503652039325
1739209690.5052094;-45.120503652039325
1739209690.505214;-33.981070128970956
1739209690.5052183;-45.120503652039325
1739209690.5052228;-38.13080360867914
1739209690.5052273;-35.57807855764607
1739209690.5052319;-45.120503652039325
1739209690.5052364;-45.120503652039325
1739209690.505241;-45.120503652039325
1739209690.5052452;-38.13080360867914
1739209690.5052497;-28.58837851428586
1739209690.5052543;-38.13080360867914
1739209690.5052588;-45.120503652039325
1739209690.5052633;-38.13080360867914
