CAN Message; 0x77:b3c76210c9cbd45e
Timestamp;Amplitude
1739209697.7507398;-38.13080360867914
1739209697.7507417;-38.13080360867914
1739209697.7507439;-45.120503652039325
1739209697.750746;-32.816014438256545
1739209697.7507482;-33.981070128970906
1739209697.75075;-38.13080360867914
1739209697.7507522;-45.120503652039325
1739209697.7507544;-35.57807855764607
1739209697.7507563;-33.981070128970906
1739209697.7507584;-35.57807855764607
1739209697.7507606;-45.120503652039325
1739209697.7507627;-38.13080360867914
1739209697.7507646;-38.13080360867914
1739209697.7507668;-45.120503652039325
1739209697.750769;-33.981070128970906
1739209697.750771;-38.13080360867914
1739209697.750773;-38.13080360867914
1739209697.750775;-45.120503652039325
1739209697.7507772;-38.13080360867914
1739209697.7507792;-45.120503652039325
1739209697.7507813;-38.13080360867914
1739209697.7507834;-31.141103565318893
1739209697.7507856;-38.13080360867914
1739209697.7507875;-45.120503652039325
1739209697.7507896;-38.13080360867914
1739209697.7507918;-35.57807855764607
1739209697.7507937;-38.13080360867914
1739209697.7507958;-45.120503652039325
1739209697.750798;-45.120503652039325
1739209697.7508001;-32.816014438256545
1739209697.750802;-45.120503652039325
1739209697.7508042;-45.120503652039325
1739209697.7508063;-45.120503652039325
1739209697.7508085;-45.120503652039325
1739209697.7508104;-45.120503652039325
1739209697.7508125;-45.120503652039325
1739209697.7508147;-45.120503652039325
1739209697.7508166;-45.120503652039325
1739209697.7508187;-45.120503652039325
1739209697.7508209;-45.120503652039325
1739209697.750823;-38.13080360867914
1739209697.750825;-38.13080360867914
1739209697.750827;-45.120503652039325
1739209697.7508292;-45.120503652039325
1739209697.7508311;-45.120503652039325
1739209697.7508333;-26.991370085610736
1739209697.7508354;-38.13080360867914
1739209697.7508376;-38.13080360867914
1739209697.7508395;-38.13080360867914
1739209697.7508416;-35.57807855764607
1739209697.7508438;-38.13080360867914
1739209697.7508457;-45.120503652039325
1739209697.7508478;-45.120503652039325
1739209697.75085;-38.13080360867914
1739209697.750852;-45.120503652039325
1739209697.750854;-38.13080360867914
1739209697.7508562;-38.13080360867914
1739209697.7508583;-45.120503652039325
1739209697.7508605;-45.120503652039325
1739209697.7508624;-38.13080360867914
1739209697.7508645;-38.13080360867914
1739209697.7508667;-45.120503652039325
1739209697.7508686;-38.13080360867914
1739209697.7508707;-35.57807855764607
1739209697.7508729;-38.13080360867914
1739209697.750875;-38.13080360867914
1739209697.750877;-38.13080360867914
1739209697.750879;-35.57807855764607
1739209697.7508812;-38.13080360867914
1739209697.750883;-45.120503652039325
1739209697.7508852;-45.120503652039325
1739209697.7508874;-38.13080360867914
1739209697.7508895;-38.13080360867914
1739209697.7508914;-38.13080360867914
1739209697.7508936;-38.13080360867914
1739209697.7508957;-35.57807855764607
1739209697.7508976;-38.13080360867914
1739209697.7508998;-38.13080360867914
1739209697.750902;-38.13080360867914
1739209697.750904;-32.816014438256545
1739209697.750906;-45.120503652039325
1739209697.7509081;-45.120503652039325
1739209697.7509103;-45.120503652039325
1739209697.7509124;-38.13080360867914
1739209697.7509143;-45.120503652039325
1739209697.7509165;-30.49652367304973
1739209697.7509186;-32.816014438256545
1739209697.7509205;-32.816014438256545
1739209697.7509227;-38.13080360867914
1739209697.7509248;-38.13080360867914
1739209697.750927;-38.13080360867914
1739209697.7509289;-45.120503652039325
1739209697.750931;-45.120503652039325
1739209697.7509332;-45.120503652039325
1739209697.750935;-45.120503652039325
1739209697.7509372;-38.13080360867914
1739209697.7509394;-35.57807855764607
1739209697.7509415;-38.13080360867914
1739209697.7509434;-45.120503652039325
1739209697.7509456;-45.120503652039325
1739209697.7509477;-45.120503652039325
1739209697.7509499;-30.49652367304973
1739209697.7509518;-33.981070128970906
1739209697.750954;-45.120503652039325
1739209697.750956;-38.13080360867914
1739209697.750958;-35.57807855764607
1739209697.75096;-35.57807855764607
1739209697.7509623;-38.13080360867914
1739209697.7509644;-38.13080360867914
1739209697.7509663;-38.13080360867914
1739209697.7509685;-38.13080360867914
1739209697.7509706;-45.120503652039325
1739209697.7509725;-38.13080360867914
1739209697.7509747;-38.13080360867914
1739209697.7509768;-38.13080360867914
1739209697.750979;-45.120503652039325
1739209697.7509809;-38.13080360867914
1739209697.750983;-32.816014438256545
1739209697.7509851;-33.981070128970906
1739209697.750987;-45.120503652039325
1739209697.7509892;-45.120503652039325
1739209697.7509913;-45.120503652039325
1739209697.7509935;-45.120503652039325
1739209697.7509954;-45.120503652039325
1739209697.7509975;-45.120503652039325
1739209697.7509997;-38.13080360867914
1739209697.7510018;-45.120503652039325
1739209697.7510037;-45.120503652039325
1739209697.751006;-38.13080360867914
1739209697.751008;-38.13080360867914
1739209697.75101;-45.120503652039325
1739209697.751012;-33.981070128970906
1739209697.7510142;-45.120503652039325
1739209697.7510164;-45.120503652039325
1739209697.7510183;-45.120503652039325
1739209697.7510204;-38.13080360867914
1739209697.7510226;-35.57807855764607
1739209697.7510245;-38.13080360867914
1739209697.7510266;-45.120503652039325
1739209697.7510288;-38.13080360867914
1739209697.751031;-45.120503652039325
1739209697.7510328;-45.120503652039325
1739209697.751035;-38.13080360867914
1739209697.7510371;-45.120503652039325
1739209697.7510393;-38.13080360867914
1739209697.7510412;-38.13080360867914
1739209697.7510433;-38.13080360867914
1739209697.7510455;-33.981070128970906
1739209697.7510474;-38.13080360867914
1739209697.7510495;-45.120503652039325
1739209697.7510517;-38.13080360867914
1739209697.7510538;-45.120503652039325
1739209697.7510557;-38.13080360867914
1739209697.7510579;-45.120503652039325
1739209697.75106;-45.120503652039325
1739209697.751062;-45.120503652039325
1739209697.751064;-38.13080360867914
1739209697.7510662;-38.13080360867914
1739209697.7510684;-32.816014438256545
1739209697.7510703;-38.13080360867914
1739209697.7510724;-45.120503652039325
1739209697.7510746;-45.120503652039325
1739209697.7510765;-35.57807855764607
1739209697.7510786;-38.13080360867914
1739209697.7510808;-38.13080360867914
1739209697.751083;-45.120503652039325
1739209697.7510848;-45.120503652039325
1739209697.751087;-45.120503652039325
1739209697.751089;-38.13080360867914
1739209697.7510912;-38.13080360867914
1739209697.7510931;-45.120503652039325
1739209697.7510953;-45.120503652039325
1739209697.7510974;-45.120503652039325
1739209697.7510993;-38.13080360867914
1739209697.7511015;-33.981070128970906
1739209697.7511036;-38.13080360867914
1739209697.7511058;-33.981070128970906
1739209697.7511077;-45.120503652039325
1739209697.7511098;-33.981070128970906
1739209697.751112;-35.57807855764607
1739209697.751114;-38.13080360867914
1739209697.751116;-45.120503652039325
1739209697.7511182;-38.13080360867914
1739209697.7511203;-38.13080360867914
1739209697.7511222;-45.120503652039325
1739209697.7511244;-45.120503652039325
1739209697.7511265;-33.981070128970906
1739209697.7511284;-29.438486411369333
1739209697.7511306;-38.13080360867914
1739209697.7511327;-45.120503652039325
1739209697.7511349;-45.120503652039325
1739209697.7511368;-45.120503652039325
1739209697.751139;-45.120503652039325
1739209697.751141;-45.120503652039325
1739209697.7511432;-38.13080360867914
1739209697.7511451;-38.13080360867914
1739209697.7511473;-38.13080360867914
1739209697.7511494;-45.120503652039325
1739209697.7511513;-38.13080360867914
1739209697.7511535;-30.49652367304973
1739209697.7511556;-35.57807855764607
1739209697.7511578;-45.120503652039325
1739209697.7511597;-38.13080360867914
1739209697.7511618;-35.57807855764607
1739209697.751164;-38.13080360867914
1739209697.7511659;-45.120503652039325
1739209697.751168;-45.120503652039325
1739209697.7511702;-38.13080360867914
1739209697.7511723;-38.13080360867914
1739209697.7511742;-45.120503652039325
1739209697.7511764;-45.120503652039325
1739209697.7511785;-45.120503652039325
1739209697.7511806;-38.13080360867914
1739209697.7511826;-45.120503652039325
1739209697.7511847;-45.120503652039325
1739209697.7511868;-38.13080360867914
1739209697.7511888;-38.13080360867914
1739209697.751191;-38.13080360867914
1739209697.751193;-38.13080360867914
1739209697.7511952;-38.13080360867914
1739209697.751197;-45.120503652039325
1739209697.7511992;-45.120503652039325
1739209697.7512014;-38.13080360867914
1739209697.7512033;-32.816014438256545
1739209697.7512054;-38.13080360867914
1739209697.7512076;-35.57807855764607
1739209697.7512097;-38.13080360867914
1739209697.7512116;-35.57807855764607
1739209697.7512138;-38.13080360867914
1739209697.751216;-38.13080360867914
1739209697.7512178;-45.120503652039325
1739209697.75122;-35.57807855764607
1739209697.7512221;-45.120503652039325
1739209697.7512243;-38.13080360867914
1739209697.7512262;-38.13080360867914
1739209697.7512283;-45.120503652039325
1739209697.7512305;-45.120503652039325
1739209697.7512326;-45.120503652039325
1739209697.7512345;-38.13080360867914
1739209697.7512367;-27.8777449560314
1739209697.7512388;-33.981070128970906
1739209697.7512407;-38.13080360867914
1739209697.7512429;-45.120503652039325
1739209697.751245;-35.57807855764607
1739209697.7512472;-38.13080360867914
1739209697.751249;-45.120503652039325
1739209697.7512512;-45.120503652039325
1739209697.7512534;-35.57807855764607
1739209697.7512553;-45.120503652039325
1739209697.7512574;-35.57807855764607
1739209697.7512596;-38.13080360867914
1739209697.7512617;-45.120503652039325
1739209697.7512636;-45.120503652039325
1739209697.7512658;-45.120503652039325
1739209697.751268;-45.120503652039325
1739209697.7512698;-32.816014438256545
1739209697.751272;-38.13080360867914
1739209697.751274;-45.120503652039325
1739209697.7512763;-38.13080360867914
1739209697.7512782;-38.13080360867914
1739209697.7512803;-38.13080360867914
1739209697.7512825;-45.120503652039325
1739209697.7512846;-45.120503652039325
1739209697.7512865;-45.120503652039325
1739209697.7512887;-38.13080360867914
1739209697.7512908;-38.13080360867914
1739209697.7512927;-38.13080360867914
1739209697.7512949;-35.57807855764607
1739209697.751297;-38.13080360867914
1739209697.7512991;-45.120503652039325
1739209697.751301;-38.13080360867914
1739209697.7513032;-45.120503652039325
1739209697.7513053;-45.120503652039325
1739209697.7513072;-38.13080360867914
1739209697.7513094;-45.120503652039325
1739209697.7513115;-35.57807855764607
1739209697.7513137;-33.981070128970906
1739209697.7513156;-45.120503652039325
1739209697.7513177;-45.120503652039325
1739209697.75132;-32.816014438256545
1739209697.751322;-35.57807855764607
1739209697.751324;-45.120503652039325
1739209697.751326;-45.120503652039325
1739209697.7513282;-33.981070128970906
1739209697.7513301;-31.141103565318915
1739209697.7513323;-45.120503652039325
1739209697.7513344;-38.13080360867914
1739209697.7513366;-45.120503652039325
1739209697.7513385;-45.120503652039325
1739209697.7513406;-38.13080360867914
1739209697.7513428;-38.13080360867914
1739209697.7513447;-45.120503652039325
1739209697.7513468;-38.13080360867914
1739209697.751349;-38.13080360867914
1739209697.751351;-45.120503652039325
1739209697.751353;-26.487275050834715
1739209697.7513552;-28.992665084841942
1739209697.7513573;-45.120503652039325
1739209697.7513592;-38.13080360867914
1739209697.7513614;-35.57807855764607
1739209697.7513635;-38.13080360867914
1739209697.7513657;-45.120503652039325
1739209697.7513676;-45.120503652039325
1739209697.7513697;-45.120503652039325
1739209697.7513719;-45.120503652039325
1739209697.751374;-38.13080360867914
1739209697.751376;-45.120503652039325
1739209697.751378;-45.120503652039325
1739209697.7513802;-38.13080360867914
1739209697.751382;-38.13080360867914
1739209697.7513843;-45.120503652039325
1739209697.7513864;-45.120503652039325
1739209697.7513885;-38.13080360867914
1739209697.7513905;-35.57807855764607
1739209697.7513926;-38.13080360867914
1739209697.7513947;-45.120503652039325
1739209697.7513967;-38.13080360867914
1739209697.7513988;-32.816014438256545
1739209697.751401;-45.120503652039325
1739209697.751403;-45.120503652039325
1739209697.751405;-35.57807855764607
1739209697.7514071;-38.13080360867914
1739209697.7514093;-45.120503652039325
1739209697.7514114;-38.13080360867914
1739209697.7514133;-35.57807855764607
1739209697.7514155;-45.120503652039325
1739209697.7514176;-32.816014438256545
1739209697.7514195;-31.141103565318915
1739209697.7514217;-45.120503652039325
1739209697.7514238;-45.120503652039325
1739209697.751426;-33.981070128970906
1739209697.751428;-45.120503652039325
1739209697.75143;-38.13080360867914
1739209697.7514322;-45.120503652039325
1739209697.751434;-45.120503652039325
1739209697.7514362;-38.13080360867914
1739209697.7514384;-33.981070128970906
1739209697.7514405;-38.13080360867914
1739209697.7514424;-38.13080360867914
1739209697.7514446;-35.57807855764607
1739209697.7514467;-35.57807855764607
1739209697.7514486;-45.120503652039325
1739209697.7514508;-45.120503652039325
1739209697.751453;-32.816014438256545
1739209697.751455;-45.120503652039325
1739209697.751457;-38.13080360867914
1739209697.7514591;-38.13080360867914
1739209697.7514613;-38.13080360867914
1739209697.7514634;-38.13080360867914
1739209697.7514653;-45.120503652039325
1739209697.7514675;-45.120503652039325
1739209697.7514696;-45.120503652039325
1739209697.7514715;-45.120503652039325
1739209697.7514737;-45.120503652039325
1739209697.7514758;-45.120503652039325
1739209697.751478;-38.13080360867914
1739209697.7514799;-38.13080360867914
1739209697.751482;-38.13080360867914
1739209697.7514842;-38.13080360867914
1739209697.751486;-45.120503652039325
1739209697.7514882;-31.141103565318915
1739209697.7514904;-33.981070128970906
1739209697.7514925;-45.120503652039325
1739209697.7514944;-45.120503652039325
1739209697.7514966;-33.981070128970906
1739209697.7514987;-35.57807855764607
1739209697.7515006;-38.13080360867914
1739209697.7515028;-35.57807855764607
1739209697.751505;-45.120503652039325
1739209697.751507;-45.120503652039325
1739209697.751509;-38.13080360867914
1739209697.751511;-45.120503652039325
1739209697.7515132;-45.120503652039325
1739209697.7515154;-38.13080360867914
1739209697.7515173;-38.13080360867914
1739209697.7515194;-45.120503652039325
1739209697.7515216;-38.13080360867914
1739209697.7515235;-32.816014438256545
1739209697.7515256;-38.13080360867914
1739209697.7515278;-45.120503652039325
1739209697.75153;-38.13080360867914
1739209697.7515318;-38.13080360867914
1739209697.751534;-45.120503652039325
1739209697.7515361;-38.13080360867914
1739209697.751538;-38.13080360867914
1739209697.7515402;-38.13080360867914
1739209697.7515423;-38.13080360867914
1739209697.7515445;-35.57807855764607
1739209697.7515464;-38.13080360867914
1739209697.7515485;-45.120503652039325
1739209697.7515507;-45.120503652039325
1739209697.7515528;-38.13080360867914
1739209697.7515547;-38.13080360867914
1739209697.7515569;-45.120503652039325
1739209697.751559;-45.120503652039325
1739209697.751561;-35.57807855764607
1739209697.751563;-35.57807855764607
