CAN Message; 0x1a7:0000f0a329d4fc7c
Timestamp;Amplitude
1739209705.7499356;-45.120503652039325
1739209705.7499466;-45.120503652039325
1739209705.7499578;-38.13080360867914
1739209705.7499688;-45.120503652039325
1739209705.7499797;-45.120503652039325
1739209705.7499907;-38.13080360867914
1739209705.750002;-45.120503652039325
1739209705.7500129;-45.120503652039325
1739209705.7500238;-38.13080360867914
1739209705.7500348;-32.816014438256545
1739209705.750046;-31.141103565318915
1739209705.750057;-38.13080360867914
1739209705.750068;-38.13080360867914
1739209705.750079;-35.57807855764607
1739209705.7500901;-38.13080360867914
1739209705.750101;-45.120503652039325
1739209705.750112;-33.981070128970906
1739209705.750123;-33.981070128970906
1739209705.7501342;-35.57807855764607
1739209705.7501452;-38.13080360867914
1739209705.7501562;-35.57807855764607
1739209705.7501671;-38.13080360867914
1739209705.7501783;-38.13080360867914
1739209705.7501893;-38.13080360867914
1739209705.7502003;-38.13080360867914
1739209705.7502112;-38.13080360867914
1739209705.7502224;-38.13080360867914
1739209705.7502334;-35.57807855764607
1739209705.7502444;-38.13080360867914
1739209705.7502553;-45.120503652039325
1739209705.7502666;-38.13080360867914
1739209705.7502775;-38.13080360867914
1739209705.7502885;-45.120503652039325
1739209705.7502995;-38.13080360867914
1739209705.7503107;-27.267205301931607
1739209705.7503216;-45.120503652039325
1739209705.7503326;-45.120503652039325
1739209705.7503436;-35.57807855764607
1739209705.7503548;-38.13080360867914
1739209705.7503657;-45.120503652039325
1739209705.7503767;-45.120503652039325
1739209705.7503877;-45.120503652039325
1739209705.7503986;-45.120503652039325
1739209705.7504098;-45.120503652039325
1739209705.7504208;-45.120503652039325
1739209705.7504318;-45.120503652039325
1739209705.7504427;-35.57807855764607
1739209705.750454;-35.57807855764607
1739209705.750465;-45.120503652039325
1739209705.750476;-35.57807855764607
1739209705.7504869;-35.57807855764607
1739209705.750498;-45.120503652039325
1739209705.750509;-45.120503652039325
1739209705.75052;-38.13080360867914
1739209705.750531;-38.13080360867914
1739209705.7505422;-38.13080360867914
1739209705.7505531;-38.13080360867914
1739209705.750564;-38.13080360867914
1739209705.750575;-38.13080360867914
1739209705.7505863;-45.120503652039325
1739209705.7505972;-45.120503652039325
1739209705.7506082;-35.57807855764607
1739209705.7506192;-45.120503652039325
1739209705.7506304;-45.120503652039325
1739209705.7506413;-45.120503652039325
1739209705.7506523;-45.120503652039325
1739209705.7506633;-45.120503652039325
1739209705.7506745;-45.120503652039325
1739209705.7506855;-45.120503652039325
1739209705.7506964;-38.13080360867914
1739209705.7507074;-38.13080360867914
1739209705.7507186;-45.120503652039325
1739209705.7507296;-38.13080360867914
1739209705.7507405;-35.57807855764607
1739209705.7507515;-45.120503652039325
1739209705.7507627;-35.57807855764607
1739209705.7507737;-45.120503652039325
1739209705.7507846;-45.120503652039325
1739209705.7507956;-45.120503652039325
1739209705.7508068;-45.120503652039325
1739209705.7508178;-45.120503652039325
1739209705.7508287;-45.120503652039325
1739209705.7508397;-45.120503652039325
1739209705.750851;-45.120503652039325
1739209705.750862;-45.120503652039325
1739209705.7508729;-45.120503652039325
1739209705.7508838;-33.981070128970906
1739209705.7508948;-38.13080360867914
1739209705.750906;-38.13080360867914
1739209705.750917;-45.120503652039325
1739209705.750928;-35.57807855764607
1739209705.750939;-31.141103565318915
1739209705.75095;-45.120503652039325
1739209705.750961;-38.13080360867914
1739209705.750972;-35.57807855764607
1739209705.750983;-35.57807855764607
1739209705.7509942;-45.120503652039325
1739209705.7510052;-45.120503652039325
1739209705.7510161;-45.120503652039325
1739209705.751027;-38.13080360867914
1739209705.7510383;-45.120503652039325
1739209705.7510493;-38.13080360867914
1739209705.7510602;-45.120503652039325
1739209705.7510712;-38.13080360867914
1739209705.7510824;-35.57807855764607
1739209705.7510934;-38.13080360867914
1739209705.7511044;-45.120503652039325
1739209705.7511153;-38.13080360867914
1739209705.7511265;-38.13080360867914
1739209705.7511375;-45.120503652039325
1739209705.7511485;-45.120503652039325
1739209705.7511594;-45.120503652039325
1739209705.7511706;-45.120503652039325
1739209705.7511816;-38.13080360867914
1739209705.7511926;-33.981070128970906
1739209705.7512035;-30.49652367304973
1739209705.7512147;-38.13080360867914
1739209705.7512257;-45.120503652039325
1739209705.7512367;-38.13080360867914
1739209705.7512476;-35.57807855764607
1739209705.7512589;-38.13080360867914
1739209705.7512698;-33.981070128970906
1739209705.7512808;-45.120503652039325
1739209705.7512918;-38.13080360867914
1739209705.751303;-32.816014438256545
1739209705.751314;-38.13080360867914
1739209705.751325;-45.120503652039325
1739209705.7513359;-45.120503652039325
1739209705.7513468;-38.13080360867914
1739209705.751358;-38.13080360867914
1739209705.751369;-38.13080360867914
1739209705.75138;-38.13080360867914
