CAN Message; 0x1bb:00006f54a8fc900e
Timestamp;Amplitude
1739209717.812875;-33.981070128970906
1739209717.812879;-38.13080360867914
1739209717.8128831;-45.120503652039325
1739209717.812887;-38.13080360867914
1739209717.812891;-45.120503652039325
1739209717.812895;-38.13080360867914
1739209717.812899;-45.120503652039325
1739209717.8129032;-33.981070128970906
1739209717.8129072;-38.13080360867914
1739209717.8129113;-38.13080360867914
1739209717.812915;-45.120503652039325
1739209717.8129191;-45.120503652039325
1739209717.8129232;-38.13080360867914
1739209717.8129272;-38.13080360867914
1739209717.8129313;-45.120503652039325
1739209717.8129354;-45.120503652039325
1739209717.8129394;-45.120503652039325
1739209717.8129432;-45.120503652039325
1739209717.8129473;-38.13080360867914
1739209717.8129513;-38.13080360867914
1739209717.8129554;-45.120503652039325
1739209717.8129594;-45.120503652039325
1739209717.8129635;-38.13080360867914
1739209717.8129675;-35.57807855764607
1739209717.8129714;-38.13080360867914
1739209717.8129754;-45.120503652039325
1739209717.8129795;-45.120503652039325
1739209717.8129835;-38.13080360867914
1739209717.8129876;-38.13080360867914
1739209717.8129916;-32.816014438256545
1739209717.8129954;-35.57807855764607
1739209717.8129995;-38.13080360867914
1739209717.8130035;-45.120503652039325
1739209717.8130076;-38.13080360867914
1739209717.8130116;-33.981070128970906
1739209717.8130157;-38.13080360867914
1739209717.8130198;-38.13080360867914
1739209717.8130236;-45.120503652039325
1739209717.8130276;-38.13080360867914
1739209717.8130317;-38.13080360867914
1739209717.8130357;-45.120503652039325
1739209717.8130398;-45.120503652039325
1739209717.8130438;-45.120503652039325
1739209717.813048;-45.120503652039325
1739209717.8130517;-45.120503652039325
1739209717.8130558;-45.120503652039325
1739209717.8130598;-38.13080360867914
1739209717.8130639;-38.13080360867914
1739209717.813068;-45.120503652039325
1739209717.813072;-32.816014438256545
1739209717.813076;-45.120503652039325
1739209717.8130798;-38.13080360867914
1739209717.813084;-38.13080360867914
1739209717.813088;-32.816014438256545
1739209717.813092;-33.981070128970906
1739209717.813096;-45.120503652039325
1739209717.8131;-38.13080360867914
1739209717.8131042;-45.120503652039325
1739209717.813108;-38.13080360867914
1739209717.813112;-45.120503652039325
1739209717.813116;-45.120503652039325
1739209717.8131201;-38.13080360867914
1739209717.8131242;-45.120503652039325
1739209717.8131282;-38.13080360867914
1739209717.8131323;-38.13080360867914
1739209717.813136;-45.120503652039325
1739209717.8131402;-45.120503652039325
1739209717.8131442;-45.120503652039325
1739209717.8131483;-38.13080360867914
1739209717.8131523;-28.58837851428586
1739209717.8131564;-33.981070128970906
1739209717.8131604;-45.120503652039325
1739209717.8131642;-45.120503652039325
1739209717.8131683;-38.13080360867914
1739209717.8131723;-38.13080360867914
1739209717.8131764;-45.120503652039325
1739209717.8131804;-38.13080360867914
1739209717.8131845;-38.13080360867914
1739209717.8131886;-45.120503652039325
1739209717.8131924;-45.120503652039325
1739209717.8131964;-45.120503652039325
1739209717.8132005;-38.13080360867914
1739209717.8132045;-38.13080360867914
1739209717.8132086;-45.120503652039325
1739209717.8132126;-38.13080360867914
1739209717.8132164;-38.13080360867914
1739209717.8132205;-45.120503652039325
1739209717.8132246;-38.13080360867914
1739209717.8132286;-38.13080360867914
1739209717.8132327;-38.13080360867914
1739209717.8132367;-38.13080360867914
1739209717.8132408;-45.120503652039325
1739209717.8132446;-38.13080360867914
1739209717.8132486;-28.992665084841942
1739209717.8132527;-28.992665084841942
1739209717.8132567;-45.120503652039325
1739209717.8132608;-45.120503652039325
1739209717.8132648;-33.981070128970906
1739209717.813269;-33.981070128970906
1739209717.8132727;-45.120503652039325
1739209717.8132768;-33.981070128970906
1739209717.8132808;-38.13080360867914
1739209717.8132849;-32.816014438256545
1739209717.813289;-33.981070128970906
1739209717.813293;-35.57807855764607
1739209717.813297;-38.13080360867914
1739209717.8133008;-45.120503652039325
1739209717.813305;-45.120503652039325
1739209717.813309;-45.120503652039325
1739209717.813313;-33.981070128970906
1739209717.813317;-28.992665084841942
1739209717.813321;-45.120503652039325
1739209717.8133252;-38.13080360867914
1739209717.813329;-33.981070128970906
1739209717.813333;-35.57807855764607
1739209717.813337;-32.816014438256545
1739209717.8133411;-38.13080360867914
1739209717.8133452;-38.13080360867914
1739209717.8133492;-45.120503652039325
1739209717.8133533;-45.120503652039325
1739209717.813357;-38.13080360867914
1739209717.8133612;-38.13080360867914
1739209717.8133652;-45.120503652039325
1739209717.8133693;-45.120503652039325
1739209717.8133733;-38.13080360867914
1739209717.8133774;-35.57807855764607
1739209717.8133814;-45.120503652039325
1739209717.8133852;-45.120503652039325
1739209717.8133893;-45.120503652039325
1739209717.8133934;-35.57807855764607
1739209717.8133974;-45.120503652039325
1739209717.8134015;-45.120503652039325
1739209717.8134055;-38.13080360867914
1739209717.8134096;-38.13080360867914
1739209717.8134134;-33.981070128970906
1739209717.8134174;-45.120503652039325
1739209717.8134215;-38.13080360867914
1739209717.8134255;-38.13080360867914
1739209717.8134296;-32.816014438256545
1739209717.8134336;-38.13080360867914
1739209717.8134375;-38.13080360867914
1739209717.8134415;-35.57807855764607
1739209717.8134456;-38.13080360867914
1739209717.8134496;-45.120503652039325
1739209717.8134537;-45.120503652039325
1739209717.8134577;-38.13080360867914
1739209717.8134618;-38.13080360867914
1739209717.8134656;-45.120503652039325
1739209717.8134696;-45.120503652039325
1739209717.8134737;-35.57807855764607
1739209717.8134778;-38.13080360867914
1739209717.8134818;-45.120503652039325
1739209717.8134859;-33.981070128970906
