CAN Message; 0x1b8:0300f9d778877ebb
Timestamp;Amplitude
1739209729.5781693;-45.120503652039325
1739209729.5781734;-45.120503652039325
1739209729.5781777;-38.13080360867914
1739209729.5781817;-45.120503652039325
1739209729.578186;-38.13080360867914
1739209729.57819;-45.120503652039325
1739209729.5781944;-45.120503652039325
1739209729.5781984;-45.120503652039325
1739209729.5782027;-32.816014438256545
1739209729.5782068;-33.981070128970906
1739209729.578211;-45.120503652039325
1739209729.5782151;-45.120503652039325
1739209729.5782194;-45.120503652039325
1739209729.5782235;-45.120503652039325
1739209729.5782278;-45.120503652039325
1739209729.5782318;-45.120503652039325
1739209729.578236;-45.120503652039325
1739209729.5782402;-45.120503652039325
1739209729.5782444;-38.13080360867914
1739209729.5782485;-45.120503652039325
1739209729.5782528;-38.13080360867914
1739209729.5782568;-38.13080360867914
1739209729.5782611;-38.13080360867914
1739209729.5782652;-38.13080360867914
1739209729.5782695;-32.816014438256545
1739209729.5782735;-31.141103565318893
1739209729.5782778;-45.120503652039325
1739209729.5782819;-45.120503652039325
1739209729.5782862;-38.13080360867914
1739209729.5782902;-35.57807855764607
1739209729.5782945;-45.120503652039325
1739209729.5782986;-45.120503652039325
1739209729.5783029;-45.120503652039325
1739209729.578307;-38.13080360867914
1739209729.5783112;-38.13080360867914
1739209729.5783153;-45.120503652039325
1739209729.5783195;-45.120503652039325
1739209729.5783236;-45.120503652039325
1739209729.578328;-45.120503652039325
1739209729.578332;-45.120503652039325
1739209729.5783362;-45.120503652039325
1739209729.5783403;-38.13080360867914
1739209729.5783446;-38.13080360867914
1739209729.5783486;-45.120503652039325
1739209729.578353;-33.981070128970906
1739209729.578357;-35.57807855764607
1739209729.5783613;-38.13080360867914
1739209729.5783653;-35.57807855764607
1739209729.5783696;-38.13080360867914
1739209729.5783737;-38.13080360867914
1739209729.578378;-38.13080360867914
1739209729.578382;-35.57807855764607
1739209729.5783863;-45.120503652039325
1739209729.5783904;-45.120503652039325
1739209729.5783947;-45.120503652039325
1739209729.5783987;-33.981070128970906
1739209729.578403;-45.120503652039325
1739209729.578407;-45.120503652039325
1739209729.5784113;-38.13080360867914
1739209729.5784154;-45.120503652039325
1739209729.5784197;-45.120503652039325
1739209729.5784237;-38.13080360867914
1739209729.578428;-45.120503652039325
1739209729.578432;-38.13080360867914
1739209729.5784364;-35.57807855764607
1739209729.5784407;-29.438486411369333
1739209729.5784447;-33.981070128970906
1739209729.578449;-35.57807855764607
1739209729.578453;-45.120503652039325
1739209729.5784574;-38.13080360867914
1739209729.5784614;-38.13080360867914
1739209729.5784657;-33.981070128970906
1739209729.5784698;-45.120503652039325
1739209729.578474;-33.981070128970956
1739209729.578478;-38.13080360867914
1739209729.5784824;-32.816014438256545
1739209729.5784864;-45.120503652039325
1739209729.5784907;-45.120503652039325
1739209729.5784948;-45.120503652039325
1739209729.578499;-45.120503652039325
1739209729.5785031;-45.120503652039325
1739209729.5785074;-31.141103565318915
1739209729.5785115;-38.13080360867914
1739209729.5785158;-45.120503652039325
1739209729.5785198;-38.13080360867914
1739209729.578524;-38.13080360867914
1739209729.5785282;-45.120503652039325
