CAN Message; 0x1bb:0000f8090f41031c
Timestamp;Amplitude
1739209741.1795673;-45.120503652039325
1739209741.1795688;-38.13080360867914
1739209741.17957;-45.120503652039325
1739209741.1795712;-45.120503652039325
1739209741.1795726;-38.13080360867914
1739209741.1795738;-38.13080360867914
1739209741.1795752;-45.120503652039325
1739209741.1795764;-45.120503652039325
1739209741.1795776;-45.120503652039325
1739209741.179579;-45.120503652039325
1739209741.1795802;-45.120503652039325
1739209741.1795814;-45.120503652039325
1739209741.1795828;-38.13080360867914
1739209741.179584;-38.13080360867914
1739209741.1795852;-45.120503652039325
1739209741.1795866;-45.120503652039325
1739209741.1795878;-31.141103565318915
1739209741.1795893;-38.13080360867914
1739209741.1795905;-45.120503652039325
1739209741.1795917;-45.120503652039325
1739209741.179593;-45.120503652039325
1739209741.1795943;-38.13080360867914
1739209741.1795955;-45.120503652039325
1739209741.179597;-45.120503652039325
1739209741.179598;-45.120503652039325
1739209741.1795993;-45.120503652039325
1739209741.1796007;-45.120503652039325
1739209741.179602;-38.13080360867914
1739209741.179603;-45.120503652039325
1739209741.1796045;-38.13080360867914
1739209741.1796057;-38.13080360867914
1739209741.1796072;-38.13080360867914
1739209741.1796083;-32.816014438256545
1739209741.1796095;-35.57807855764607
1739209741.179611;-45.120503652039325
1739209741.1796122;-45.120503652039325
1739209741.1796134;-35.57807855764607
1739209741.1796148;-38.13080360867914
1739209741.179616;-45.120503652039325
1739209741.1796172;-45.120503652039325
1739209741.1796186;-45.120503652039325
1739209741.1796198;-45.120503652039325
1739209741.1796212;-45.120503652039325
1739209741.1796224;-45.120503652039325
1739209741.1796236;-45.120503652039325
1739209741.179625;-45.120503652039325
1739209741.1796262;-45.120503652039325
1739209741.1796274;-38.13080360867914
1739209741.1796288;-29.438486411369333
1739209741.17963;-27.8777449560314
1739209741.1796312;-45.120503652039325
1739209741.1796327;-45.120503652039325
1739209741.1796339;-38.13080360867914
1739209741.1796353;-38.13080360867914
1739209741.1796365;-45.120503652039325
1739209741.1796377;-35.57807855764607
1739209741.179639;-45.120503652039325
1739209741.1796403;-35.57807855764607
1739209741.1796415;-38.13080360867914
1739209741.179643;-38.13080360867914
1739209741.179644;-45.120503652039325
1739209741.1796453;-45.120503652039325
1739209741.1796467;-38.13080360867914
1739209741.179648;-45.120503652039325
1739209741.179649;-35.57807855764607
1739209741.1796505;-31.141103565318893
1739209741.1796517;-38.13080360867914
1739209741.1796532;-32.816014438256545
1739209741.1796544;-33.981070128970906
1739209741.1796556;-38.13080360867914
1739209741.179657;-33.981070128970906
1739209741.1796582;-32.816014438256545
1739209741.1796594;-45.120503652039325
1739209741.1796608;-38.13080360867914
1739209741.179662;-33.981070128970906
1739209741.1796632;-35.57807855764607
1739209741.1796646;-38.13080360867914
1739209741.1796658;-45.120503652039325
1739209741.1796672;-45.120503652039325
1739209741.1796684;-38.13080360867914
1739209741.1796696;-45.120503652039325
1739209741.179671;-45.120503652039325
1739209741.1796722;-33.981070128970906
1739209741.1796734;-38.13080360867914
1739209741.1796749;-45.120503652039325
1739209741.179676;-45.120503652039325
1739209741.1796772;-38.13080360867914
1739209741.1796787;-33.981070128970906
1739209741.1796799;-35.57807855764607
1739209741.1796813;-31.141103565318893
1739209741.1796825;-45.120503652039325
1739209741.1796837;-45.120503652039325
1739209741.179685;-38.13080360867914
1739209741.1796863;-35.57807855764607
1739209741.1796875;-45.120503652039325
1739209741.179689;-45.120503652039325
1739209741.1796901;-33.981070128970906
1739209741.1796913;-45.120503652039325
1739209741.1796927;-38.13080360867914
1739209741.179694;-45.120503652039325
1739209741.1796951;-33.981070128970906
1739209741.1796966;-33.981070128970906
1739209741.1796978;-38.13080360867914
1739209741.1796992;-38.13080360867914
1739209741.1797004;-45.120503652039325
1739209741.1797016;-38.13080360867914
1739209741.179703;-45.120503652039325
1739209741.1797042;-45.120503652039325
1739209741.1797054;-38.13080360867914
1739209741.1797068;-38.13080360867914
1739209741.179708;-38.13080360867914
1739209741.1797092;-45.120503652039325
1739209741.1797106;-38.13080360867914
1739209741.1797118;-45.120503652039325
1739209741.1797132;-45.120503652039325
1739209741.1797144;-38.13080360867914
1739209741.1797156;-38.13080360867914
1739209741.179717;-35.57807855764607
1739209741.1797183;-38.13080360867914
1739209741.1797194;-38.13080360867914
1739209741.1797209;-35.57807855764607
1739209741.179722;-45.120503652039325
1739209741.1797233;-38.13080360867914
1739209741.1797247;-38.13080360867914
1739209741.179726;-45.120503652039325
1739209741.1797273;-45.120503652039325
1739209741.1797285;-45.120503652039325
1739209741.1797297;-38.13080360867914
1739209741.1797311;-38.13080360867914
1739209741.1797323;-38.13080360867914
1739209741.1797335;-33.981070128970906
1739209741.179735;-38.13080360867914
1739209741.1797361;-45.120503652039325
1739209741.1797373;-33.981070128970906
1739209741.1797388;-38.13080360867914
1739209741.17974;-45.120503652039325
1739209741.1797414;-45.120503652039325
1739209741.1797426;-33.981070128970906
1739209741.1797438;-38.13080360867914
1739209741.1797452;-45.120503652039325
1739209741.1797464;-45.120503652039325
1739209741.1797476;-38.13080360867914
1739209741.179749;-38.13080360867914
1739209741.1797502;-45.120503652039325
1739209741.1797514;-45.120503652039325
1739209741.1797528;-45.120503652039325
1739209741.179754;-38.13080360867914
1739209741.1797552;-45.120503652039325
1739209741.1797566;-45.120503652039325
1739209741.1797578;-38.13080360867914
1739209741.1797593;-31.141103565318915
1739209741.1797605;-33.981070128970906
1739209741.1797616;-45.120503652039325
1739209741.179763;-45.120503652039325
1739209741.1797643;-31.141103565318915
1739209741.1797655;-38.13080360867914
1739209741.179767;-38.13080360867914
1739209741.179768;-45.120503652039325
1739209741.1797693;-35.57807855764607
1739209741.1797707;-35.57807855764607
1739209741.179772;-38.13080360867914
1739209741.1797733;-45.120503652039325
1739209741.1797745;-38.13080360867914
1739209741.1797757;-38.13080360867914
1739209741.1797771;-45.120503652039325
1739209741.1797783;-45.120503652039325
1739209741.1797795;-45.120503652039325
1739209741.179781;-35.57807855764607
1739209741.1797822;-38.13080360867914
1739209741.1797833;-45.120503652039325
1739209741.1797848;-27.267205301931607
1739209741.179786;-35.57807855764607
1739209741.1797874;-38.13080360867914
1739209741.1797886;-38.13080360867914
1739209741.1797898;-38.13080360867914
1739209741.1797912;-38.13080360867914
1739209741.1797924;-38.13080360867914
1739209741.1797936;-38.13080360867914
1739209741.179795;-32.81601443825658
1739209741.1797962;-45.120503652039325
1739209741.1797974;-33.981070128970906
1739209741.1797988;-38.13080360867914
1739209741.1798;-35.57807855764607
1739209741.1798012;-45.120503652039325
1739209741.1798027;-45.120503652039325
1739209741.1798038;-33.981070128970906
1739209741.1798053;-29.438486411369333
1739209741.1798065;-38.13080360867914
1739209741.1798077;-45.120503652039325
1739209741.179809;-38.13080360867914
1739209741.1798103;-35.57807855764607
