CAN Message; 0x150:0300f552ca5c2348
Timestamp;Amplitude
1739209761.1834593;-45.120503652039325
1739209761.1834738;-45.120503652039325
1739209761.1834884;-45.120503652039325
1739209761.1835032;-35.57807855764607
1739209761.1835177;-38.13080360867914
1739209761.1835322;-38.13080360867914
1739209761.1835468;-35.57807855764607
1739209761.1835613;-38.13080360867914
1739209761.1835759;-32.816014438256545
1739209761.1835904;-38.13080360867914
1739209761.1836052;-35.57807855764607
1739209761.1836197;-38.13080360867914
1739209761.1836343;-45.120503652039325
1739209761.1836488;-38.13080360867914
1739209761.1836634;-45.120503652039325
1739209761.183678;-38.13080360867914
1739209761.1836925;-35.57807855764607
1739209761.1837072;-45.120503652039325
1739209761.1837218;-35.57807855764607
1739209761.1837363;-45.120503652039325
1739209761.1837509;-45.120503652039325
1739209761.1837654;-38.13080360867914
1739209761.18378;-35.57807855764607
1739209761.1837945;-38.13080360867914
1739209761.183809;-28.21854285175415
1739209761.1838238;-35.57807855764607
1739209761.1838384;-45.120503652039325
1739209761.183853;-45.120503652039325
1739209761.1838675;-35.57807855764607
1739209761.183882;-38.13080360867914
1739209761.1838965;-35.57807855764607
1739209761.183911;-45.120503652039325
1739209761.1839259;-45.120503652039325
1739209761.1839404;-35.57807855764607
1739209761.183955;-38.13080360867914
1739209761.1839695;-45.120503652039325
1739209761.183984;-38.13080360867914
1739209761.1839986;-38.13080360867914
1739209761.1840131;-45.120503652039325
1739209761.184028;-38.13080360867914
1739209761.1840425;-38.13080360867914
1739209761.184057;-45.120503652039325
1739209761.1840715;-45.120503652039325
1739209761.184086;-45.120503652039325
1739209761.1841006;-38.13080360867914
1739209761.1841152;-35.57807855764607
1739209761.18413;-35.57807855764607
1739209761.1841445;-38.13080360867914
1739209761.184159;-32.816014438256545
1739209761.1841736;-35.57807855764607
1739209761.1841881;-45.120503652039325
1739209761.1842027;-45.120503652039325
1739209761.1842172;-38.13080360867914
1739209761.184232;-38.13080360867914
