CAN Message; 0x1a7:00001b0c22d0b5b9
Timestamp;Amplitude
1739209781.1916406;-38.13080360867914
1739209781.191647;-45.120503652039325
1739209781.1916533;-33.981070128970906
1739209781.1916597;-38.13080360867914
1739209781.191666;-38.13080360867914
1739209781.191672;-30.49652367304973
1739209781.1916785;-45.120503652039325
1739209781.1916847;-45.120503652039325
1739209781.1916912;-45.120503652039325
1739209781.1916974;-32.816014438256545
1739209781.1917038;-33.981070128970906
1739209781.19171;-45.120503652039325
1739209781.1917162;-45.120503652039325
1739209781.1917226;-38.13080360867914
1739209781.1917288;-38.13080360867914
1739209781.1917353;-45.120503652039325
1739209781.1917415;-45.120503652039325
1739209781.1917477;-45.120503652039325
1739209781.191754;-45.120503652039325
1739209781.1917603;-38.13080360867914
1739209781.1917667;-45.120503652039325
1739209781.191773;-45.120503652039325
1739209781.1917794;-35.57807855764607
1739209781.1917856;-45.120503652039325
1739209781.1917918;-45.120503652039325
1739209781.1917982;-38.13080360867914
1739209781.1918044;-45.120503652039325
1739209781.1918108;-45.120503652039325
1739209781.191817;-45.120503652039325
1739209781.1918232;-28.58837851428586
1739209781.1918297;-38.13080360867914
1739209781.1918359;-45.120503652039325
1739209781.1918423;-38.13080360867914
1739209781.1918485;-35.57807855764607
1739209781.1918547;-38.13080360867914
1739209781.1918612;-38.13080360867914
1739209781.1918674;-45.120503652039325
1739209781.1918738;-38.13080360867914
1739209781.19188;-45.120503652039325
1739209781.1918864;-45.120503652039325
1739209781.1918926;-45.120503652039325
1739209781.1918988;-38.13080360867914
1739209781.1919053;-45.120503652039325
1739209781.1919115;-35.57807855764607
1739209781.191918;-38.13080360867914
1739209781.191924;-45.120503652039325
1739209781.1919303;-45.120503652039325
1739209781.1919367;-45.120503652039325
1739209781.191943;-45.120503652039325
1739209781.1919494;-45.120503652039325
1739209781.1919556;-38.13080360867914
1739209781.191962;-38.13080360867914
1739209781.1919682;-45.120503652039325
1739209781.1919744;-29.438486411369333
1739209781.1919808;-33.981070128970906
