CAN Message; 0x98:00001d690a3a623d
Timestamp;Amplitude
1739209781.8504622;-35.57807855764607
1739209781.8504665;-38.13080360867914
1739209781.8504705;-35.57807855764607
1739209781.8504748;-31.141103565318915
1739209781.8504791;-35.57807855764607
1739209781.8504834;-45.120503652039325
1739209781.8504877;-31.14110356531892
1739209781.850492;-38.13080360867914
1739209781.850496;-38.13080360867914
1739209781.8505003;-45.120503652039325
1739209781.8505046;-45.120503652039325
1739209781.850509;-38.13080360867914
1739209781.8505132;-38.13080360867914
1739209781.8505175;-45.120503652039325
1739209781.8505216;-31.141103565318915
1739209781.8505259;-33.981070128970906
1739209781.8505301;-45.120503652039325
1739209781.8505344;-38.13080360867914
1739209781.8505387;-38.13080360867914
1739209781.850543;-35.57807855764607
1739209781.850547;-38.13080360867914
1739209781.8505514;-33.981070128970906
1739209781.8505557;-38.13080360867914
1739209781.85056;-33.981070128970906
1739209781.8505642;-38.13080360867914
1739209781.8505685;-45.120503652039325
1739209781.8505726;-38.13080360867914
1739209781.8505769;-38.13080360867914
1739209781.8505812;-45.120503652039325
1739209781.8505855;-38.13080360867914
1739209781.8505898;-38.13080360867914
1739209781.850594;-38.13080360867914
1739209781.850598;-45.120503652039325
1739209781.8506024;-38.13080360867914
1739209781.8506067;-45.120503652039325
1739209781.850611;-45.120503652039325
1739209781.8506153;-45.120503652039325
1739209781.8506196;-45.120503652039325
1739209781.8506236;-38.13080360867914
1739209781.850628;-38.13080360867914
1739209781.8506322;-45.120503652039325
1739209781.8506365;-45.120503652039325
1739209781.8506408;-45.120503652039325
1739209781.850645;-45.120503652039325
1739209781.850649;-45.120503652039325
1739209781.8506534;-45.120503652039325
1739209781.8506577;-38.13080360867914
1739209781.850662;-38.13080360867914
1739209781.8506663;-45.120503652039325
1739209781.8506706;-33.981070128970906
1739209781.8506746;-38.13080360867914
1739209781.850679;-33.981070128970906
1739209781.8506832;-38.13080360867914
1739209781.8506875;-38.13080360867914
1739209781.8506918;-32.816014438256545
1739209781.850696;-45.120503652039325
1739209781.8507001;-45.120503652039325
1739209781.8507044;-45.120503652039325
1739209781.8507087;-45.120503652039325
1739209781.850713;-45.120503652039325
1739209781.8507173;-45.120503652039325
1739209781.8507216;-38.13080360867914
1739209781.8507257;-38.13080360867914
1739209781.85073;-30.49652367304973
1739209781.8507342;-38.13080360867914
1739209781.8507385;-38.13080360867914
1739209781.8507428;-35.57807855764607
1739209781.850747;-38.13080360867914
1739209781.8507512;-38.13080360867914
1739209781.8507555;-45.120503652039325
1739209781.8507597;-45.120503652039325
1739209781.850764;-45.120503652039325
1739209781.8507683;-45.120503652039325
1739209781.8507724;-38.13080360867914
1739209781.8507767;-38.13080360867914
1739209781.850781;-45.120503652039325
1739209781.8507853;-38.13080360867914
1739209781.8507895;-45.120503652039325
1739209781.8507938;-38.13080360867914
1739209781.850798;-38.13080360867914
1739209781.8508022;-38.13080360867914
1739209781.8508065;-45.120503652039325
1739209781.8508108;-45.120503652039325
1739209781.850815;-33.981070128970906
1739209781.8508193;-38.13080360867914
1739209781.8508234;-45.120503652039325
1739209781.8508277;-45.120503652039325
1739209781.850832;-30.49652367304973
1739209781.8508363;-31.141103565318893
1739209781.8508406;-45.120503652039325
1739209781.8508449;-45.120503652039325
1739209781.850849;-38.13080360867914
1739209781.8508532;-38.13080360867914
1739209781.8508575;-38.13080360867914
1739209781.8508618;-38.13080360867914
1739209781.850866;-38.13080360867914
1739209781.8508704;-45.120503652039325
1739209781.8508744;-45.120503652039325
1739209781.8508787;-45.120503652039325
1739209781.850883;-45.120503652039325
1739209781.8508873;-38.13080360867914
1739209781.8508916;-38.13080360867914
1739209781.850896;-45.120503652039325
1739209781.8509;-28.58837851428586
1739209781.8509042;-32.816014438256545
1739209781.8509085;-45.120503652039325
1739209781.8509128;-45.120503652039325
1739209781.850917;-35.57807855764607
1739209781.8509214;-35.57807855764607
1739209781.8509254;-45.120503652039325
1739209781.8509297;-45.120503652039325
1739209781.850934;-45.120503652039325
1739209781.8509383;-45.120503652039325
1739209781.8509426;-38.13080360867914
1739209781.850947;-45.120503652039325
1739209781.850951;-38.13080360867914
1739209781.8509552;-45.120503652039325
1739209781.8509595;-45.120503652039325
1739209781.8509638;-45.120503652039325
1739209781.8509681;-45.120503652039325
1739209781.8509724;-45.120503652039325
1739209781.8509765;-38.13080360867914
1739209781.8509808;-45.120503652039325
1739209781.850985;-45.120503652039325
1739209781.8509893;-45.120503652039325
1739209781.8509936;-38.13080360867914
1739209781.850998;-45.120503652039325
1739209781.851002;-31.141103565318893
1739209781.8510063;-29.438486411369333
1739209781.8510106;-45.120503652039325
1739209781.8510149;-45.120503652039325
1739209781.8510191;-35.57807855764607
1739209781.8510234;-38.13080360867914
1739209781.8510275;-45.120503652039325
1739209781.8510318;-38.13080360867914
1739209781.851036;-45.120503652039325
1739209781.8510404;-38.13080360867914
1739209781.8510447;-35.57807855764607
1739209781.851049;-45.120503652039325
1739209781.851053;-45.120503652039325
1739209781.8510573;-45.120503652039325
1739209781.8510616;-45.120503652039325
1739209781.8510659;-45.120503652039325
1739209781.8510702;-35.57807855764607
1739209781.8510745;-35.57807855764607
1739209781.8510785;-45.120503652039325
1739209781.8510828;-38.13080360867914
1739209781.851087;-38.13080360867914
1739209781.8510914;-38.13080360867914
1739209781.8510957;-31.141103565318915
1739209781.8510997;-45.120503652039325
1739209781.851104;-45.120503652039325
1739209781.8511083;-45.120503652039325
1739209781.8511126;-38.13080360867914
1739209781.851117;-38.13080360867914
1739209781.8511212;-38.13080360867914
1739209781.8511252;-38.13080360867914
1739209781.8511295;-45.120503652039325
1739209781.8511338;-45.120503652039325
1739209781.851138;-45.120503652039325
1739209781.8511424;-45.120503652039325
1739209781.8511467;-45.120503652039325
1739209781.8511508;-38.13080360867914
1739209781.851155;-38.13080360867914
1739209781.8511593;-38.13080360867914
1739209781.8511636;-38.13080360867914
1739209781.851168;-38.13080360867914
1739209781.8511722;-38.13080360867914
1739209781.8511763;-31.141103565318893
1739209781.8511806;-45.120503652039325
1739209781.8511848;-38.13080360867914
1739209781.8511891;-38.13080360867914
1739209781.8511934;-35.57807855764607
1739209781.8511977;-45.120503652039325
1739209781.8512018;-45.120503652039325
1739209781.851206;-38.13080360867914
1739209781.8512104;-45.120503652039325
1739209781.8512146;-45.120503652039325
1739209781.851219;-45.120503652039325
1739209781.8512232;-45.120503652039325
1739209781.8512273;-33.981070128970906
1739209781.8512316;-45.120503652039325
1739209781.8512359;-45.120503652039325
1739209781.8512402;-38.13080360867914
1739209781.8512444;-38.13080360867914
1739209781.8512487;-38.13080360867914
1739209781.8512528;-38.13080360867914
1739209781.851257;-45.120503652039325
1739209781.8512614;-45.120503652039325
1739209781.8512657;-45.120503652039325
1739209781.85127;-45.120503652039325
1739209781.8512743;-45.120503652039325
1739209781.8512783;-38.13080360867914
1739209781.8512826;-33.981070128970906
1739209781.851287;-38.13080360867914
1739209781.8512912;-38.13080360867914
1739209781.8512955;-32.816014438256545
1739209781.8512998;-38.13080360867914
1739209781.8513038;-38.13080360867914
1739209781.851308;-45.120503652039325
1739209781.8513124;-38.13080360867914
1739209781.8513167;-33.981070128970906
1739209781.851321;-45.120503652039325
1739209781.8513253;-45.120503652039325
1739209781.8513293;-45.120503652039325
1739209781.8513336;-38.13080360867914
1739209781.851338;-45.120503652039325
1739209781.8513422;-45.120503652039325
1739209781.8513465;-45.120503652039325
1739209781.8513508;-45.120503652039325
1739209781.8513548;-45.120503652039325
1739209781.8513591;-45.120503652039325
1739209781.8513634;-38.13080360867914
1739209781.8513677;-38.13080360867914
1739209781.851372;-38.13080360867914
1739209781.8513763;-38.13080360867914
1739209781.8513803;-38.13080360867914
1739209781.8513846;-38.13080360867914
1739209781.851389;-45.120503652039325
1739209781.8513932;-38.13080360867914
1739209781.8513975;-38.13080360867914
1739209781.8514016;-38.13080360867914
1739209781.8514059;-45.120503652039325
1739209781.8514102;-38.13080360867914
1739209781.8514144;-33.981070128970906
1739209781.8514187;-31.14110356531892
1739209781.851423;-45.120503652039325
1739209781.851427;-38.13080360867914
1739209781.8514314;-35.57807855764607
1739209781.8514357;-45.120503652039325
1739209781.85144;-45.120503652039325
1739209781.8514442;-38.13080360867914
1739209781.8514485;-38.13080360867914
1739209781.8514526;-31.141103565318915
1739209781.8514569;-45.120503652039325
1739209781.8514612;-45.120503652039325
1739209781.8514655;-38.13080360867914
1739209781.8514698;-38.13080360867914
1739209781.851474;-45.120503652039325
1739209781.851478;-45.120503652039325
1739209781.8514824;-38.13080360867914
1739209781.8514867;-32.81601443825658
1739209781.851491;-45.120503652039325
1739209781.8514953;-38.13080360867914
1739209781.8514996;-38.13080360867914
1739209781.8515036;-45.120503652039325
1739209781.851508;-38.13080360867914
1739209781.8515122;-38.13080360867914
1739209781.8515165;-35.57807855764607
1739209781.8515208;-32.816014438256545
1739209781.851525;-33.981070128970906
1739209781.8515291;-38.13080360867914
