CAN Message; 0x77:f9203e6fb7a44f79
Timestamp;Amplitude
1739209789.9320898;-35.57807855764607
1739209789.9320936;-45.120503652039325
1739209789.9320974;-45.120503652039325
1739209789.9321012;-38.13080360867914
1739209789.932105;-45.120503652039325
1739209789.9321089;-38.13080360867914
1739209789.9321127;-33.981070128970906
1739209789.9321165;-33.981070128970906
1739209789.9321203;-45.120503652039325
1739209789.9321241;-35.57807855764607
1739209789.932128;-38.13080360867914
1739209789.9321318;-45.120503652039325
1739209789.9321356;-38.13080360867914
1739209789.9321394;-45.120503652039325
1739209789.9321432;-38.13080360867914
1739209789.932147;-38.13080360867914
1739209789.9321508;-38.13080360867914
1739209789.9321547;-38.13080360867914
1739209789.9321585;-35.57807855764607
1739209789.9321623;-45.120503652039325
1739209789.932166;-45.120503652039325
1739209789.93217;-32.816014438256545
1739209789.9321737;-31.141103565318915
1739209789.9321775;-32.816014438256545
1739209789.9321814;-38.13080360867914
1739209789.9321852;-33.981070128970906
1739209789.932189;-38.13080360867914
1739209789.9321928;-35.57807855764607
1739209789.9321966;-38.13080360867914
1739209789.9322004;-45.120503652039325
1739209789.9322042;-30.49652367304973
1739209789.932208;-28.992665084841942
1739209789.9322119;-45.120503652039325
1739209789.9322157;-38.13080360867914
1739209789.9322195;-45.120503652039325
1739209789.9322233;-45.120503652039325
1739209789.9322271;-45.120503652039325
1739209789.932231;-45.120503652039325
1739209789.9322348;-38.13080360867914
1739209789.9322386;-45.120503652039325
1739209789.9322424;-45.120503652039325
1739209789.9322462;-45.120503652039325
1739209789.93225;-38.13080360867914
1739209789.9322538;-38.13080360867914
1739209789.9322577;-45.120503652039325
1739209789.9322615;-38.13080360867914
1739209789.9322653;-35.57807855764607
1739209789.932269;-38.13080360867914
1739209789.932273;-38.13080360867914
1739209789.9322767;-45.120503652039325
1739209789.9322805;-45.120503652039325
1739209789.9322844;-38.13080360867914
1739209789.9322882;-38.13080360867914
1739209789.932292;-45.120503652039325
1739209789.9322958;-38.13080360867914
1739209789.9322996;-33.981070128970906
1739209789.9323032;-45.120503652039325
1739209789.932307;-45.120503652039325
1739209789.9323108;-38.13080360867914
1739209789.9323146;-45.120503652039325
1739209789.9323184;-38.13080360867914
1739209789.9323223;-45.120503652039325
1739209789.932326;-45.120503652039325
1739209789.93233;-38.13080360867914
1739209789.9323337;-38.13080360867914
1739209789.9323375;-45.120503652039325
1739209789.9323413;-38.13080360867914
1739209789.9323452;-38.13080360867914
1739209789.932349;-45.120503652039325
1739209789.9323528;-35.57807855764607
1739209789.9323566;-45.120503652039325
1739209789.9323604;-38.13080360867914
1739209789.9323642;-35.57807855764607
1739209789.932368;-38.13080360867914
1739209789.9323719;-45.120503652039325
1739209789.9323757;-38.13080360867914
1739209789.9323795;-33.981070128970906
1739209789.9323833;-45.120503652039325
1739209789.932387;-38.13080360867914
1739209789.932391;-45.120503652039325
1739209789.9323947;-45.120503652039325
1739209789.9323986;-32.816014438256545
1739209789.9324024;-38.13080360867914
1739209789.9324062;-45.120503652039325
1739209789.93241;-45.120503652039325
1739209789.9324138;-35.57807855764607
1739209789.9324176;-38.13080360867914
1739209789.9324214;-45.120503652039325
1739209789.9324253;-38.13080360867914
1739209789.932429;-45.120503652039325
1739209789.932433;-38.13080360867914
1739209789.9324367;-30.49652367304973
1739209789.9324405;-38.13080360867914
1739209789.9324443;-38.13080360867914
1739209789.9324481;-45.120503652039325
1739209789.932452;-26.991370085610736
1739209789.9324558;-27.8777449560314
1739209789.9324596;-45.120503652039325
1739209789.9324634;-38.13080360867914
1739209789.9324672;-38.13080360867914
1739209789.932471;-35.57807855764607
1739209789.9324749;-45.120503652039325
1739209789.9324787;-35.57807855764607
1739209789.9324825;-38.13080360867914
1739209789.9324863;-45.120503652039325
1739209789.93249;-38.13080360867914
1739209789.932494;-45.120503652039325
1739209789.9324977;-45.120503652039325
1739209789.9325016;-45.120503652039325
1739209789.9325054;-38.13080360867914
1739209789.9325092;-45.120503652039325
1739209789.932513;-31.141103565318893
1739209789.9325168;-28.992665084841942
1739209789.9325206;-45.120503652039325
1739209789.9325244;-45.120503652039325
1739209789.9325283;-45.120503652039325
1739209789.932532;-45.120503652039325
1739209789.932536;-45.120503652039325
1739209789.9325397;-38.13080360867914
1739209789.9325435;-45.120503652039325
1739209789.9325473;-45.120503652039325
1739209789.9325511;-45.120503652039325
1739209789.932555;-38.13080360867914
1739209789.9325588;-45.120503652039325
1739209789.9325626;-45.120503652039325
1739209789.9325664;-35.57807855764607
1739209789.9325702;-35.57807855764607
1739209789.932574;-45.120503652039325
1739209789.9325778;-45.120503652039325
1739209789.9325817;-45.120503652039325
1739209789.9325855;-45.120503652039325
1739209789.9325893;-45.120503652039325
1739209789.932593;-45.120503652039325
1739209789.932597;-35.57807855764607
1739209789.9326007;-45.120503652039325
1739209789.9326046;-32.816014438256545
1739209789.9326084;-28.58837851428586
1739209789.9326122;-45.120503652039325
1739209789.932616;-45.120503652039325
1739209789.9326198;-38.13080360867914
1739209789.9326236;-38.13080360867914
1739209789.9326274;-38.13080360867914
1739209789.9326313;-33.981070128970906
1739209789.932635;-45.120503652039325
1739209789.932639;-45.120503652039325
1739209789.9326427;-38.13080360867914
1739209789.9326465;-38.13080360867914
1739209789.9326503;-38.13080360867914
1739209789.9326541;-33.981070128970906
1739209789.932658;-35.57807855764607
1739209789.9326618;-45.120503652039325
1739209789.9326656;-38.13080360867914
1739209789.9326694;-38.13080360867914
1739209789.9326732;-35.57807855764607
1739209789.932677;-38.13080360867914
1739209789.9326808;-38.13080360867914
1739209789.9326847;-38.13080360867914
1739209789.9326885;-35.57807855764607
1739209789.9326923;-38.13080360867914
1739209789.932696;-45.120503652039325
1739209789.9327;-45.120503652039325
1739209789.9327037;-45.120503652039325
1739209789.9327075;-45.120503652039325
1739209789.9327114;-45.120503652039325
1739209789.9327152;-45.120503652039325
1739209789.932719;-38.13080360867914
1739209789.9327228;-45.120503652039325
1739209789.9327266;-45.120503652039325
1739209789.9327304;-45.120503652039325
1739209789.9327343;-45.120503652039325
1739209789.9327378;-45.120503652039325
1739209789.9327416;-38.13080360867914
1739209789.9327455;-45.120503652039325
1739209789.9327493;-38.13080360867914
1739209789.932753;-38.13080360867914
1739209789.932757;-38.13080360867914
1739209789.9327607;-33.981070128970906
1739209789.9327645;-45.120503652039325
1739209789.9327683;-38.13080360867914
1739209789.9327722;-45.120503652039325
1739209789.932776;-38.13080360867914
1739209789.9327798;-35.57807855764607
1739209789.9327836;-38.13080360867914
1739209789.9327874;-45.120503652039325
1739209789.9327912;-45.120503652039325
1739209789.932795;-45.120503652039325
1739209789.9327989;-45.120503652039325
1739209789.9328027;-45.120503652039325
1739209789.9328065;-38.13080360867914
1739209789.9328103;-38.13080360867914
1739209789.9328141;-38.13080360867914
1739209789.932818;-33.981070128970906
1739209789.9328218;-38.13080360867914
1739209789.9328256;-45.120503652039325
1739209789.9328294;-38.13080360867914
1739209789.9328332;-35.57807855764607
1739209789.932837;-35.57807855764607
1739209789.9328408;-45.120503652039325
1739209789.9328446;-38.13080360867914
1739209789.9328485;-35.57807855764607
1739209789.9328523;-35.57807855764607
1739209789.932856;-38.13080360867914
1739209789.93286;-45.120503652039325
1739209789.9328637;-45.120503652039325
1739209789.9328675;-38.13080360867914
1739209789.9328713;-45.120503652039325
1739209789.9328752;-45.120503652039325
1739209789.932879;-32.816014438256545
1739209789.9328828;-38.13080360867914
1739209789.9328866;-45.120503652039325
1739209789.9328904;-45.120503652039325
1739209789.9328942;-45.120503652039325
1739209789.932898;-38.13080360867914
1739209789.9329019;-45.120503652039325
1739209789.928313;-45.120503652039325
1739209789.9283168;-45.120503652039325
1739209789.9283204;-38.13080360867914
1739209789.9283242;-35.57807855764607
1739209789.9283278;-38.13080360867914
1739209789.9283316;-33.981070128970906
1739209789.9283352;-45.120503652039325
1739209789.928339;-45.120503652039325
1739209789.9283426;-38.13080360867914
1739209789.9283464;-38.13080360867914
1739209789.92835;-45.120503652039325
1739209789.9283538;-45.120503652039325
1739209789.9283574;-38.13080360867914
1739209789.9283612;-38.13080360867914
1739209789.9283648;-33.981070128970906
1739209789.9283686;-38.13080360867914
1739209789.9283721;-38.13080360867914
1739209789.9283757;-45.120503652039325
1739209789.9283795;-38.13080360867914
1739209789.928383;-35.57807855764607
1739209789.928387;-38.13080360867914
1739209789.9283905;-38.13080360867914
1739209789.9283943;-38.13080360867914
1739209789.928398;-38.13080360867914
1739209789.9284017;-38.13080360867914
1739209789.9284053;-45.120503652039325
1739209789.928409;-38.13080360867914
1739209789.9284127;-38.13080360867914
1739209789.9284165;-38.13080360867914
1739209789.92842;-33.981070128970906
1739209789.928424;-38.13080360867914
1739209789.9284275;-38.13080360867914
1739209789.928431;-45.120503652039325
1739209789.9284348;-45.120503652039325
1739209789.9284384;-38.13080360867914
1739209789.9284422;-38.13080360867914
1739209789.9284458;-38.13080360867914
1739209789.9284496;-38.13080360867914
1739209789.9284532;-27.267205301931607
1739209789.928457;-33.981070128970906
1739209789.9284606;-38.13080360867914
1739209789.9284644;-38.13080360867914
1739209789.928468;-33.981070128970906
1739209789.9284718;-38.13080360867914
1739209789.9284754;-45.120503652039325
1739209789.9284792;-45.120503652039325
1739209789.9284828;-33.981070128970906
1739209789.9284863;-45.120503652039325
1739209789.9284902;-45.120503652039325
1739209789.9284937;-45.120503652039325
1739209789.9284976;-38.13080360867914
1739209789.9285011;-33.981070128970906
1739209789.928505;-45.120503652039325
1739209789.9285085;-38.13080360867914
1739209789.9285123;-31.141103565318915
1739209789.928516;-38.13080360867914
1739209789.9285197;-45.120503652039325
1739209789.9285233;-45.120503652039325
1739209789.928527;-38.13080360867914
1739209789.9285307;-45.120503652039325
1739209789.9285345;-38.13080360867914
1739209789.928538;-38.13080360867914
1739209789.928542;-38.13080360867914
1739209789.9285455;-45.120503652039325
1739209789.928549;-38.13080360867914
1739209789.9285529;-45.120503652039325
1739209789.9285564;-45.120503652039325
1739209789.9285603;-38.13080360867914
1739209789.9285638;-45.120503652039325
1739209789.9285676;-33.981070128970906
1739209789.9285712;-33.981070128970906
1739209789.928575;-31.141103565318915
1739209789.9285786;-38.13080360867914
1739209789.9285824;-45.120503652039325
1739209789.928586;-38.13080360867914
1739209789.9285898;-45.120503652039325
1739209789.9285934;-38.13080360867914
1739209789.9285972;-45.120503652039325
1739209789.9286008;-33.981070128970906
1739209789.9286046;-33.981070128970906
1739209789.9286082;-38.13080360867914
1739209789.9286118;-45.120503652039325
1739209789.9286156;-38.13080360867914
1739209789.9286191;-31.141103565318915
1739209789.928623;-38.13080360867914
1739209789.9286265;-45.120503652039325
1739209789.9286304;-33.981070128970906
1739209789.928634;-33.981070128970906
1739209789.9286377;-38.13080360867914
1739209789.9286413;-45.120503652039325
1739209789.9286451;-45.120503652039325
1739209789.9286487;-32.816014438256545
1739209789.9286525;-38.13080360867914
1739209789.928656;-45.120503652039325
1739209789.92866;-32.816014438256545
1739209789.9286635;-33.981070128970906
1739209789.928667;-45.120503652039325
1739209789.928671;-45.120503652039325
1739209789.9286745;-38.13080360867914
1739209789.9286783;-45.120503652039325
1739209789.9286819;-45.120503652039325
1739209789.9286857;-45.120503652039325
1739209789.9286892;-38.13080360867914
1739209789.928693;-38.13080360867914
1739209789.9286966;-45.120503652039325
1739209789.9287004;-45.120503652039325
1739209789.928704;-45.120503652039325
1739209789.9287078;-32.816014438256545
1739209789.9287114;-35.57807855764607
1739209789.9287152;-35.57807855764607
1739209789.9287188;-35.57807855764607
1739209789.9287224;-45.120503652039325
1739209789.9287262;-45.120503652039325
1739209789.9287298;-45.120503652039325
1739209789.9287336;-45.120503652039325
1739209789.9287372;-45.120503652039325
1739209789.928741;-45.120503652039325
1739209789.9287446;-38.13080360867914
1739209789.9287484;-38.13080360867914
1739209789.928752;-45.120503652039325
1739209789.9287558;-35.57807855764607
1739209789.9287593;-35.57807855764607
1739209789.9287632;-32.816014438256545
1739209789.9287667;-38.13080360867914
1739209789.9287705;-45.120503652039325
1739209789.928774;-45.120503652039325
1739209789.928778;-38.13080360867914
1739209789.9287815;-38.13080360867914
1739209789.928785;-35.57807855764607
1739209789.928789;-38.13080360867914
1739209789.9287925;-33.981070128970906
1739209789.9287963;-45.120503652039325
1739209789.9287999;-38.13080360867914
1739209789.9288037;-45.120503652039325
1739209789.9288073;-45.120503652039325
1739209789.928811;-45.120503652039325
1739209789.9288146;-45.120503652039325
1739209789.9288185;-38.13080360867914
1739209789.928822;-38.13080360867914
1739209789.9288259;-38.13080360867914
1739209789.9288294;-45.120503652039325
1739209789.9288332;-35.57807855764607
1739209789.9288368;-45.120503652039325
1739209789.9288406;-35.57807855764607
1739209789.9288442;-35.57807855764607
1739209789.9288478;-38.13080360867914
1739209789.9288516;-35.57807855764607
1739209789.9288552;-38.13080360867914
1739209789.928859;-35.57807855764607
1739209789.9288626;-45.120503652039325
1739209789.9288664;-38.13080360867914
1739209789.92887;-45.120503652039325
1739209789.9288738;-45.120503652039325
1739209789.9288774;-38.13080360867914
1739209789.9288812;-35.57807855764607
1739209789.9288847;-45.120503652039325
1739209789.9288886;-45.120503652039325
1739209789.9288921;-33.981070128970906
1739209789.928896;-45.120503652039325
1739209789.9288995;-45.120503652039325
1739209789.928903;-45.120503652039325
1739209789.928907;-45.120503652039325
1739209789.9289105;-45.120503652039325
1739209789.9289143;-32.816014438256545
1739209789.928918;-32.816014438256545
1739209789.9289217;-38.13080360867914
1739209789.9289253;-38.13080360867914
1739209789.928929;-31.141103565318893
1739209789.9289327;-27.8777449560314
1739209789.9289365;-45.120503652039325
1739209789.92894;-45.120503652039325
1739209789.9289439;-45.120503652039325
1739209789.9289474;-33.981070128970906
1739209789.9289513;-45.120503652039325
1739209789.9289548;-45.120503652039325
1739209789.9289584;-45.120503652039325
1739209789.9289622;-38.13080360867914
1739209789.9289658;-45.120503652039325
1739209789.9289696;-45.120503652039325
1739209789.9289732;-38.13080360867914
1739209789.928977;-45.120503652039325
1739209789.9289806;-38.13080360867914
1739209789.9289844;-38.13080360867914
1739209789.928988;-35.57807855764607
1739209789.9289918;-26.991370085610722
1739209789.9289954;-45.120503652039325
1739209789.9289992;-45.120503652039325
1739209789.9290028;-38.13080360867914
1739209789.9290066;-35.57807855764607
1739209789.9290102;-45.120503652039325
1739209789.929014;-45.120503652039325
1739209789.9290175;-38.13080360867914
1739209789.9290211;-38.13080360867914
1739209789.929025;-45.120503652039325
1739209789.9290285;-45.120503652039325
1739209789.9290323;-45.120503652039325
1739209789.929036;-45.120503652039325
1739209789.9290397;-45.120503652039325
1739209789.9290433;-45.120503652039325
1739209789.929047;-45.120503652039325
1739209789.9290507;-38.13080360867914
1739209789.9290545;-38.13080360867914
1739209789.929058;-45.120503652039325
1739209789.929062;-38.13080360867914
1739209789.9290655;-35.57807855764607
1739209789.9290693;-45.120503652039325
1739209789.9290729;-45.120503652039325
1739209789.9290767;-45.120503652039325
1739209789.9290802;-31.141103565318915
1739209789.9290838;-45.120503652039325
1739209789.9290876;-45.120503652039325
1739209789.9290912;-45.120503652039325
1739209789.929095;-35.57807855764607
1739209789.9290986;-28.992665084841942
1739209789.9291024;-38.13080360867914
1739209789.929106;-38.13080360867914
1739209789.9291098;-32.816014438256545
1739209789.9291134;-38.13080360867914
1739209789.9291172;-45.120503652039325
1739209789.9291208;-45.120503652039325
1739209789.9291246;-38.13080360867914
1739209789.9291282;-45.120503652039325
1739209789.929132;-35.57807855764607
1739209789.9291356;-45.120503652039325
1739209789.9291391;-27.267205301931607
1739209789.929143;-33.981070128970906
1739209789.9291465;-45.120503652039325
1739209789.9291503;-45.120503652039325
1739209789.929154;-45.120503652039325
1739209789.9291577;-38.13080360867914
1739209789.9291613;-45.120503652039325
1739209789.9291651;-38.13080360867914
1739209789.9291687;-35.57807855764607
1739209789.9291725;-38.13080360867914
1739209789.929176;-38.13080360867914
1739209789.92918;-45.120503652039325
1739209789.9291835;-45.120503652039325
1739209789.9291873;-45.120503652039325
1739209789.9291909;-45.120503652039325
1739209789.9291945;-45.120503652039325
1739209789.9291983;-33.981070128970906
1739209789.9292018;-38.13080360867914
1739209789.9292057;-38.13080360867914
1739209789.9292092;-38.13080360867914
1739209789.929213;-38.13080360867914
1739209789.9292166;-45.120503652039325
1739209789.9292204;-45.120503652039325
1739209789.929224;-38.13080360867914
1739209789.9292278;-38.13080360867914
1739209789.9292314;-45.120503652039325
1739209789.9292352;-45.120503652039325
1739209789.9292388;-38.13080360867914
1739209789.9292426;-31.141103565318915
1739209789.9292462;-38.13080360867914
1739209789.92925;-45.120503652039325
1739209789.9292536;-35.57807855764607
1739209789.9292572;-38.13080360867914
1739209789.929261;-45.120503652039325
1739209789.9292645;-45.120503652039325
1739209789.9292684;-35.57807855764607
1739209789.929272;-35.57807855764607
1739209789.9292758;-45.120503652039325
1739209789.9292793;-38.13080360867914
1739209789.9292831;-33.981070128970906
1739209789.9292867;-38.13080360867914
1739209789.9292905;-32.816014438256545
1739209789.929294;-38.13080360867914
1739209789.929298;-32.816014438256545
1739209789.9293015;-38.13080360867914
1739209789.9293053;-35.57807855764607
1739209789.929309;-38.13080360867914
1739209789.9293127;-35.57807855764607
1739209789.9293163;-32.816014438256545
1739209789.9293199;-38.13080360867914
1739209789.9293237;-33.981070128970906
1739209789.9293272;-45.120503652039325
1739209789.929331;-45.120503652039325
1739209789.9293346;-45.120503652039325
1739209789.9293385;-45.120503652039325
1739209789.929342;-45.120503652039325
1739209789.9293458;-38.13080360867914
1739209789.9293494;-38.13080360867914
1739209789.9293532;-33.981070128970906
1739209789.9293568;-45.120503652039325
1739209789.9293606;-45.120503652039325
1739209789.9293642;-33.981070128970906
1739209789.929368;-33.981070128970906
1739209789.9293716;-45.120503652039325
1739209789.9293752;-45.120503652039325
1739209789.929379;-30.49652367304973
1739209789.9293826;-35.57807855764607
1739209789.9293864;-45.120503652039325
1739209789.92939;-45.120503652039325
1739209789.9293938;-35.57807855764607
1739209789.9293973;-35.57807855764607
1739209789.9294012;-45.120503652039325
1739209789.9294047;-38.13080360867914
1739209789.9294086;-45.120503652039325
1739209789.9294121;-45.120503652039325
1739209789.929416;-35.57807855764607
1739209789.9294195;-35.57807855764607
1739209789.9294233;-45.120503652039325
1739209789.929427;-45.120503652039325
1739209789.9294305;-38.13080360867914
1739209789.9294343;-45.120503652039325
1739209789.9294379;-32.816014438256545
1739209789.9294417;-38.13080360867914
1739209789.9294453;-38.13080360867914
1739209789.929449;-31.141103565318915
1739209789.9294527;-31.141103565318893
1739209789.9294565;-38.13080360867914
1739209789.92946;-45.120503652039325
1739209789.9294639;-38.13080360867914
1739209789.9294674;-38.13080360867914
1739209789.9294713;-45.120503652039325
1739209789.9294748;-33.981070128970906
1739209789.9294786;-38.13080360867914
1739209789.9294822;-38.13080360867914
1739209789.929486;-45.120503652039325
1739209789.9294896;-38.13080360867914
1739209789.9294932;-35.57807855764607
1739209789.929497;-45.120503652039325
1739209789.9295006;-45.120503652039325
1739209789.9295044;-38.13080360867914
1739209789.929508;-45.120503652039325
1739209789.9295118;-35.57807855764607
1739209789.9295154;-38.13080360867914
1739209789.9295192;-38.13080360867914
1739209789.9295228;-38.13080360867914
1739209789.9295266;-31.141103565318893
1739209789.9295301;-35.57807855764607
1739209789.929534;-38.13080360867914
1739209789.9295375;-33.981070128970906
1739209789.9295413;-38.13080360867914
1739209789.929545;-45.120503652039325
1739209789.9295487;-33.981070128970906
1739209789.9295523;-32.816014438256545
1739209789.929556;-38.13080360867914
1739209789.9295597;-38.13080360867914
1739209789.9295633;-35.57807855764607
1739209789.929567;-31.141103565318915
1739209789.9295707;-45.120503652039325
1739209789.9295745;-45.120503652039325
1739209789.929578;-38.13080360867914
1739209789.9295819;-45.120503652039325
1739209789.9295855;-29.438486411369333
