CAN Message; 0x98:0000a38659f4da2e
Timestamp;Amplitude
1739209795.156799;-35.57807855764607
1739209795.1568034;-28.58837851428586
1739209795.1568077;-35.57807855764607
1739209795.1568122;-45.120503652039325
1739209795.1568165;-45.120503652039325
1739209795.1568208;-38.13080360867914
1739209795.156825;-28.58837851428586
1739209795.1568294;-25.826314394896364
1739209795.1568336;-33.981070128970956
1739209795.156838;-29.438486411369333
1739209795.1568422;-38.13080360867914
1739209795.1568468;-45.120503652039325
1739209795.156851;-45.120503652039325
1739209795.1568553;-38.13080360867914
1739209795.1568596;-45.120503652039325
1739209795.156864;-45.120503652039325
1739209795.1568682;-45.120503652039325
1739209795.1568725;-45.120503652039325
1739209795.156877;-38.13080360867914
1739209795.1568813;-38.13080360867914
1739209795.1568856;-38.13080360867914
1739209795.15689;-32.816014438256545
1739209795.1568942;-33.981070128970906
1739209795.1568985;-45.120503652039325
1739209795.1569028;-38.13080360867914
1739209795.1569073;-38.13080360867914
1739209795.1569116;-38.13080360867914
1739209795.156916;-45.120503652039325
1739209795.1569202;-45.120503652039325
1739209795.1569245;-38.13080360867914
1739209795.1569288;-35.57807855764607
1739209795.156933;-38.13080360867914
1739209795.1569374;-33.981070128970906
1739209795.156942;-31.141103565318915
1739209795.1569462;-38.13080360867914
1739209795.1569505;-38.13080360867914
1739209795.1569548;-35.57807855764607
1739209795.156959;-33.981070128970906
1739209795.1569633;-38.13080360867914
1739209795.1569676;-35.57807855764607
1739209795.1569722;-33.981070128970906
1739209795.1569765;-38.13080360867914
1739209795.1569808;-45.120503652039325
1739209795.156985;-38.13080360867914
1739209795.1569893;-33.981070128970906
1739209795.1569936;-38.13080360867914
1739209795.156998;-38.13080360867914
1739209795.1570022;-35.57807855764607
1739209795.1570067;-35.57807855764607
1739209795.157011;-45.120503652039325
1739209795.1570153;-38.13080360867914
1739209795.1570196;-38.13080360867914
1739209795.157024;-38.13080360867914
1739209795.1570282;-45.120503652039325
1739209795.1570325;-45.120503652039325
1739209795.157037;-38.13080360867914
1739209795.1570413;-38.13080360867914
1739209795.1570456;-33.981070128970906
1739209795.15705;-38.13080360867914
1739209795.1570542;-38.13080360867914
1739209795.1570585;-33.981070128970906
1739209795.1570628;-38.13080360867914
1739209795.157067;-45.120503652039325
1739209795.1570716;-33.981070128970906
1739209795.157076;-38.13080360867914
1739209795.1570802;-32.81601443825658
1739209795.1570845;-45.120503652039325
1739209795.1570888;-38.13080360867914
1739209795.157093;-45.120503652039325
1739209795.1570973;-45.120503652039325
1739209795.1571019;-38.13080360867914
1739209795.1571062;-38.13080360867914
1739209795.1571105;-33.981070128970906
1739209795.1571147;-28.992665084841942
1739209795.157119;-45.120503652039325
1739209795.1571233;-35.57807855764607
1739209795.1571276;-38.13080360867914
1739209795.1571321;-38.13080360867914
1739209795.1571364;-45.120503652039325
1739209795.1571407;-38.13080360867914
1739209795.157145;-38.13080360867914
1739209795.1571493;-35.57807855764607
1739209795.1571536;-45.120503652039325
1739209795.157158;-35.57807855764607
1739209795.1571622;-45.120503652039325
1739209795.1571667;-45.120503652039325
1739209795.157171;-45.120503652039325
1739209795.1571753;-45.120503652039325
1739209795.1571796;-38.13080360867914
1739209795.157184;-45.120503652039325
1739209795.1571882;-38.13080360867914
1739209795.1571925;-45.120503652039325
1739209795.157197;-45.120503652039325
1739209795.1572013;-35.57807855764607
1739209795.1572056;-35.57807855764607
1739209795.1572099;-38.13080360867914
1739209795.1572142;-31.141103565318893
1739209795.1572185;-27.267205301931607
1739209795.1572227;-38.13080360867914
1739209795.157227;-33.981070128970906
1739209795.1572316;-31.141103565318915
1739209795.1572359;-38.13080360867914
1739209795.1572402;-31.141103565318915
1739209795.1572444;-45.120503652039325
1739209795.1572487;-31.14110356531892
1739209795.157253;-27.877744956031417
1739209795.1572573;-45.120503652039325
1739209795.1572618;-27.877744956031417
1739209795.1572661;-25.826314394896357
1739209795.1572704;-38.13080360867914
1739209795.1572747;-38.13080360867914
1739209795.157279;-38.13080360867914
1739209795.1572833;-33.981070128970906
1739209795.1572876;-26.487275050834715
1739209795.157292;-25.077289914212862
1739209795.1572964;-38.13080360867914
1739209795.1573007;-33.981070128970906
1739209795.157305;-45.120503652039325
1739209795.1573093;-45.120503652039325
1739209795.1573136;-38.13080360867914
1739209795.1573179;-28.58837851428586
1739209795.1573222;-45.120503652039325
1739209795.1573267;-38.13080360867914
1739209795.157331;-22.264930561961556
1739209795.1573353;-32.816014438256545
1739209795.1573396;-45.120503652039325
1739209795.1573439;-33.981070128970906
1739209795.1573482;-28.58837851428586
1739209795.1573524;-38.13080360867914
1739209795.157357;-38.13080360867914
1739209795.1573613;-33.981070128970906
1739209795.1573656;-33.981070128970906
1739209795.1573699;-32.81601443825658
1739209795.1573741;-29.438486411369354
1739209795.1573784;-35.57807855764607
1739209795.1573827;-22.264930561961556
1739209795.157387;-38.13080360867914
1739209795.1573915;-32.816014438256545
1739209795.1573958;-38.13080360867914
1739209795.1574001;-29.438486411369354
1739209795.1574044;-25.826314394896354
1739209795.1574087;-28.992665084841942
1739209795.157413;-45.120503652039325
1739209795.1574173;-33.981070128970906
1739209795.1574218;-30.49652367304973
1739209795.157426;-32.816014438256545
1739209795.1574304;-33.981070128970906
1739209795.1574347;-33.981070128970906
1739209795.157439;-31.141103565318943
1739209795.1574433;-27.877744956031417
1739209795.1574476;-30.49652367304973
1739209795.1574519;-32.816014438256545
1739209795.1574564;-33.981070128970906
1739209795.1574607;-35.57807855764607
1739209795.157465;-28.992665084841942
1739209795.1574693;-28.58837851428586
1739209795.1574736;-38.13080360867914
1739209795.1574779;-26.991370085610736
1739209795.1574821;-26.487275050834715
1739209795.1574867;-25.62660358559016
1739209795.157491;-38.13080360867914
1739209795.1574953;-28.992665084841942
1739209795.1574996;-28.58837851428586
1739209795.1575038;-45.120503652039325
1739209795.1575081;-38.13080360867914
1739209795.1575124;-31.14110356531892
1739209795.157517;-25.826314394896354
1739209795.1575212;-31.141103565318915
1739209795.1575255;-38.13080360867914
1739209795.1575298;-38.13080360867914
1739209795.1575341;-32.816014438256545
1739209795.1575384;-33.981070128970956
1739209795.1575427;-45.120503652039325
1739209795.157547;-31.141103565318915
1739209795.1575515;-45.120503652039325
1739209795.1575558;-32.816014438256545
1739209795.15756;-28.992665084841942
1739209795.1575644;-29.438486411369347
1739209795.1575687;-45.120503652039325
1739209795.157573;-31.141103565318893
1739209795.1575773;-29.438486411369354
1739209795.1575818;-31.141103565318943
1739209795.157586;-29.438486411369333
1739209795.1575904;-45.120503652039325
1739209795.1575947;-28.992665084841942
1739209795.157599;-27.267205301931607
1739209795.1576033;-33.981070128970956
1739209795.1576076;-28.992665084841942
1739209795.1576118;-30.49652367304973
1739209795.1576164;-45.120503652039325
1739209795.1576207;-26.487275050834725
1739209795.157625;-28.58837851428586
1739209795.1576293;-31.141103565318893
1739209795.1576335;-35.57807855764607
1739209795.1576378;-29.438486411369333
1739209795.1576421;-25.826314394896357
1739209795.1576467;-26.991370085610722
1739209795.157651;-28.588378514285886
1739209795.1576552;-25.077289914212862
1739209795.1576595;-29.438486411369347
1739209795.1576638;-30.49652367304973
1739209795.157668;-38.13080360867914
1739209795.1576724;-32.81601443825658
1739209795.1576767;-31.14110356531892
1739209795.1576812;-33.981070128970906
1739209795.1576855;-30.49652367304976
1739209795.1576898;-45.120503652039325
