CAN Message; 0x98:0000f7527e09010c
Timestamp;Amplitude
1739209797.7195196;-33.981070128970906
1739209797.7195287;-33.981070128970906
1739209797.7195375;-33.981070128970906
1739209797.7195466;-38.13080360867914
1739209797.7195554;-38.13080360867914
1739209797.7195644;-38.13080360867914
1739209797.7195733;-33.981070128970906
1739209797.7195823;-45.120503652039325
1739209797.7195911;-45.120503652039325
1739209797.7196002;-35.57807855764607
1739209797.719609;-38.13080360867914
1739209797.719618;-45.120503652039325
1739209797.719627;-38.13080360867914
1739209797.719636;-35.57807855764607
1739209797.7196448;-45.120503652039325
1739209797.7196538;-45.120503652039325
1739209797.7196627;-33.981070128970906
1739209797.7196715;-33.981070128970906
1739209797.7196805;-31.141103565318915
1739209797.7196894;-45.120503652039325
1739209797.7196984;-33.981070128970906
1739209797.7197073;-45.120503652039325
1739209797.7197163;-38.13080360867914
1739209797.7197251;-38.13080360867914
1739209797.7197342;-38.13080360867914
1739209797.719743;-38.13080360867914
1739209797.719752;-32.816014438256545
1739209797.719761;-27.8777449560314
1739209797.71977;-45.120503652039325
1739209797.7197788;-35.57807855764607
1739209797.7197878;-38.13080360867914
1739209797.7197967;-32.816014438256545
1739209797.7198057;-45.120503652039325
1739209797.7198145;-45.120503652039325
1739209797.7198234;-45.120503652039325
1739209797.7198324;-45.120503652039325
1739209797.7198412;-38.13080360867914
1739209797.7198503;-38.13080360867914
1739209797.7198591;-45.120503652039325
1739209797.7198682;-38.13080360867914
1739209797.719877;-38.13080360867914
1739209797.719886;-45.120503652039325
1739209797.719895;-45.120503652039325
1739209797.719904;-45.120503652039325
1739209797.7199128;-45.120503652039325
1739209797.7199218;-45.120503652039325
1739209797.7199306;-38.13080360867914
1739209797.7199397;-45.120503652039325
1739209797.7199485;-45.120503652039325
1739209797.7199574;-45.120503652039325
1739209797.7199664;-35.57807855764607
1739209797.7199752;-29.438486411369333
1739209797.7199843;-45.120503652039325
1739209797.719993;-45.120503652039325
1739209797.7200022;-35.57807855764607
1739209797.720011;-35.57807855764607
1739209797.72002;-45.120503652039325
1739209797.7200289;-45.120503652039325
1739209797.720038;-45.120503652039325
1739209797.7200468;-38.13080360867914
1739209797.7200558;-45.120503652039325
1739209797.7200646;-38.13080360867914
1739209797.7200737;-38.13080360867914
1739209797.7200825;-38.13080360867914
1739209797.7200916;-38.13080360867914
1739209797.7201004;-45.120503652039325
1739209797.7201092;-33.981070128970906
1739209797.7201183;-32.816014438256545
1739209797.720127;-38.13080360867914
1739209797.7201362;-38.13080360867914
1739209797.720145;-45.120503652039325
1739209797.720154;-45.120503652039325
1739209797.7201629;-38.13080360867914
1739209797.720172;-38.13080360867914
1739209797.7201807;-38.13080360867914
1739209797.7201898;-35.57807855764607
1739209797.7201986;-38.13080360867914
1739209797.7202077;-38.13080360867914
1739209797.7202165;-45.120503652039325
1739209797.7202256;-45.120503652039325
1739209797.7202344;-45.120503652039325
1739209797.7202435;-32.816014438256545
1739209797.7202523;-38.13080360867914
1739209797.720261;-45.120503652039325
1739209797.7202702;-38.13080360867914
1739209797.720279;-38.13080360867914
1739209797.720288;-45.120503652039325
1739209797.7202969;-45.120503652039325
1739209797.720306;-35.57807855764607
1739209797.7203147;-35.57807855764607
1739209797.7203238;-38.13080360867914
1739209797.7203326;-35.57807855764607
1739209797.7203417;-31.141103565318915
1739209797.7203505;-38.13080360867914
1739209797.7203596;-38.13080360867914
1739209797.7203684;-45.120503652039325
1739209797.7203774;-45.120503652039325
1739209797.7203863;-38.13080360867914
1739209797.7203953;-45.120503652039325
1739209797.7204041;-45.120503652039325
1739209797.720413;-38.13080360867914
1739209797.720422;-38.13080360867914
1739209797.7204309;-38.13080360867914
1739209797.72044;-35.57807855764607
1739209797.7204487;-38.13080360867914
1739209797.7204578;-45.120503652039325
1739209797.7204666;-38.13080360867914
1739209797.7204757;-45.120503652039325
1739209797.7204845;-38.13080360867914
1739209797.7204936;-45.120503652039325
1739209797.7205024;-35.57807855764607
1739209797.7205114;-45.120503652039325
1739209797.7205203;-45.120503652039325
1739209797.7205293;-45.120503652039325
1739209797.7205381;-45.120503652039325
1739209797.720547;-35.57807855764607
1739209797.720556;-38.13080360867914
1739209797.7205648;-45.120503652039325
1739209797.720574;-38.13080360867914
1739209797.7205827;-33.981070128970906
1739209797.7205918;-33.981070128970906
1739209797.7206006;-45.120503652039325
1739209797.7206097;-38.13080360867914
1739209797.7206185;-35.57807855764607
1739209797.7206275;-38.13080360867914
1739209797.7206364;-45.120503652039325
1739209797.7206454;-33.981070128970906
1739209797.7206542;-45.120503652039325
1739209797.7206633;-38.13080360867914
1739209797.7206721;-38.13080360867914
1739209797.7206812;-45.120503652039325
1739209797.72069;-45.120503652039325
1739209797.7206988;-45.120503652039325
1739209797.720708;-45.120503652039325
1739209797.7207167;-38.13080360867914
1739209797.7207258;-45.120503652039325
1739209797.7207346;-38.13080360867914
1739209797.7207437;-45.120503652039325
1739209797.7207525;-38.13080360867914
1739209797.7207615;-38.13080360867914
1739209797.7207704;-33.981070128970906
1739209797.7207794;-38.13080360867914
1739209797.7207882;-45.120503652039325
1739209797.7207973;-45.120503652039325
1739209797.7208061;-45.120503652039325
1739209797.7208152;-45.120503652039325
1739209797.720824;-45.120503652039325
1739209797.720833;-45.120503652039325
1739209797.720842;-27.877744956031414
1739209797.7208507;-45.120503652039325
1739209797.7208598;-45.120503652039325
1739209797.7208686;-45.120503652039325
1739209797.7208776;-38.13080360867914
1739209797.7208865;-38.13080360867914
1739209797.7208955;-38.13080360867914
1739209797.7209044;-45.120503652039325
1739209797.7209134;-28.992665084841942
1739209797.7209222;-35.57807855764607
1739209797.7209313;-38.13080360867914
1739209797.72094;-45.120503652039325
1739209797.7209492;-38.13080360867914
1739209797.720958;-38.13080360867914
1739209797.720967;-38.13080360867914
1739209797.7209759;-45.120503652039325
1739209797.720985;-38.13080360867914
1739209797.7209938;-35.57807855764607
1739209797.7210026;-45.120503652039325
1739209797.7210116;-45.120503652039325
1739209797.7210205;-38.13080360867914
1739209797.7210295;-35.57807855764607
1739209797.7210383;-38.13080360867914
1739209797.7210474;-45.120503652039325
1739209797.7210562;-35.57807855764607
1739209797.7210653;-38.13080360867914
1739209797.721074;-45.120503652039325
1739209797.7210832;-38.13080360867914
1739209797.721092;-38.13080360867914
1739209797.721101;-38.13080360867914
1739209797.7211099;-45.120503652039325
1739209797.721119;-45.120503652039325
1739209797.7211277;-28.992665084841942
1739209797.7211366;-38.13080360867914
1739209797.7211456;-38.13080360867914
1739209797.7211545;-45.120503652039325
1739209797.7211635;-38.13080360867914
1739209797.7211723;-45.120503652039325
1739209797.7211814;-45.120503652039325
1739209797.7211902;-45.120503652039325
1739209797.7211993;-45.120503652039325
1739209797.721208;-45.120503652039325
1739209797.7212172;-38.13080360867914
1739209797.721226;-38.13080360867914
1739209797.721235;-38.13080360867914
1739209797.7212439;-45.120503652039325
1739209797.721253;-38.13080360867914
1739209797.7212617;-38.13080360867914
1739209797.7212708;-38.13080360867914
1739209797.7212796;-45.120503652039325
1739209797.7212884;-38.13080360867914
1739209797.7212975;-45.120503652039325
1739209797.7213063;-38.13080360867914
1739209797.7213154;-45.120503652039325
1739209797.7213242;-45.120503652039325
1739209797.7213333;-45.120503652039325
1739209797.721342;-33.981070128970906
1739209797.7213511;-45.120503652039325
1739209797.72136;-45.120503652039325
1739209797.721369;-45.120503652039325
1739209797.7213778;-38.13080360867914
1739209797.721387;-45.120503652039325
1739209797.7213957;-38.13080360867914
1739209797.7214048;-45.120503652039325
1739209797.7214136;-45.120503652039325
1739209797.7214227;-35.57807855764607
1739209797.7214315;-45.120503652039325
1739209797.7214403;-45.120503652039325
1739209797.7214494;-33.981070128970906
1739209797.7214582;-35.57807855764607
1739209797.7214673;-38.13080360867914
1739209797.721476;-45.120503652039325
1739209797.7214851;-38.13080360867914
1739209797.721494;-38.13080360867914
1739209797.721503;-45.120503652039325
1739209797.7215118;-45.120503652039325
1739209797.721521;-45.120503652039325
1739209797.7215297;-38.13080360867914
1739209797.7215388;-35.57807855764607
1739209797.7215476;-45.120503652039325
1739209797.7215567;-45.120503652039325
1739209797.7215655;-45.120503652039325
1739209797.7215745;-45.120503652039325
1739209797.7215834;-45.120503652039325
1739209797.7215922;-38.13080360867914
1739209797.7216012;-38.13080360867914
1739209797.72161;-45.120503652039325
1739209797.7216191;-45.120503652039325
1739209797.721628;-45.120503652039325
1739209797.721637;-30.49652367304973
1739209797.7216458;-38.13080360867914
1739209797.721655;-38.13080360867914
1739209797.7216637;-45.120503652039325
1739209797.7216728;-38.13080360867914
1739209797.7216816;-35.57807855764607
