CAN Message; 0x150:0000a4ea39d64581
Timestamp;Amplitude
1739209818.988477;-45.120503652039325
1739209818.988485;-45.120503652039325
1739209818.9884932;-45.120503652039325
1739209818.9885013;-38.13080360867914
1739209818.9885094;-45.120503652039325
1739209818.9885175;-33.981070128970906
1739209818.9885256;-45.120503652039325
1739209818.9885335;-38.13080360867914
1739209818.9885416;-28.58837851428586
1739209818.9885497;-38.13080360867914
1739209818.9885578;-45.120503652039325
1739209818.988566;-38.13080360867914
1739209818.988574;-35.57807855764607
1739209818.9885821;-38.13080360867914
1739209818.9885902;-45.120503652039325
1739209818.9885983;-38.13080360867914
1739209818.9886065;-45.120503652039325
1739209818.9886146;-45.120503652039325
1739209818.9886227;-38.13080360867914
1739209818.9886308;-45.120503652039325
1739209818.9886389;-45.120503652039325
1739209818.988647;-38.13080360867914
1739209818.988655;-45.120503652039325
1739209818.988663;-45.120503652039325
1739209818.988671;-45.120503652039325
1739209818.9886792;-35.57807855764607
1739209818.9886873;-35.57807855764607
1739209818.9886954;-38.13080360867914
1739209818.9887035;-45.120503652039325
1739209818.9887116;-45.120503652039325
1739209818.9887197;-33.981070128970906
1739209818.9887278;-45.120503652039325
1739209818.988736;-45.120503652039325
1739209818.988744;-38.13080360867914
1739209818.9887521;-45.120503652039325
1739209818.9887602;-45.120503652039325
1739209818.9887683;-33.981070128970906
1739209818.9887764;-38.13080360867914
1739209818.9887843;-45.120503652039325
1739209818.9887924;-45.120503652039325
1739209818.9888005;-45.120503652039325
1739209818.9888086;-38.13080360867914
1739209818.9888167;-38.13080360867914
1739209818.9888248;-38.13080360867914
1739209818.988833;-38.13080360867914
1739209818.988841;-38.13080360867914
1739209818.9888492;-35.57807855764607
1739209818.9888573;-45.120503652039325
1739209818.9888654;-35.57807855764607
1739209818.9888735;-38.13080360867914
1739209818.9888816;-45.120503652039325
1739209818.9888897;-33.981070128970906
1739209818.9888978;-38.13080360867914
1739209818.988906;-38.13080360867914
1739209818.9889138;-38.13080360867914
1739209818.9889219;-38.13080360867914
1739209818.98893;-45.120503652039325
1739209818.988938;-35.57807855764607
1739209818.9889462;-38.13080360867914
1739209818.9889543;-45.120503652039325
1739209818.9889624;-35.57807855764607
1739209818.9889705;-45.120503652039325
1739209818.9889786;-45.120503652039325
1739209818.9889867;-45.120503652039325
1739209818.9889948;-33.981070128970906
1739209818.989003;-33.981070128970906
1739209818.989011;-38.13080360867914
1739209818.9890192;-45.120503652039325
1739209818.9890273;-38.13080360867914
1739209818.9890351;-35.57807855764607
1739209818.9890432;-45.120503652039325
1739209818.9890513;-38.13080360867914
1739209818.9890594;-45.120503652039325
1739209818.9890676;-45.120503652039325
1739209818.9890757;-45.120503652039325
1739209818.9890838;-45.120503652039325
1739209818.9890919;-45.120503652039325
1739209818.9891;-45.120503652039325
1739209818.989108;-33.981070128970906
1739209818.9891162;-35.57807855764607
1739209818.9891243;-35.57807855764607
1739209818.9891324;-45.120503652039325
1739209818.9891405;-38.13080360867914
1739209818.9891486;-38.13080360867914
1739209818.9891567;-45.120503652039325
1739209818.9891646;-35.57807855764607
1739209818.9891727;-35.57807855764607
1739209818.9891808;-45.120503652039325
1739209818.989189;-45.120503652039325
1739209818.989197;-38.13080360867914
1739209818.9892051;-38.13080360867914
1739209818.9892132;-38.13080360867914
1739209818.9892213;-45.120503652039325
1739209818.9892294;-45.120503652039325
1739209818.9892375;-38.13080360867914
1739209818.9892457;-38.13080360867914
1739209818.9892538;-45.120503652039325
1739209818.9892619;-45.120503652039325
1739209818.98927;-38.13080360867914
1739209818.989278;-38.13080360867914
1739209818.989286;-45.120503652039325
1739209818.989294;-38.13080360867914
1739209818.9893022;-35.57807855764607
1739209818.9893103;-35.57807855764607
1739209818.9893184;-35.57807855764607
1739209818.9893265;-30.49652367304973
1739209818.9893346;-30.49652367304973
1739209818.9893427;-45.120503652039325
1739209818.9893508;-35.57807855764607
1739209818.989359;-38.13080360867914
1739209818.989367;-45.120503652039325
1739209818.989375;-38.13080360867914
1739209818.9893832;-38.13080360867914
1739209818.9893913;-38.13080360867914
1739209818.9893994;-38.13080360867914
