CAN Message; 0x1a7:00009554a4dcd93b
Timestamp;Amplitude
1739209828.6896427;-35.57807855764607
1739209828.68965;-35.57807855764607
1739209828.6896577;-38.13080360867914
1739209828.6896653;-38.13080360867914
1739209828.6896727;-38.13080360867914
1739209828.6896803;-35.57807855764607
1739209828.689688;-38.13080360867914
1739209828.6896954;-35.57807855764607
1739209828.689703;-38.13080360867914
1739209828.6897106;-45.120503652039325
1739209828.6897182;-45.120503652039325
1739209828.6897256;-45.120503652039325
1739209828.6897333;-35.57807855764607
1739209828.689741;-38.13080360867914
1739209828.6897483;-45.120503652039325
1739209828.689756;-45.120503652039325
1739209828.6897635;-38.13080360867914
1739209828.689771;-35.57807855764607
1739209828.6897786;-45.120503652039325
1739209828.6897862;-45.120503652039325
1739209828.6897936;-45.120503652039325
1739209828.6898012;-33.981070128970906
1739209828.6898088;-38.13080360867914
1739209828.6898162;-35.57807855764607
1739209828.6898239;-45.120503652039325
1739209828.6898315;-38.13080360867914
1739209828.689839;-33.981070128970906
1739209828.6898465;-38.13080360867914
1739209828.6898541;-38.13080360867914
1739209828.6898615;-35.57807855764607
1739209828.6898692;-45.120503652039325
1739209828.6898768;-38.13080360867914
1739209828.6898844;-38.13080360867914
1739209828.6898918;-38.13080360867914
1739209828.6898994;-45.120503652039325
1739209828.689907;-38.13080360867914
1739209828.6899145;-45.120503652039325
1739209828.689922;-33.981070128970906
1739209828.6899297;-35.57807855764607
1739209828.689937;-38.13080360867914
1739209828.6899447;-45.120503652039325
1739209828.6899524;-38.13080360867914
1739209828.6899598;-38.13080360867914
1739209828.6899674;-45.120503652039325
1739209828.689975;-45.120503652039325
1739209828.6899824;-38.13080360867914
1739209828.68999;-45.120503652039325
1739209828.6899977;-45.120503652039325
1739209828.690005;-45.120503652039325
1739209828.6900127;-45.120503652039325
1739209828.6900203;-38.13080360867914
1739209828.6900277;-38.13080360867914
1739209828.6900353;-38.13080360867914
1739209828.690043;-38.13080360867914
1739209828.6900506;-45.120503652039325
1739209828.690058;-38.13080360867914
1739209828.6900656;-35.57807855764607
1739209828.6900733;-38.13080360867914
1739209828.6900806;-45.120503652039325
1739209828.6900883;-45.120503652039325
1739209828.690096;-38.13080360867914
1739209828.6901033;-31.141103565318915
1739209828.690111;-33.981070128970906
1739209828.6901186;-45.120503652039325
1739209828.690126;-38.13080360867914
1739209828.6901336;-38.13080360867914
1739209828.6901412;-38.13080360867914
1739209828.6901486;-38.13080360867914
1739209828.6901562;-38.13080360867914
1739209828.6901639;-33.981070128970906
1739209828.6901712;-45.120503652039325
1739209828.6901789;-45.120503652039325
1739209828.6901865;-38.13080360867914
1739209828.6901941;-38.13080360867914
1739209828.6902015;-45.120503652039325
1739209828.6902092;-45.120503652039325
1739209828.6902168;-38.13080360867914
1739209828.6902242;-28.992665084841942
1739209828.6902318;-33.981070128970906
1739209828.6902394;-45.120503652039325
1739209828.6902468;-45.120503652039325
1739209828.6902544;-45.120503652039325
1739209828.690262;-45.120503652039325
1739209828.6902695;-45.120503652039325
1739209828.690277;-38.13080360867914
1739209828.6902847;-33.981070128970906
1739209828.6902921;-33.981070128970906
1739209828.6902997;-45.120503652039325
1739209828.6903074;-33.981070128970906
1739209828.6903148;-35.57807855764607
1739209828.6903224;-45.120503652039325
1739209828.69033;-45.120503652039325
1739209828.6903374;-45.120503652039325
1739209828.690345;-38.13080360867914
1739209828.6903527;-32.816014438256545
1739209828.6903603;-45.120503652039325
