CAN Message; 0x1a7:00000803415b186b
Timestamp;Amplitude
1739209832.7720354;-35.57807855764607
1739209832.7720375;-45.120503652039325
1739209832.7720394;-45.120503652039325
1739209832.7720413;-45.120503652039325
1739209832.7720432;-45.120503652039325
1739209832.7720454;-45.120503652039325
1739209832.7720473;-45.120503652039325
1739209832.7720492;-45.120503652039325
1739209832.7720513;-35.57807855764607
1739209832.7720532;-45.120503652039325
1739209832.7720551;-35.57807855764607
1739209832.7720573;-38.13080360867914
1739209832.7720592;-45.120503652039325
1739209832.772061;-45.120503652039325
1739209832.772063;-38.13080360867914
1739209832.7720652;-38.13080360867914
1739209832.772067;-45.120503652039325
1739209832.772069;-45.120503652039325
1739209832.7720711;-38.13080360867914
1739209832.772073;-33.981070128970906
1739209832.772075;-45.120503652039325
1739209832.772077;-38.13080360867914
1739209832.772079;-45.120503652039325
1739209832.772081;-45.120503652039325
1739209832.7720828;-45.120503652039325
1739209832.772085;-45.120503652039325
1739209832.7720869;-38.13080360867914
1739209832.7720888;-38.13080360867914
1739209832.772091;-45.120503652039325
1739209832.7720928;-38.13080360867914
1739209832.7720947;-35.57807855764607
1739209832.7720966;-45.120503652039325
1739209832.7720988;-38.13080360867914
1739209832.7721007;-45.120503652039325
1739209832.7721026;-33.981070128970906
1739209832.7721047;-27.267205301931607
1739209832.7721066;-45.120503652039325
1739209832.7721086;-38.13080360867914
1739209832.7721107;-38.13080360867914
1739209832.7721126;-38.13080360867914
1739209832.7721145;-45.120503652039325
1739209832.7721164;-38.13080360867914
1739209832.7721186;-45.120503652039325
1739209832.7721205;-32.816014438256545
1739209832.7721224;-45.120503652039325
1739209832.7721245;-45.120503652039325
1739209832.7721264;-45.120503652039325
1739209832.7721283;-45.120503652039325
1739209832.7721305;-38.13080360867914
1739209832.7721324;-45.120503652039325
1739209832.7721343;-38.13080360867914
1739209832.7721362;-38.13080360867914
1739209832.7721384;-38.13080360867914
1739209832.7721403;-38.13080360867914
1739209832.7721422;-45.120503652039325
1739209832.7721443;-38.13080360867914
1739209832.7721462;-38.13080360867914
1739209832.7721481;-38.13080360867914
1739209832.7721503;-45.120503652039325
1739209832.7721522;-45.120503652039325
1739209832.772154;-38.13080360867914
1739209832.772156;-38.13080360867914
1739209832.7721581;-45.120503652039325
1739209832.77216;-45.120503652039325
1739209832.772162;-38.13080360867914
1739209832.772164;-38.13080360867914
1739209832.772166;-45.120503652039325
1739209832.772168;-31.141103565318915
1739209832.7721698;-38.13080360867914
1739209832.772172;-38.13080360867914
