CAN Message; 0x1d3:0000b790ac02d33a
Timestamp;Amplitude
1739209833.3507447;-45.120503652039325
1739209833.3507538;-38.13080360867914
1739209833.3507628;-35.57807855764607
1739209833.3507721;-45.120503652039325
1739209833.3507812;-45.120503652039325
1739209833.3507903;-35.57807855764607
1739209833.3507993;-38.13080360867914
1739209833.3508084;-45.120503652039325
1739209833.3508174;-38.13080360867914
1739209833.3508265;-38.13080360867914
1739209833.3508356;-38.13080360867914
1739209833.3508449;-38.13080360867914
1739209833.350854;-38.13080360867914
1739209833.350863;-35.57807855764607
1739209833.350872;-33.981070128970906
1739209833.350881;-35.57807855764607
1739209833.3508902;-45.120503652039325
1739209833.3508992;-45.120503652039325
1739209833.3509085;-45.120503652039325
1739209833.3509176;-38.13080360867914
1739209833.3509266;-45.120503652039325
1739209833.3509357;-45.120503652039325
1739209833.3509448;-45.120503652039325
1739209833.3509538;-38.13080360867914
1739209833.3509629;-45.120503652039325
1739209833.3509722;-45.120503652039325
1739209833.3509812;-45.120503652039325
1739209833.3509903;-45.120503652039325
1739209833.3509994;-45.120503652039325
1739209833.3510084;-38.13080360867914
1739209833.3510175;-38.13080360867914
1739209833.3510265;-38.13080360867914
1739209833.3510356;-45.120503652039325
1739209833.351045;-38.13080360867914
1739209833.351054;-45.120503652039325
1739209833.351063;-32.816014438256545
1739209833.351072;-38.13080360867914
1739209833.3510811;-45.120503652039325
1739209833.3510902;-45.120503652039325
1739209833.3510993;-33.981070128970906
1739209833.3511086;-32.816014438256545
1739209833.3511176;-45.120503652039325
1739209833.3511267;-38.13080360867914
1739209833.3511357;-38.13080360867914
1739209833.3511448;-45.120503652039325
1739209833.3511539;-45.120503652039325
1739209833.351163;-38.13080360867914
1739209833.351172;-33.981070128970906
1739209833.3511813;-38.13080360867914
1739209833.3511903;-35.57807855764607
1739209833.3511994;-45.120503652039325
1739209833.3512084;-30.49652367304973
1739209833.3512175;-32.816014438256545
1739209833.3512266;-38.13080360867914
1739209833.3512356;-35.57807855764607
1739209833.351245;-35.57807855764607
1739209833.351254;-35.57807855764607
1739209833.351263;-45.120503652039325
1739209833.351272;-35.57807855764607
1739209833.3512812;-45.120503652039325
1739209833.3512902;-45.120503652039325
1739209833.3512993;-38.13080360867914
1739209833.3513083;-38.13080360867914
1739209833.3513176;-45.120503652039325
1739209833.3513267;-45.120503652039325
1739209833.3513358;-38.13080360867914
1739209833.3513448;-38.13080360867914
1739209833.351354;-38.13080360867914
1739209833.351363;-35.57807855764607
1739209833.351372;-45.120503652039325
