CAN Message; 0x62:02b820ed2c8f17ee
Timestamp;Amplitude
1739209842.566975;-38.13080360867914
1739209842.5669844;-38.13080360867914
1739209842.5669935;-35.57807855764607
1739209842.5670025;-33.981070128970906
1739209842.5670118;-33.981070128970906
1739209842.567021;-38.13080360867914
1739209842.56703;-38.13080360867914
1739209842.5670393;-45.120503652039325
1739209842.5670483;-45.120503652039325
1739209842.5670574;-45.120503652039325
1739209842.5670667;-38.13080360867914
1739209842.5670757;-38.13080360867914
1739209842.5670848;-45.120503652039325
1739209842.567094;-38.13080360867914
1739209842.5671031;-38.13080360867914
1739209842.5671122;-45.120503652039325
1739209842.5671215;-38.13080360867914
1739209842.5671306;-45.120503652039325
1739209842.5671396;-45.120503652039325
1739209842.567149;-45.120503652039325
1739209842.567158;-45.120503652039325
1739209842.567167;-38.13080360867914
1739209842.5671763;-45.120503652039325
1739209842.5671854;-45.120503652039325
1739209842.5671945;-38.13080360867914
1739209842.5672038;-45.120503652039325
1739209842.5672128;-45.120503652039325
1739209842.5672219;-45.120503652039325
1739209842.5672312;-45.120503652039325
1739209842.5672402;-38.13080360867914
1739209842.5672493;-45.120503652039325
1739209842.5672584;-45.120503652039325
1739209842.5672677;-45.120503652039325
1739209842.5672767;-45.120503652039325
1739209842.5672858;-38.13080360867914
1739209842.567295;-38.13080360867914
1739209842.5673041;-45.120503652039325
1739209842.5673132;-45.120503652039325
1739209842.5673225;-45.120503652039325
1739209842.5673316;-38.13080360867914
1739209842.5673406;-45.120503652039325
1739209842.56735;-45.120503652039325
1739209842.567359;-38.13080360867914
1739209842.567368;-38.13080360867914
1739209842.5673773;-45.120503652039325
1739209842.5673864;-38.13080360867914
1739209842.5673954;-38.13080360867914
1739209842.5674047;-45.120503652039325
1739209842.5674138;-38.13080360867914
1739209842.5674229;-38.13080360867914
1739209842.5674322;-33.981070128970906
1739209842.5674412;-38.13080360867914
1739209842.5674503;-45.120503652039325
1739209842.5674596;-45.120503652039325
1739209842.5674686;-33.981070128970906
1739209842.5674777;-38.13080360867914
1739209842.567487;-35.57807855764607
1739209842.567496;-45.120503652039325
1739209842.5675051;-45.120503652039325
1739209842.5675144;-35.57807855764607
1739209842.5675235;-35.57807855764607
1739209842.5675325;-45.120503652039325
1739209842.5675418;-45.120503652039325
1739209842.567551;-38.13080360867914
1739209842.56756;-38.13080360867914
1739209842.5675693;-38.13080360867914
1739209842.5675783;-38.13080360867914
1739209842.5675874;-28.992665084841942
1739209842.5675967;-33.981070128970906
1739209842.5676057;-45.120503652039325
1739209842.5676148;-45.120503652039325
1739209842.567624;-45.120503652039325
1739209842.5676332;-45.120503652039325
1739209842.5676422;-38.13080360867914
1739209842.5676515;-33.981070128970906
1739209842.5676606;-27.877744956031414
1739209842.5676696;-38.13080360867914
1739209842.567679;-38.13080360867914
1739209842.567688;-38.13080360867914
1739209842.567697;-45.120503652039325
1739209842.5677063;-38.13080360867914
1739209842.5677154;-45.120503652039325
1739209842.5677245;-38.13080360867914
1739209842.5677338;-33.981070128970906
1739209842.5677428;-45.120503652039325
1739209842.567752;-45.120503652039325
1739209842.5677612;-38.13080360867914
1739209842.5677702;-45.120503652039325
1739209842.5677793;-35.57807855764607
1739209842.5677886;-45.120503652039325
1739209842.5677977;-45.120503652039325
1739209842.5678067;-33.981070128970906
1739209842.567816;-38.13080360867914
1739209842.567825;-45.120503652039325
1739209842.5678341;-38.13080360867914
1739209842.5678434;-38.13080360867914
1739209842.5678525;-45.120503652039325
1739209842.5678616;-45.120503652039325
1739209842.5678706;-45.120503652039325
1739209842.56788;-35.57807855764607
1739209842.567889;-33.981070128970906
1739209842.567898;-38.13080360867914
1739209842.5679073;-45.120503652039325
1739209842.5679164;-38.13080360867914
1739209842.5679255;-35.57807855764607
1739209842.5679348;-38.13080360867914
1739209842.5679438;-45.120503652039325
1739209842.5679529;-27.267205301931607
1739209842.5679622;-32.816014438256545
1739209842.5679712;-45.120503652039325
1739209842.5679803;-45.120503652039325
1739209842.5679896;-38.13080360867914
1739209842.5679986;-45.120503652039325
1739209842.5680077;-38.13080360867914
1739209842.568017;-45.120503652039325
1739209842.568026;-45.120503652039325
1739209842.5680351;-45.120503652039325
1739209842.5680444;-45.120503652039325
