CAN Message; 0x1a7:0000045c1fd8a93d
Timestamp;Amplitude
1739209848.8473642;-45.120503652039325
1739209848.847366;-32.816014438256545
1739209848.8473682;-35.57807855764607
1739209848.8473704;-38.13080360867914
1739209848.8473723;-35.57807855764607
1739209848.8473744;-45.120503652039325
1739209848.8473766;-33.981070128970906
1739209848.8473785;-45.120503652039325
1739209848.8473806;-38.13080360867914
1739209848.8473828;-45.120503652039325
1739209848.8473847;-45.120503652039325
1739209848.8473868;-38.13080360867914
1739209848.847389;-38.13080360867914
1739209848.847391;-45.120503652039325
1739209848.847393;-29.438486411369347
1739209848.8473952;-33.981070128970906
1739209848.847397;-38.13080360867914
1739209848.8473992;-45.120503652039325
1739209848.8474014;-38.13080360867914
1739209848.8474033;-45.120503652039325
1739209848.8474054;-33.981070128970906
1739209848.8474076;-45.120503652039325
1739209848.8474095;-31.141103565318915
1739209848.8474116;-33.981070128970906
1739209848.8474138;-35.57807855764607
1739209848.8474157;-45.120503652039325
1739209848.8474178;-45.120503652039325
1739209848.84742;-32.816014438256545
1739209848.847422;-33.981070128970906
1739209848.847424;-45.120503652039325
1739209848.8474262;-28.58837851428586
1739209848.847428;-33.981070128970906
1739209848.8474302;-38.13080360867914
1739209848.8474324;-45.120503652039325
1739209848.8474343;-38.13080360867914
1739209848.8474364;-45.120503652039325
1739209848.8474386;-45.120503652039325
1739209848.8474405;-45.120503652039325
1739209848.8474426;-31.141103565318915
1739209848.8474448;-38.13080360867914
1739209848.8474467;-38.13080360867914
1739209848.8474488;-45.120503652039325
1739209848.847451;-38.13080360867914
1739209848.8474529;-45.120503652039325
1739209848.847455;-38.13080360867914
1739209848.8474572;-35.57807855764607
1739209848.847459;-38.13080360867914
1739209848.8474612;-45.120503652039325
1739209848.8474634;-38.13080360867914
1739209848.8474653;-45.120503652039325
1739209848.8474674;-45.120503652039325
1739209848.8474696;-38.13080360867914
1739209848.8474717;-45.120503652039325
1739209848.8474736;-45.120503652039325
1739209848.8474758;-31.141103565318915
1739209848.847478;-33.981070128970906
1739209848.8474798;-45.120503652039325
1739209848.847482;-38.13080360867914
1739209848.847484;-35.57807855764607
1739209848.847486;-45.120503652039325
1739209848.8474882;-45.120503652039325
1739209848.8474903;-33.981070128970906
1739209848.8474922;-32.816014438256545
1739209848.8474944;-38.13080360867914
1739209848.8474965;-35.57807855764607
1739209848.8474984;-45.120503652039325
1739209848.8475006;-38.13080360867914
1739209848.8475027;-38.13080360867914
1739209848.8475046;-45.120503652039325
1739209848.8475068;-45.120503652039325
1739209848.847509;-33.981070128970906
1739209848.8475108;-31.141103565318915
1739209848.847513;-45.120503652039325
1739209848.847515;-35.57807855764607
1739209848.847517;-35.57807855764607
1739209848.8475192;-45.120503652039325
1739209848.8475213;-38.13080360867914
1739209848.8475232;-33.981070128970906
1739209848.8475254;-38.13080360867914
1739209848.8475275;-45.120503652039325
1739209848.8475294;-45.120503652039325
1739209848.8475316;-45.120503652039325
1739209848.8475337;-38.13080360867914
1739209848.8475356;-45.120503652039325
1739209848.8475378;-38.13080360867914
1739209848.84754;-38.13080360867914
1739209848.8475418;-38.13080360867914
1739209848.847544;-45.120503652039325
1739209848.847546;-38.13080360867914
1739209848.847548;-45.120503652039325
1739209848.8475502;-45.120503652039325
1739209848.8475523;-38.13080360867914
1739209848.8475542;-38.13080360867914
1739209848.8475564;-45.120503652039325
1739209848.8475585;-35.57807855764607
1739209848.8475604;-33.981070128970906
1739209848.8475626;-45.120503652039325
1739209848.8475647;-45.120503652039325
1739209848.8475666;-38.13080360867914
1739209848.8475688;-45.120503652039325
1739209848.847571;-38.13080360867914
1739209848.8475728;-45.120503652039325
1739209848.847575;-45.120503652039325
1739209848.847577;-38.13080360867914
1739209848.847579;-33.981070128970906
1739209848.8475811;-45.120503652039325
1739209848.8475833;-38.13080360867914
1739209848.8475852;-35.57807855764607
1739209848.8475873;-45.120503652039325
1739209848.8475895;-45.120503652039325
1739209848.8475914;-38.13080360867914
1739209848.8475935;-35.57807855764607
1739209848.8475957;-38.13080360867914
1739209848.8475976;-35.57807855764607
1739209848.8475997;-38.13080360867914
1739209848.847602;-45.120503652039325
1739209848.8476038;-45.120503652039325
1739209848.847606;-45.120503652039325
1739209848.847608;-38.13080360867914
1739209848.84761;-45.120503652039325
1739209848.8476121;-45.120503652039325
1739209848.8476143;-45.120503652039325
1739209848.8476162;-45.120503652039325
1739209848.8476183;-38.13080360867914
1739209848.8476205;-45.120503652039325
1739209848.8476224;-35.57807855764607
1739209848.8476245;-38.13080360867914
1739209848.8476267;-30.49652367304973
1739209848.8476286;-32.816014438256545
1739209848.8476307;-38.13080360867914
1739209848.847633;-33.981070128970906
1739209848.8476348;-38.13080360867914
1739209848.847637;-35.57807855764607
1739209848.847639;-35.57807855764607
1739209848.847641;-38.13080360867914
1739209848.8476431;-45.120503652039325
1739209848.8476453;-45.120503652039325
1739209848.8476472;-38.13080360867914
1739209848.8476493;-38.13080360867914
1739209848.8476515;-45.120503652039325
1739209848.8476534;-45.120503652039325
1739209848.8476555;-45.120503652039325
1739209848.8476577;-45.120503652039325
1739209848.8476596;-35.57807855764607
1739209848.8476617;-38.13080360867914
1739209848.8476639;-45.120503652039325
1739209848.8476658;-35.57807855764607
1739209848.847668;-32.816014438256545
1739209848.84767;-33.981070128970906
1739209848.847672;-45.120503652039325
1739209848.8476741;-38.13080360867914
1739209848.8476763;-32.816014438256545
1739209848.8476782;-31.141103565318915
1739209848.8476803;-45.120503652039325
1739209848.8476825;-38.13080360867914
1739209848.8476846;-38.13080360867914
1739209848.8476865;-33.981070128970906
1739209848.8476887;-45.120503652039325
1739209848.8476908;-45.120503652039325
1739209848.8476927;-45.120503652039325
1739209848.8476949;-38.13080360867914
1739209848.847697;-38.13080360867914
1739209848.847699;-38.13080360867914
1739209848.847701;-45.120503652039325
1739209848.8477032;-45.120503652039325
1739209848.8477051;-45.120503652039325
1739209848.8477073;-45.120503652039325
1739209848.8477094;-33.981070128970906
1739209848.8477113;-28.992665084841942
1739209848.8477135;-45.120503652039325
1739209848.8477156;-45.120503652039325
1739209848.8477175;-38.13080360867914
1739209848.8477197;-38.13080360867914
1739209848.8477218;-45.120503652039325
1739209848.8477237;-38.13080360867914
1739209848.8477259;-45.120503652039325
1739209848.847728;-45.120503652039325
1739209848.84773;-45.120503652039325
1739209848.847732;-38.13080360867914
1739209848.8477342;-38.13080360867914
1739209848.8477361;-35.57807855764607
1739209848.8477383;-45.120503652039325
1739209848.8477404;-45.120503652039325
1739209848.8477423;-45.120503652039325
1739209848.8477445;-31.14110356531892
1739209848.8477466;-45.120503652039325
1739209848.8477485;-33.981070128970906
1739209848.8477507;-45.120503652039325
1739209848.8477528;-45.120503652039325
1739209848.8477547;-35.57807855764607
1739209848.8477569;-38.13080360867914
1739209848.847759;-38.13080360867914
1739209848.847761;-33.981070128970906
1739209848.847763;-38.13080360867914
1739209848.8477652;-45.120503652039325
1739209848.847767;-38.13080360867914
1739209848.8477693;-33.981070128970906
1739209848.8477714;-45.120503652039325
1739209848.8477733;-45.120503652039325
1739209848.8477755;-38.13080360867914
1739209848.8477776;-33.981070128970906
1739209848.8477795;-38.13080360867914
1739209848.8477817;-45.120503652039325
1739209848.8477838;-45.120503652039325
1739209848.8477857;-38.13080360867914
1739209848.8477879;-45.120503652039325
1739209848.84779;-38.13080360867914
1739209848.847792;-38.13080360867914
1739209848.847794;-45.120503652039325
1739209848.8477962;-45.120503652039325
1739209848.847798;-45.120503652039325
1739209848.8478003;-32.816014438256545
1739209848.8478024;-45.120503652039325
1739209848.8478043;-38.13080360867914
1739209848.8478065;-38.13080360867914
1739209848.8478086;-35.57807855764607
1739209848.8478105;-33.981070128970906
1739209848.8478127;-38.13080360867914
1739209848.8478148;-38.13080360867914
1739209848.8478167;-35.57807855764607
1739209848.8478189;-35.57807855764607
1739209848.847821;-38.13080360867914
1739209848.847823;-45.120503652039325
1739209848.847825;-38.13080360867914
1739209848.8478272;-38.13080360867914
1739209848.847829;-45.120503652039325
1739209848.8478312;-45.120503652039325
1739209848.8478334;-32.816014438256545
1739209848.8478353;-38.13080360867914
1739209848.8478374;-45.120503652039325
1739209848.8478396;-45.120503652039325
1739209848.8478415;-35.57807855764607
1739209848.8478436;-38.13080360867914
1739209848.8478458;-38.13080360867914
1739209848.8478477;-45.120503652039325
1739209848.8478498;-45.120503652039325
