CAN Message; 0x98:0000e938a1e2c03c
Timestamp;Amplitude
1739209863.8650799;-45.120503652039325
1739209863.8650858;-38.13080360867914
1739209863.8650916;-45.120503652039325
1739209863.8650973;-33.981070128970906
1739209863.865103;-33.981070128970906
1739209863.865109;-45.120503652039325
1739209863.8651147;-45.120503652039325
1739209863.8651204;-45.120503652039325
1739209863.8651261;-38.13080360867914
1739209863.865132;-45.120503652039325
1739209863.8651378;-38.13080360867914
1739209863.8651435;-38.13080360867914
1739209863.8651493;-45.120503652039325
1739209863.8651552;-45.120503652039325
1739209863.865161;-45.120503652039325
1739209863.8651667;-45.120503652039325
1739209863.8651724;-45.120503652039325
1739209863.8651783;-45.120503652039325
1739209863.865184;-38.13080360867914
1739209863.8651898;-38.13080360867914
1739209863.8651955;-38.13080360867914
1739209863.8652015;-45.120503652039325
1739209863.8652072;-38.13080360867914
1739209863.865213;-38.13080360867914
1739209863.8652186;-38.13080360867914
1739209863.8652246;-45.120503652039325
1739209863.8652303;-38.13080360867914
1739209863.865236;-38.13080360867914
1739209863.8652418;-38.13080360867914
1739209863.8652477;-45.120503652039325
1739209863.8652534;-38.13080360867914
1739209863.8652592;-45.120503652039325
1739209863.865265;-45.120503652039325
1739209863.8652709;-45.120503652039325
1739209863.8652766;-38.13080360867914
1739209863.8652823;-38.13080360867914
1739209863.865288;-38.13080360867914
1739209863.865294;-45.120503652039325
1739209863.8652997;-45.120503652039325
1739209863.8653054;-35.57807855764607
1739209863.8653111;-38.13080360867914
1739209863.865317;-45.120503652039325
1739209863.8653228;-33.981070128970906
1739209863.8653286;-33.981070128970906
1739209863.8653343;-28.992665084841942
1739209863.8653402;-32.816014438256545
1739209863.865346;-45.120503652039325
1739209863.8653517;-45.120503652039325
1739209863.8653574;-33.981070128970906
1739209863.8653634;-45.120503652039325
1739209863.865369;-45.120503652039325
1739209863.8653748;-45.120503652039325
1739209863.8653805;-33.981070128970906
1739209863.8653865;-45.120503652039325
1739209863.8653922;-45.120503652039325
1739209863.865398;-38.13080360867914
1739209863.8654037;-38.13080360867914
1739209863.8654096;-38.13080360867914
1739209863.8654153;-45.120503652039325
1739209863.865421;-45.120503652039325
1739209863.8654268;-45.120503652039325
1739209863.8654327;-38.13080360867914
1739209863.8654385;-38.13080360867914
1739209863.8654442;-45.120503652039325
1739209863.8654501;-45.120503652039325
1739209863.8654559;-45.120503652039325
1739209863.8654616;-38.13080360867914
1739209863.8654673;-32.816014438256545
1739209863.8654733;-33.981070128970906
1739209863.865479;-45.120503652039325
1739209863.8654847;-38.13080360867914
1739209863.8654904;-38.13080360867914
1739209863.8654964;-38.13080360867914
1739209863.865502;-45.120503652039325
1739209863.8655078;-38.13080360867914
1739209863.8655136;-38.13080360867914
1739209863.8655195;-31.141103565318915
1739209863.8655252;-45.120503652039325
1739209863.865531;-45.120503652039325
1739209863.8655367;-45.120503652039325
1739209863.8655427;-33.981070128970906
1739209863.8655484;-45.120503652039325
1739209863.865554;-38.13080360867914
1739209863.8655598;-45.120503652039325
1739209863.8655658;-32.81601443825658
1739209863.8655715;-38.13080360867914
1739209863.8655772;-38.13080360867914
1739209863.865583;-38.13080360867914
1739209863.865589;-35.57807855764607
1739209863.8655946;-35.57807855764607
1739209863.8656003;-38.13080360867914
1739209863.865606;-45.120503652039325
1739209863.865612;-38.13080360867914
1739209863.8656178;-38.13080360867914
1739209863.8656235;-45.120503652039325
1739209863.8656292;-45.120503652039325
1739209863.8656352;-45.120503652039325
1739209863.8656409;-45.120503652039325
1739209863.8656466;-45.120503652039325
1739209863.8656523;-38.13080360867914
1739209863.8656583;-38.13080360867914
1739209863.865664;-45.120503652039325
1739209863.8656697;-38.13080360867914
1739209863.8656754;-35.57807855764607
1739209863.8656814;-38.13080360867914
1739209863.8656871;-45.120503652039325
1739209863.8656929;-33.981070128970906
1739209863.8656986;-38.13080360867914
1739209863.8657045;-38.13080360867914
1739209863.8657103;-38.13080360867914
1739209863.865716;-38.13080360867914
1739209863.8657217;-38.13080360867914
1739209863.8657277;-38.13080360867914
1739209863.8657334;-30.49652367304973
1739209863.865739;-45.120503652039325
1739209863.8657448;-45.120503652039325
1739209863.8657508;-38.13080360867914
1739209863.8657565;-45.120503652039325
1739209863.8657622;-38.13080360867914
1739209863.865768;-38.13080360867914
1739209863.865774;-38.13080360867914
1739209863.8657796;-45.120503652039325
1739209863.8657854;-45.120503652039325
1739209863.865791;-45.120503652039325
1739209863.865797;-38.13080360867914
1739209863.8658028;-45.120503652039325
1739209863.8658085;-38.13080360867914
1739209863.8658142;-35.57807855764607
1739209863.8658202;-38.13080360867914
1739209863.865826;-38.13080360867914
1739209863.8658316;-45.120503652039325
1739209863.8658376;-38.13080360867914
1739209863.8658433;-38.13080360867914
1739209863.865849;-38.13080360867914
1739209863.8658547;-45.120503652039325
1739209863.8658607;-35.57807855764607
1739209863.8658664;-38.13080360867914
1739209863.8658721;-45.120503652039325
1739209863.8658779;-38.13080360867914
1739209863.8658838;-35.57807855764607
1739209863.8658895;-45.120503652039325
1739209863.8658953;-45.120503652039325
1739209863.865901;-33.981070128970906
1739209863.865907;-35.57807855764607
1739209863.8659127;-32.816014438256545
1739209863.8659184;-38.13080360867914
1739209863.8659241;-45.120503652039325
1739209863.86593;-45.120503652039325
1739209863.8659358;-45.120503652039325
1739209863.8659415;-32.816014438256545
1739209863.8659472;-38.13080360867914
1739209863.8659532;-45.120503652039325
1739209863.865959;-45.120503652039325
1739209863.8659647;-32.816014438256545
1739209863.8659704;-45.120503652039325
1739209863.8659763;-45.120503652039325
1739209863.865982;-38.13080360867914
1739209863.8659878;-45.120503652039325
1739209863.8659935;-45.120503652039325
1739209863.8659995;-38.13080360867914
1739209863.8660052;-45.120503652039325
