CAN Message; 0x77:ea68fed32fb77d7b
Timestamp;Amplitude
1739209889.9481277;-45.120503652039325
1739209889.948131;-45.120503652039325
1739209889.9481347;-45.120503652039325
1739209889.948138;-38.13080360867914
1739209889.9481416;-35.57807855764607
1739209889.948145;-45.120503652039325
1739209889.9481485;-45.120503652039325
1739209889.9481518;-32.816014438256545
1739209889.9481554;-28.21854285175415
1739209889.9481587;-38.13080360867914
1739209889.9481623;-35.57807855764607
1739209889.9481657;-45.120503652039325
1739209889.9481692;-38.13080360867914
1739209889.9481726;-38.13080360867914
1739209889.9481761;-45.120503652039325
1739209889.9481797;-45.120503652039325
1739209889.948183;-33.981070128970956
1739209889.9481866;-45.120503652039325
1739209889.94819;-45.120503652039325
1739209889.9481936;-45.120503652039325
1739209889.948197;-45.120503652039325
1739209889.9482005;-38.13080360867914
1739209889.9482038;-35.57807855764607
1739209889.9482074;-35.57807855764607
1739209889.9482107;-26.991370085610736
1739209889.9482143;-38.13080360867914
1739209889.9482176;-38.13080360867914
1739209889.9482212;-33.981070128970906
1739209889.9482245;-32.816014438256545
1739209889.9482281;-38.13080360867914
1739209889.9482315;-38.13080360867914
1739209889.948235;-38.13080360867914
1739209889.9482386;-31.141103565318943
1739209889.948242;-45.120503652039325
1739209889.9482455;-38.13080360867914
1739209889.9482489;-38.13080360867914
1739209889.9482524;-45.120503652039325
1739209889.9482558;-38.13080360867914
1739209889.9482594;-45.120503652039325
1739209889.9482627;-38.13080360867914
1739209889.9482663;-38.13080360867914
1739209889.9482696;-45.120503652039325
1739209889.9482732;-35.57807855764607
1739209889.9482765;-38.13080360867914
1739209889.94828;-45.120503652039325
1739209889.9482834;-38.13080360867914
1739209889.948287;-45.120503652039325
1739209889.9482906;-45.120503652039325
1739209889.948294;-38.13080360867914
1739209889.9482975;-35.57807855764607
1739209889.9483008;-35.57807855764607
1739209889.9483044;-38.13080360867914
1739209889.9483078;-38.13080360867914
1739209889.9483113;-38.13080360867914
1739209889.9483147;-45.120503652039325
1739209889.9483182;-38.13080360867914
1739209889.9483216;-31.141103565318943
1739209889.9483252;-45.120503652039325
1739209889.9483285;-38.13080360867914
1739209889.948332;-38.13080360867914
1739209889.9483354;-45.120503652039325
1739209889.948339;-38.13080360867914
1739209889.9483426;-35.57807855764607
1739209889.948346;-38.13080360867914
1739209889.9483495;-33.981070128970906
1739209889.9483528;-38.13080360867914
1739209889.9483564;-45.120503652039325
1739209889.9483597;-38.13080360867914
1739209889.9483633;-32.816014438256545
1739209889.9483666;-38.13080360867914
1739209889.9483702;-45.120503652039325
1739209889.9483736;-38.13080360867914
1739209889.9483771;-45.120503652039325
1739209889.9483805;-45.120503652039325
1739209889.948384;-45.120503652039325
1739209889.9483874;-38.13080360867914
1739209889.948391;-38.13080360867914
1739209889.9483945;-38.13080360867914
1739209889.9483979;-45.120503652039325
1739209889.9484015;-38.13080360867914
1739209889.9484048;-45.120503652039325
1739209889.9484084;-45.120503652039325
1739209889.9484117;-45.120503652039325
1739209889.9484153;-38.13080360867914
1739209889.9484186;-38.13080360867914
1739209889.9484222;-45.120503652039325
1739209889.9484255;-45.120503652039325
1739209889.948429;-38.13080360867914
1739209889.9484324;-30.49652367304973
1739209889.948436;-38.13080360867914
1739209889.9484394;-45.120503652039325
1739209889.948443;-35.57807855764607
1739209889.9484463;-32.816014438256545
1739209889.9484499;-35.57807855764607
1739209889.9484534;-45.120503652039325
1739209889.9484568;-38.13080360867914
1739209889.9484603;-45.120503652039325
1739209889.9484637;-45.120503652039325
1739209889.9484673;-45.120503652039325
1739209889.9484706;-35.57807855764607
1739209889.9484742;-33.981070128970906
1739209889.9484775;-45.120503652039325
1739209889.948481;-45.120503652039325
1739209889.9484844;-38.13080360867914
1739209889.948488;-33.981070128970906
1739209889.9484913;-33.981070128970906
1739209889.948495;-45.120503652039325
1739209889.9484982;-45.120503652039325
1739209889.9485018;-45.120503652039325
1739209889.9485054;-38.13080360867914
1739209889.9485087;-45.120503652039325
1739209889.9485123;-45.120503652039325
