CAN Message; 0x24:09995cf9d2a8ff1b
Timestamp;Amplitude
1739209897.7454007;-45.120503652039325
1739209897.7454014;-38.13080360867914
1739209897.7454023;-33.981070128970906
1739209897.745403;-45.120503652039325
1739209897.745404;-38.13080360867914
1739209897.745405;-45.120503652039325
1739209897.7454057;-31.141103565318915
1739209897.7454066;-38.13080360867914
1739209897.7454073;-45.120503652039325
1739209897.7454083;-35.57807855764607
1739209897.7454093;-45.120503652039325
1739209897.74541;-45.120503652039325
1739209897.745411;-45.120503652039325
1739209897.7454116;-45.120503652039325
1739209897.7454126;-38.13080360867914
1739209897.7454133;-45.120503652039325
1739209897.7454143;-45.120503652039325
1739209897.7454152;-45.120503652039325
1739209897.745416;-45.120503652039325
1739209897.7454169;-45.120503652039325
1739209897.7454176;-38.13080360867914
1739209897.7454185;-35.57807855764607
1739209897.7454195;-38.13080360867914
1739209897.7454202;-45.120503652039325
1739209897.7454212;-45.120503652039325
1739209897.745422;-45.120503652039325
1739209897.7454228;-38.13080360867914
1739209897.7454238;-35.57807855764607
1739209897.7454245;-45.120503652039325
1739209897.7454255;-45.120503652039325
1739209897.7454262;-31.141103565318915
1739209897.7454271;-38.13080360867914
1739209897.745428;-38.13080360867914
1739209897.7454288;-35.57807855764607
1739209897.7454298;-38.13080360867914
1739209897.7454305;-45.120503652039325
1739209897.7454314;-38.13080360867914
1739209897.7454321;-45.120503652039325
1739209897.745433;-35.57807855764607
1739209897.745434;-38.13080360867914
1739209897.7454348;-33.981070128970906
1739209897.7454357;-45.120503652039325
1739209897.7454364;-38.13080360867914
1739209897.7454374;-45.120503652039325
1739209897.7454383;-45.120503652039325
1739209897.745439;-38.13080360867914
1739209897.74544;-30.49652367304973
1739209897.7454407;-33.981070128970906
1739209897.7454417;-45.120503652039325
1739209897.7454426;-38.13080360867914
1739209897.7454433;-45.120503652039325
1739209897.7454443;-45.120503652039325
1739209897.745445;-38.13080360867914
1739209897.745446;-32.816014438256545
1739209897.745447;-38.13080360867914
1739209897.7454476;-45.120503652039325
1739209897.7454486;-38.13080360867914
1739209897.7454493;-35.57807855764607
1739209897.7454503;-38.13080360867914
1739209897.7454512;-38.13080360867914
1739209897.745452;-38.13080360867914
1739209897.745453;-35.57807855764607
1739209897.7454536;-38.13080360867914
1739209897.7454545;-45.120503652039325
1739209897.7454553;-45.120503652039325
1739209897.7454562;-38.13080360867914
1739209897.7454572;-38.13080360867914
1739209897.745458;-35.57807855764607
1739209897.7454588;-45.120503652039325
1739209897.7454596;-38.13080360867914
1739209897.7454605;-32.816014438256545
1739209897.7454615;-38.13080360867914
1739209897.7454622;-38.13080360867914
1739209897.7454631;-32.816014438256545
1739209897.7454638;-38.13080360867914
1739209897.7454648;-38.13080360867914
1739209897.7454658;-45.120503652039325
1739209897.7454665;-38.13080360867914
1739209897.7454674;-45.120503652039325
1739209897.7454681;-38.13080360867914
1739209897.745469;-45.120503652039325
1739209897.74547;-38.13080360867914
1739209897.7454708;-45.120503652039325
1739209897.7454717;-35.57807855764607
1739209897.7454724;-38.13080360867914
1739209897.7454734;-45.120503652039325
1739209897.745474;-45.120503652039325
1739209897.745475;-35.57807855764607
1739209897.745476;-38.13080360867914
1739209897.7454767;-38.13080360867914
1739209897.7454777;-45.120503652039325
1739209897.7454784;-45.120503652039325
1739209897.7454793;-45.120503652039325
1739209897.7454803;-45.120503652039325
1739209897.745481;-33.981070128970906
1739209897.745482;-45.120503652039325
1739209897.7454827;-45.120503652039325
1739209897.7454836;-38.13080360867914
1739209897.7454846;-35.57807855764607
1739209897.7454853;-38.13080360867914
1739209897.7454863;-45.120503652039325
1739209897.745487;-38.13080360867914
1739209897.745488;-38.13080360867914
1739209897.745489;-30.49652367304973
1739209897.7454896;-32.816014438256545
1739209897.7454906;-38.13080360867914
1739209897.7454913;-45.120503652039325
1739209897.7454922;-33.981070128970906
1739209897.7454932;-38.13080360867914
1739209897.745494;-45.120503652039325
1739209897.7454948;-45.120503652039325
1739209897.7454956;-45.120503652039325
1739209897.7454965;-38.13080360867914
1739209897.7454972;-38.13080360867914
1739209897.7454982;-45.120503652039325
1739209897.7454991;-45.120503652039325
1739209897.7454998;-45.120503652039325
1739209897.7455008;-45.120503652039325
1739209897.7455015;-45.120503652039325
1739209897.7455025;-38.13080360867914
1739209897.7455034;-45.120503652039325
1739209897.7455041;-45.120503652039325
1739209897.745505;-38.13080360867914
1739209897.7455058;-31.141103565318893
1739209897.7455068;-38.13080360867914
1739209897.7455077;-45.120503652039325
1739209897.7455084;-45.120503652039325
1739209897.7455094;-30.49652367304973
1739209897.74551;-33.981070128970906
1739209897.745511;-45.120503652039325
1739209897.745512;-45.120503652039325
1739209897.7455127;-45.120503652039325
1739209897.7455137;-38.13080360867914
1739209897.7455144;-38.13080360867914
1739209897.7455153;-38.13080360867914
1739209897.745516;-45.120503652039325
1739209897.745517;-32.81601443825658
1739209897.745518;-45.120503652039325
1739209897.7455187;-45.120503652039325
1739209897.7455196;-38.13080360867914
1739209897.7455204;-38.13080360867914
1739209897.7455213;-38.13080360867914
1739209897.7455223;-45.120503652039325
1739209897.745523;-31.141103565318915
1739209897.745524;-28.992665084841942
1739209897.7455246;-45.120503652039325
1739209897.7455256;-45.120503652039325
1739209897.7455266;-38.13080360867914
1739209897.7455273;-35.57807855764607
1739209897.7455282;-38.13080360867914
1739209897.745529;-38.13080360867914
1739209897.74553;-38.13080360867914
1739209897.7455308;-32.81601443825658
1739209897.7455316;-45.120503652039325
1739209897.7455325;-38.13080360867914
1739209897.7455332;-45.120503652039325
1739209897.7455342;-38.13080360867914
1739209897.7455351;-45.120503652039325
1739209897.7455359;-45.120503652039325
1739209897.7455368;-38.13080360867914
1739209897.7455375;-31.141103565318915
1739209897.7455385;-45.120503652039325
1739209897.7455392;-38.13080360867914
1739209897.7455401;-35.57807855764607
1739209897.745541;-38.13080360867914
1739209897.7455418;-45.120503652039325
1739209897.7455428;-45.120503652039325
1739209897.7455435;-45.120503652039325
1739209897.7455444;-38.13080360867914
1739209897.7455454;-38.13080360867914
1739209897.745546;-45.120503652039325
1739209897.745547;-45.120503652039325
1739209897.7455478;-45.120503652039325
1739209897.7455487;-38.13080360867914
1739209897.7455497;-38.13080360867914
1739209897.7455504;-45.120503652039325
1739209897.7455513;-38.13080360867914
1739209897.745552;-45.120503652039325
1739209897.745553;-38.13080360867914
1739209897.745554;-45.120503652039325
1739209897.7455547;-45.120503652039325
1739209897.7455556;-45.120503652039325
1739209897.7455564;-45.120503652039325
1739209897.7455573;-38.13080360867914
1739209897.745558;-28.992665084841942
1739209897.745559;-45.120503652039325
1739209897.74556;-45.120503652039325
1739209897.7455606;-45.120503652039325
1739209897.7455616;-33.981070128970906
1739209897.7455623;-38.13080360867914
1739209897.7455633;-45.120503652039325
1739209897.7455642;-38.13080360867914
1739209897.745565;-26.991370085610722
1739209897.745566;-38.13080360867914
1739209897.7455666;-45.120503652039325
1739209897.7455676;-38.13080360867914
1739209897.7455685;-38.13080360867914
1739209897.7455692;-45.120503652039325
1739209897.7455702;-45.120503652039325
1739209897.745571;-45.120503652039325
1739209897.7455719;-32.816014438256545
1739209897.7455728;-45.120503652039325
1739209897.7455735;-45.120503652039325
1739209897.7455745;-45.120503652039325
1739209897.7455752;-33.981070128970906
1739209897.7455761;-38.13080360867914
1739209897.745577;-38.13080360867914
1739209897.7455778;-35.57807855764607
1739209897.7455788;-31.141103565318915
1739209897.7455795;-35.57807855764607
1739209897.7455804;-38.13080360867914
1739209897.7455812;-38.13080360867914
1739209897.745582;-38.13080360867914
1739209897.745583;-45.120503652039325
1739209897.738872;-35.57807855764607
1739209897.7388785;-45.120503652039325
1739209897.7388847;-38.13080360867914
1739209897.7388911;-35.57807855764607
1739209897.7388976;-45.120503652039325
1739209897.738904;-45.120503652039325
1739209897.7389102;-33.981070128970906
1739209897.7389166;-38.13080360867914
1739209897.738923;-38.13080360867914
1739209897.7389295;-45.120503652039325
1739209897.7389357;-45.120503652039325
1739209897.7389421;-38.13080360867914
1739209897.7389486;-33.981070128970906
1739209897.738955;-45.120503652039325
1739209897.7389612;-38.13080360867914
1739209897.7389677;-38.13080360867914
1739209897.738974;-45.120503652039325
1739209897.7389805;-45.120503652039325
1739209897.738987;-45.120503652039325
1739209897.7389932;-35.57807855764607
1739209897.7389996;-38.13080360867914
1739209897.739006;-45.120503652039325
1739209897.7390125;-38.13080360867914
1739209897.7390187;-35.57807855764607
1739209897.739025;-38.13080360867914
1739209897.7390316;-45.120503652039325
1739209897.739038;-45.120503652039325
1739209897.7390442;-35.57807855764607
1739209897.7390506;-33.981070128970906
1739209897.739057;-45.120503652039325
1739209897.7390635;-45.120503652039325
1739209897.7390697;-38.13080360867914
1739209897.7390761;-33.981070128970906
