CAN Message; 0x1d3:00001af0b69be672
Timestamp;Amplitude
1739209904.0349488;-45.120503652039325
1739209904.0349526;-45.120503652039325
1739209904.0349562;-38.13080360867914
1739209904.03496;-45.120503652039325
1739209904.0349636;-32.816014438256545
1739209904.0349674;-35.57807855764607
1739209904.034971;-38.13080360867914
1739209904.0349748;-45.120503652039325
1739209904.0349784;-30.49652367304973
1739209904.0349822;-26.991370085610736
1739209904.0349858;-38.13080360867914
1739209904.0349896;-38.13080360867914
1739209904.0349932;-45.120503652039325
1739209904.034997;-38.13080360867914
1739209904.0350006;-45.120503652039325
1739209904.0350041;-33.981070128970906
1739209904.035008;-45.120503652039325
1739209904.0350115;-45.120503652039325
1739209904.0350153;-38.13080360867914
1739209904.035019;-45.120503652039325
1739209904.0350227;-33.981070128970906
1739209904.0350263;-45.120503652039325
1739209904.0350301;-38.13080360867914
1739209904.0350337;-38.13080360867914
1739209904.0350375;-31.141103565318915
1739209904.035041;-26.487275050834715
1739209904.035045;-35.57807855764607
1739209904.0350485;-38.13080360867914
1739209904.0350523;-38.13080360867914
1739209904.0350559;-32.816014438256545
1739209904.0350595;-45.120503652039325
1739209904.0350633;-45.120503652039325
1739209904.0350668;-45.120503652039325
1739209904.0350707;-38.13080360867914
1739209904.0350742;-45.120503652039325
1739209904.035078;-45.120503652039325
1739209904.0350816;-45.120503652039325
1739209904.0350854;-45.120503652039325
1739209904.035089;-45.120503652039325
1739209904.0350928;-45.120503652039325
1739209904.0350964;-38.13080360867914
1739209904.0351002;-30.49652367304973
1739209904.0351038;-38.13080360867914
1739209904.0351074;-45.120503652039325
1739209904.0351112;-38.13080360867914
1739209904.0351148;-35.57807855764607
1739209904.0351186;-45.120503652039325
1739209904.0351222;-45.120503652039325
1739209904.035126;-38.13080360867914
1739209904.0351295;-38.13080360867914
1739209904.0351334;-38.13080360867914
1739209904.035137;-45.120503652039325
1739209904.0351408;-38.13080360867914
1739209904.0351443;-38.13080360867914
1739209904.0351481;-45.120503652039325
1739209904.0351517;-45.120503652039325
1739209904.0351555;-45.120503652039325
1739209904.035159;-45.120503652039325
1739209904.0351627;-45.120503652039325
1739209904.0351665;-45.120503652039325
