CAN Message; 0x98:0000e2999a5cfede
Timestamp;Amplitude
1739209916.0595963;-38.13080360867914
1739209916.0596004;-45.120503652039325
1739209916.0596042;-45.120503652039325
1739209916.0596082;-45.120503652039325
1739209916.0596123;-45.120503652039325
1739209916.0596163;-45.120503652039325
1739209916.0596201;-35.57807855764607
1739209916.0596242;-32.816014438256545
1739209916.0596282;-38.13080360867914
1739209916.0596323;-38.13080360867914
1739209916.0596364;-38.13080360867914
1739209916.0596402;-35.57807855764607
1739209916.0596442;-45.120503652039325
1739209916.0596483;-38.13080360867914
1739209916.0596523;-33.981070128970906
1739209916.0596564;-45.120503652039325
1739209916.0596602;-45.120503652039325
1739209916.0596642;-45.120503652039325
1739209916.0596683;-38.13080360867914
1739209916.0596724;-33.981070128970906
1739209916.0596762;-45.120503652039325
1739209916.0596802;-45.120503652039325
1739209916.0596843;-45.120503652039325
1739209916.0596883;-38.13080360867914
1739209916.0596924;-35.57807855764607
1739209916.0596962;-38.13080360867914
1739209916.0597003;-38.13080360867914
1739209916.0597043;-38.13080360867914
1739209916.0597084;-35.57807855764607
1739209916.0597124;-38.13080360867914
1739209916.0597162;-38.13080360867914
1739209916.0597203;-35.57807855764607
1739209916.0597243;-38.13080360867914
1739209916.0597284;-45.120503652039325
1739209916.0597322;-33.981070128970906
1739209916.0597363;-45.120503652039325
1739209916.0597403;-45.120503652039325
1739209916.0597444;-45.120503652039325
1739209916.0597484;-45.120503652039325
1739209916.0597522;-45.120503652039325
1739209916.0597563;-33.981070128970906
1739209916.0597603;-38.13080360867914
1739209916.0597644;-45.120503652039325
1739209916.0597684;-45.120503652039325
1739209916.0597723;-38.13080360867914
1739209916.0597763;-38.13080360867914
1739209916.0597804;-45.120503652039325
1739209916.0597844;-35.57807855764607
1739209916.0597882;-45.120503652039325
1739209916.0597923;-45.120503652039325
1739209916.0597963;-45.120503652039325
1739209916.0598004;-38.13080360867914
1739209916.0598044;-45.120503652039325
1739209916.0598083;-45.120503652039325
1739209916.0598123;-45.120503652039325
1739209916.0598164;-38.13080360867914
1739209916.0598204;-45.120503652039325
1739209916.0598242;-38.13080360867914
1739209916.0598283;-38.13080360867914
1739209916.0598323;-45.120503652039325
1739209916.0598364;-33.981070128970906
1739209916.0598404;-35.57807855764607
1739209916.0598443;-38.13080360867914
1739209916.0598483;-45.120503652039325
1739209916.0598524;-32.816014438256545
1739209916.0598564;-30.49652367304973
1739209916.0598605;-45.120503652039325
1739209916.0598643;-45.120503652039325
1739209916.0598683;-45.120503652039325
1739209916.0598724;-45.120503652039325
1739209916.0598764;-45.120503652039325
1739209916.0598803;-38.13080360867914
1739209916.0598843;-38.13080360867914
1739209916.0598884;-38.13080360867914
1739209916.0598924;-35.57807855764607
1739209916.0598965;-38.13080360867914
1739209916.0599003;-45.120503652039325
1739209916.0599043;-45.120503652039325
1739209916.0599084;-35.57807855764607
1739209916.0599124;-45.120503652039325
1739209916.0599165;-28.58837851428586
1739209916.0599203;-30.49652367304973
1739209916.0599244;-45.120503652039325
1739209916.0599284;-45.120503652039325
1739209916.0599325;-35.57807855764607
1739209916.0599363;-31.141103565318893
1739209916.0599403;-45.120503652039325
1739209916.0599444;-45.120503652039325
1739209916.0599484;-45.120503652039325
1739209916.0599525;-45.120503652039325
1739209916.0599563;-45.120503652039325
1739209916.0599604;-45.120503652039325
1739209916.0599644;-45.120503652039325
1739209916.0599685;-45.120503652039325
1739209916.0599723;-38.13080360867914
1739209916.0599763;-45.120503652039325
1739209916.0599804;-38.13080360867914
1739209916.0599844;-45.120503652039325
1739209916.0599885;-35.57807855764607
1739209916.0599923;-45.120503652039325
1739209916.0599964;-45.120503652039325
1739209916.0600004;-35.57807855764607
1739209916.0600045;-38.13080360867914
1739209916.0600085;-38.13080360867914
1739209916.0600123;-32.816014438256545
1739209916.0600164;-29.438486411369333
1739209916.0600204;-45.120503652039325
1739209916.0600245;-38.13080360867914
1739209916.0600283;-35.57807855764607
1739209916.0600324;-32.816014438256545
1739209916.0600364;-45.120503652039325
1739209916.0600405;-45.120503652039325
1739209916.0600445;-45.120503652039325
1739209916.0600483;-33.981070128970956
1739209916.0600524;-45.120503652039325
1739209916.0600564;-45.120503652039325
1739209916.0600605;-45.120503652039325
1739209916.0600646;-45.120503652039325
1739209916.0600684;-38.13080360867914
1739209916.0600724;-38.13080360867914
1739209916.0600765;-38.13080360867914
1739209916.0600805;-30.49652367304973
1739209916.0600843;-38.13080360867914
1739209916.0600884;-45.120503652039325
1739209916.0600924;-45.120503652039325
1739209916.0600965;-38.13080360867914
1739209916.0601006;-45.120503652039325
1739209916.0601044;-45.120503652039325
1739209916.0601084;-45.120503652039325
1739209916.0601125;-45.120503652039325
1739209916.0601165;-38.13080360867914
1739209916.0601206;-45.120503652039325
1739209916.0601244;-45.120503652039325
1739209916.0601285;-38.13080360867914
1739209916.0601325;-38.13080360867914
1739209916.0601366;-45.120503652039325
1739209916.0601404;-38.13080360867914
1739209916.0601444;-38.13080360867914
1739209916.0601485;-45.120503652039325
1739209916.0601525;-38.13080360867914
1739209916.0601566;-45.120503652039325
1739209916.0601604;-45.120503652039325
