CAN Message; 0x1d3:00005a213f27b35b
Timestamp;Amplitude
1739209599.4123404;-45.120503652039325
1739209599.4123507;-45.120503652039325
1739209599.412361;-38.13080360867914
1739209599.4123712;-45.120503652039325
1739209599.4123814;-45.120503652039325
1739209599.4123917;-38.13080360867914
1739209599.412402;-31.141103565318943
1739209599.4124122;-45.120503652039325
1739209599.4124224;-35.57807855764607
1739209599.412433;-38.13080360867914
1739209599.4124432;-45.120503652039325
1739209599.4124534;-45.120503652039325
1739209599.4124637;-38.13080360867914
1739209599.412474;-32.816014438256545
1739209599.4124842;-28.58837851428586
1739209599.4124944;-35.57807855764607
1739209599.4125047;-33.981070128970906
1739209599.412515;-45.120503652039325
1739209599.4125252;-32.816014438256545
1739209599.4125354;-35.57807855764607
1739209599.4125457;-38.13080360867914
1739209599.412556;-45.120503652039325
1739209599.4125662;-38.13080360867914
1739209599.4125764;-45.120503652039325
1739209599.4125867;-38.13080360867914
1739209599.412597;-45.120503652039325
1739209599.4126072;-45.120503652039325
1739209599.4126174;-38.13080360867914
1739209599.412628;-45.120503652039325
1739209599.4126382;-38.13080360867914
1739209599.4126484;-35.57807855764607
1739209599.4126587;-45.120503652039325
1739209599.412669;-32.816014438256545
1739209599.4126792;-38.13080360867914
1739209599.4126894;-45.120503652039325
1739209599.4126997;-45.120503652039325
1739209599.41271;-45.120503652039325
1739209599.4127202;-38.13080360867914
1739209599.4127305;-38.13080360867914
1739209599.4127407;-45.120503652039325
1739209599.412751;-45.120503652039325
1739209599.4127612;-45.120503652039325
1739209599.4127715;-35.57807855764607
1739209599.4127817;-35.57807855764607
1739209599.412792;-45.120503652039325
1739209599.4128022;-38.13080360867914
1739209599.4128125;-45.120503652039325
1739209599.412823;-45.120503652039325
1739209599.4128332;-35.57807855764607
1739209599.4128435;-45.120503652039325
1739209599.4128537;-45.120503652039325
1739209599.412864;-38.13080360867914
1739209599.4128742;-33.981070128970906
1739209599.4128845;-45.120503652039325
1739209599.4128947;-28.21854285175415
1739209599.412905;-32.816014438256545
1739209599.4129152;-33.981070128970906
1739209599.4129255;-45.120503652039325
1739209599.4129357;-45.120503652039325
1739209599.412946;-38.13080360867914
1739209599.4129562;-45.120503652039325
1739209599.4129665;-38.13080360867914
1739209599.4129767;-45.120503652039325
1739209599.412987;-45.120503652039325
1739209599.4129972;-31.141103565318893
1739209599.4130075;-45.120503652039325
1739209599.413018;-45.120503652039325
1739209599.4130282;-38.13080360867914
1739209599.4130385;-45.120503652039325
1739209599.4130487;-45.120503652039325
1739209599.413059;-38.13080360867914
1739209599.4130692;-38.13080360867914
1739209599.4130795;-38.13080360867914
1739209599.4130898;-45.120503652039325
1739209599.4131;-45.120503652039325
1739209599.4131103;-45.120503652039325
1739209599.4131205;-35.57807855764607
1739209599.4131308;-38.13080360867914
1739209599.413141;-45.120503652039325
1739209599.4131513;-38.13080360867914
1739209599.4131615;-33.981070128970906
1739209599.4131718;-45.120503652039325
1739209599.413182;-38.13080360867914
1739209599.4131923;-38.13080360867914
1739209599.4132025;-38.13080360867914
1739209599.413213;-38.13080360867914
1739209599.4132233;-45.120503652039325
1739209599.4132335;-45.120503652039325
1739209599.4132438;-45.120503652039325
1739209599.413254;-38.13080360867914
1739209599.4132643;-33.981070128970906
1739209599.4132745;-38.13080360867914
1739209599.4132848;-38.13080360867914
1739209599.413295;-45.120503652039325
1739209599.4133053;-38.13080360867914
1739209599.4133155;-32.816014438256545
1739209599.4133258;-38.13080360867914
1739209599.413336;-38.13080360867914
1739209599.4133463;-38.13080360867914
1739209599.4133565;-33.981070128970906
1739209599.4133668;-38.13080360867914
1739209599.413377;-38.13080360867914
1739209599.4133873;-45.120503652039325
1739209599.4133976;-45.120503652039325
1739209599.413408;-38.13080360867914
1739209599.4134183;-45.120503652039325
1739209599.4134285;-38.13080360867914
1739209599.4134388;-38.13080360867914
1739209599.413449;-38.13080360867914
1739209599.4134593;-45.120503652039325
1739209599.4134696;-38.13080360867914
1739209599.4134798;-38.13080360867914
1739209599.41349;-45.120503652039325
1739209599.4135003;-33.981070128970906
1739209599.4135106;-38.13080360867914
1739209599.4135208;-45.120503652039325
1739209599.413531;-38.13080360867914
1739209599.4135413;-38.13080360867914
1739209599.4135516;-38.13080360867914
1739209599.4135618;-38.13080360867914
1739209599.413572;-38.13080360867914
1739209599.4135823;-33.981070128970906
1739209599.4135926;-38.13080360867914
1739209599.413603;-35.57807855764607
1739209599.4136133;-45.120503652039325
1739209599.4136236;-45.120503652039325
1739209599.4136338;-45.120503652039325
1739209599.413644;-38.13080360867914
1739209599.4136543;-38.13080360867914
1739209599.4136646;-45.120503652039325
1739209599.4136748;-45.120503652039325
1739209599.413685;-45.120503652039325
1739209599.4136953;-45.120503652039325
1739209599.4137056;-38.13080360867914
1739209599.4137158;-38.13080360867914
1739209599.413726;-33.981070128970906
1739209599.4137363;-33.981070128970906
1739209599.4137466;-38.13080360867914
1739209599.4137568;-38.13080360867914
1739209599.413767;-38.13080360867914
1739209599.4137774;-38.13080360867914
1739209599.4137876;-45.120503652039325
1739209599.413798;-38.13080360867914
1739209599.4138083;-33.981070128970906
1739209599.4138186;-45.120503652039325
1739209599.4138288;-45.120503652039325
1739209599.413839;-45.120503652039325
1739209599.4138494;-38.13080360867914
1739209599.4138596;-38.13080360867914
1739209599.4138699;-45.120503652039325
1739209599.41388;-45.120503652039325
1739209599.4138904;-45.120503652039325
1739209599.4139006;-35.57807855764607
1739209599.4139109;-35.57807855764607
1739209599.413921;-45.120503652039325
1739209599.4139314;-38.13080360867914
1739209599.4139416;-45.120503652039325
1739209599.4139519;-38.13080360867914
1739209599.4139621;-35.57807855764607
1739209599.4139724;-33.981070128970906
1739209599.4139826;-33.981070128970906
1739209599.4139931;-45.120503652039325
1739209599.4140034;-45.120503652039325
1739209599.4140136;-38.13080360867914
1739209599.4140239;-38.13080360867914
1739209599.4140341;-45.120503652039325
1739209599.4140444;-45.120503652039325
1739209599.4140546;-38.13080360867914
1739209599.414065;-35.57807855764607
1739209599.4140751;-33.981070128970906
1739209599.4140854;-45.120503652039325
1739209599.4140956;-45.120503652039325
1739209599.414106;-38.13080360867914
1739209599.4141161;-38.13080360867914
1739209599.4141264;-38.13080360867914
1739209599.4141366;-33.981070128970906
1739209599.414147;-28.992665084841942
1739209599.4141572;-38.13080360867914
1739209599.4141674;-45.120503652039325
1739209599.4141777;-38.13080360867914
1739209599.4141881;-38.13080360867914
1739209599.4141984;-38.13080360867914
1739209599.4142087;-45.120503652039325
1739209599.414219;-45.120503652039325
1739209599.4142292;-45.120503652039325
1739209599.4142394;-38.13080360867914
1739209599.4142497;-38.13080360867914
1739209599.41426;-45.120503652039325
1739209599.4142702;-45.120503652039325
1739209599.4142804;-45.120503652039325
1739209599.4142907;-45.120503652039325
1739209599.414301;-45.120503652039325
1739209599.4143112;-38.13080360867914
1739209599.4143214;-35.57807855764607
1739209599.4143317;-38.13080360867914
1739209599.414342;-45.120503652039325
1739209599.4143522;-38.13080360867914
1739209599.4143624;-35.57807855764607
1739209599.4143727;-45.120503652039325
1739209599.4143832;-38.13080360867914
1739209599.4143934;-28.58837851428586
1739209599.4144037;-38.13080360867914
1739209599.414414;-45.120503652039325
1739209599.4144242;-38.13080360867914
1739209599.4144344;-33.981070128970906
1739209599.4144447;-45.120503652039325
1739209599.414455;-38.13080360867914
1739209599.4144652;-38.13080360867914
1739209599.4144754;-31.141103565318943
1739209599.4144857;-45.120503652039325
1739209599.414496;-35.57807855764607
1739209599.4145062;-38.13080360867914
1739209599.4145164;-45.120503652039325
1739209599.4145267;-45.120503652039325
1739209599.414537;-38.13080360867914
1739209599.4145472;-32.816014438256545
1739209599.4145575;-26.487275050834715
1739209599.4145677;-38.13080360867914
1739209599.4145782;-45.120503652039325
1739209599.4145885;-45.120503652039325
1739209599.4145987;-38.13080360867914
1739209599.414609;-45.120503652039325
1739209599.4146192;-38.13080360867914
1739209599.4146295;-45.120503652039325
1739209599.4146397;-45.120503652039325
1739209599.41465;-45.120503652039325
1739209599.4146602;-38.13080360867914
1739209599.4146705;-45.120503652039325
1739209599.4146807;-35.57807855764607
1739209599.414691;-35.57807855764607
1739209599.4147012;-38.13080360867914
1739209599.4147115;-38.13080360867914
1739209599.4147217;-45.120503652039325
1739209599.414732;-45.120503652039325
1739209599.4147422;-32.816014438256545
1739209599.4147525;-38.13080360867914
1739209599.4147627;-45.120503652039325
1739209599.4147732;-33.981070128970906
1739209599.4147835;-45.120503652039325
1739209599.4147937;-45.120503652039325
1739209599.414804;-31.141103565318893
1739209599.4148142;-45.120503652039325
1739209599.4148245;-45.120503652039325
1739209599.4148347;-38.13080360867914
1739209599.414845;-32.816014438256545
1739209599.4148552;-35.57807855764607
1739209599.4148655;-45.120503652039325
1739209599.4148757;-38.13080360867914
1739209599.414886;-45.120503652039325
1739209599.4148962;-38.13080360867914
1739209599.4149065;-35.57807855764607
1739209599.4149168;-38.13080360867914
1739209599.414927;-38.13080360867914
1739209599.4149373;-38.13080360867914
1739209599.4149475;-32.816014438256545
1739209599.414958;-38.13080360867914
1739209599.4149683;-35.57807855764607
1739209599.4149785;-38.13080360867914
1739209599.4149888;-35.57807855764607
1739209599.414999;-38.13080360867914
1739209599.4150093;-45.120503652039325
1739209599.4150195;-38.13080360867914
1739209599.4150298;-45.120503652039325
1739209599.41504;-45.120503652039325
1739209599.4150503;-45.120503652039325
1739209599.4150605;-38.13080360867914
1739209599.4150708;-45.120503652039325
1739209599.415081;-38.13080360867914
1739209599.4150913;-45.120503652039325
1739209599.4151015;-38.13080360867914
1739209599.4151118;-45.120503652039325
1739209599.415122;-45.120503652039325
1739209599.4151323;-45.120503652039325
1739209599.4151425;-38.13080360867914
1739209599.415153;-45.120503652039325
1739209599.4151633;-45.120503652039325
1739209599.4151735;-45.120503652039325
1739209599.4151838;-45.120503652039325
1739209599.415194;-45.120503652039325
1739209599.4152043;-45.120503652039325
1739209599.4152145;-45.120503652039325
1739209599.4152248;-38.13080360867914
1739209599.415235;-38.13080360867914
1739209599.4152453;-33.981070128970906
1739209599.4152555;-38.13080360867914
1739209599.4152658;-33.981070128970906
1739209599.415276;-45.120503652039325
1739209599.4152863;-45.120503652039325
1739209599.4152966;-38.13080360867914
1739209599.4153068;-31.141103565318915
1739209599.415317;-45.120503652039325
1739209599.4153273;-45.120503652039325
1739209599.4153376;-38.13080360867914
1739209599.415348;-33.981070128970906
1739209599.4153583;-45.120503652039325
1739209599.4153686;-45.120503652039325
1739209599.4153788;-45.120503652039325
1739209599.415389;-38.13080360867914
1739209599.4153993;-35.57807855764607
1739209599.4154096;-45.120503652039325
1739209599.4154198;-45.120503652039325
1739209599.41543;-38.13080360867914
1739209599.4154403;-38.13080360867914
1739209599.4154506;-38.13080360867914
1739209599.4154608;-45.120503652039325
1739209599.415471;-31.141103565318915
1739209599.4154813;-33.981070128970906
1739209599.4154916;-45.120503652039325
1739209599.4155018;-45.120503652039325
1739209599.415512;-38.13080360867914
1739209599.4155223;-38.13080360867914
1739209599.4155326;-45.120503652039325
1739209599.415543;-45.120503652039325
1739209599.4155533;-28.992665084841942
1739209599.4155636;-38.13080360867914
1739209599.4155738;-38.13080360867914
1739209599.415584;-38.13080360867914
1739209599.4155943;-33.981070128970906
1739209599.4156046;-45.120503652039325
1739209599.4156148;-38.13080360867914
1739209599.415625;-38.13080360867914
1739209599.4156353;-33.981070128970906
1739209599.4156456;-38.13080360867914
1739209599.4156559;-45.120503652039325
1739209599.415666;-45.120503652039325
1739209599.4156764;-38.13080360867914
1739209599.4156866;-38.13080360867914
