CAN Message; 0x1a7:000048cc2bbe00e4
Timestamp;Amplitude
1739209611.6316233;-45.120503652039325
1739209611.6316311;-45.120503652039325
1739209611.631639;-38.13080360867914
1739209611.6316469;-38.13080360867914
1739209611.6316547;-38.13080360867914
1739209611.6316628;-38.13080360867914
1739209611.6316707;-45.120503652039325
1739209611.6316786;-45.120503652039325
1739209611.6316864;-35.57807855764607
1739209611.6316943;-38.13080360867914
1739209611.6317022;-45.120503652039325
1739209611.63171;-45.120503652039325
1739209611.631718;-32.816014438256545
1739209611.6317258;-31.141103565318915
1739209611.6317337;-45.120503652039325
1739209611.6317415;-45.120503652039325
1739209611.6317496;-28.21854285175415
1739209611.6317575;-32.816014438256545
1739209611.6317654;-38.13080360867914
1739209611.6317732;-33.981070128970906
1739209611.631781;-38.13080360867914
1739209611.631789;-32.81601443825658
1739209611.6317968;-38.13080360867914
1739209611.6318047;-38.13080360867914
1739209611.6318126;-38.13080360867914
1739209611.6318204;-45.120503652039325
1739209611.6318285;-38.13080360867914
1739209611.6318364;-45.120503652039325
1739209611.6318443;-38.13080360867914
1739209611.6318521;-27.267205301931607
1739209611.63186;-38.13080360867914
1739209611.631868;-38.13080360867914
1739209611.6318758;-45.120503652039325
1739209611.6318836;-45.120503652039325
1739209611.6318915;-45.120503652039325
1739209611.6318994;-45.120503652039325
1739209611.6319072;-45.120503652039325
1739209611.6319153;-32.816014438256545
1739209611.6319232;-45.120503652039325
1739209611.631931;-38.13080360867914
1739209611.631939;-38.13080360867914
1739209611.6319468;-45.120503652039325
1739209611.6319547;-45.120503652039325
1739209611.6319625;-38.13080360867914
1739209611.6319704;-38.13080360867914
1739209611.6319783;-31.141103565318915
1739209611.6319861;-38.13080360867914
1739209611.6319942;-35.57807855764607
1739209611.632002;-45.120503652039325
1739209611.63201;-45.120503652039325
1739209611.6320179;-38.13080360867914
1739209611.6320257;-38.13080360867914
1739209611.6320336;-45.120503652039325
1739209611.6320415;-38.13080360867914
1739209611.6320493;-38.13080360867914
1739209611.6320572;-45.120503652039325
1739209611.632065;-45.120503652039325
1739209611.632073;-45.120503652039325
1739209611.632081;-45.120503652039325
1739209611.632089;-45.120503652039325
1739209611.6320968;-45.120503652039325
1739209611.6321046;-38.13080360867914
1739209611.6321125;-45.120503652039325
1739209611.6321204;-45.120503652039325
1739209611.6321282;-35.57807855764607
1739209611.632136;-38.13080360867914
1739209611.632144;-45.120503652039325
1739209611.6321518;-38.13080360867914
1739209611.6321597;-45.120503652039325
1739209611.6321678;-33.981070128970906
1739209611.6321757;-38.13080360867914
1739209611.6321836;-45.120503652039325
1739209611.6321914;-45.120503652039325
1739209611.6321993;-38.13080360867914
