CAN Message; 0x1bb:000094707e8d98d3
Timestamp;Amplitude
1739209613.297794;-32.81601443825658
1739209613.2978003;-45.120503652039325
1739209613.2978063;-33.981070128970906
1739209613.2978122;-45.120503652039325
1739209613.2978182;-45.120503652039325
1739209613.2978244;-35.57807855764607
1739209613.2978303;-35.57807855764607
1739209613.2978363;-45.120503652039325
1739209613.2978423;-28.992665084841942
1739209613.2978485;-38.13080360867914
1739209613.2978544;-45.120503652039325
1739209613.2978604;-45.120503652039325
1739209613.2978663;-35.57807855764607
1739209613.2978725;-45.120503652039325
1739209613.2978785;-45.120503652039325
1739209613.2978845;-45.120503652039325
1739209613.2978907;-35.57807855764607
1739209613.2978966;-45.120503652039325
1739209613.2979026;-38.13080360867914
1739209613.2979085;-33.981070128970906
1739209613.2979147;-38.13080360867914
1739209613.2979207;-33.981070128970906
1739209613.2979267;-45.120503652039325
1739209613.2979326;-38.13080360867914
1739209613.2979388;-31.141103565318915
1739209613.2979448;-38.13080360867914
1739209613.2979507;-38.13080360867914
1739209613.297957;-45.120503652039325
1739209613.297963;-38.13080360867914
1739209613.2979689;-45.120503652039325
1739209613.2979748;-45.120503652039325
1739209613.297981;-45.120503652039325
1739209613.297987;-38.13080360867914
1739209613.297993;-38.13080360867914
1739209613.297999;-45.120503652039325
1739209613.298005;-38.13080360867914
1739209613.298011;-45.120503652039325
1739209613.298017;-35.57807855764607
1739209613.298023;-35.57807855764607
1739209613.2980292;-38.13080360867914
1739209613.2980351;-38.13080360867914
1739209613.298041;-45.120503652039325
1739209613.2980473;-45.120503652039325
1739209613.2980533;-45.120503652039325
1739209613.2980592;-38.13080360867914
1739209613.2980652;-45.120503652039325
1739209613.2980714;-38.13080360867914
1739209613.2980773;-45.120503652039325
1739209613.2980833;-38.13080360867914
1739209613.2980893;-38.13080360867914
1739209613.2980955;-45.120503652039325
1739209613.2981014;-45.120503652039325
1739209613.2981074;-38.13080360867914
1739209613.2981136;-32.816014438256545
1739209613.2981195;-45.120503652039325
1739209613.2981255;-45.120503652039325
1739209613.2981315;-45.120503652039325
1739209613.2981377;-45.120503652039325
1739209613.2981436;-45.120503652039325
1739209613.2981496;-38.13080360867914
1739209613.2981555;-45.120503652039325
1739209613.2981617;-45.120503652039325
1739209613.2981677;-45.120503652039325
1739209613.2981737;-45.120503652039325
1739209613.2981796;-38.13080360867914
1739209613.2981858;-38.13080360867914
1739209613.2981918;-45.120503652039325
1739209613.2981977;-45.120503652039325
1739209613.298204;-38.13080360867914
1739209613.29821;-38.13080360867914
1739209613.2982159;-45.120503652039325
1739209613.2982218;-38.13080360867914
1739209613.298228;-38.13080360867914
1739209613.298234;-45.120503652039325
1739209613.29824;-45.120503652039325
1739209613.298246;-38.13080360867914
1739209613.298252;-38.13080360867914
1739209613.298258;-38.13080360867914
1739209613.298264;-38.13080360867914
1739209613.29827;-35.57807855764607
1739209613.2982762;-35.57807855764607
1739209613.2982821;-45.120503652039325
1739209613.298288;-45.120503652039325
1739209613.2982943;-38.13080360867914
1739209613.2983003;-38.13080360867914
1739209613.2983062;-45.120503652039325
1739209613.2983122;-45.120503652039325
1739209613.2983184;-38.13080360867914
1739209613.2983243;-45.120503652039325
1739209613.2983303;-32.816014438256545
1739209613.2983363;-35.57807855764607
1739209613.2983425;-45.120503652039325
1739209613.2983484;-45.120503652039325
1739209613.2983544;-35.57807855764607
1739209613.2983606;-35.57807855764607
1739209613.2983665;-38.13080360867914
1739209613.2983725;-38.13080360867914
1739209613.2983785;-45.120503652039325
1739209613.2983847;-45.120503652039325
1739209613.2983906;-45.120503652039325
1739209613.2983966;-45.120503652039325
1739209613.2984025;-45.120503652039325
1739209613.2984087;-38.13080360867914
1739209613.2984147;-45.120503652039325
1739209613.2984207;-45.120503652039325
1739209613.2984266;-32.816014438256545
1739209613.2984328;-32.816014438256545
1739209613.2984388;-45.120503652039325
1739209613.2984447;-38.13080360867914
1739209613.298451;-35.57807855764607
1739209613.298457;-35.57807855764607
1739209613.2984629;-45.120503652039325
1739209613.2984688;-35.57807855764607
1739209613.298475;-45.120503652039325
1739209613.298481;-45.120503652039325
1739209613.298487;-38.13080360867914
1739209613.298493;-35.57807855764607
1739209613.298499;-45.120503652039325
1739209613.298505;-45.120503652039325
1739209613.298511;-38.13080360867914
1739209613.298517;-38.13080360867914
1739209613.2985232;-45.120503652039325
1739209613.2985291;-45.120503652039325
1739209613.298535;-35.57807855764607
1739209613.2985413;-38.13080360867914
1739209613.2985473;-38.13080360867914
1739209613.2985532;-38.13080360867914
1739209613.2985592;-33.981070128970906
1739209613.2985654;-38.13080360867914
1739209613.2985713;-33.981070128970906
1739209613.2985773;-33.981070128970906
1739209613.2985833;-45.120503652039325
1739209613.2985895;-45.120503652039325
1739209613.2985954;-45.120503652039325
1739209613.2986014;-45.120503652039325
1739209613.2986076;-45.120503652039325
1739209613.2986135;-38.13080360867914
1739209613.2986195;-35.57807855764607
1739209613.2986255;-45.120503652039325
1739209613.2986317;-45.120503652039325
1739209613.2986376;-45.120503652039325
1739209613.2986436;-38.13080360867914
1739209613.2986495;-45.120503652039325
1739209613.2986557;-35.57807855764607
1739209613.2986617;-45.120503652039325
1739209613.2986677;-31.141103565318893
1739209613.2986736;-28.21854285175415
1739209613.2986798;-45.120503652039325
1739209613.2986858;-45.120503652039325
1739209613.2986917;-35.57807855764607
1739209613.298698;-35.57807855764607
1739209613.298704;-45.120503652039325
1739209613.2987099;-38.13080360867914
1739209613.2987158;-35.57807855764607
1739209613.298722;-38.13080360867914
1739209613.298728;-45.120503652039325
1739209613.298734;-38.13080360867914
1739209613.29874;-38.13080360867914
1739209613.298746;-38.13080360867914
1739209613.298752;-38.13080360867914
1739209613.298758;-38.13080360867914
