CAN Message; 0x1bb:000065bcddb97c2c
Timestamp;Amplitude
1739209682.340431;-45.120503652039325
1739209682.3404353;-45.120503652039325
1739209682.3404393;-38.13080360867914
1739209682.3404436;-35.57807855764607
1739209682.340448;-45.120503652039325
1739209682.3404522;-45.120503652039325
1739209682.3404565;-38.13080360867914
1739209682.3404605;-38.13080360867914
1739209682.3404648;-45.120503652039325
1739209682.3404691;-33.981070128970906
1739209682.3404734;-32.816014438256545
1739209682.3404777;-38.13080360867914
1739209682.3404818;-45.120503652039325
1739209682.340486;-38.13080360867914
1739209682.3404903;-38.13080360867914
1739209682.3404946;-45.120503652039325
1739209682.340499;-38.13080360867914
1739209682.340503;-38.13080360867914
1739209682.3405073;-38.13080360867914
1739209682.3405116;-38.13080360867914
1739209682.3405159;-45.120503652039325
1739209682.3405201;-35.57807855764607
1739209682.3405242;-38.13080360867914
1739209682.3405285;-38.13080360867914
1739209682.3405328;-45.120503652039325
1739209682.340537;-38.13080360867914
1739209682.3405414;-35.57807855764607
1739209682.3405454;-38.13080360867914
1739209682.3405497;-45.120503652039325
1739209682.340554;-38.13080360867914
1739209682.3405583;-45.120503652039325
1739209682.3405626;-33.981070128970906
1739209682.3405666;-45.120503652039325
1739209682.340571;-38.13080360867914
1739209682.3405752;-38.13080360867914
1739209682.3405795;-45.120503652039325
1739209682.3405838;-45.120503652039325
1739209682.3405879;-45.120503652039325
1739209682.3405921;-35.57807855764607
1739209682.3405964;-38.13080360867914
1739209682.3406007;-38.13080360867914
1739209682.340605;-35.57807855764607
1739209682.340609;-35.57807855764607
1739209682.3406134;-38.13080360867914
1739209682.3406177;-45.120503652039325
1739209682.340622;-38.13080360867914
1739209682.3406262;-45.120503652039325
1739209682.3406303;-33.981070128970906
1739209682.3406346;-45.120503652039325
1739209682.3406389;-45.120503652039325
1739209682.3406432;-38.13080360867914
1739209682.3406475;-38.13080360867914
1739209682.3406515;-45.120503652039325
1739209682.3406558;-45.120503652039325
1739209682.34066;-38.13080360867914
1739209682.3406644;-38.13080360867914
1739209682.3406687;-45.120503652039325
1739209682.340673;-45.120503652039325
1739209682.340677;-33.981070128970906
1739209682.3406813;-33.981070128970906
1739209682.3406856;-45.120503652039325
1739209682.34069;-38.13080360867914
1739209682.3406942;-38.13080360867914
1739209682.3406982;-38.13080360867914
1739209682.3407025;-45.120503652039325
1739209682.3407068;-35.57807855764607
1739209682.340711;-38.13080360867914
1739209682.3407154;-38.13080360867914
1739209682.3407195;-45.120503652039325
1739209682.3407238;-38.13080360867914
1739209682.340728;-35.57807855764607
1739209682.3407323;-38.13080360867914
1739209682.3407366;-45.120503652039325
1739209682.3407407;-45.120503652039325
1739209682.340745;-35.57807855764607
1739209682.3407493;-38.13080360867914
1739209682.3407536;-38.13080360867914
1739209682.3407578;-33.981070128970906
1739209682.340762;-38.13080360867914
1739209682.3407662;-33.981070128970906
1739209682.3407705;-45.120503652039325
1739209682.3407748;-45.120503652039325
1739209682.340779;-45.120503652039325
1739209682.340783;-38.13080360867914
1739209682.3407874;-45.120503652039325
1739209682.3407917;-38.13080360867914
1739209682.340796;-45.120503652039325
1739209682.3408003;-45.120503652039325
1739209682.3408043;-45.120503652039325
1739209682.3408086;-45.120503652039325
1739209682.340813;-35.57807855764607
1739209682.3408172;-45.120503652039325
1739209682.3408215;-45.120503652039325
1739209682.3408256;-38.13080360867914
1739209682.3408298;-38.13080360867914
