CAN Message; 0x1a7:0000d1bcdf5e19a7
Timestamp;Amplitude
1739209686.6618545;-35.57807855764607
1739209686.6618571;-38.13080360867914
1739209686.6618595;-38.13080360867914
1739209686.6618621;-38.13080360867914
1739209686.6618648;-45.120503652039325
1739209686.6618674;-35.57807855764607
1739209686.66187;-38.13080360867914
1739209686.6618724;-38.13080360867914
1739209686.661875;-38.13080360867914
1739209686.6618776;-45.120503652039325
1739209686.6618803;-45.120503652039325
1739209686.6618829;-38.13080360867914
1739209686.6618853;-45.120503652039325
1739209686.661888;-38.13080360867914
1739209686.6618905;-45.120503652039325
1739209686.6618931;-45.120503652039325
1739209686.6618958;-38.13080360867914
1739209686.6618981;-45.120503652039325
1739209686.6619008;-38.13080360867914
1739209686.6619034;-45.120503652039325
1739209686.661906;-45.120503652039325
1739209686.6619084;-35.57807855764607
1739209686.661911;-38.13080360867914
1739209686.6619136;-45.120503652039325
1739209686.6619163;-38.13080360867914
1739209686.6619189;-38.13080360867914
1739209686.6619213;-38.13080360867914
1739209686.661924;-38.13080360867914
1739209686.6619265;-38.13080360867914
1739209686.6619291;-45.120503652039325
1739209686.6619318;-45.120503652039325
1739209686.6619341;-33.981070128970906
1739209686.6619368;-45.120503652039325
1739209686.6619394;-35.57807855764607
1739209686.661942;-35.57807855764607
1739209686.6619446;-38.13080360867914
1739209686.661947;-33.981070128970906
1739209686.6619496;-45.120503652039325
1739209686.6619523;-45.120503652039325
1739209686.6619549;-38.13080360867914
1739209686.6619575;-38.13080360867914
1739209686.66196;-45.120503652039325
1739209686.6619625;-45.120503652039325
1739209686.6619651;-45.120503652039325
1739209686.6619678;-38.13080360867914
1739209686.6619704;-45.120503652039325
1739209686.6619728;-38.13080360867914
1739209686.6619754;-28.992665084841942
1739209686.661978;-45.120503652039325
1739209686.6619806;-45.120503652039325
1739209686.6619833;-38.13080360867914
1739209686.6619856;-38.13080360867914
1739209686.6619883;-45.120503652039325
1739209686.661991;-38.13080360867914
1739209686.6619935;-45.120503652039325
1739209686.6619961;-35.57807855764607
1739209686.6619985;-38.13080360867914
1739209686.6620011;-38.13080360867914
1739209686.6620038;-45.120503652039325
1739209686.6620064;-32.816014438256545
1739209686.6620088;-35.57807855764607
1739209686.6620114;-45.120503652039325
1739209686.662014;-38.13080360867914
1739209686.6620166;-28.992665084841942
1739209686.6620193;-45.120503652039325
1739209686.6620216;-45.120503652039325
1739209686.6620243;-35.57807855764607
1739209686.662027;-38.13080360867914
1739209686.6620295;-45.120503652039325
1739209686.6620321;-45.120503652039325
1739209686.6620345;-38.13080360867914
1739209686.6620371;-35.57807855764607
1739209686.6620398;-45.120503652039325
1739209686.6620424;-45.120503652039325
1739209686.662045;-45.120503652039325
1739209686.6620474;-38.13080360867914
1739209686.66205;-38.13080360867914
1739209686.6620526;-45.120503652039325
1739209686.6620553;-45.120503652039325
1739209686.6620579;-32.816014438256545
1739209686.6620603;-32.816014438256545
1739209686.662063;-45.120503652039325
1739209686.6620655;-45.120503652039325
1739209686.6620681;-45.120503652039325
1739209686.6620708;-45.120503652039325
1739209686.6620731;-35.57807855764607
1739209686.6620758;-38.13080360867914
1739209686.6620784;-38.13080360867914
1739209686.662081;-38.13080360867914
1739209686.6620836;-38.13080360867914
1739209686.662086;-45.120503652039325
1739209686.6620886;-38.13080360867914
1739209686.6620913;-45.120503652039325
1739209686.6620939;-38.13080360867914
1739209686.6620965;-45.120503652039325
1739209686.662099;-45.120503652039325
1739209686.6621015;-45.120503652039325
1739209686.6621041;-45.120503652039325
1739209686.6621068;-45.120503652039325
1739209686.6621091;-45.120503652039325
1739209686.6621118;-45.120503652039325
1739209686.6621144;-38.13080360867914
1739209686.662117;-33.981070128970906
1739209686.6621196;-35.57807855764607
1739209686.662122;-45.120503652039325
1739209686.6621246;-45.120503652039325
1739209686.6621273;-45.120503652039325
1739209686.6621299;-38.13080360867914
1739209686.6621325;-38.13080360867914
1739209686.662135;-38.13080360867914
1739209686.6621375;-33.981070128970906
1739209686.6621401;-45.120503652039325
1739209686.6621428;-38.13080360867914
1739209686.6621454;-45.120503652039325
1739209686.6621478;-45.120503652039325
1739209686.6621504;-45.120503652039325
1739209686.662153;-31.141103565318915
1739209686.6621556;-45.120503652039325
1739209686.6621583;-45.120503652039325
1739209686.6621606;-31.141103565318893
1739209686.6621633;-38.13080360867914
