CAN Message; 0x98:0000afa433a395f3
Timestamp;Amplitude
1739209697.4093943;-45.120503652039325
1739209697.4093964;-38.13080360867914
1739209697.4093988;-33.981070128970906
1739209697.4094012;-38.13080360867914
1739209697.4094036;-45.120503652039325
1739209697.4094057;-45.120503652039325
1739209697.409408;-45.120503652039325
1739209697.4094105;-33.981070128970906
1739209697.4094126;-38.13080360867914
1739209697.409415;-38.13080360867914
1739209697.4094174;-32.816014438256545
1739209697.4094198;-33.981070128970906
1739209697.409422;-38.13080360867914
1739209697.4094243;-45.120503652039325
1739209697.4094267;-33.981070128970906
1739209697.4094288;-38.13080360867914
1739209697.4094312;-38.13080360867914
1739209697.4094336;-38.13080360867914
1739209697.409436;-38.13080360867914
1739209697.4094381;-45.120503652039325
1739209697.4094405;-45.120503652039325
1739209697.409443;-45.120503652039325
1739209697.409445;-45.120503652039325
1739209697.4094474;-45.120503652039325
1739209697.4094498;-38.13080360867914
1739209697.4094522;-45.120503652039325
1739209697.4094543;-45.120503652039325
1739209697.4094567;-38.13080360867914
1739209697.409459;-45.120503652039325
1739209697.4094613;-38.13080360867914
1739209697.4094636;-45.120503652039325
1739209697.409466;-38.13080360867914
1739209697.4094684;-26.487275050834715
1739209697.4094706;-38.13080360867914
1739209697.409473;-45.120503652039325
1739209697.4094753;-38.13080360867914
1739209697.4094775;-35.57807855764607
1739209697.4094799;-45.120503652039325
1739209697.4094822;-45.120503652039325
1739209697.4094846;-45.120503652039325
1739209697.4094868;-45.120503652039325
1739209697.4094892;-38.13080360867914
1739209697.4094915;-45.120503652039325
1739209697.4094937;-38.13080360867914
1739209697.409496;-45.120503652039325
1739209697.4094985;-45.120503652039325
1739209697.4095008;-45.120503652039325
1739209697.409503;-38.13080360867914
1739209697.4095054;-38.13080360867914
1739209697.4095078;-45.120503652039325
1739209697.40951;-45.120503652039325
1739209697.4095123;-38.13080360867914
1739209697.4095147;-38.13080360867914
1739209697.4095168;-45.120503652039325
1739209697.4095192;-45.120503652039325
1739209697.4095216;-38.13080360867914
1739209697.409524;-26.991370085610722
1739209697.409526;-33.981070128970906
1739209697.4095285;-45.120503652039325
1739209697.4095309;-38.13080360867914
1739209697.409533;-32.816014438256545
1739209697.4095354;-45.120503652039325
1739209697.4095378;-45.120503652039325
1739209697.4095402;-35.57807855764607
1739209697.4095423;-33.981070128970956
1739209697.4095447;-45.120503652039325
1739209697.409547;-45.120503652039325
1739209697.4095492;-38.13080360867914
1739209697.4095516;-45.120503652039325
1739209697.409554;-38.13080360867914
1739209697.4095564;-38.13080360867914
1739209697.4095585;-45.120503652039325
1739209697.409561;-28.992665084841942
1739209697.4095633;-32.816014438256545
1739209697.4095654;-38.13080360867914
1739209697.4095678;-38.13080360867914
1739209697.4095702;-33.981070128970906
1739209697.4095726;-38.13080360867914
1739209697.4095747;-38.13080360867914
1739209697.4095771;-38.13080360867914
1739209697.4095795;-45.120503652039325
1739209697.4095817;-45.120503652039325
1739209697.409584;-45.120503652039325
1739209697.4095864;-45.120503652039325
1739209697.4095888;-45.120503652039325
1739209697.409591;-45.120503652039325
1739209697.4095933;-45.120503652039325
1739209697.4095957;-45.120503652039325
1739209697.4095979;-45.120503652039325
1739209697.4096003;-38.13080360867914
1739209697.4096026;-45.120503652039325
1739209697.409605;-45.120503652039325
1739209697.4096072;-45.120503652039325
1739209697.4096096;-45.120503652039325
1739209697.409612;-45.120503652039325
1739209697.409614;-45.120503652039325
1739209697.4096165;-38.13080360867914
1739209697.4096189;-33.981070128970906
1739209697.4096212;-38.13080360867914
1739209697.4096234;-45.120503652039325
1739209697.4096258;-38.13080360867914
1739209697.4096282;-35.57807855764607
1739209697.4096303;-38.13080360867914
1739209697.4096327;-38.13080360867914
1739209697.409635;-38.13080360867914
1739209697.4096375;-33.981070128970906
1739209697.4096396;-38.13080360867914
1739209697.409642;-38.13080360867914
1739209697.4096444;-45.120503652039325
1739209697.4096465;-45.120503652039325
1739209697.409649;-45.120503652039325
