CAN Message; 0x1bb:0000c2d36c42cb0e
Timestamp;Amplitude
1739209703.9289467;-38.13080360867914
1739209703.9289565;-38.13080360867914
1739209703.928966;-45.120503652039325
1739209703.9289758;-45.120503652039325
1739209703.9289854;-45.120503652039325
1739209703.9289951;-35.57807855764607
1739209703.9290047;-35.57807855764607
1739209703.9290144;-35.57807855764607
1739209703.929024;-28.58837851428586
1739209703.9290338;-45.120503652039325
1739209703.9290433;-45.120503652039325
1739209703.929053;-33.981070128970906
1739209703.9290626;-38.13080360867914
1739209703.9290724;-33.981070128970906
1739209703.929082;-35.57807855764607
1739209703.9290917;-45.120503652039325
1739209703.9291012;-31.141103565318943
1739209703.929111;-33.981070128970906
1739209703.9291205;-38.13080360867914
1739209703.9291303;-45.120503652039325
1739209703.9291399;-45.120503652039325
1739209703.9291496;-38.13080360867914
1739209703.9291592;-32.816014438256545
1739209703.929169;-38.13080360867914
1739209703.9291785;-31.141103565318915
1739209703.9291883;-38.13080360867914
1739209703.9291978;-45.120503652039325
1739209703.9292076;-38.13080360867914
1739209703.929217;-38.13080360867914
1739209703.9292269;-45.120503652039325
1739209703.9292364;-35.57807855764607
1739209703.9292462;-38.13080360867914
1739209703.9292557;-45.120503652039325
1739209703.9292655;-45.120503652039325
1739209703.929275;-38.13080360867914
1739209703.9292846;-45.120503652039325
1739209703.9292943;-38.13080360867914
1739209703.929304;-38.13080360867914
1739209703.9293137;-45.120503652039325
1739209703.9293232;-35.57807855764607
1739209703.929333;-38.13080360867914
1739209703.9293425;-45.120503652039325
1739209703.9293523;-45.120503652039325
1739209703.9293618;-45.120503652039325
1739209703.9293716;-45.120503652039325
1739209703.9293811;-38.13080360867914
1739209703.929391;-45.120503652039325
1739209703.9294004;-45.120503652039325
1739209703.9294102;-32.816014438256545
1739209703.9294198;-38.13080360867914
1739209703.9294295;-45.120503652039325
1739209703.929439;-38.13080360867914
1739209703.9294488;-35.57807855764607
1739209703.9294584;-38.13080360867914
1739209703.9294682;-38.13080360867914
1739209703.9294777;-35.57807855764607
1739209703.9294875;-45.120503652039325
1739209703.929497;-45.120503652039325
1739209703.9295068;-38.13080360867914
1739209703.9295163;-45.120503652039325
1739209703.929526;-45.120503652039325
1739209703.9295356;-38.13080360867914
1739209703.9295454;-38.13080360867914
1739209703.929555;-45.120503652039325
1739209703.9295647;-45.120503652039325
1739209703.9295743;-45.120503652039325
1739209703.929584;-45.120503652039325
1739209703.9295936;-45.120503652039325
1739209703.929603;-38.13080360867914
1739209703.9296129;-38.13080360867914
1739209703.9296224;-45.120503652039325
1739209703.9296322;-45.120503652039325
1739209703.9296417;-45.120503652039325
1739209703.9296515;-45.120503652039325
1739209703.929661;-45.120503652039325
1739209703.9296708;-38.13080360867914
1739209703.9296803;-38.13080360867914
1739209703.9296901;-33.981070128970906
1739209703.9296997;-38.13080360867914
1739209703.9297094;-35.57807855764607
1739209703.929719;-32.816014438256545
1739209703.9297287;-38.13080360867914
1739209703.9297383;-45.120503652039325
1739209703.929748;-38.13080360867914
1739209703.9297576;-38.13080360867914
1739209703.9297674;-45.120503652039325
1739209703.929777;-45.120503652039325
1739209703.9297867;-45.120503652039325
1739209703.9297962;-45.120503652039325
1739209703.929806;-31.141103565318915
1739209703.9298155;-35.57807855764607
1739209703.9298253;-45.120503652039325
1739209703.9298348;-45.120503652039325
1739209703.9298446;-35.57807855764607
1739209703.9298542;-35.57807855764607
1739209703.929864;-38.13080360867914
1739209703.9298735;-45.120503652039325
1739209703.9298832;-45.120503652039325
1739209703.9298928;-38.13080360867914
1739209703.9299026;-38.13080360867914
1739209703.929912;-38.13080360867914
1739209703.9299219;-45.120503652039325
1739209703.9299314;-45.120503652039325
1739209703.929941;-38.13080360867914
1739209703.9299507;-45.120503652039325
1739209703.9299603;-31.141103565318915
1739209703.92997;-32.816014438256545
1739209703.9299796;-38.13080360867914
1739209703.9299893;-45.120503652039325
1739209703.9299989;-33.981070128970906
1739209703.9300086;-38.13080360867914
1739209703.9300182;-45.120503652039325
1739209703.930028;-38.13080360867914
1739209703.9300375;-32.816014438256545
1739209703.9300473;-32.816014438256545
1739209703.9300568;-35.57807855764607
1739209703.9300666;-35.57807855764607
1739209703.9300761;-38.13080360867914
1739209703.930086;-35.57807855764607
1739209703.9300954;-45.120503652039325
1739209703.9301052;-38.13080360867914
