CAN Message; 0x150:04008a6e797ebd91
Timestamp;Amplitude
1739209704.3413699;-45.120503652039325
1739209704.3413737;-45.120503652039325
1739209704.3413773;-38.13080360867914
1739209704.3413808;-38.13080360867914
1739209704.3413846;-38.13080360867914
1739209704.3413882;-45.120503652039325
1739209704.3413918;-45.120503652039325
1739209704.3413956;-35.57807855764607
1739209704.3413992;-35.57807855764607
1739209704.341403;-38.13080360867914
1739209704.3414066;-45.120503652039325
1739209704.3414102;-38.13080360867914
1739209704.341414;-33.981070128970906
1739209704.3414176;-33.981070128970906
1739209704.3414211;-45.120503652039325
1739209704.341425;-45.120503652039325
1739209704.3414285;-45.120503652039325
1739209704.341432;-45.120503652039325
1739209704.341436;-38.13080360867914
1739209704.3414395;-38.13080360867914
1739209704.341443;-35.57807855764607
1739209704.3414469;-38.13080360867914
1739209704.3414505;-45.120503652039325
1739209704.3414543;-45.120503652039325
1739209704.3414578;-45.120503652039325
1739209704.3414614;-45.120503652039325
1739209704.3414652;-38.13080360867914
1739209704.3414688;-45.120503652039325
1739209704.3414724;-45.120503652039325
1739209704.3414762;-38.13080360867914
1739209704.3414798;-38.13080360867914
1739209704.3414834;-38.13080360867914
1739209704.3414872;-38.13080360867914
1739209704.3414907;-38.13080360867914
1739209704.3414943;-38.13080360867914
1739209704.3414981;-45.120503652039325
1739209704.3415017;-45.120503652039325
1739209704.3415053;-38.13080360867914
1739209704.341509;-35.57807855764607
1739209704.3415127;-45.120503652039325
1739209704.3415165;-45.120503652039325
1739209704.34152;-45.120503652039325
1739209704.3415236;-45.120503652039325
1739209704.3415275;-38.13080360867914
1739209704.341531;-33.981070128970906
1739209704.3415346;-27.267205301931607
1739209704.3415384;-45.120503652039325
1739209704.341542;-45.120503652039325
1739209704.3415456;-35.57807855764607
1739209704.3415494;-38.13080360867914
1739209704.341553;-45.120503652039325
1739209704.3415565;-45.120503652039325
1739209704.3415604;-38.13080360867914
1739209704.341564;-38.13080360867914
1739209704.3415675;-38.13080360867914
1739209704.3415713;-38.13080360867914
1739209704.341575;-38.13080360867914
1739209704.3415787;-38.13080360867914
1739209704.3415823;-45.120503652039325
1739209704.3415859;-38.13080360867914
1739209704.3415897;-38.13080360867914
1739209704.3415933;-45.120503652039325
1739209704.3415968;-45.120503652039325
1739209704.3416007;-45.120503652039325
1739209704.3416042;-38.13080360867914
1739209704.3416078;-38.13080360867914
1739209704.3416116;-45.120503652039325
1739209704.3416152;-38.13080360867914
1739209704.3416188;-35.57807855764607
1739209704.3416226;-31.141103565318915
1739209704.3416262;-38.13080360867914
1739209704.34163;-38.13080360867914
1739209704.3416336;-35.57807855764607
1739209704.3416371;-45.120503652039325
1739209704.341641;-45.120503652039325
1739209704.3416445;-45.120503652039325
1739209704.341648;-38.13080360867914
1739209704.341652;-32.81601443825658
1739209704.3416555;-45.120503652039325
1739209704.341659;-38.13080360867914
1739209704.341663;-45.120503652039325
1739209704.3416665;-38.13080360867914
1739209704.34167;-38.13080360867914
1739209704.3416739;-33.981070128970906
1739209704.3416774;-38.13080360867914
1739209704.341681;-38.13080360867914
1739209704.3416848;-38.13080360867914
1739209704.3416884;-35.57807855764607
1739209704.3416922;-38.13080360867914
1739209704.3416958;-45.120503652039325
1739209704.3416994;-38.13080360867914
1739209704.3417032;-38.13080360867914
1739209704.3417068;-45.120503652039325
1739209704.3417103;-32.816014438256545
1739209704.3417141;-38.13080360867914
1739209704.3417177;-45.120503652039325
1739209704.3417213;-38.13080360867914
1739209704.341725;-33.981070128970906
1739209704.3417287;-38.13080360867914
1739209704.3417323;-38.13080360867914
1739209704.341736;-45.120503652039325
1739209704.3417397;-45.120503652039325
1739209704.3417435;-38.13080360867914
1739209704.341747;-38.13080360867914
1739209704.3417506;-45.120503652039325
1739209704.3417544;-38.13080360867914
1739209704.341758;-35.57807855764607
1739209704.3417616;-38.13080360867914
1739209704.3417654;-33.981070128970906
1739209704.341769;-45.120503652039325
1739209704.3417726;-45.120503652039325
1739209704.3417764;-38.13080360867914
1739209704.34178;-38.13080360867914
1739209704.3417835;-38.13080360867914
1739209704.3417873;-45.120503652039325
1739209704.341791;-35.57807855764607
1739209704.3417945;-38.13080360867914
1739209704.3417983;-45.120503652039325
1739209704.341802;-45.120503652039325
1739209704.3418057;-35.57807855764607
1739209704.3418093;-38.13080360867914
1739209704.3418128;-38.13080360867914
1739209704.3418167;-45.120503652039325
1739209704.3418202;-45.120503652039325
1739209704.3418238;-45.120503652039325
1739209704.3418276;-38.13080360867914
1739209704.3418312;-32.816014438256545
1739209704.3418348;-38.13080360867914
1739209704.3418386;-38.13080360867914
1739209704.3418422;-45.120503652039325
1739209704.3418458;-38.13080360867914
1739209704.3418496;-45.120503652039325
1739209704.3418531;-45.120503652039325
1739209704.341857;-38.13080360867914
1739209704.3418605;-45.120503652039325
1739209704.341864;-45.120503652039325
1739209704.341868;-45.120503652039325
1739209704.3418715;-45.120503652039325
1739209704.341875;-45.120503652039325
1739209704.341879;-45.120503652039325
1739209704.3418825;-38.13080360867914
1739209704.341886;-38.13080360867914
1739209704.3418899;-45.120503652039325
