CAN Message; 0x1a7:0000e0bc38968105
Timestamp;Amplitude
1739209706.3222804;-31.141103565318915
1739209706.3222826;-27.877744956031417
1739209706.3222847;-38.13080360867914
1739209706.322287;-30.49652367304973
1739209706.3222892;-26.991370085610736
1739209706.3222914;-27.267205301931607
1739209706.3222935;-38.13080360867914
1739209706.3222957;-38.13080360867914
1739209706.3222978;-28.58837851428586
1739209706.3223;-33.981070128970906
1739209706.3223023;-33.981070128970956
1739209706.3223045;-38.13080360867914
1739209706.3223066;-35.57807855764607
1739209706.3223088;-35.57807855764607
1739209706.322311;-28.992665084841967
1739209706.322313;-21.598678470925666
1739209706.3223152;-22.740042620751332
1739209706.3223176;-31.14110356531892
1739209706.3223197;-28.992665084841967
1739209706.322322;-26.991370085610736
1739209706.322324;-38.13080360867914
1739209706.3223262;-45.120503652039325
1739209706.3223283;-45.120503652039325
1739209706.3223305;-32.816014438256545
1739209706.3223329;-38.13080360867914
1739209706.322335;-38.13080360867914
1739209706.3223372;-31.141103565318943
1739209706.3223393;-31.141103565318915
1739209706.3223414;-31.141103565318915
1739209706.3223436;-38.13080360867914
1739209706.3223457;-38.13080360867914
1739209706.322348;-32.81601443825658
1739209706.3223503;-45.120503652039325
1739209706.3223524;-28.992665084841942
1739209706.3223546;-29.438486411369333
1739209706.3223567;-38.13080360867914
1739209706.3223588;-25.826314394896357
1739209706.322361;-29.438486411369333
1739209706.3223634;-38.13080360867914
1739209706.3223655;-26.487275050834715
1739209706.3223677;-29.438486411369354
1739209706.3223698;-27.877744956031417
1739209706.322372;-22.740042620751332
1739209706.322374;-26.487275050834725
1739209706.3223763;-33.981070128970956
1739209706.3223786;-29.438486411369333
1739209706.3223808;-31.141103565318915
1739209706.322383;-38.13080360867914
1739209706.322385;-33.981070128970956
1739209706.3223872;-35.57807855764607
1739209706.3223894;-32.81601443825658
1739209706.3223915;-28.992665084841967
1739209706.322394;-24.589719217205094
1739209706.322396;-28.58837851428586
1739209706.3223982;-31.141103565318943
1739209706.3224003;-31.141103565318915
1739209706.3224025;-31.141103565318915
1739209706.3224046;-31.141103565318943
1739209706.3224068;-29.438486411369333
1739209706.3224092;-30.49652367304973
1739209706.3224113;-33.981070128970956
1739209706.3224134;-24.746238672633048
1739209706.3224156;-25.62660358559016
1739209706.3224177;-25.62660358559016
1739209706.32242;-38.13080360867914
1739209706.322422;-31.141103565318915
1739209706.3224244;-38.13080360867914
1739209706.3224266;-32.816014438256545
1739209706.3224287;-33.981070128970906
1739209706.3224308;-31.141103565318943
1739209706.322433;-38.13080360867914
1739209706.3224351;-23.50682362968953
1739209706.3224373;-27.267205301931607
1739209706.3224397;-45.120503652039325
1739209706.3224418;-45.120503652039325
1739209706.322444;-25.826314394896354
1739209706.322446;-28.58837851428586
1739209706.3224483;-27.87774495603143
1739209706.3224504;-28.218542851754165
1739209706.3224525;-24.746238672633048
1739209706.322455;-33.981070128970906
1739209706.322457;-45.120503652039325
1739209706.3224592;-31.14110356531892
1739209706.3224614;-35.57807855764607
1739209706.3224635;-38.13080360867914
1739209706.3224657;-25.826314394896357
1739209706.3224678;-28.992665084841942
1739209706.3224702;-28.992665084841942
1739209706.3224723;-32.81601443825658
1739209706.3224745;-30.49652367304976
1739209706.3224766;-30.49652367304976
1739209706.3224788;-31.141103565318915
1739209706.322481;-33.981070128970906
1739209706.322483;-28.992665084841942
1739209706.3224854;-32.816014438256545
1739209706.3224876;-33.981070128970956
1739209706.3224897;-21.676580915188183
1739209706.322492;-31.141103565318893
1739209706.322494;-33.981070128970906
1739209706.3224962;-45.120503652039325
1739209706.3224983;-24.589719217205094
1739209706.3225007;-28.58837851428586
1739209706.3225029;-29.438486411369375
1739209706.322505;-26.991370085610722
1739209706.3225071;-28.58837851428586
1739209706.3225093;-31.141103565318915
1739209706.3225114;-29.438486411369354
