CAN Message; 0x1d3:0000fd55bdb5f073
Timestamp;Amplitude
1739209736.3251348;-38.13080360867914
1739209736.325146;-38.13080360867914
1739209736.325157;-33.981070128970906
1739209736.3251681;-38.13080360867914
1739209736.325179;-45.120503652039325
1739209736.3251903;-45.120503652039325
1739209736.3252013;-45.120503652039325
1739209736.3252125;-38.13080360867914
1739209736.3252234;-45.120503652039325
1739209736.3252344;-45.120503652039325
1739209736.3252456;-38.13080360867914
1739209736.3252566;-38.13080360867914
1739209736.3252678;-45.120503652039325
1739209736.3252788;-45.120503652039325
1739209736.32529;-35.57807855764607
1739209736.325301;-35.57807855764607
1739209736.3253121;-38.13080360867914
1739209736.325323;-38.13080360867914
1739209736.3253343;-38.13080360867914
1739209736.3253453;-45.120503652039325
1739209736.3253562;-38.13080360867914
1739209736.3253675;-35.57807855764607
1739209736.3253784;-45.120503652039325
1739209736.3253896;-45.120503652039325
1739209736.3254006;-45.120503652039325
1739209736.3254118;-45.120503652039325
1739209736.3254228;-45.120503652039325
1739209736.325434;-45.120503652039325
1739209736.325445;-45.120503652039325
1739209736.325456;-45.120503652039325
1739209736.325467;-38.13080360867914
1739209736.325478;-45.120503652039325
1739209736.3254893;-45.120503652039325
1739209736.3255002;-45.120503652039325
1739209736.3255115;-35.57807855764607
1739209736.3255224;-35.57807855764607
1739209736.3255336;-45.120503652039325
1739209736.3255446;-45.120503652039325
1739209736.3255558;-38.13080360867914
1739209736.3255668;-38.13080360867914
1739209736.3255777;-45.120503652039325
1739209736.325589;-35.57807855764607
1739209736.3256;-45.120503652039325
1739209736.325611;-45.120503652039325
1739209736.325622;-38.13080360867914
1739209736.3256333;-38.13080360867914
1739209736.3256443;-33.981070128970906
1739209736.3256555;-45.120503652039325
1739209736.3256664;-45.120503652039325
1739209736.3256774;-45.120503652039325
1739209736.3256886;-35.57807855764607
1739209736.3256996;-32.816014438256545
1739209736.3257108;-35.57807855764607
1739209736.3257217;-45.120503652039325
1739209736.325733;-35.57807855764607
1739209736.325744;-32.816014438256545
1739209736.3257551;-45.120503652039325
1739209736.325766;-45.120503652039325
1739209736.3257773;-45.120503652039325
1739209736.3257883;-45.120503652039325
1739209736.3257992;-38.13080360867914
1739209736.3258104;-45.120503652039325
1739209736.3258214;-38.13080360867914
1739209736.3258326;-45.120503652039325
1739209736.3258436;-45.120503652039325
