CAN Message; 0x98:00002df07c4ca8ad
Timestamp;Amplitude
1739209765.1766243;-45.120503652039325
1739209765.17663;-38.13080360867914
1739209765.1766357;-45.120503652039325
1739209765.1766415;-45.120503652039325
1739209765.1766472;-45.120503652039325
1739209765.176653;-38.13080360867914
1739209765.1766589;-45.120503652039325
1739209765.1766646;-38.13080360867914
1739209765.1766703;-38.13080360867914
1739209765.176676;-45.120503652039325
1739209765.1766818;-30.49652367304973
1739209765.1766875;-32.816014438256545
1739209765.1766932;-38.13080360867914
1739209765.176699;-45.120503652039325
1739209765.1767046;-33.981070128970906
1739209765.1767104;-32.816014438256545
1739209765.176716;-33.981070128970906
1739209765.1767218;-45.120503652039325
1739209765.1767275;-45.120503652039325
1739209765.1767335;-35.57807855764607
1739209765.1767392;-38.13080360867914
1739209765.176745;-45.120503652039325
1739209765.1767507;-45.120503652039325
1739209765.1767564;-45.120503652039325
1739209765.176762;-45.120503652039325
1739209765.1767678;-38.13080360867914
1739209765.1767735;-38.13080360867914
1739209765.1767793;-45.120503652039325
1739209765.176785;-45.120503652039325
1739209765.1767907;-45.120503652039325
1739209765.1767964;-38.13080360867914
1739209765.1768022;-45.120503652039325
1739209765.176808;-45.120503652039325
1739209765.1768138;-45.120503652039325
1739209765.1768196;-38.13080360867914
1739209765.1768253;-38.13080360867914
1739209765.176831;-45.120503652039325
1739209765.1768367;-38.13080360867914
1739209765.1768425;-38.13080360867914
1739209765.1768482;-38.13080360867914
1739209765.176854;-38.13080360867914
1739209765.1768596;-38.13080360867914
1739209765.1768653;-38.13080360867914
1739209765.176871;-38.13080360867914
1739209765.1768768;-33.981070128970906
1739209765.1768827;-38.13080360867914
1739209765.1768885;-38.13080360867914
1739209765.1768942;-45.120503652039325
1739209765.1769;-33.981070128970906
1739209765.1769056;-45.120503652039325
1739209765.1769114;-32.816014438256545
1739209765.176917;-29.438486411369333
1739209765.1769228;-38.13080360867914
1739209765.1769285;-35.57807855764607
1739209765.1769342;-38.13080360867914
1739209765.17694;-38.13080360867914
1739209765.1769457;-38.13080360867914
1739209765.1769514;-35.57807855764607
1739209765.1769571;-45.120503652039325
1739209765.176963;-45.120503652039325
1739209765.1769688;-38.13080360867914
1739209765.1769745;-38.13080360867914
1739209765.1769803;-38.13080360867914
1739209765.176986;-45.120503652039325
1739209765.1769917;-38.13080360867914
1739209765.1769974;-33.981070128970906
1739209765.1770031;-38.13080360867914
1739209765.1770089;-38.13080360867914
1739209765.1770146;-38.13080360867914
1739209765.1770203;-38.13080360867914
1739209765.177026;-38.13080360867914
1739209765.1770318;-45.120503652039325
1739209765.1770377;-45.120503652039325
1739209765.1770434;-45.120503652039325
1739209765.1770492;-38.13080360867914
1739209765.177055;-32.816014438256545
1739209765.1770606;-38.13080360867914
1739209765.1770663;-35.57807855764607
1739209765.177072;-38.13080360867914
1739209765.1770778;-33.981070128970906
1739209765.1770835;-45.120503652039325
1739209765.1770892;-35.57807855764607
1739209765.177095;-45.120503652039325
1739209765.1771007;-32.81601443825658
1739209765.1771064;-38.13080360867914
1739209765.1771123;-45.120503652039325
1739209765.177118;-45.120503652039325
1739209765.1771238;-38.13080360867914
1739209765.1771295;-38.13080360867914
1739209765.1771352;-45.120503652039325
1739209765.177141;-38.13080360867914
1739209765.1771467;-29.438486411369333
1739209765.1771524;-35.57807855764607
1739209765.177158;-35.57807855764607
1739209765.1771638;-45.120503652039325
1739209765.1771696;-38.13080360867914
1739209765.1771753;-45.120503652039325
1739209765.177181;-45.120503652039325
1739209765.177187;-45.120503652039325
1739209765.1771927;-45.120503652039325
1739209765.1771984;-45.120503652039325
1739209765.1772041;-38.13080360867914
1739209765.1772099;-33.981070128970906
1739209765.1772156;-32.816014438256545
1739209765.1772213;-38.13080360867914
1739209765.177227;-45.120503652039325
1739209765.1772327;-38.13080360867914
1739209765.1772385;-45.120503652039325
1739209765.1772442;-35.57807855764607
1739209765.17725;-38.13080360867914
1739209765.1772556;-38.13080360867914
1739209765.1772616;-38.13080360867914
1739209765.1772673;-38.13080360867914
1739209765.177273;-38.13080360867914
1739209765.1772788;-38.13080360867914
1739209765.1772845;-33.981070128970906
1739209765.1772902;-38.13080360867914
1739209765.177296;-45.120503652039325
1739209765.1773016;-38.13080360867914
1739209765.1773074;-38.13080360867914
1739209765.177313;-38.13080360867914
1739209765.1773188;-38.13080360867914
1739209765.1773245;-38.13080360867914
1739209765.1773303;-38.13080360867914
1739209765.1773362;-45.120503652039325
1739209765.177342;-32.816014438256545
1739209765.1773477;-45.120503652039325
1739209765.1773534;-45.120503652039325
1739209765.177359;-33.981070128970906
1739209765.1773648;-38.13080360867914
1739209765.1773705;-38.13080360867914
1739209765.1773763;-28.58837851428586
1739209765.177382;-35.57807855764607
1739209765.1773877;-38.13080360867914
1739209765.1773934;-45.120503652039325
1739209765.1773992;-32.816014438256545
1739209765.1774049;-38.13080360867914
1739209765.1774108;-45.120503652039325
1739209765.1774166;-38.13080360867914
1739209765.1774223;-38.13080360867914
1739209765.177428;-45.120503652039325
1739209765.1774337;-38.13080360867914
1739209765.1774395;-45.120503652039325
1739209765.1774452;-45.120503652039325
1739209765.177451;-45.120503652039325
1739209765.1774566;-45.120503652039325
1739209765.1774623;-45.120503652039325
1739209765.177468;-38.13080360867914
1739209765.1774738;-35.57807855764607
1739209765.1774795;-38.13080360867914
1739209765.1774855;-45.120503652039325
1739209765.1774912;-45.120503652039325
1739209765.177497;-33.981070128970906
1739209765.1775026;-38.13080360867914
1739209765.1775084;-38.13080360867914
1739209765.177514;-45.120503652039325
1739209765.1775198;-38.13080360867914
1739209765.1775255;-38.13080360867914
1739209765.1775312;-45.120503652039325
1739209765.177537;-45.120503652039325
1739209765.1775427;-45.120503652039325
1739209765.1775484;-38.13080360867914
1739209765.1775541;-38.13080360867914
1739209765.1775599;-45.120503652039325
1739209765.1775658;-45.120503652039325
1739209765.1775715;-38.13080360867914
1739209765.1775773;-45.120503652039325
1739209765.177583;-45.120503652039325
1739209765.1775887;-38.13080360867914
1739209765.1775944;-45.120503652039325
1739209765.1776001;-45.120503652039325
1739209765.1776059;-45.120503652039325
1739209765.1776116;-31.141103565318915
1739209765.1776173;-45.120503652039325
1739209765.177623;-45.120503652039325
1739209765.1776288;-45.120503652039325
1739209765.1776345;-32.816014438256545
1739209765.1776404;-38.13080360867914
1739209765.1776462;-45.120503652039325
1739209765.177652;-45.120503652039325
1739209765.1776576;-45.120503652039325
1739209765.1776633;-38.13080360867914
1739209765.177669;-38.13080360867914
1739209765.1776748;-45.120503652039325
1739209765.1776805;-45.120503652039325
1739209765.1776862;-32.816014438256545
1739209765.177692;-45.120503652039325
1739209765.1776977;-45.120503652039325
1739209765.1777034;-28.992665084841942
1739209765.177709;-38.13080360867914
1739209765.177715;-38.13080360867914
1739209765.1777208;-45.120503652039325
1739209765.1777265;-33.981070128970906
1739209765.1777322;-45.120503652039325
1739209765.177738;-38.13080360867914
1739209765.1777437;-38.13080360867914
1739209765.1777494;-38.13080360867914
1739209765.177755;-38.13080360867914
1739209765.1777608;-45.120503652039325
1739209765.1777666;-45.120503652039325
1739209765.1777723;-45.120503652039325
1739209765.177778;-38.13080360867914
1739209765.1777837;-38.13080360867914
1739209765.1777897;-45.120503652039325
1739209765.1777954;-45.120503652039325
1739209765.1778011;-38.13080360867914
1739209765.1778069;-38.13080360867914
1739209765.1778126;-45.120503652039325
1739209765.1778183;-33.981070128970906
1739209765.177824;-38.13080360867914
1739209765.1778297;-38.13080360867914
1739209765.1778355;-38.13080360867914
1739209765.1778412;-38.13080360867914
1739209765.177847;-38.13080360867914
1739209765.1778526;-45.120503652039325
1739209765.1778584;-45.120503652039325
1739209765.1778643;-45.120503652039325
1739209765.17787;-45.120503652039325
1739209765.1778758;-45.120503652039325
1739209765.1778815;-45.120503652039325
1739209765.1778872;-45.120503652039325
1739209765.177893;-45.120503652039325
1739209765.1778986;-38.13080360867914
1739209765.1779044;-45.120503652039325
1739209765.17791;-38.13080360867914
1739209765.1779158;-35.57807855764607
1739209765.1779215;-45.120503652039325
1739209765.1779273;-45.120503652039325
1739209765.177933;-30.49652367304973
1739209765.177939;-30.49652367304973
1739209765.1779447;-45.120503652039325
1739209765.1779504;-38.13080360867914
1739209765.177956;-38.13080360867914
1739209765.1779618;-35.57807855764607
1739209765.1779675;-45.120503652039325
1739209765.1779733;-38.13080360867914
1739209765.177979;-45.120503652039325
1739209765.1779847;-33.981070128970956
1739209765.1779904;-45.120503652039325
1739209765.1779962;-45.120503652039325
1739209765.1780019;-45.120503652039325
1739209765.1780076;-45.120503652039325
1739209765.1780136;-45.120503652039325
1739209765.1780193;-45.120503652039325
1739209765.178025;-29.438486411369333
1739209765.1780307;-27.8777449560314
1739209765.1780365;-45.120503652039325
1739209765.1780422;-38.13080360867914
1739209765.178048;-35.57807855764607
1739209765.1780536;-45.120503652039325
1739209765.1780593;-45.120503652039325
1739209765.178065;-35.57807855764607
1739209765.1780708;-45.120503652039325
1739209765.1780765;-38.13080360867914
1739209765.1780822;-38.13080360867914
1739209765.1780882;-38.13080360867914
1739209765.178094;-45.120503652039325
1739209765.1780996;-45.120503652039325
1739209765.1781054;-45.120503652039325
1739209765.178111;-45.120503652039325
1739209765.1781168;-45.120503652039325
1739209765.1781225;-45.120503652039325
1739209765.1781282;-38.13080360867914
1739209765.178134;-45.120503652039325
1739209765.1781397;-38.13080360867914
1739209765.1781454;-45.120503652039325
1739209765.1781511;-38.13080360867914
1739209765.1781569;-35.57807855764607
1739209765.1781626;-35.57807855764607
1739209765.1781685;-28.58837851428586
1739209765.1781743;-38.13080360867914
1739209765.17818;-45.120503652039325
1739209765.1781857;-38.13080360867914
1739209765.1781914;-31.141103565318893
1739209765.1781971;-45.120503652039325
1739209765.1782029;-45.120503652039325
1739209765.1782086;-38.13080360867914
1739209765.1782143;-38.13080360867914
1739209765.17822;-45.120503652039325
1739209765.1782258;-45.120503652039325
1739209765.1782315;-45.120503652039325
1739209765.1782372;-38.13080360867914
1739209765.1782432;-38.13080360867914
1739209765.178249;-45.120503652039325
1739209765.1782546;-35.57807855764607
1739209765.1782603;-32.816014438256545
1739209765.178266;-45.120503652039325
1739209765.1782718;-45.120503652039325
1739209765.1782775;-38.13080360867914
1739209765.1782832;-38.13080360867914
1739209765.178289;-45.120503652039325
1739209765.1782947;-45.120503652039325
1739209765.1783004;-45.120503652039325
1739209765.178306;-38.13080360867914
1739209765.1783118;-38.13080360867914
1739209765.1783178;-45.120503652039325
1739209765.1783235;-38.13080360867914
1739209765.1783292;-35.57807855764607
1739209765.178335;-38.13080360867914
1739209765.1783407;-45.120503652039325
1739209765.1783464;-45.120503652039325
1739209765.178352;-45.120503652039325
1739209765.1783578;-38.13080360867914
1739209765.1783636;-35.57807855764607
