CAN Message; 0x1b8:02008b1f66a671f1
Timestamp;Amplitude
1739209806.242733;-45.120503652039325
1739209806.2427356;-38.13080360867914
1739209806.242738;-29.438486411369347
1739209806.2427406;-35.57807855764607
1739209806.2427433;-38.13080360867914
1739209806.2427459;-38.13080360867914
1739209806.2427485;-38.13080360867914
1739209806.2427511;-45.120503652039325
1739209806.2427535;-45.120503652039325
1739209806.2427561;-38.13080360867914
1739209806.2427588;-33.981070128970906
1739209806.2427614;-45.120503652039325
1739209806.242764;-38.13080360867914
1739209806.2427666;-35.57807855764607
1739209806.242769;-38.13080360867914
1739209806.2427716;-45.120503652039325
1739209806.2427742;-38.13080360867914
1739209806.2427769;-35.57807855764607
1739209806.2427795;-38.13080360867914
1739209806.242782;-45.120503652039325
1739209806.2427845;-38.13080360867914
1739209806.2427871;-35.57807855764607
1739209806.2427897;-38.13080360867914
1739209806.2427924;-45.120503652039325
1739209806.242795;-38.13080360867914
1739209806.2427976;-35.57807855764607
1739209806.2428;-33.981070128970906
1739209806.2428026;-45.120503652039325
1739209806.2428052;-45.120503652039325
1739209806.2428079;-35.57807855764607
1739209806.2428105;-45.120503652039325
1739209806.242813;-45.120503652039325
1739209806.2428155;-38.13080360867914
1739209806.242818;-38.13080360867914
1739209806.2428207;-29.438486411369347
1739209806.2428234;-45.120503652039325
1739209806.242826;-33.981070128970906
1739209806.2428286;-45.120503652039325
1739209806.242831;-38.13080360867914
1739209806.2428336;-45.120503652039325
1739209806.2428362;-38.13080360867914
1739209806.2428389;-32.816014438256545
1739209806.2428415;-31.141103565318915
1739209806.2428439;-32.816014438256545
1739209806.2428465;-38.13080360867914
1739209806.242849;-45.120503652039325
1739209806.2428517;-45.120503652039325
1739209806.2428544;-45.120503652039325
1739209806.242857;-38.13080360867914
1739209806.2428594;-45.120503652039325
1739209806.242862;-38.13080360867914
1739209806.2428646;-35.57807855764607
1739209806.2428672;-38.13080360867914
1739209806.2428699;-45.120503652039325
1739209806.2428725;-31.141103565318915
1739209806.2428749;-35.57807855764607
1739209806.2428775;-38.13080360867914
1739209806.24288;-45.120503652039325
1739209806.2428827;-38.13080360867914
1739209806.2428854;-33.981070128970906
1739209806.242888;-35.57807855764607
1739209806.2428904;-45.120503652039325
1739209806.242893;-45.120503652039325
1739209806.2428956;-31.141103565318893
1739209806.2428982;-45.120503652039325
1739209806.2429008;-45.120503652039325
1739209806.2429035;-45.120503652039325
1739209806.2429059;-45.120503652039325
1739209806.2429085;-38.13080360867914
1739209806.242911;-45.120503652039325
1739209806.2429137;-45.120503652039325
1739209806.2429163;-45.120503652039325
1739209806.242919;-38.13080360867914
1739209806.2429214;-38.13080360867914
1739209806.242924;-38.13080360867914
1739209806.2429266;-45.120503652039325
1739209806.2429292;-33.981070128970906
1739209806.2429318;-38.13080360867914
1739209806.2429342;-45.120503652039325
1739209806.2429368;-35.57807855764607
1739209806.2429395;-35.57807855764607
1739209806.242942;-38.13080360867914
1739209806.2429447;-33.981070128970906
1739209806.2429473;-38.13080360867914
1739209806.2429497;-45.120503652039325
1739209806.2429523;-45.120503652039325
1739209806.242955;-45.120503652039325
1739209806.2429576;-38.13080360867914
1739209806.2429602;-38.13080360867914
1739209806.2429628;-35.57807855764607
1739209806.2429652;-38.13080360867914
