CAN Message; 0x1d3:000042c25575a59d
Timestamp;Amplitude
1739209855.3874216;-38.13080360867914
1739209855.3874264;-38.13080360867914
1739209855.3874314;-38.13080360867914
1739209855.3874362;-38.13080360867914
1739209855.387441;-38.13080360867914
1739209855.3874457;-38.13080360867914
1739209855.3874507;-38.13080360867914
1739209855.3874555;-45.120503652039325
1739209855.3874602;-45.120503652039325
1739209855.387465;-35.57807855764607
1739209855.3874698;-38.13080360867914
1739209855.3874748;-38.13080360867914
1739209855.3874795;-38.13080360867914
1739209855.3874843;-35.57807855764607
1739209855.387489;-33.981070128970906
1739209855.387494;-38.13080360867914
1739209855.3874989;-38.13080360867914
1739209855.3875036;-45.120503652039325
1739209855.3875084;-33.981070128970906
1739209855.3875134;-45.120503652039325
1739209855.3875182;-38.13080360867914
1739209855.387523;-35.57807855764607
1739209855.3875277;-38.13080360867914
1739209855.3875325;-45.120503652039325
1739209855.3875375;-38.13080360867914
1739209855.3875422;-45.120503652039325
1739209855.387547;-45.120503652039325
1739209855.3875518;-45.120503652039325
1739209855.3875568;-45.120503652039325
1739209855.3875616;-45.120503652039325
1739209855.3875663;-31.141103565318915
1739209855.387571;-38.13080360867914
1739209855.3875759;-38.13080360867914
1739209855.3875809;-38.13080360867914
1739209855.3875856;-38.13080360867914
1739209855.3875904;-38.13080360867914
1739209855.3875952;-33.981070128970906
1739209855.3876002;-45.120503652039325
1739209855.387605;-32.816014438256545
1739209855.3876097;-38.13080360867914
1739209855.3876145;-33.981070128970906
1739209855.3876195;-38.13080360867914
1739209855.3876243;-45.120503652039325
1739209855.387629;-32.816014438256545
1739209855.3876338;-38.13080360867914
1739209855.3876386;-45.120503652039325
1739209855.3876436;-31.141103565318915
1739209855.3876483;-38.13080360867914
1739209855.387653;-45.120503652039325
1739209855.3876579;-38.13080360867914
1739209855.387663;-38.13080360867914
1739209855.3876677;-45.120503652039325
1739209855.3876724;-45.120503652039325
1739209855.3876772;-35.57807855764607
1739209855.387682;-33.981070128970906
1739209855.387687;-45.120503652039325
1739209855.3876917;-38.13080360867914
1739209855.3876965;-45.120503652039325
1739209855.3877013;-33.981070128970906
1739209855.3877063;-45.120503652039325
1739209855.387711;-38.13080360867914
1739209855.3877158;-38.13080360867914
1739209855.3877206;-45.120503652039325
1739209855.3877254;-45.120503652039325
1739209855.3877304;-38.13080360867914
1739209855.3877351;-38.13080360867914
1739209855.38774;-38.13080360867914
1739209855.3877447;-45.120503652039325
1739209855.3877497;-38.13080360867914
1739209855.3877544;-45.120503652039325
1739209855.3877592;-38.13080360867914
1739209855.387764;-38.13080360867914
1739209855.387769;-45.120503652039325
1739209855.3877738;-35.57807855764607
1739209855.3877785;-35.57807855764607
1739209855.3877833;-38.13080360867914
1739209855.387788;-45.120503652039325
1739209855.387793;-38.13080360867914
1739209855.3877978;-35.57807855764607
1739209855.3878026;-38.13080360867914
1739209855.3878074;-38.13080360867914
1739209855.3878124;-45.120503652039325
1739209855.3878171;-45.120503652039325
1739209855.387822;-38.13080360867914
1739209855.3878267;-33.981070128970906
1739209855.3878314;-45.120503652039325
1739209855.3878365;-33.981070128970906
1739209855.3878412;-31.141103565318915
1739209855.387846;-45.120503652039325
1739209855.3878508;-45.120503652039325
1739209855.3878558;-38.13080360867914
1739209855.3878605;-32.816014438256545
1739209855.3878653;-38.13080360867914
1739209855.38787;-38.13080360867914
1739209855.387875;-38.13080360867914
1739209855.3878798;-45.120503652039325
1739209855.3878846;-45.120503652039325
1739209855.3878894;-45.120503652039325
