CAN Message; 0x1d3:0000e178396d4ff6
Timestamp;Amplitude
1739209865.126679;-38.13080360867914
1739209865.1266866;-38.13080360867914
1739209865.126694;-35.57807855764607
1739209865.1267016;-38.13080360867914
1739209865.126709;-45.120503652039325
1739209865.1267166;-38.13080360867914
1739209865.126724;-38.13080360867914
1739209865.1267316;-38.13080360867914
1739209865.126739;-38.13080360867914
1739209865.1267467;-38.13080360867914
1739209865.126754;-45.120503652039325
1739209865.1267617;-45.120503652039325
1739209865.126769;-45.120503652039325
1739209865.1267767;-38.13080360867914
1739209865.126784;-45.120503652039325
1739209865.1267917;-45.120503652039325
1739209865.126799;-33.981070128970906
1739209865.1268067;-38.13080360867914
1739209865.1268141;-38.13080360867914
1739209865.1268218;-45.120503652039325
1739209865.1268291;-35.57807855764607
1739209865.1268368;-38.13080360867914
1739209865.1268442;-31.141103565318915
1739209865.1268518;-32.816014438256545
1739209865.1268592;-45.120503652039325
1739209865.1268668;-45.120503652039325
1739209865.1268742;-45.120503652039325
1739209865.1268818;-38.13080360867914
1739209865.1268892;-45.120503652039325
1739209865.1268969;-33.981070128970906
1739209865.1269042;-45.120503652039325
1739209865.1269119;-32.81601443825658
1739209865.1269193;-35.57807855764607
1739209865.126927;-33.981070128970906
1739209865.1269343;-45.120503652039325
1739209865.126942;-45.120503652039325
1739209865.1269493;-32.816014438256545
1739209865.126957;-38.13080360867914
1739209865.1269643;-32.816014438256545
1739209865.126972;-32.816014438256545
1739209865.1269794;-45.120503652039325
1739209865.126987;-45.120503652039325
1739209865.1269944;-35.57807855764607
1739209865.127002;-33.981070128970906
1739209865.1270094;-45.120503652039325
1739209865.127017;-45.120503652039325
1739209865.1270244;-38.13080360867914
1739209865.127032;-32.816014438256545
1739209865.1270394;-45.120503652039325
1739209865.127047;-45.120503652039325
1739209865.1270545;-32.816014438256545
1739209865.1270618;-32.816014438256545
1739209865.1270695;-38.13080360867914
1739209865.1270769;-33.981070128970906
1739209865.1270845;-45.120503652039325
1739209865.127092;-31.141103565318943
1739209865.1270995;-38.13080360867914
1739209865.127107;-45.120503652039325
1739209865.1271145;-45.120503652039325
1739209865.127122;-45.120503652039325
1739209865.1271296;-38.13080360867914
1739209865.127137;-38.13080360867914
1739209865.1271446;-35.57807855764607
1739209865.127152;-32.816014438256545
1739209865.1271596;-38.13080360867914
1739209865.127167;-38.13080360867914
1739209865.1271746;-38.13080360867914
1739209865.127182;-45.120503652039325
1739209865.1271896;-45.120503652039325
1739209865.127197;-38.13080360867914
1739209865.1272047;-45.120503652039325
1739209865.127212;-38.13080360867914
1739209865.1272197;-35.57807855764607
1739209865.127227;-38.13080360867914
1739209865.1272347;-45.120503652039325
1739209865.127242;-45.120503652039325
1739209865.1272497;-38.13080360867914
1739209865.127257;-38.13080360867914
1739209865.1272647;-35.57807855764607
1739209865.1272721;-38.13080360867914
1739209865.1272798;-45.120503652039325
1739209865.1272871;-45.120503652039325
1739209865.1272948;-38.13080360867914
1739209865.1273022;-45.120503652039325
1739209865.1273098;-45.120503652039325
1739209865.1273172;-45.120503652039325
1739209865.1273248;-38.13080360867914
1739209865.1273322;-33.981070128970906
1739209865.1273398;-38.13080360867914
1739209865.1273472;-38.13080360867914
1739209865.1273549;-45.120503652039325
1739209865.1273623;-45.120503652039325
1739209865.1273699;-33.981070128970906
1739209865.1273773;-38.13080360867914
1739209865.127385;-45.120503652039325
1739209865.1273923;-38.13080360867914
1739209865.1274;-45.120503652039325
1739209865.1274073;-45.120503652039325
1739209865.127415;-45.120503652039325
1739209865.1274223;-45.120503652039325
1739209865.12743;-38.13080360867914
1739209865.1274374;-38.13080360867914
1739209865.1274447;-38.13080360867914
1739209865.1274524;-31.141103565318915
1739209865.1274598;-38.13080360867914
1739209865.1274674;-38.13080360867914
1739209865.1274748;-35.57807855764607
1739209865.1274824;-35.57807855764607
1739209865.1274898;-38.13080360867914
1739209865.1274974;-45.120503652039325
1739209865.1275048;-32.816014438256545
1739209865.1275125;-45.120503652039325
1739209865.1275198;-45.120503652039325
1739209865.1275275;-38.13080360867914
1739209865.1275349;-38.13080360867914
1739209865.1275425;-45.120503652039325
1739209865.12755;-38.13080360867914
1739209865.1275575;-38.13080360867914
1739209865.127565;-45.120503652039325
1739209865.1275725;-45.120503652039325
1739209865.12758;-38.13080360867914
1739209865.1275876;-45.120503652039325
1739209865.127595;-45.120503652039325
1739209865.1276026;-45.120503652039325
1739209865.12761;-45.120503652039325
1739209865.1276176;-45.120503652039325
1739209865.127625;-38.13080360867914
1739209865.1276326;-33.981070128970906
1739209865.12764;-32.816014438256545
1739209865.1276476;-45.120503652039325
1739209865.127655;-38.13080360867914
1739209865.1276627;-33.981070128970906
1739209865.12767;-31.141103565318893
1739209865.1276777;-38.13080360867914
1739209865.127685;-45.120503652039325
1739209865.1276927;-45.120503652039325
1739209865.1277;-45.120503652039325
1739209865.1277077;-45.120503652039325
1739209865.127715;-38.13080360867914
1739209865.1277227;-38.13080360867914
1739209865.1277301;-45.120503652039325
