CAN Message; 0x150:060074f17144f0e4
Timestamp;Amplitude
1739209868.4252255;-45.120503652039325
1739209868.4252286;-38.13080360867914
1739209868.4252317;-45.120503652039325
1739209868.4252348;-45.120503652039325
1739209868.4252377;-38.13080360867914
1739209868.4252408;-45.120503652039325
1739209868.4252439;-45.120503652039325
1739209868.425247;-45.120503652039325
1739209868.42525;-38.13080360867914
1739209868.4252532;-45.120503652039325
1739209868.4252563;-45.120503652039325
1739209868.4252594;-45.120503652039325
1739209868.4252622;-38.13080360867914
1739209868.4252653;-38.13080360867914
1739209868.4252684;-45.120503652039325
1739209868.4252715;-38.13080360867914
1739209868.4252746;-45.120503652039325
1739209868.4252777;-38.13080360867914
1739209868.4252808;-38.13080360867914
1739209868.425284;-35.57807855764607
1739209868.425287;-45.120503652039325
1739209868.4252899;-38.13080360867914
1739209868.425293;-38.13080360867914
1739209868.425296;-45.120503652039325
1739209868.4252992;-38.13080360867914
1739209868.4253023;-38.13080360867914
1739209868.4253054;-38.13080360867914
1739209868.4253085;-38.13080360867914
1739209868.4253116;-35.57807855764607
1739209868.4253144;-31.141103565318915
1739209868.4253175;-45.120503652039325
1739209868.4253206;-45.120503652039325
1739209868.4253237;-45.120503652039325
1739209868.4253268;-28.992665084841942
1739209868.42533;-35.57807855764607
1739209868.425333;-45.120503652039325
1739209868.4253361;-45.120503652039325
1739209868.4253392;-38.13080360867914
1739209868.425342;-38.13080360867914
1739209868.4253452;-45.120503652039325
1739209868.4253483;-45.120503652039325
1739209868.4253514;-45.120503652039325
1739209868.4253545;-38.13080360867914
1739209868.4253576;-45.120503652039325
1739209868.4253607;-38.13080360867914
1739209868.4253638;-38.13080360867914
1739209868.4253666;-45.120503652039325
1739209868.4253697;-45.120503652039325
1739209868.4253728;-33.981070128970906
1739209868.425376;-33.981070128970906
1739209868.425379;-38.13080360867914
1739209868.4253821;-38.13080360867914
1739209868.4253852;-38.13080360867914
1739209868.4253883;-31.141103565318915
1739209868.4253914;-38.13080360867914
1739209868.4253943;-38.13080360867914
1739209868.4253974;-45.120503652039325
1739209868.4254005;-38.13080360867914
1739209868.4254036;-38.13080360867914
1739209868.4254067;-38.13080360867914
1739209868.4254098;-45.120503652039325
1739209868.425413;-38.13080360867914
1739209868.425416;-45.120503652039325
1739209868.4254189;-38.13080360867914
1739209868.425422;-35.57807855764607
1739209868.425425;-35.57807855764607
1739209868.4254282;-38.13080360867914
1739209868.4254313;-35.57807855764607
1739209868.4254344;-38.13080360867914
1739209868.4254375;-35.57807855764607
1739209868.4254405;-38.13080360867914
1739209868.4254436;-45.120503652039325
1739209868.4254465;-38.13080360867914
1739209868.4254496;-28.992665084841942
1739209868.4254527;-33.981070128970906
1739209868.4254558;-38.13080360867914
1739209868.425459;-45.120503652039325
1739209868.425462;-38.13080360867914
1739209868.425465;-45.120503652039325
1739209868.4254682;-45.120503652039325
1739209868.4254713;-38.13080360867914
1739209868.4254742;-35.57807855764607
1739209868.4254773;-33.981070128970906
1739209868.4254804;-45.120503652039325
1739209868.4254835;-45.120503652039325
1739209868.4254866;-38.13080360867914
1739209868.4254897;-38.13080360867914
1739209868.4254928;-45.120503652039325
1739209868.4254959;-45.120503652039325
1739209868.4254987;-38.13080360867914
1739209868.4255018;-38.13080360867914
1739209868.425505;-45.120503652039325
1739209868.425508;-35.57807855764607
1739209868.4255111;-32.816014438256545
1739209868.4255142;-45.120503652039325
1739209868.4255173;-45.120503652039325
1739209868.4255204;-38.13080360867914
1739209868.4255235;-33.981070128970906
1739209868.4255264;-31.141103565318915
1739209868.4255295;-38.13080360867914
1739209868.4255326;-45.120503652039325
1739209868.4255357;-38.13080360867914
1739209868.4255388;-38.13080360867914
1739209868.4255419;-45.120503652039325
1739209868.425545;-38.13080360867914
1739209868.425548;-33.981070128970906
1739209868.425551;-31.141103565318915
1739209868.425554;-38.13080360867914
1739209868.4255571;-38.13080360867914
1739209868.4255602;-38.13080360867914
1739209868.4255633;-38.13080360867914
1739209868.4255664;-38.13080360867914
1739209868.4255695;-38.13080360867914
1739209868.4255726;-38.13080360867914
1739209868.4255757;-33.981070128970906
1739209868.4255786;-38.13080360867914
1739209868.4255817;-45.120503652039325
1739209868.4255848;-45.120503652039325
1739209868.425588;-33.981070128970906
1739209868.425591;-38.13080360867914
1739209868.425594;-38.13080360867914
1739209868.4255972;-33.981070128970906
1739209868.4256003;-31.141103565318915
1739209868.4256032;-45.120503652039325
1739209868.4256063;-33.981070128970906
1739209868.4256094;-32.816014438256545
1739209868.4256124;-45.120503652039325
1739209868.4256155;-45.120503652039325
1739209868.4256186;-33.981070128970906
1739209868.4256217;-38.13080360867914
1739209868.4256248;-32.81601443825658
1739209868.425628;-45.120503652039325
1739209868.4256308;-38.13080360867914
1739209868.425634;-45.120503652039325
1739209868.425637;-35.57807855764607
1739209868.42564;-38.13080360867914
1739209868.4256432;-45.120503652039325
1739209868.4256463;-38.13080360867914
1739209868.4256494;-28.992665084841942
1739209868.4256525;-35.57807855764607
1739209868.4256554;-45.120503652039325
1739209868.4256585;-38.13080360867914
1739209868.4256616;-33.981070128970906
1739209868.4256647;-38.13080360867914
1739209868.4256678;-33.981070128970906
1739209868.4256709;-45.120503652039325
1739209868.425674;-45.120503652039325
1739209868.425677;-45.120503652039325
1739209868.4256802;-38.13080360867914
1739209868.425683;-35.57807855764607
1739209868.4256861;-45.120503652039325
1739209868.4256892;-45.120503652039325
1739209868.4256923;-45.120503652039325
1739209868.4256954;-32.816014438256545
1739209868.4256985;-32.816014438256545
1739209868.4257016;-38.13080360867914
1739209868.4257047;-35.57807855764607
1739209868.4257076;-35.57807855764607
1739209868.4257107;-45.120503652039325
1739209868.4257138;-45.120503652039325
1739209868.4257169;-38.13080360867914
1739209868.42572;-45.120503652039325
1739209868.425723;-45.120503652039325
1739209868.4257262;-45.120503652039325
1739209868.4257293;-45.120503652039325
1739209868.4257324;-45.120503652039325
1739209868.4257352;-38.13080360867914
1739209868.4257383;-45.120503652039325
1739209868.4257414;-45.120503652039325
1739209868.4257445;-45.120503652039325
1739209868.4257476;-45.120503652039325
1739209868.4257507;-45.120503652039325
1739209868.4257538;-33.981070128970906
1739209868.425757;-32.816014438256545
1739209868.4257598;-45.120503652039325
1739209868.425763;-45.120503652039325
1739209868.425766;-33.981070128970906
1739209868.425769;-38.13080360867914
1739209868.4257722;-38.13080360867914
1739209868.4257753;-38.13080360867914
1739209868.4257784;-45.120503652039325
1739209868.4257815;-38.13080360867914
1739209868.4257846;-32.816014438256545
1739209868.4257874;-45.120503652039325
1739209868.4257905;-45.120503652039325
1739209868.4257936;-38.13080360867914
1739209868.4257967;-45.120503652039325
1739209868.4257998;-38.13080360867914
1739209868.425803;-45.120503652039325
1739209868.425806;-38.13080360867914
1739209868.4258091;-45.120503652039325
1739209868.4258122;-38.13080360867914
1739209868.425815;-38.13080360867914
