CAN Message; 0x150:03009128293be3f3
Timestamp;Amplitude
1739209879.9773424;-45.120503652039325
1739209879.9773495;-38.13080360867914
1739209879.9773564;-38.13080360867914
1739209879.9773633;-38.13080360867914
1739209879.9773703;-45.120503652039325
1739209879.9773774;-45.120503652039325
1739209879.9773843;-38.13080360867914
1739209879.9773912;-35.57807855764607
1739209879.9773984;-45.120503652039325
1739209879.9774053;-33.981070128970906
1739209879.9774122;-45.120503652039325
1739209879.9774194;-38.13080360867914
1739209879.9774263;-38.13080360867914
1739209879.9774332;-38.13080360867914
1739209879.97744;-45.120503652039325
1739209879.9774473;-45.120503652039325
1739209879.9774542;-38.13080360867914
1739209879.977461;-45.120503652039325
1739209879.9774683;-38.13080360867914
1739209879.9774752;-38.13080360867914
1739209879.977482;-45.120503652039325
1739209879.9774892;-45.120503652039325
1739209879.9774961;-45.120503652039325
1739209879.977503;-45.120503652039325
1739209879.97751;-38.13080360867914
1739209879.9775171;-38.13080360867914
1739209879.977524;-45.120503652039325
1739209879.977531;-45.120503652039325
1739209879.977538;-35.57807855764607
1739209879.977545;-33.981070128970906
1739209879.977552;-45.120503652039325
1739209879.977559;-45.120503652039325
1739209879.977566;-45.120503652039325
1739209879.977573;-28.992665084841942
1739209879.9775798;-35.57807855764607
1739209879.977587;-35.57807855764607
1739209879.977594;-38.13080360867914
1739209879.9776008;-45.120503652039325
1739209879.977608;-45.120503652039325
1739209879.9776149;-45.120503652039325
1739209879.9776218;-45.120503652039325
1739209879.9776287;-32.81601443825658
1739209879.9776359;-33.981070128970906
1739209879.9776428;-45.120503652039325
1739209879.9776497;-38.13080360867914
1739209879.9776568;-38.13080360867914
1739209879.9776638;-35.57807855764607
1739209879.9776707;-38.13080360867914
1739209879.9776778;-45.120503652039325
1739209879.9776847;-28.992665084841942
1739209879.9776917;-38.13080360867914
1739209879.9776986;-45.120503652039325
1739209879.9777057;-45.120503652039325
1739209879.9777126;-31.141103565318915
1739209879.9777195;-38.13080360867914
1739209879.9777267;-45.120503652039325
1739209879.9777336;-45.120503652039325
1739209879.9777405;-38.13080360867914
1739209879.9777477;-38.13080360867914
1739209879.9777546;-38.13080360867914
1739209879.9777615;-32.816014438256545
1739209879.9777684;-38.13080360867914
1739209879.9777756;-45.120503652039325
1739209879.9777825;-38.13080360867914
1739209879.9777894;-35.57807855764607
1739209879.9777966;-35.57807855764607
1739209879.9778035;-38.13080360867914
1739209879.9778104;-38.13080360867914
1739209879.9778173;-33.981070128970906
1739209879.9778244;-35.57807855764607
1739209879.9778314;-45.120503652039325
1739209879.9778383;-35.57807855764607
1739209879.9778454;-33.981070128970906
1739209879.9778523;-31.141103565318915
1739209879.9778593;-33.981070128970906
1739209879.9778664;-45.120503652039325
1739209879.9778733;-45.120503652039325
1739209879.9778802;-45.120503652039325
1739209879.9778872;-35.57807855764607
1739209879.9778943;-45.120503652039325
1739209879.9779012;-45.120503652039325
1739209879.9779081;-33.981070128970906
1739209879.9779153;-31.141103565318915
1739209879.9779222;-45.120503652039325
1739209879.977929;-45.120503652039325
1739209879.9779363;-33.981070128970906
1739209879.9779432;-45.120503652039325
1739209879.97795;-38.13080360867914
1739209879.977957;-38.13080360867914
1739209879.9779642;-33.981070128970906
1739209879.977971;-35.57807855764607
1739209879.977978;-38.13080360867914
1739209879.9779851;-45.120503652039325
1739209879.977992;-45.120503652039325
1739209879.977999;-38.13080360867914
1739209879.978006;-38.13080360867914
1739209879.978013;-38.13080360867914
1739209879.97802;-31.141103565318915
1739209879.9780269;-31.141103565318915
1739209879.978034;-45.120503652039325
1739209879.978041;-38.13080360867914
1739209879.9780478;-38.13080360867914
1739209879.978055;-45.120503652039325
1739209879.978062;-45.120503652039325
1739209879.9780688;-33.981070128970906
1739209879.9780757;-38.13080360867914
1739209879.978083;-35.57807855764607
1739209879.9780898;-45.120503652039325
1739209879.9780967;-38.13080360867914
1739209879.9781039;-38.13080360867914
1739209879.9781108;-38.13080360867914
1739209879.9781177;-38.13080360867914
1739209879.9781249;-38.13080360867914
1739209879.9781318;-38.13080360867914
1739209879.9781387;-33.981070128970906
1739209879.9781456;-45.120503652039325
1739209879.9781528;-45.120503652039325
1739209879.9781597;-45.120503652039325
1739209879.9781666;-32.816014438256545
1739209879.9781737;-38.13080360867914
1739209879.9781806;-45.120503652039325
1739209879.9781876;-35.57807855764607
1739209879.9781947;-38.13080360867914
1739209879.9782016;-38.13080360867914
1739209879.9782085;-38.13080360867914
1739209879.9782155;-38.13080360867914
1739209879.9782226;-38.13080360867914
1739209879.9782295;-45.120503652039325
1739209879.9782364;-45.120503652039325
1739209879.9782436;-45.120503652039325
1739209879.9782505;-38.13080360867914
1739209879.9782574;-38.13080360867914
1739209879.9782643;-45.120503652039325
1739209879.9782715;-45.120503652039325
1739209879.9782784;-38.13080360867914
1739209879.9782853;-38.13080360867914
1739209879.9782925;-38.13080360867914
1739209879.9782994;-33.981070128970906
1739209879.9783063;-35.57807855764607
1739209879.9783134;-45.120503652039325
1739209879.9783204;-38.13080360867914
1739209879.9783273;-35.57807855764607
1739209879.9783342;-38.13080360867914
1739209879.9783413;-45.120503652039325
1739209879.9783483;-38.13080360867914
1739209879.9783552;-38.13080360867914
1739209879.9783623;-45.120503652039325
1739209879.9783692;-45.120503652039325
1739209879.9783762;-45.120503652039325
1739209879.9783833;-45.120503652039325
1739209879.9783902;-35.57807855764607
1739209879.9783971;-32.816014438256545
1739209879.978404;-45.120503652039325
1739209879.9784112;-38.13080360867914
1739209879.978418;-35.57807855764607
1739209879.978425;-35.57807855764607
1739209879.9784322;-38.13080360867914
1739209879.978439;-38.13080360867914
1739209879.978446;-45.120503652039325
1739209879.9784532;-33.981070128970906
1739209879.97846;-38.13080360867914
1739209879.978467;-38.13080360867914
1739209879.978474;-45.120503652039325
1739209879.978481;-45.120503652039325
