CAN Message; 0x150:0200b57bab67662a
Timestamp;Amplitude
1739209884.0900156;-38.13080360867914
1739209884.090033;-38.13080360867914
1739209884.0900507;-38.13080360867914
1739209884.090068;-45.120503652039325
1739209884.0900857;-45.120503652039325
1739209884.0901031;-45.120503652039325
1739209884.0901208;-45.120503652039325
1739209884.0901382;-45.120503652039325
1739209884.0901558;-45.120503652039325
1739209884.0901732;-38.13080360867914
1739209884.090191;-45.120503652039325
1739209884.0902083;-33.981070128970906
1739209884.090226;-38.13080360867914
1739209884.0902433;-38.13080360867914
1739209884.090261;-45.120503652039325
1739209884.0902786;-33.981070128970906
1739209884.090296;-38.13080360867914
1739209884.0903137;-45.120503652039325
1739209884.090331;-35.57807855764607
1739209884.0903487;-38.13080360867914
1739209884.0903661;-45.120503652039325
1739209884.0903838;-45.120503652039325
1739209884.0904012;-38.13080360867914
1739209884.0904188;-33.981070128970906
1739209884.0904362;-45.120503652039325
1739209884.0904539;-45.120503652039325
1739209884.0904713;-38.13080360867914
1739209884.090489;-38.13080360867914
1739209884.0905063;-38.13080360867914
1739209884.090524;-35.57807855764607
1739209884.0905414;-45.120503652039325
1739209884.090559;-38.13080360867914
1739209884.0905766;-45.120503652039325
1739209884.090594;-38.13080360867914
1739209884.0906117;-45.120503652039325
1739209884.090629;-33.981070128970906
1739209884.0906467;-33.981070128970906
1739209884.0906641;-45.120503652039325
1739209884.0906818;-45.120503652039325
1739209884.0906992;-45.120503652039325
1739209884.0907168;-38.13080360867914
1739209884.0907342;-38.13080360867914
1739209884.090752;-35.57807855764607
1739209884.0907693;-38.13080360867914
1739209884.090787;-38.13080360867914
1739209884.0908043;-35.57807855764607
1739209884.090822;-45.120503652039325
1739209884.0908394;-45.120503652039325
1739209884.090857;-45.120503652039325
1739209884.0908747;-38.13080360867914
1739209884.090892;-45.120503652039325
1739209884.0909097;-32.816014438256545
1739209884.0909271;-28.58837851428586
1739209884.0909448;-45.120503652039325
1739209884.0909622;-45.120503652039325
1739209884.0909798;-35.57807855764607
1739209884.0909972;-38.13080360867914
1739209884.0910149;-38.13080360867914
1739209884.0910323;-32.816014438256545
1739209884.09105;-38.13080360867914
1739209884.0910673;-45.120503652039325
1739209884.091085;-45.120503652039325
1739209884.0911024;-38.13080360867914
1739209884.09112;-38.13080360867914
1739209884.0911376;-45.120503652039325
1739209884.091155;-38.13080360867914
1739209884.0911727;-35.57807855764607
1739209884.09119;-38.13080360867914
1739209884.0912077;-45.120503652039325
1739209884.0912251;-38.13080360867914
1739209884.0912428;-35.57807855764607
1739209884.0912602;-38.13080360867914
1739209884.0912778;-45.120503652039325
1739209884.0912952;-45.120503652039325
1739209884.091313;-35.57807855764607
1739209884.0913303;-35.57807855764607
1739209884.091348;-32.816014438256545
1739209884.0913653;-38.13080360867914
1739209884.091383;-35.57807855764607
1739209884.0914006;-38.13080360867914
1739209884.091418;-38.13080360867914
1739209884.0914357;-45.120503652039325
1739209884.091453;-38.13080360867914
1739209884.0914707;-45.120503652039325
1739209884.0914881;-38.13080360867914
1739209884.0915058;-38.13080360867914
1739209884.0915232;-35.57807855764607
1739209884.0915408;-38.13080360867914
1739209884.0915582;-45.120503652039325
1739209884.0915759;-35.57807855764607
1739209884.0915933;-38.13080360867914
1739209884.091611;-35.57807855764607
1739209884.0916283;-26.991370085610736
1739209884.091646;-38.13080360867914
1739209884.0916634;-45.120503652039325
1739209884.091681;-38.13080360867914
1739209884.0916986;-28.58837851428586
1739209884.091716;-45.120503652039325
1739209884.0917337;-45.120503652039325
1739209884.091751;-38.13080360867914
1739209884.0917687;-32.81601443825658
1739209884.0917861;-45.120503652039325
1739209884.0918038;-32.816014438256545
1739209884.0918212;-45.120503652039325
1739209884.0918388;-45.120503652039325
1739209884.0918562;-38.13080360867914
1739209884.091874;-45.120503652039325
