CAN Message; 0x24:0ab85e9716b6f081
Timestamp;Amplitude
1739209601.9301019;-45.120503652039325
1739209601.9301085;-38.13080360867914
1739209601.9301155;-31.141103565318915
1739209601.9301221;-31.141103565318915
1739209601.9301288;-38.13080360867914
1739209601.9301355;-38.13080360867914
1739209601.9301422;-38.13080360867914
1739209601.930149;-38.13080360867914
1739209601.9301558;-45.120503652039325
1739209601.9301624;-45.120503652039325
1739209601.930169;-31.141103565318915
1739209601.9301758;-35.57807855764607
1739209601.9301827;-38.13080360867914
1739209601.9301894;-38.13080360867914
1739209601.930196;-38.13080360867914
1739209601.9302027;-38.13080360867914
1739209601.9302094;-38.13080360867914
1739209601.9302163;-38.13080360867914
1739209601.930223;-33.981070128970906
1739209601.9302297;-38.13080360867914
1739209601.9302363;-38.13080360867914
1739209601.930243;-45.120503652039325
1739209601.93025;-45.120503652039325
1739209601.9302566;-35.57807855764607
1739209601.9302633;-32.816014438256545
1739209601.93027;-45.120503652039325
1739209601.9302766;-38.13080360867914
1739209601.9302835;-33.981070128970906
1739209601.9302902;-45.120503652039325
1739209601.930297;-45.120503652039325
1739209601.9303036;-45.120503652039325
1739209601.9303102;-38.13080360867914
1739209601.9303172;-45.120503652039325
1739209601.9303238;-35.57807855764607
1739209601.9303305;-38.13080360867914
1739209601.9303372;-32.81601443825658
1739209601.930344;-38.13080360867914
1739209601.9303508;-45.120503652039325
1739209601.9303575;-38.13080360867914
1739209601.9303641;-38.13080360867914
1739209601.9303708;-38.13080360867914
1739209601.9303777;-45.120503652039325
1739209601.9303844;-38.13080360867914
1739209601.930391;-27.267205301931607
1739209601.9303977;-38.13080360867914
1739209601.9304044;-45.120503652039325
1739209601.9304113;-38.13080360867914
1739209601.930418;-38.13080360867914
1739209601.9304247;-45.120503652039325
1739209601.9304314;-45.120503652039325
1739209601.930438;-45.120503652039325
1739209601.930445;-45.120503652039325
1739209601.9304516;-38.13080360867914
1739209601.9304583;-38.13080360867914
1739209601.930465;-38.13080360867914
1739209601.9304717;-45.120503652039325
1739209601.9304786;-45.120503652039325
1739209601.9304852;-45.120503652039325
1739209601.930492;-45.120503652039325
1739209601.9304986;-45.120503652039325
1739209601.9305053;-38.13080360867914
1739209601.9305122;-35.57807855764607
1739209601.9305189;-38.13080360867914
1739209601.9305255;-38.13080360867914
1739209601.9305322;-38.13080360867914
1739209601.930539;-35.57807855764607
1739209601.9305458;-38.13080360867914
1739209601.9305525;-38.13080360867914
1739209601.9305592;-45.120503652039325
1739209601.9305658;-45.120503652039325
1739209601.9305725;-38.13080360867914
1739209601.9305794;-28.992665084841942
1739209601.930586;-45.120503652039325
1739209601.9305928;-38.13080360867914
1739209601.9305995;-45.120503652039325
1739209601.9306061;-45.120503652039325
1739209601.930613;-45.120503652039325
1739209601.9306197;-33.981070128970906
1739209601.9306264;-38.13080360867914
1739209601.930633;-38.13080360867914
1739209601.9306397;-45.120503652039325
1739209601.9306467;-45.120503652039325
1739209601.9306533;-35.57807855764607
1739209601.93066;-38.13080360867914
1739209601.9306667;-45.120503652039325
1739209601.9306734;-38.13080360867914
1739209601.9306803;-38.13080360867914
1739209601.930687;-45.120503652039325
1739209601.9306936;-38.13080360867914
1739209601.9307003;-38.13080360867914
1739209601.930707;-45.120503652039325
1739209601.930714;-45.120503652039325
1739209601.9307206;-45.120503652039325
1739209601.9307272;-45.120503652039325
1739209601.930734;-45.120503652039325
1739209601.9307408;-31.141103565318893
1739209601.9307475;-45.120503652039325
