CAN Message; 0x98:0000d36f79917bc1
Timestamp;Amplitude
1739209610.1659698;-38.13080360867914
1739209610.1659718;-38.13080360867914
1739209610.165974;-27.267205301931607
1739209610.1659758;-32.816014438256545
1739209610.165978;-38.13080360867914
1739209610.1659799;-38.13080360867914
1739209610.165982;-38.13080360867914
1739209610.165984;-38.13080360867914
1739209610.165986;-45.120503652039325
1739209610.1659882;-45.120503652039325
1739209610.16599;-32.816014438256545
1739209610.1659923;-33.981070128970906
1739209610.1659942;-38.13080360867914
1739209610.1659963;-45.120503652039325
1739209610.1659982;-38.13080360867914
1739209610.1660004;-38.13080360867914
1739209610.1660023;-38.13080360867914
1739209610.1660044;-45.120503652039325
1739209610.1660066;-27.267205301931607
1739209610.1660085;-35.57807855764607
1739209610.1660106;-38.13080360867914
1739209610.1660125;-38.13080360867914
1739209610.1660147;-33.981070128970906
1739209610.1660166;-45.120503652039325
1739209610.1660187;-33.981070128970906
1739209610.1660209;-45.120503652039325
1739209610.1660228;-32.81601443825658
1739209610.166025;-45.120503652039325
1739209610.1660268;-45.120503652039325
1739209610.166029;-38.13080360867914
1739209610.166031;-38.13080360867914
1739209610.166033;-38.13080360867914
1739209610.166035;-38.13080360867914
1739209610.166037;-45.120503652039325
1739209610.1660392;-31.141103565318915
1739209610.1660411;-38.13080360867914
1739209610.1660433;-45.120503652039325
1739209610.1660452;-45.120503652039325
1739209610.1660473;-38.13080360867914
1739209610.1660492;-45.120503652039325
1739209610.1660514;-45.120503652039325
1739209610.1660533;-45.120503652039325
1739209610.1660554;-38.13080360867914
1739209610.1660576;-45.120503652039325
1739209610.1660595;-38.13080360867914
1739209610.1660616;-38.13080360867914
1739209610.1660635;-38.13080360867914
1739209610.1660657;-38.13080360867914
1739209610.1660676;-45.120503652039325
1739209610.1660697;-45.120503652039325
1739209610.1660717;-38.13080360867914
1739209610.1660738;-32.816014438256545
1739209610.166076;-38.13080360867914
1739209610.1660779;-45.120503652039325
1739209610.16608;-38.13080360867914
1739209610.166082;-38.13080360867914
1739209610.166084;-45.120503652039325
1739209610.166086;-45.120503652039325
1739209610.166088;-38.13080360867914
1739209610.1660903;-35.57807855764607
1739209610.1660922;-38.13080360867914
1739209610.1660943;-45.120503652039325
1739209610.1660962;-32.816014438256545
1739209610.1660984;-38.13080360867914
1739209610.1661003;-45.120503652039325
1739209610.1661024;-45.120503652039325
1739209610.1661043;-38.13080360867914
1739209610.1661065;-45.120503652039325
1739209610.1661086;-45.120503652039325
1739209610.1661105;-45.120503652039325
1739209610.1661127;-45.120503652039325
1739209610.1661146;-38.13080360867914
1739209610.1661167;-35.57807855764607
1739209610.1661186;-38.13080360867914
1739209610.1661208;-33.981070128970906
1739209610.1661227;-33.981070128970906
1739209610.1661248;-38.13080360867914
1739209610.166127;-38.13080360867914
1739209610.1661289;-45.120503652039325
1739209610.166131;-45.120503652039325
1739209610.166133;-45.120503652039325
1739209610.166135;-38.13080360867914
1739209610.166137;-45.120503652039325
1739209610.1661391;-45.120503652039325
1739209610.166141;-35.57807855764607
1739209610.1661432;-35.57807855764607
1739209610.1661453;-45.120503652039325
1739209610.1661472;-38.13080360867914
1739209610.1661494;-33.981070128970906
