CAN Message; 0x77:d5c7924a6a71a47f
Timestamp;Amplitude
1739209638.3400056;-32.816014438256545
1739209638.340009;-33.981070128970906
1739209638.3400123;-38.13080360867914
1739209638.3400156;-35.57807855764607
1739209638.340019;-45.120503652039325
1739209638.3400223;-45.120503652039325
1739209638.3400257;-45.120503652039325
1739209638.340029;-33.981070128970906
1739209638.3400323;-38.13080360867914
1739209638.3400357;-45.120503652039325
1739209638.340039;-38.13080360867914
1739209638.3400424;-31.141103565318893
1739209638.3400457;-38.13080360867914
1739209638.340049;-45.120503652039325
1739209638.3400524;-38.13080360867914
1739209638.3400557;-45.120503652039325
1739209638.340059;-35.57807855764607
1739209638.3400624;-38.13080360867914
1739209638.3400657;-38.13080360867914
1739209638.340069;-35.57807855764607
1739209638.3400724;-38.13080360867914
1739209638.3400757;-38.13080360867914
1739209638.340079;-45.120503652039325
1739209638.3400824;-38.13080360867914
1739209638.3400857;-38.13080360867914
1739209638.340089;-45.120503652039325
1739209638.3400924;-38.13080360867914
1739209638.3400958;-35.57807855764607
1739209638.3400989;-38.13080360867914
1739209638.3401022;-33.981070128970906
1739209638.3401055;-32.816014438256545
1739209638.3401089;-45.120503652039325
1739209638.3401122;-32.816014438256545
1739209638.3401155;-38.13080360867914
1739209638.340119;-38.13080360867914
1739209638.3401222;-32.816014438256545
1739209638.3401256;-33.981070128970906
1739209638.340129;-45.120503652039325
1739209638.3401322;-45.120503652039325
1739209638.3401356;-35.57807855764607
1739209638.340139;-45.120503652039325
1739209638.3401423;-45.120503652039325
1739209638.3401456;-38.13080360867914
1739209638.340149;-38.13080360867914
1739209638.3401523;-45.120503652039325
1739209638.3401556;-45.120503652039325
1739209638.340159;-33.981070128970906
1739209638.3401623;-35.57807855764607
1739209638.3401656;-38.13080360867914
1739209638.340169;-45.120503652039325
1739209638.3401723;-38.13080360867914
1739209638.3401756;-35.57807855764607
1739209638.340179;-38.13080360867914
1739209638.3401823;-45.120503652039325
1739209638.3401856;-45.120503652039325
1739209638.340189;-45.120503652039325
1739209638.3401923;-45.120503652039325
1739209638.3401957;-45.120503652039325
1739209638.340199;-45.120503652039325
1739209638.3402023;-38.13080360867914
1739209638.3402057;-38.13080360867914
1739209638.340209;-45.120503652039325
1739209638.3402123;-33.981070128970906
1739209638.3402157;-45.120503652039325
1739209638.340219;-45.120503652039325
1739209638.3402224;-45.120503652039325
1739209638.3402257;-38.13080360867914
1739209638.340229;-38.13080360867914
1739209638.3402324;-45.120503652039325
1739209638.3402357;-45.120503652039325
1739209638.340239;-35.57807855764607
1739209638.3402424;-38.13080360867914
1739209638.3402457;-38.13080360867914
1739209638.340249;-38.13080360867914
1739209638.3402524;-33.981070128970906
1739209638.3402557;-38.13080360867914
1739209638.340259;-45.120503652039325
1739209638.3402624;-38.13080360867914
1739209638.3402658;-33.981070128970906
1739209638.340269;-32.816014438256545
1739209638.3402724;-38.13080360867914
1739209638.3402758;-33.981070128970906
1739209638.340279;-33.981070128970906
1739209638.3402824;-45.120503652039325
1739209638.3402858;-45.120503652039325
1739209638.3402889;-45.120503652039325
1739209638.3402922;-38.13080360867914
1739209638.3402956;-45.120503652039325
1739209638.340299;-38.13080360867914
1739209638.3403022;-33.981070128970906
1739209638.3403056;-38.13080360867914
1739209638.340309;-38.13080360867914
1739209638.3403122;-45.120503652039325
1739209638.3403156;-33.981070128970906
1739209638.340319;-45.120503652039325
1739209638.3403223;-45.120503652039325
1739209638.3403256;-45.120503652039325
1739209638.340329;-38.13080360867914
1739209638.3403323;-33.981070128970906
1739209638.3403356;-35.57807855764607
1739209638.340339;-38.13080360867914
1739209638.3403423;-38.13080360867914
1739209638.3403456;-45.120503652039325
1739209638.340349;-45.120503652039325
1739209638.3403523;-45.120503652039325
1739209638.3403556;-38.13080360867914
1739209638.340359;-38.13080360867914
1739209638.3403623;-33.981070128970906
1739209638.3403656;-45.120503652039325
1739209638.340369;-45.120503652039325
1739209638.3403723;-38.13080360867914
1739209638.3403757;-35.57807855764607
1739209638.340379;-38.13080360867914
1739209638.3403823;-45.120503652039325
1739209638.3403857;-38.13080360867914
1739209638.340389;-45.120503652039325
1739209638.3403924;-38.13080360867914
1739209638.3403957;-38.13080360867914
1739209638.340399;-33.981070128970906
1739209638.3404024;-38.13080360867914
1739209638.3404057;-38.13080360867914
1739209638.340409;-38.13080360867914
1739209638.3404124;-28.58837851428586
1739209638.3404157;-45.120503652039325
1739209638.340419;-38.13080360867914
1739209638.3404224;-32.816014438256545
1739209638.3404257;-38.13080360867914
1739209638.340429;-45.120503652039325
1739209638.3404324;-38.13080360867914
1739209638.3404357;-38.13080360867914
1739209638.340439;-45.120503652039325
1739209638.3404424;-45.120503652039325
