CAN Message; 0x1d3:00008dbd91f933a3
Timestamp;Amplitude
1739209644.138757;-38.13080360867914
1739209644.138761;-45.120503652039325
1739209644.1387653;-35.57807855764607
1739209644.1387694;-45.120503652039325
1739209644.1387734;-45.120503652039325
1739209644.1387775;-45.120503652039325
1739209644.1387818;-45.120503652039325
1739209644.1387858;-38.13080360867914
1739209644.13879;-38.13080360867914
1739209644.138794;-38.13080360867914
1739209644.1387982;-45.120503652039325
1739209644.1388023;-33.981070128970906
1739209644.1388063;-35.57807855764607
1739209644.1388104;-35.57807855764607
1739209644.1388147;-32.816014438256545
1739209644.1388187;-38.13080360867914
1739209644.1388228;-45.120503652039325
1739209644.1388268;-45.120503652039325
1739209644.1388311;-38.13080360867914
1739209644.1388352;-38.13080360867914
1739209644.1388392;-45.120503652039325
1739209644.1388433;-45.120503652039325
1739209644.1388476;-45.120503652039325
1739209644.1388516;-45.120503652039325
1739209644.1388557;-35.57807855764607
1739209644.1388597;-45.120503652039325
1739209644.138864;-45.120503652039325
1739209644.138868;-38.13080360867914
1739209644.1388721;-45.120503652039325
1739209644.1388762;-38.13080360867914
1739209644.1388805;-35.57807855764607
1739209644.1388845;-38.13080360867914
1739209644.1388886;-45.120503652039325
1739209644.1388927;-38.13080360867914
1739209644.138897;-38.13080360867914
1739209644.138901;-45.120503652039325
1739209644.138905;-45.120503652039325
1739209644.138909;-38.13080360867914
1739209644.1389134;-45.120503652039325
1739209644.1389174;-38.13080360867914
1739209644.1389215;-38.13080360867914
1739209644.1389256;-38.13080360867914
1739209644.1389296;-35.57807855764607
1739209644.138934;-38.13080360867914
1739209644.138938;-45.120503652039325
1739209644.138942;-38.13080360867914
1739209644.138946;-35.57807855764607
1739209644.1389503;-33.981070128970906
1739209644.1389544;-45.120503652039325
1739209644.1389585;-38.13080360867914
1739209644.1389625;-38.13080360867914
1739209644.1389668;-38.13080360867914
1739209644.1389709;-35.57807855764607
1739209644.138975;-38.13080360867914
1739209644.138979;-45.120503652039325
1739209644.1389832;-38.13080360867914
1739209644.1389873;-38.13080360867914
1739209644.1389914;-45.120503652039325
1739209644.1389954;-38.13080360867914
1739209644.1389997;-38.13080360867914
1739209644.1390038;-45.120503652039325
1739209644.1390078;-45.120503652039325
1739209644.1390119;-45.120503652039325
1739209644.1390162;-45.120503652039325
1739209644.1390202;-45.120503652039325
1739209644.1390243;-38.13080360867914
1739209644.1390283;-45.120503652039325
1739209644.1390326;-38.13080360867914
1739209644.1390367;-35.57807855764607
1739209644.1390407;-38.13080360867914
1739209644.1390448;-45.120503652039325
1739209644.139049;-33.981070128970906
1739209644.139053;-45.120503652039325
1739209644.1390572;-38.13080360867914
1739209644.1390612;-38.13080360867914
1739209644.1390655;-45.120503652039325
1739209644.1390696;-38.13080360867914
1739209644.1390736;-38.13080360867914
1739209644.1390777;-45.120503652039325
1739209644.139082;-31.141103565318915
1739209644.139086;-38.13080360867914
1739209644.13909;-45.120503652039325
1739209644.139094;-35.57807855764607
1739209644.1390984;-38.13080360867914
1739209644.1391025;-45.120503652039325
1739209644.1391065;-38.13080360867914
1739209644.1391106;-32.816014438256545
1739209644.1391146;-31.14110356531892
1739209644.139119;-45.120503652039325
1739209644.139123;-33.981070128970906
1739209644.139127;-38.13080360867914
1739209644.139131;-45.120503652039325
1739209644.1391354;-45.120503652039325
1739209644.1391394;-33.981070128970906
1739209644.1391435;-38.13080360867914
1739209644.1391475;-28.992665084841942
1739209644.1391518;-38.13080360867914
1739209644.1391559;-38.13080360867914
1739209644.13916;-32.816014438256545
1739209644.139164;-38.13080360867914
1739209644.1391683;-45.120503652039325
1739209644.1391723;-38.13080360867914
1739209644.1391764;-33.981070128970906
1739209644.1391804;-38.13080360867914
1739209644.1391847;-45.120503652039325
1739209644.1391888;-45.120503652039325
1739209644.1391928;-38.13080360867914
1739209644.1391969;-38.13080360867914
1739209644.1392012;-45.120503652039325
1739209644.1392052;-45.120503652039325
1739209644.1392093;-45.120503652039325
1739209644.1392133;-38.13080360867914
1739209644.1392176;-45.120503652039325
1739209644.1392217;-38.13080360867914
1739209644.1392257;-45.120503652039325
1739209644.1392298;-35.57807855764607
1739209644.139234;-35.57807855764607
1739209644.139238;-38.13080360867914
1739209644.1392422;-45.120503652039325
1739209644.1392462;-31.141103565318915
1739209644.1392505;-33.981070128970906
1739209644.1392546;-38.13080360867914
1739209644.1392586;-32.816014438256545
1739209644.1392627;-35.57807855764607
1739209644.139267;-45.120503652039325
1739209644.139271;-45.120503652039325
1739209644.139275;-32.816014438256545
1739209644.1392791;-45.120503652039325
1739209644.1392832;-38.13080360867914
1739209644.1392875;-38.13080360867914
1739209644.1392915;-45.120503652039325
1739209644.1392956;-38.13080360867914
1739209644.1392996;-45.120503652039325
1739209644.139304;-38.13080360867914
1739209644.139308;-38.13080360867914
1739209644.139312;-33.981070128970906
1739209644.139316;-28.58837851428586
1739209644.1393204;-45.120503652039325
1739209644.1393244;-32.816014438256545
1739209644.1393285;-35.57807855764607
1739209644.1393325;-45.120503652039325
1739209644.1393368;-38.13080360867914
1739209644.1393409;-38.13080360867914
1739209644.139345;-45.120503652039325
1739209644.139349;-45.120503652039325
1739209644.1393533;-38.13080360867914
1739209644.1393573;-35.57807855764607
1739209644.1393614;-38.13080360867914
1739209644.1393654;-45.120503652039325
1739209644.1393697;-45.120503652039325
1739209644.1393738;-35.57807855764607
1739209644.1393778;-45.120503652039325
1739209644.139382;-45.120503652039325
1739209644.1393862;-32.816014438256545
1739209644.1393902;-38.13080360867914
1739209644.1393943;-38.13080360867914
1739209644.1393983;-38.13080360867914
1739209644.1394026;-32.816014438256545
1739209644.1394067;-38.13080360867914
1739209644.1394107;-38.13080360867914
1739209644.1394148;-35.57807855764607
1739209644.139419;-45.120503652039325
1739209644.1394231;-38.13080360867914
1739209644.1394272;-35.57807855764607
1739209644.1394312;-38.13080360867914
1739209644.1394355;-38.13080360867914
1739209644.1394396;-35.57807855764607
1739209644.1394436;-45.120503652039325
1739209644.1394477;-38.13080360867914
1739209644.139452;-38.13080360867914
1739209644.139456;-45.120503652039325
1739209644.13946;-45.120503652039325
1739209644.1394641;-35.57807855764607
1739209644.1394682;-45.120503652039325
1739209644.1394725;-38.13080360867914
1739209644.1394765;-45.120503652039325
1739209644.1394806;-32.816014438256545
1739209644.1394846;-38.13080360867914
1739209644.139489;-38.13080360867914
1739209644.139493;-38.13080360867914
1739209644.139497;-45.120503652039325
1739209644.139501;-38.13080360867914
1739209644.1395054;-45.120503652039325
1739209644.1395094;-38.13080360867914
1739209644.1395135;-38.13080360867914
1739209644.1395175;-45.120503652039325
1739209644.1395218;-45.120503652039325
1739209644.139526;-45.120503652039325
1739209644.13953;-38.13080360867914
1739209644.139534;-45.120503652039325
1739209644.1395383;-45.120503652039325
1739209644.1395423;-38.13080360867914
1739209644.1395464;-32.816014438256545
1739209644.1395504;-33.981070128970906
1739209644.1395547;-45.120503652039325
1739209644.1395588;-45.120503652039325
1739209644.1395628;-38.13080360867914
1739209644.139567;-38.13080360867914
1739209644.1395712;-45.120503652039325
1739209644.1395752;-38.13080360867914
1739209644.1395793;-38.13080360867914
1739209644.1395833;-45.120503652039325
1739209644.1395876;-38.13080360867914
1739209644.1395917;-38.13080360867914
1739209644.1395957;-38.13080360867914
1739209644.1395998;-45.120503652039325
1739209644.139604;-45.120503652039325
1739209644.1396081;-45.120503652039325
1739209644.1396122;-38.13080360867914
1739209644.1396163;-38.13080360867914
1739209644.1396205;-45.120503652039325
1739209644.1396246;-45.120503652039325
1739209644.1396286;-35.57807855764607
1739209644.1396327;-35.57807855764607
1739209644.1396368;-45.120503652039325
1739209644.139641;-38.13080360867914
1739209644.139645;-26.991370085610722
1739209644.1396492;-27.267205301931607
1739209644.1396532;-38.13080360867914
1739209644.1396575;-45.120503652039325
1739209644.1396616;-38.13080360867914
1739209644.1396656;-38.13080360867914
1739209644.1396697;-45.120503652039325
1739209644.139674;-38.13080360867914
1739209644.139678;-45.120503652039325
1739209644.139682;-32.816014438256545
1739209644.139686;-35.57807855764607
1739209644.1396904;-38.13080360867914
1739209644.1396945;-45.120503652039325
1739209644.1396985;-45.120503652039325
1739209644.1397026;-38.13080360867914
1739209644.1397069;-45.120503652039325
1739209644.139711;-38.13080360867914
1739209644.139715;-38.13080360867914
1739209644.139719;-45.120503652039325
1739209644.1397233;-38.13080360867914
1739209644.1397274;-38.13080360867914
1739209644.1397314;-45.120503652039325
1739209644.1397355;-38.13080360867914
1739209644.1397398;-38.13080360867914
1739209644.1397438;-35.57807855764607
1739209644.1397479;-31.141103565318915
1739209644.139752;-45.120503652039325
1739209644.1397562;-35.57807855764607
1739209644.1397603;-38.13080360867914
1739209644.1397643;-38.13080360867914
1739209644.1397684;-35.57807855764607
1739209644.1397727;-38.13080360867914
1739209644.1397767;-38.13080360867914
1739209644.1397808;-38.13080360867914
1739209644.1397848;-45.120503652039325
1739209644.139789;-38.13080360867914
1739209644.1397932;-38.13080360867914
1739209644.1397972;-45.120503652039325
1739209644.1398013;-45.120503652039325
1739209644.1398053;-38.13080360867914
1739209644.1398096;-38.13080360867914
1739209644.1398137;-28.58837851428586
1739209644.1398177;-45.120503652039325
1739209644.1398218;-38.13080360867914
1739209644.139826;-38.13080360867914
1739209644.13983;-38.13080360867914
1739209644.1398342;-45.120503652039325
1739209644.1398382;-38.13080360867914
1739209644.1398425;-45.120503652039325
1739209644.1398466;-33.981070128970906
1739209644.1398506;-45.120503652039325
1739209644.1398547;-33.981070128970906
1739209644.139859;-38.13080360867914
1739209644.139863;-45.120503652039325
1739209644.139867;-45.120503652039325
1739209644.1398711;-45.120503652039325
1739209644.1398754;-35.57807855764607
1739209644.1398795;-38.13080360867914
1739209644.1398835;-45.120503652039325
1739209644.1398876;-38.13080360867914
1739209644.1398919;-45.120503652039325
1739209644.139896;-38.13080360867914
1739209644.1399;-45.120503652039325
1739209644.139904;-45.120503652039325
1739209644.1399083;-45.120503652039325
1739209644.1399124;-33.981070128970906
1739209644.1399164;-38.13080360867914
1739209644.1399205;-38.13080360867914
1739209644.1399248;-45.120503652039325
1739209644.1399288;-38.13080360867914
1739209644.1399329;-32.816014438256545
1739209644.139937;-35.57807855764607
1739209644.1399412;-32.816014438256545
1739209644.1399453;-33.981070128970906
1739209644.1399493;-45.120503652039325
1739209644.1399534;-45.120503652039325
1739209644.1399577;-38.13080360867914
1739209644.1399617;-45.120503652039325
1739209644.1399658;-45.120503652039325
1739209644.1399698;-38.13080360867914
1739209644.139974;-38.13080360867914
1739209644.1399782;-45.120503652039325
1739209644.1399822;-45.120503652039325
1739209644.1399863;-38.13080360867914
1739209644.1399903;-38.13080360867914
1739209644.1399946;-35.57807855764607
1739209644.1399987;-38.13080360867914
1739209644.1400027;-45.120503652039325
1739209644.1400068;-38.13080360867914
1739209644.140011;-45.120503652039325
1739209644.1400151;-35.57807855764607
1739209644.1400192;-45.120503652039325
1739209644.1400232;-45.120503652039325
1739209644.1400275;-45.120503652039325
1739209644.1400316;-45.120503652039325
1739209644.1400356;-45.120503652039325
1739209644.1400397;-38.13080360867914
1739209644.140044;-38.13080360867914
1739209644.140048;-45.120503652039325
1739209644.140052;-45.120503652039325
1739209644.1400561;-38.13080360867914
1739209644.1400604;-35.57807855764607
1739209644.1400645;-38.13080360867914
1739209644.1400685;-45.120503652039325
1739209644.1400726;-45.120503652039325
1739209644.1400769;-45.120503652039325
1739209644.140081;-31.141103565318893
1739209644.140085;-45.120503652039325
1739209644.140089;-45.120503652039325
1739209644.1400933;-38.13080360867914
1739209644.1400974;-32.816014438256545
1739209644.1401014;-38.13080360867914
1739209644.1401055;-45.120503652039325
1739209644.1401098;-45.120503652039325
1739209644.1401138;-45.120503652039325
1739209644.140118;-45.120503652039325
1739209644.140122;-35.57807855764607
1739209644.1401262;-38.13080360867914
1739209644.1401303;-45.120503652039325
1739209644.1401343;-45.120503652039325
1739209644.1401384;-45.120503652039325
1739209644.1401427;-45.120503652039325
1739209644.1401467;-45.120503652039325
1739209644.1401508;-45.120503652039325
1739209644.1401548;-45.120503652039325
1739209644.140159;-45.120503652039325
1739209644.1401632;-38.13080360867914
1739209644.1401672;-38.13080360867914
1739209644.1401713;-45.120503652039325
1739209644.1401753;-45.120503652039325
1739209644.1401796;-29.438486411369333
1739209644.1401837;-38.13080360867914
1739209644.1401877;-45.120503652039325
1739209644.1401918;-45.120503652039325
1739209644.140196;-45.120503652039325
1739209644.1402001;-45.120503652039325
1739209644.1402042;-45.120503652039325
1739209644.1402082;-38.13080360867914
1739209644.1402125;-33.981070128970956
1739209644.1402166;-45.120503652039325
1739209644.1402206;-35.57807855764607
1739209644.1402247;-45.120503652039325
1739209644.140229;-45.120503652039325
1739209644.140233;-45.120503652039325
1739209644.140237;-45.120503652039325
1739209644.1402411;-38.13080360867914
1739209644.1402454;-29.438486411369333
1739209644.1402495;-38.13080360867914
1739209644.1402535;-35.57807855764607
1739209644.1402576;-38.13080360867914
1739209644.140262;-35.57807855764607
1739209644.140266;-38.13080360867914
1739209644.14027;-45.120503652039325
1739209644.140274;-45.120503652039325
1739209644.1402783;-45.120503652039325
1739209644.1402824;-38.13080360867914
1739209644.1402864;-35.57807855764607
1739209644.1402905;-45.120503652039325
1739209644.1402948;-38.13080360867914
1739209644.1402988;-38.13080360867914
1739209644.140303;-45.120503652039325
1739209644.140307;-38.13080360867914
1739209644.1403112;-45.120503652039325
1739209644.1403153;-45.120503652039325
1739209644.1403193;-45.120503652039325
1739209644.1403234;-45.120503652039325
1739209644.1403277;-45.120503652039325
1739209644.1403317;-45.120503652039325
1739209644.1403358;-35.57807855764607
1739209644.1403399;-45.120503652039325
1739209644.140344;-28.58837851428586
1739209644.1403482;-32.816014438256545
1739209644.1403522;-45.120503652039325
1739209644.1403563;-45.120503652039325
1739209644.1403604;-35.57807855764607
1739209644.1403646;-45.120503652039325
1739209644.1403687;-45.120503652039325
1739209644.1403728;-45.120503652039325
1739209644.1403768;-45.120503652039325
1739209644.140381;-45.120503652039325
1739209644.1403852;-38.13080360867914
1739209644.1403892;-38.13080360867914
1739209644.1403933;-38.13080360867914
1739209644.1403975;-38.13080360867914
1739209644.1404016;-45.120503652039325
1739209644.1404057;-38.13080360867914
1739209644.1404097;-32.816014438256545
1739209644.140414;-31.141103565318915
1739209644.140418;-45.120503652039325
1739209644.140422;-45.120503652039325
1739209644.1404262;-35.57807855764607
1739209644.1404305;-38.13080360867914
1739209644.1404345;-38.13080360867914
1739209644.1404386;-38.13080360867914
