CAN Message; 0x24:054799c05992e3d6
Timestamp;Amplitude
1739209644.8294585;-35.57807855764607
1739209644.8294606;-33.981070128970906
1739209644.8294628;-45.120503652039325
1739209644.829465;-38.13080360867914
1739209644.8294673;-33.981070128970906
1739209644.8294694;-38.13080360867914
1739209644.8294716;-45.120503652039325
1739209644.8294737;-38.13080360867914
1739209644.8294759;-45.120503652039325
1739209644.829478;-38.13080360867914
1739209644.8294802;-45.120503652039325
1739209644.8294823;-45.120503652039325
1739209644.8294845;-45.120503652039325
1739209644.8294868;-45.120503652039325
1739209644.829489;-45.120503652039325
1739209644.8294911;-38.13080360867914
1739209644.8294933;-38.13080360867914
1739209644.8294954;-33.981070128970906
1739209644.8294976;-45.120503652039325
1739209644.8294997;-38.13080360867914
1739209644.8295019;-26.487275050834715
1739209644.829504;-32.816014438256545
1739209644.8295064;-45.120503652039325
1739209644.8295085;-45.120503652039325
1739209644.8295107;-33.981070128970906
1739209644.8295128;-45.120503652039325
1739209644.829515;-45.120503652039325
1739209644.8295171;-45.120503652039325
1739209644.8295193;-45.120503652039325
1739209644.8295214;-45.120503652039325
1739209644.8295236;-45.120503652039325
1739209644.829526;-45.120503652039325
1739209644.829528;-45.120503652039325
1739209644.8295302;-38.13080360867914
1739209644.8295324;-45.120503652039325
1739209644.8295345;-38.13080360867914
1739209644.8295367;-26.991370085610722
1739209644.8295388;-45.120503652039325
1739209644.829541;-45.120503652039325
1739209644.829543;-45.120503652039325
1739209644.8295455;-32.816014438256545
1739209644.8295476;-45.120503652039325
1739209644.8295498;-45.120503652039325
1739209644.829552;-38.13080360867914
1739209644.829554;-45.120503652039325
1739209644.8295562;-45.120503652039325
1739209644.8295584;-38.13080360867914
1739209644.8295605;-45.120503652039325
1739209644.8295627;-45.120503652039325
1739209644.829565;-38.13080360867914
1739209644.8295672;-45.120503652039325
1739209644.8295693;-45.120503652039325
1739209644.8295715;-45.120503652039325
1739209644.8295736;-38.13080360867914
1739209644.8295758;-45.120503652039325
1739209644.829578;-45.120503652039325
1739209644.82958;-45.120503652039325
1739209644.8295822;-45.120503652039325
1739209644.8295846;-45.120503652039325
1739209644.8295867;-38.13080360867914
1739209644.829589;-29.438486411369333
1739209644.829591;-35.57807855764607
1739209644.8295932;-45.120503652039325
1739209644.8295953;-45.120503652039325
1739209644.8295975;-32.816014438256545
1739209644.8295996;-33.981070128970906
