CAN Message; 0x1d3:00000d9b77e89f99
Timestamp;Amplitude
1739209676.976566;-33.981070128970906
1739209676.97657;-32.816014438256545
1739209676.976574;-45.120503652039325
1739209676.9765778;-38.13080360867914
1739209676.9765818;-45.120503652039325
1739209676.9765856;-45.120503652039325
1739209676.9765897;-45.120503652039325
1739209676.9765937;-45.120503652039325
1739209676.9765975;-45.120503652039325
1739209676.9766016;-38.13080360867914
1739209676.9766054;-38.13080360867914
1739209676.9766095;-28.58837851428586
1739209676.9766133;-38.13080360867914
1739209676.9766173;-38.13080360867914
1739209676.9766214;-38.13080360867914
1739209676.9766252;-35.57807855764607
1739209676.9766293;-38.13080360867914
1739209676.976633;-38.13080360867914
1739209676.9766371;-45.120503652039325
1739209676.976641;-38.13080360867914
1739209676.976645;-38.13080360867914
1739209676.9766488;-35.57807855764607
1739209676.9766529;-45.120503652039325
1739209676.976657;-45.120503652039325
1739209676.9766607;-38.13080360867914
1739209676.9766648;-45.120503652039325
1739209676.9766686;-45.120503652039325
1739209676.9766726;-27.8777449560314
1739209676.9766765;-38.13080360867914
1739209676.9766805;-35.57807855764607
1739209676.9766846;-38.13080360867914
1739209676.9766884;-45.120503652039325
1739209676.9766924;-45.120503652039325
1739209676.9766963;-38.13080360867914
1739209676.9767003;-38.13080360867914
1739209676.9767041;-45.120503652039325
1739209676.9767082;-45.120503652039325
1739209676.9767122;-45.120503652039325
1739209676.976716;-33.981070128970906
1739209676.97672;-33.981070128970906
1739209676.976724;-33.981070128970906
1739209676.976728;-38.13080360867914
1739209676.9767318;-45.120503652039325
1739209676.9767358;-38.13080360867914
1739209676.97674;-35.57807855764607
1739209676.9767437;-35.57807855764607
1739209676.9767478;-35.57807855764607
1739209676.9767516;-45.120503652039325
1739209676.9767556;-45.120503652039325
1739209676.9767594;-38.13080360867914
1739209676.9767635;-45.120503652039325
1739209676.9767675;-32.816014438256545
1739209676.9767714;-35.57807855764607
1739209676.9767754;-45.120503652039325
1739209676.9767792;-38.13080360867914
1739209676.9767833;-35.57807855764607
1739209676.976787;-38.13080360867914
1739209676.9767911;-45.120503652039325
1739209676.976795;-38.13080360867914
1739209676.976799;-45.120503652039325
1739209676.976803;-45.120503652039325
1739209676.9768069;-45.120503652039325
1739209676.976811;-45.120503652039325
1739209676.9768147;-45.120503652039325
1739209676.9768188;-38.13080360867914
1739209676.9768226;-45.120503652039325
1739209676.9768267;-38.13080360867914
1739209676.9768307;-32.816014438256545
1739209676.9768345;-35.57807855764607
1739209676.9768386;-45.120503652039325
1739209676.9768424;-45.120503652039325
1739209676.9768465;-38.13080360867914
1739209676.9768503;-45.120503652039325
1739209676.9768543;-45.120503652039325
1739209676.9768584;-45.120503652039325
1739209676.9768622;-45.120503652039325
1739209676.9768662;-45.120503652039325
1739209676.97687;-45.120503652039325
1739209676.976874;-45.120503652039325
1739209676.976878;-45.120503652039325
1739209676.976882;-38.13080360867914
1739209676.976886;-45.120503652039325
1739209676.9768898;-45.120503652039325
1739209676.976894;-35.57807855764607
1739209676.9768977;-38.13080360867914
1739209676.9769018;-45.120503652039325
1739209676.9769056;-45.120503652039325
1739209676.9769096;-35.57807855764607
1739209676.9769135;-38.13080360867914
1739209676.9769175;-45.120503652039325
1739209676.9769216;-45.120503652039325
1739209676.9769254;-45.120503652039325
1739209676.9769294;-38.13080360867914
1739209676.9769332;-35.57807855764607
1739209676.9769373;-45.120503652039325
1739209676.976941;-45.120503652039325
1739209676.9769452;-45.120503652039325
1739209676.9769492;-45.120503652039325
