CAN Message; 0x150:0500a55e2ebfa30b
Timestamp;Amplitude
1739209678.7884393;-45.120503652039325
1739209678.7884426;-38.13080360867914
1739209678.7884457;-38.13080360867914
1739209678.788449;-45.120503652039325
1739209678.7884521;-38.13080360867914
1739209678.7884552;-38.13080360867914
1739209678.7884586;-38.13080360867914
1739209678.7884617;-27.267205301931607
1739209678.788465;-45.120503652039325
1739209678.7884681;-45.120503652039325
1739209678.7884712;-38.13080360867914
1739209678.7884746;-38.13080360867914
1739209678.7884777;-45.120503652039325
1739209678.788481;-35.57807855764607
1739209678.788484;-33.981070128970906
1739209678.7884874;-33.981070128970956
1739209678.7884905;-45.120503652039325
1739209678.7884936;-45.120503652039325
1739209678.788497;-38.13080360867914
1739209678.7885;-38.13080360867914
1739209678.7885034;-38.13080360867914
1739209678.7885065;-35.57807855764607
1739209678.7885096;-35.57807855764607
1739209678.788513;-32.816014438256545
1739209678.788516;-38.13080360867914
1739209678.7885194;-35.57807855764607
1739209678.7885225;-35.57807855764607
1739209678.7885256;-45.120503652039325
1739209678.788529;-38.13080360867914
1739209678.788532;-38.13080360867914
1739209678.7885354;-38.13080360867914
1739209678.7885385;-45.120503652039325
1739209678.7885416;-45.120503652039325
1739209678.788545;-45.120503652039325
1739209678.788548;-33.981070128970906
1739209678.7885513;-45.120503652039325
1739209678.7885544;-45.120503652039325
1739209678.7885575;-35.57807855764607
1739209678.7885609;-45.120503652039325
1739209678.788564;-45.120503652039325
1739209678.7885673;-38.13080360867914
1739209678.7885704;-38.13080360867914
1739209678.7885735;-38.13080360867914
1739209678.7885768;-45.120503652039325
1739209678.78858;-38.13080360867914
1739209678.7885833;-38.13080360867914
1739209678.7885864;-45.120503652039325
1739209678.7885895;-33.981070128970906
1739209678.7885928;-38.13080360867914
1739209678.788596;-38.13080360867914
1739209678.7885993;-35.57807855764607
1739209678.7886024;-45.120503652039325
1739209678.7886057;-45.120503652039325
1739209678.7886088;-38.13080360867914
1739209678.788612;-38.13080360867914
1739209678.7886152;-45.120503652039325
1739209678.7886183;-45.120503652039325
1739209678.7886217;-35.57807855764607
1739209678.7886248;-35.57807855764607
1739209678.7886279;-45.120503652039325
1739209678.7886312;-45.120503652039325
1739209678.7886343;-38.13080360867914
1739209678.7886376;-33.981070128970906
1739209678.7886407;-45.120503652039325
1739209678.7886438;-45.120503652039325
1739209678.7886472;-38.13080360867914
1739209678.7886503;-38.13080360867914
1739209678.7886536;-45.120503652039325
1739209678.7886567;-38.13080360867914
1739209678.7886598;-38.13080360867914
1739209678.7886631;-38.13080360867914
1739209678.7886662;-45.120503652039325
1739209678.7886696;-45.120503652039325
1739209678.7886727;-38.13080360867914
1739209678.7886758;-38.13080360867914
1739209678.7886791;-45.120503652039325
1739209678.7886822;-38.13080360867914
1739209678.7886856;-45.120503652039325
1739209678.7886887;-45.120503652039325
1739209678.788692;-35.57807855764607
1739209678.788695;-38.13080360867914
1739209678.7886982;-45.120503652039325
1739209678.7887015;-38.13080360867914
1739209678.7887046;-45.120503652039325
1739209678.788708;-45.120503652039325
1739209678.788711;-32.816014438256545
1739209678.7887142;-38.13080360867914
1739209678.7887175;-45.120503652039325
1739209678.7887206;-38.13080360867914
1739209678.788724;-38.13080360867914
1739209678.788727;-38.13080360867914
1739209678.7887301;-38.13080360867914
1739209678.7887335;-38.13080360867914
1739209678.7887366;-38.13080360867914
1739209678.78874;-35.57807855764607
1739209678.788743;-45.120503652039325
1739209678.788746;-33.981070128970906
1739209678.7887495;-38.13080360867914
1739209678.7887526;-38.13080360867914
1739209678.788756;-38.13080360867914
1739209678.788759;-45.120503652039325
1739209678.788762;-30.49652367304973
1739209678.7887654;-35.57807855764607
1739209678.7887685;-45.120503652039325
1739209678.7887719;-33.981070128970906
1739209678.788775;-33.981070128970906
1739209678.788778;-45.120503652039325
1739209678.7887814;-45.120503652039325
1739209678.7887845;-38.13080360867914
1739209678.7887878;-38.13080360867914
1739209678.788791;-38.13080360867914
1739209678.788794;-38.13080360867914
1739209678.7887974;-38.13080360867914
1739209678.7888005;-35.57807855764607
1739209678.7888038;-38.13080360867914
1739209678.788807;-38.13080360867914
1739209678.7888103;-38.13080360867914
1739209678.7888134;-38.13080360867914
1739209678.7888165;-38.13080360867914
1739209678.7888198;-38.13080360867914
1739209678.788823;-45.120503652039325
1739209678.7888262;-35.57807855764607
1739209678.7888293;-32.816014438256545
1739209678.7888324;-45.120503652039325
1739209678.7888358;-45.120503652039325
1739209678.7888389;-45.120503652039325
1739209678.7888422;-35.57807855764607
1739209678.7888453;-45.120503652039325
1739209678.7888484;-38.13080360867914
1739209678.7888517;-38.13080360867914
1739209678.7888548;-45.120503652039325
1739209678.7888582;-45.120503652039325
1739209678.7888613;-33.981070128970906
1739209678.7888644;-45.120503652039325
1739209678.7888677;-45.120503652039325
1739209678.7888708;-45.120503652039325
1739209678.7888741;-31.141103565318915
1739209678.7888772;-38.13080360867914
1739209678.7888803;-38.13080360867914
1739209678.7888837;-45.120503652039325
1739209678.7888868;-45.120503652039325
1739209678.7888901;-38.13080360867914
1739209678.7888932;-35.57807855764607
1739209678.7888966;-38.13080360867914
1739209678.7888997;-31.141103565318915
1739209678.7889028;-33.981070128970906
1739209678.788906;-45.120503652039325
1739209678.7889092;-38.13080360867914
1739209678.7889125;-35.57807855764607
1739209678.7889156;-38.13080360867914
1739209678.7889187;-45.120503652039325
1739209678.788922;-33.981070128970906
1739209678.7889252;-31.141103565318915
1739209678.7889285;-33.981070128970906
1739209678.7889316;-45.120503652039325
1739209678.7889347;-32.816014438256545
1739209678.788938;-33.981070128970906
1739209678.7889411;-33.981070128970906
1739209678.7889445;-38.13080360867914
1739209678.7889476;-38.13080360867914
1739209678.7889507;-31.141103565318915
1739209678.788954;-33.981070128970906
1739209678.788957;-45.120503652039325
1739209678.7889605;-45.120503652039325
1739209678.7889636;-45.120503652039325
1739209678.7889667;-45.120503652039325
1739209678.78897;-45.120503652039325
1739209678.788973;-45.120503652039325
1739209678.7889764;-33.981070128970906
1739209678.7889795;-38.13080360867914
1739209678.7889826;-45.120503652039325
1739209678.788986;-38.13080360867914
1739209678.788989;-38.13080360867914
1739209678.7889924;-45.120503652039325
1739209678.7889955;-45.120503652039325
1739209678.7889986;-33.981070128970906
1739209678.789002;-33.981070128970906
1739209678.789005;-33.981070128970906
1739209678.7890084;-35.57807855764607
1739209678.7890115;-45.120503652039325
1739209678.7890148;-38.13080360867914
1739209678.789018;-45.120503652039325
1739209678.789021;-45.120503652039325
1739209678.7890244;-33.981070128970906
1739209678.7890275;-45.120503652039325
1739209678.7890308;-45.120503652039325
1739209678.789034;-45.120503652039325
1739209678.789037;-45.120503652039325
1739209678.7890403;-45.120503652039325
1739209678.7890434;-38.13080360867914
1739209678.7890468;-45.120503652039325
1739209678.7890499;-38.13080360867914
1739209678.789053;-45.120503652039325
1739209678.7890563;-45.120503652039325
1739209678.7890594;-33.981070128970906
1739209678.7890627;-45.120503652039325
1739209678.7890658;-45.120503652039325
1739209678.789069;-38.13080360867914
1739209678.7890723;-38.13080360867914
1739209678.7890754;-45.120503652039325
1739209678.7890787;-38.13080360867914
1739209678.7890818;-28.992665084841942
1739209678.789085;-45.120503652039325
1739209678.7890882;-45.120503652039325
1739209678.7890913;-35.57807855764607
1739209678.7890947;-38.13080360867914
1739209678.7890978;-45.120503652039325
1739209678.7891011;-38.13080360867914
1739209678.7891042;-45.120503652039325
1739209678.7891073;-31.141103565318943
1739209678.7891107;-45.120503652039325
1739209678.7891138;-45.120503652039325
1739209678.789117;-45.120503652039325
1739209678.7891202;-38.13080360867914
1739209678.7891233;-35.57807855764607
1739209678.7891266;-38.13080360867914
1739209678.7891297;-38.13080360867914
1739209678.789133;-28.992665084841942
1739209678.7891362;-35.57807855764607
1739209678.7891393;-45.120503652039325
1739209678.7891426;-45.120503652039325
1739209678.7891457;-38.13080360867914
1739209678.789149;-38.13080360867914
1739209678.7891521;-45.120503652039325
1739209678.7891552;-45.120503652039325
1739209678.7891586;-45.120503652039325
1739209678.7891617;-45.120503652039325
1739209678.789165;-45.120503652039325
1739209678.7891681;-45.120503652039325
1739209678.7891712;-38.13080360867914
1739209678.7891746;-33.981070128970906
1739209678.7891777;-45.120503652039325
1739209678.789181;-45.120503652039325
1739209678.789184;-28.58837851428586
1739209678.7891872;-38.13080360867914
1739209678.7891905;-45.120503652039325
1739209678.7891936;-38.13080360867914
1739209678.789197;-33.981070128970906
1739209678.7892;-45.120503652039325
1739209678.7892032;-45.120503652039325
1739209678.7892065;-38.13080360867914
1739209678.7892096;-45.120503652039325
1739209678.789213;-45.120503652039325
1739209678.789216;-38.13080360867914
1739209678.7892194;-38.13080360867914
1739209678.7892225;-38.13080360867914
1739209678.7892256;-33.981070128970906
1739209678.789229;-45.120503652039325
1739209678.789232;-45.120503652039325
1739209678.7892354;-38.13080360867914
1739209678.7892385;-33.981070128970906
1739209678.7892416;-45.120503652039325
1739209678.789245;-45.120503652039325
1739209678.789248;-38.13080360867914
1739209678.7892513;-45.120503652039325
1739209678.7892544;-45.120503652039325
1739209678.7892575;-45.120503652039325
1739209678.7892609;-45.120503652039325
1739209678.789264;-38.13080360867914
1739209678.7892673;-38.13080360867914
1739209678.7892704;-45.120503652039325
1739209678.7892735;-38.13080360867914
1739209678.7892768;-35.57807855764607
1739209678.78928;-33.981070128970906
1739209678.7892833;-45.120503652039325
1739209678.7892864;-45.120503652039325
1739209678.7892895;-45.120503652039325
1739209678.7892928;-45.120503652039325
1739209678.789296;-45.120503652039325
1739209678.7892992;-45.120503652039325
1739209678.7893023;-45.120503652039325
1739209678.7893057;-45.120503652039325
1739209678.7893088;-45.120503652039325
1739209678.789312;-35.57807855764607
1739209678.7893152;-35.57807855764607
1739209678.7893183;-38.13080360867914
1739209678.7893217;-45.120503652039325
1739209678.7893248;-38.13080360867914
1739209678.7893279;-33.981070128970906
1739209678.7893312;-45.120503652039325
1739209678.7893343;-38.13080360867914
1739209678.7893376;-45.120503652039325
1739209678.7893407;-45.120503652039325
1739209678.7893438;-45.120503652039325
1739209678.7893472;-45.120503652039325
1739209678.7893503;-45.120503652039325
1739209678.7893536;-38.13080360867914
1739209678.7893567;-38.13080360867914
1739209678.7893598;-38.13080360867914
1739209678.7893631;-38.13080360867914
1739209678.7893662;-35.57807855764607
1739209678.7893696;-38.13080360867914
1739209678.7893727;-45.120503652039325
1739209678.7893758;-38.13080360867914
1739209678.7893791;-38.13080360867914
1739209678.7893822;-38.13080360867914
1739209678.7893856;-45.120503652039325
1739209678.7893887;-45.120503652039325
1739209678.7893918;-45.120503652039325
1739209678.789395;-38.13080360867914
1739209678.7893982;-38.13080360867914
1739209678.7894015;-38.13080360867914
1739209678.7894046;-45.120503652039325
1739209678.7894077;-38.13080360867914
1739209678.789411;-38.13080360867914
1739209678.7894142;-45.120503652039325
1739209678.7894175;-45.120503652039325
1739209678.7894206;-38.13080360867914
1739209678.789424;-38.13080360867914
1739209678.789427;-45.120503652039325
1739209678.7894301;-45.120503652039325
1739209678.7894335;-38.13080360867914
1739209678.7894366;-38.13080360867914
1739209678.78944;-38.13080360867914
1739209678.789443;-38.13080360867914
1739209678.789446;-38.13080360867914
1739209678.7894495;-45.120503652039325
1739209678.7894526;-45.120503652039325
1739209678.789456;-38.13080360867914
1739209678.789459;-38.13080360867914
1739209678.789462;-38.13080360867914
1739209678.7894654;-45.120503652039325
