CAN Message; 0x1d3:0000999ca499c36a
Timestamp;Amplitude
1739209686.04553;-38.13080360867914
1739209686.0455384;-38.13080360867914
1739209686.0455468;-35.57807855764607
1739209686.0455549;-38.13080360867914
1739209686.0455632;-35.57807855764607
1739209686.0455716;-38.13080360867914
1739209686.04558;-35.57807855764607
1739209686.0455883;-38.13080360867914
1739209686.0455966;-38.13080360867914
1739209686.045605;-45.120503652039325
1739209686.0456133;-38.13080360867914
1739209686.0456214;-38.13080360867914
1739209686.0456297;-31.141103565318943
1739209686.045638;-38.13080360867914
1739209686.0456464;-38.13080360867914
1739209686.0456548;-35.57807855764607
1739209686.045663;-45.120503652039325
1739209686.0456715;-38.13080360867914
1739209686.0456796;-35.57807855764607
1739209686.045688;-38.13080360867914
1739209686.0456963;-27.8777449560314
1739209686.0457046;-35.57807855764607
1739209686.045713;-35.57807855764607
1739209686.0457213;-38.13080360867914
1739209686.0457296;-35.57807855764607
1739209686.045738;-38.13080360867914
1739209686.045746;-38.13080360867914
1739209686.0457544;-38.13080360867914
1739209686.0457628;-38.13080360867914
1739209686.0457711;-45.120503652039325
1739209686.0457795;-35.57807855764607
1739209686.0457878;-45.120503652039325
1739209686.0457962;-45.120503652039325
1739209686.0458043;-38.13080360867914
1739209686.0458126;-38.13080360867914
1739209686.045821;-45.120503652039325
1739209686.0458293;-38.13080360867914
1739209686.0458376;-38.13080360867914
1739209686.045846;-38.13080360867914
1739209686.0458543;-33.981070128970906
1739209686.0458627;-45.120503652039325
1739209686.0458708;-38.13080360867914
1739209686.0458791;-45.120503652039325
1739209686.0458875;-45.120503652039325
1739209686.0458958;-38.13080360867914
1739209686.0459042;-35.57807855764607
1739209686.0459125;-35.57807855764607
1739209686.0459208;-38.13080360867914
1739209686.045929;-38.13080360867914
1739209686.0459373;-33.981070128970906
1739209686.0459456;-35.57807855764607
1739209686.045954;-35.57807855764607
1739209686.0459623;-45.120503652039325
1739209686.0459707;-45.120503652039325
1739209686.045979;-35.57807855764607
1739209686.0459874;-38.13080360867914
1739209686.0459955;-45.120503652039325
1739209686.0460038;-45.120503652039325
1739209686.0460122;-35.57807855764607
1739209686.0460205;-45.120503652039325
1739209686.0460289;-38.13080360867914
1739209686.0460372;-35.57807855764607
1739209686.0460455;-35.57807855764607
1739209686.046054;-45.120503652039325
1739209686.046062;-38.13080360867914
1739209686.0460703;-33.981070128970906
1739209686.0460787;-45.120503652039325
1739209686.046087;-33.981070128970906
1739209686.0460954;-45.120503652039325
1739209686.0461037;-38.13080360867914
1739209686.046112;-38.13080360867914
1739209686.0461202;-38.13080360867914
1739209686.0461285;-45.120503652039325
1739209686.0461369;-45.120503652039325
1739209686.0461452;-45.120503652039325
1739209686.0461535;-45.120503652039325
1739209686.046162;-38.13080360867914
1739209686.0461702;-38.13080360867914
1739209686.0461786;-35.57807855764607
1739209686.0461867;-45.120503652039325
1739209686.046195;-45.120503652039325
1739209686.0462034;-45.120503652039325
1739209686.0462117;-45.120503652039325
1739209686.04622;-45.120503652039325
1739209686.0462284;-38.13080360867914
1739209686.0462368;-38.13080360867914
1739209686.0462449;-38.13080360867914
1739209686.0462532;-38.13080360867914
1739209686.0462615;-38.13080360867914
1739209686.04627;-38.13080360867914
1739209686.0462782;-45.120503652039325
1739209686.0462866;-38.13080360867914
1739209686.046295;-35.57807855764607
1739209686.0463033;-38.13080360867914
1739209686.0463114;-45.120503652039325
1739209686.0463197;-38.13080360867914
1739209686.046328;-35.57807855764607
1739209686.0463364;-45.120503652039325
1739209686.0463448;-45.120503652039325
1739209686.046353;-38.13080360867914
1739209686.0463614;-35.57807855764607
1739209686.0463696;-33.981070128970906
1739209686.046378;-38.13080360867914
1739209686.0463862;-45.120503652039325
1739209686.0463946;-33.981070128970906
1739209686.046403;-32.816014438256545
1739209686.0464113;-38.13080360867914
1739209686.0464196;-45.120503652039325
1739209686.046428;-35.57807855764607
1739209686.046436;-45.120503652039325
1739209686.0464444;-45.120503652039325
1739209686.0464528;-38.13080360867914
1739209686.046461;-35.57807855764607
1739209686.0464694;-38.13080360867914
1739209686.0464778;-38.13080360867914
1739209686.0464861;-33.981070128970906
1739209686.0464942;-45.120503652039325
1739209686.0465026;-38.13080360867914
1739209686.046511;-38.13080360867914
1739209686.0465193;-38.13080360867914
1739209686.0465276;-45.120503652039325
1739209686.046536;-45.120503652039325
1739209686.0465443;-45.120503652039325
1739209686.0465527;-45.120503652039325
1739209686.0465608;-38.13080360867914
1739209686.046569;-45.120503652039325
1739209686.0465775;-45.120503652039325
1739209686.0465858;-38.13080360867914
1739209686.0465941;-45.120503652039325
1739209686.0466025;-45.120503652039325
1739209686.0466108;-45.120503652039325
1739209686.046619;-38.13080360867914
1739209686.0466273;-45.120503652039325
1739209686.0466356;-45.120503652039325
1739209686.046644;-45.120503652039325
1739209686.0466523;-38.13080360867914
1739209686.0466607;-45.120503652039325
1739209686.046669;-38.13080360867914
1739209686.0466774;-35.57807855764607
1739209686.0466855;-38.13080360867914
1739209686.0466938;-45.120503652039325
1739209686.0467021;-32.816014438256545
1739209686.0467105;-28.58837851428586
1739209686.0467188;-45.120503652039325
1739209686.0467272;-45.120503652039325
1739209686.0467355;-38.13080360867914
1739209686.0467436;-35.57807855764607
1739209686.046752;-45.120503652039325
1739209686.0467603;-35.57807855764607
1739209686.0467687;-38.13080360867914
1739209686.046777;-38.13080360867914
1739209686.0467854;-38.13080360867914
1739209686.0467937;-45.120503652039325
1739209686.046802;-45.120503652039325
1739209686.0468102;-38.13080360867914
1739209686.0468185;-38.13080360867914
1739209686.0468268;-45.120503652039325
1739209686.0468352;-38.13080360867914
1739209686.0468435;-32.816014438256545
1739209686.0468519;-45.120503652039325
1739209686.0468602;-45.120503652039325
1739209686.0468683;-33.981070128970906
1739209686.0468767;-35.57807855764607
1739209686.046885;-45.120503652039325
1739209686.0468934;-45.120503652039325
1739209686.0469017;-38.13080360867914
1739209686.04691;-31.141103565318893
1739209686.0469184;-45.120503652039325
1739209686.0469267;-45.120503652039325
1739209686.0469348;-33.981070128970906
1739209686.0469432;-32.816014438256545
1739209686.0469515;-45.120503652039325
1739209686.0469599;-45.120503652039325
1739209686.0469682;-45.120503652039325
1739209686.0469766;-45.120503652039325
1739209686.046985;-38.13080360867914
1739209686.046993;-45.120503652039325
1739209686.0470014;-33.981070128970906
1739209686.0470097;-45.120503652039325
1739209686.047018;-38.13080360867914
1739209686.0470264;-45.120503652039325
1739209686.0470347;-33.981070128970906
1739209686.047043;-28.21854285175415
1739209686.0470514;-35.57807855764607
1739209686.0470595;-38.13080360867914
1739209686.0470679;-35.57807855764607
1739209686.0470762;-32.816014438256545
1739209686.0470846;-45.120503652039325
1739209686.047093;-45.120503652039325
1739209686.0471013;-38.13080360867914
1739209686.0471096;-38.13080360867914
1739209686.0471177;-45.120503652039325
1739209686.047126;-45.120503652039325
1739209686.0471344;-38.13080360867914
1739209686.0471427;-35.57807855764607
1739209686.047151;-38.13080360867914
1739209686.0471594;-45.120503652039325
1739209686.0471678;-38.13080360867914
1739209686.0471761;-27.8777449560314
1739209686.0471842;-38.13080360867914
1739209686.0471926;-45.120503652039325
1739209686.047201;-38.13080360867914
1739209686.0472093;-38.13080360867914
1739209686.0472176;-45.120503652039325
1739209686.047226;-45.120503652039325
1739209686.0472343;-38.13080360867914
1739209686.0472426;-45.120503652039325
1739209686.0472507;-45.120503652039325
1739209686.047259;-45.120503652039325
1739209686.0472674;-33.981070128970906
1739209686.0472758;-32.816014438256545
1739209686.0472841;-38.13080360867914
1739209686.0472925;-45.120503652039325
1739209686.0473008;-45.120503652039325
1739209686.047309;-45.120503652039325
1739209686.0473173;-38.13080360867914
1739209686.0473256;-38.13080360867914
1739209686.047334;-45.120503652039325
1739209686.0473423;-38.13080360867914
1739209686.0473506;-33.981070128970906
1739209686.047359;-45.120503652039325
1739209686.0473673;-38.13080360867914
1739209686.0473754;-32.816014438256545
1739209686.0473838;-45.120503652039325
1739209686.0473921;-35.57807855764607
1739209686.0474005;-38.13080360867914
1739209686.0474088;-32.816014438256545
1739209686.0474172;-38.13080360867914
1739209686.0474255;-38.13080360867914
1739209686.0474336;-35.57807855764607
1739209686.047442;-38.13080360867914
1739209686.0474503;-45.120503652039325
1739209686.0474586;-45.120503652039325
1739209686.047467;-45.120503652039325
1739209686.0474753;-45.120503652039325
1739209686.0474837;-38.13080360867914
1739209686.047492;-45.120503652039325
1739209686.0475001;-45.120503652039325
1739209686.0475085;-33.981070128970906
1739209686.0475168;-35.57807855764607
1739209686.0475252;-45.120503652039325
1739209686.0475335;-45.120503652039325
1739209686.0475419;-38.13080360867914
1739209686.0475502;-45.120503652039325
1739209686.0475583;-45.120503652039325
1739209686.0475667;-38.13080360867914
1739209686.047575;-45.120503652039325
1739209686.0475833;-45.120503652039325
1739209686.0475917;-45.120503652039325
1739209686.0476;-38.13080360867914
1739209686.0476084;-35.57807855764607
1739209686.0476167;-38.13080360867914
1739209686.0476248;-45.120503652039325
1739209686.0476332;-45.120503652039325
1739209686.0476415;-38.13080360867914
1739209686.0476499;-38.13080360867914
1739209686.0476582;-45.120503652039325
1739209686.0476665;-45.120503652039325
1739209686.047675;-45.120503652039325
1739209686.047683;-45.120503652039325
1739209686.0476913;-38.13080360867914
1739209686.0476997;-38.13080360867914
1739209686.047708;-45.120503652039325
1739209686.0477164;-33.981070128970906
1739209686.0477247;-45.120503652039325
1739209686.047733;-45.120503652039325
1739209686.0477414;-45.120503652039325
1739209686.0477495;-35.57807855764607
1739209686.0477579;-38.13080360867914
1739209686.0477662;-38.13080360867914
1739209686.0477746;-45.120503652039325
1739209686.047783;-38.13080360867914
1739209686.0477912;-38.13080360867914
1739209686.0477996;-45.120503652039325
1739209686.0478077;-45.120503652039325
1739209686.047816;-45.120503652039325
1739209686.0478244;-38.13080360867914
1739209686.0478327;-45.120503652039325
1739209686.047841;-45.120503652039325
1739209686.0478494;-33.981070128970906
1739209686.0478578;-38.13080360867914
1739209686.047866;-45.120503652039325
1739209686.0478742;-45.120503652039325
1739209686.0478826;-38.13080360867914
1739209686.047891;-35.57807855764607
1739209686.0478992;-38.13080360867914
1739209686.0479076;-45.120503652039325
1739209686.047916;-45.120503652039325
1739209686.0479243;-38.13080360867914
1739209686.0479324;-45.120503652039325
1739209686.0479407;-45.120503652039325
1739209686.047949;-45.120503652039325
1739209686.0479574;-38.13080360867914
1739209686.0479658;-45.120503652039325
1739209686.047974;-45.120503652039325
1739209686.0479825;-35.57807855764607
