CAN Message; 0x150:000047d36d4823f8
Timestamp;Amplitude
1739209689.194389;-45.120503652039325
1739209689.1944027;-38.13080360867914
1739209689.1944163;-45.120503652039325
1739209689.19443;-38.13080360867914
1739209689.1944437;-45.120503652039325
1739209689.1944573;-45.120503652039325
1739209689.194471;-38.13080360867914
1739209689.1944845;-38.13080360867914
1739209689.194498;-45.120503652039325
1739209689.194512;-38.13080360867914
1739209689.1945255;-28.58837851428586
1739209689.194539;-32.816014438256545
1739209689.1945527;-45.120503652039325
1739209689.1945662;-45.120503652039325
1739209689.1945798;-45.120503652039325
1739209689.1945937;-45.120503652039325
1739209689.1946073;-38.13080360867914
1739209689.1946208;-33.981070128970906
1739209689.1946344;-45.120503652039325
1739209689.194648;-45.120503652039325
1739209689.1946616;-45.120503652039325
1739209689.1946754;-45.120503652039325
1739209689.194689;-33.981070128970906
1739209689.1947026;-38.13080360867914
1739209689.1947162;-45.120503652039325
1739209689.1947298;-45.120503652039325
1739209689.1947434;-45.120503652039325
1739209689.1947572;-38.13080360867914
1739209689.1947708;-45.120503652039325
1739209689.1947844;-38.13080360867914
1739209689.194798;-45.120503652039325
1739209689.1948116;-45.120503652039325
1739209689.1948252;-45.120503652039325
1739209689.194839;-45.120503652039325
1739209689.1948526;-38.13080360867914
1739209689.1948662;-35.57807855764607
1739209689.1948798;-45.120503652039325
1739209689.1948934;-45.120503652039325
1739209689.194907;-32.816014438256545
1739209689.1949208;-35.57807855764607
1739209689.1949344;-45.120503652039325
1739209689.194948;-45.120503652039325
1739209689.1949615;-33.981070128970906
1739209689.1949751;-38.13080360867914
1739209689.1949887;-38.13080360867914
1739209689.1950026;-38.13080360867914
1739209689.1950161;-45.120503652039325
1739209689.1950297;-33.981070128970906
1739209689.1950433;-38.13080360867914
1739209689.195057;-45.120503652039325
1739209689.1950705;-30.49652367304973
1739209689.1950843;-35.57807855764607
1739209689.195098;-45.120503652039325
1739209689.1951115;-45.120503652039325
1739209689.195125;-35.57807855764607
1739209689.1951387;-45.120503652039325
1739209689.1951523;-45.120503652039325
1739209689.195166;-38.13080360867914
1739209689.1951797;-38.13080360867914
1739209689.1951933;-33.981070128970906
1739209689.1952069;-38.13080360867914
1739209689.1952205;-45.120503652039325
1739209689.195234;-35.57807855764607
1739209689.195248;-32.816014438256545
1739209689.1952615;-45.120503652039325
1739209689.195275;-38.13080360867914
1739209689.1952887;-38.13080360867914
1739209689.1953022;-33.981070128970906
1739209689.1953158;-38.13080360867914
1739209689.1953297;-38.13080360867914
1739209689.1953433;-38.13080360867914
1739209689.1953568;-38.13080360867914
1739209689.1953704;-38.13080360867914
1739209689.195384;-45.120503652039325
1739209689.1953976;-45.120503652039325
1739209689.1954114;-38.13080360867914
1739209689.195425;-38.13080360867914
1739209689.1954386;-45.120503652039325
1739209689.1954522;-35.57807855764607
1739209689.1954658;-35.57807855764607
1739209689.1954794;-45.120503652039325
1739209689.1954932;-45.120503652039325
1739209689.1955068;-38.13080360867914
1739209689.1955204;-31.141103565318915
1739209689.195534;-38.13080360867914
1739209689.1955476;-38.13080360867914
1739209689.1955612;-33.981070128970906
1739209689.195575;-45.120503652039325
1739209689.1955886;-38.13080360867914
1739209689.1956022;-45.120503652039325
1739209689.1956158;-38.13080360867914
1739209689.1956294;-38.13080360867914
1739209689.195643;-38.13080360867914
1739209689.1956568;-45.120503652039325
1739209689.1956704;-38.13080360867914
1739209689.195684;-38.13080360867914
1739209689.1956975;-45.120503652039325
1739209689.1957111;-45.120503652039325
1739209689.1957247;-38.13080360867914
1739209689.1957386;-33.981070128970906
1739209689.1957521;-33.981070128970906
1739209689.1957657;-45.120503652039325
1739209689.1957793;-38.13080360867914
1739209689.195793;-38.13080360867914
1739209689.1958065;-38.13080360867914
1739209689.19582;-38.13080360867914
1739209689.195834;-38.13080360867914
1739209689.1958475;-45.120503652039325
1739209689.195861;-45.120503652039325
1739209689.1958747;-45.120503652039325
1739209689.1958883;-45.120503652039325
1739209689.1959019;-45.120503652039325
1739209689.1959157;-45.120503652039325
1739209689.1959293;-45.120503652039325
1739209689.1959429;-38.13080360867914
1739209689.1959565;-35.57807855764607
1739209689.19597;-38.13080360867914
1739209689.1959836;-45.120503652039325
1739209689.1959975;-33.981070128970906
1739209689.196011;-33.981070128970906
1739209689.1960247;-45.120503652039325
1739209689.1960382;-38.13080360867914
1739209689.1960518;-33.981070128970906
1739209689.1960654;-38.13080360867914
1739209689.1960793;-31.141103565318915
1739209689.1960928;-33.981070128970906
1739209689.1961064;-38.13080360867914
1739209689.19612;-45.120503652039325
1739209689.1961336;-45.120503652039325
1739209689.1961472;-45.120503652039325
1739209689.196161;-38.13080360867914
1739209689.1961746;-33.981070128970906
1739209689.1961882;-31.141103565318915
1739209689.1962018;-45.120503652039325
1739209689.1962154;-45.120503652039325
1739209689.196229;-38.13080360867914
1739209689.1962428;-38.13080360867914
1739209689.1962564;-45.120503652039325
1739209689.19627;-45.120503652039325
1739209689.1962836;-38.13080360867914
1739209689.1962972;-38.13080360867914
1739209689.1963108;-45.120503652039325
1739209689.1963246;-38.13080360867914
1739209689.1963382;-38.13080360867914
1739209689.1963518;-45.120503652039325
1739209689.1963654;-38.13080360867914
1739209689.196379;-35.57807855764607
1739209689.1963925;-38.13080360867914
1739209689.1964064;-45.120503652039325
1739209689.19642;-35.57807855764607
1739209689.1964335;-38.13080360867914
1739209689.1964471;-45.120503652039325
1739209689.1964607;-45.120503652039325
1739209689.1964743;-38.13080360867914
1739209689.1964881;-45.120503652039325
1739209689.1965017;-38.13080360867914
1739209689.1965153;-28.992665084841942
1739209689.196529;-45.120503652039325
1739209689.1965425;-38.13080360867914
1739209689.196556;-38.13080360867914
1739209689.19657;-38.13080360867914
1739209689.1965835;-45.120503652039325
1739209689.196597;-38.13080360867914
1739209689.1966107;-33.981070128970906
1739209689.1966243;-30.49652367304976
