CAN Message; 0x1bb:00000e037fb9f9df
Timestamp;Amplitude
1739209696.6608238;-38.13080360867914
1739209696.6608305;-45.120503652039325
1739209696.6608372;-45.120503652039325
1739209696.6608438;-33.981070128970906
1739209696.6608503;-38.13080360867914
1739209696.660857;-45.120503652039325
1739209696.6608636;-45.120503652039325
1739209696.6608703;-45.120503652039325
1739209696.660877;-38.13080360867914
1739209696.6608837;-35.57807855764607
1739209696.6608903;-38.13080360867914
1739209696.660897;-45.120503652039325
1739209696.6609037;-45.120503652039325
1739209696.6609104;-35.57807855764607
1739209696.6609168;-45.120503652039325
1739209696.6609235;-45.120503652039325
1739209696.6609302;-38.13080360867914
1739209696.6609368;-32.816014438256545
1739209696.6609435;-31.141103565318915
1739209696.6609502;-45.120503652039325
1739209696.6609569;-33.981070128970906
1739209696.6609635;-32.816014438256545
1739209696.6609702;-32.816014438256545
1739209696.6609766;-45.120503652039325
1739209696.6609833;-35.57807855764607
1739209696.66099;-45.120503652039325
1739209696.6609967;-33.981070128970956
1739209696.6610034;-45.120503652039325
1739209696.66101;-45.120503652039325
1739209696.6610167;-45.120503652039325
1739209696.6610234;-45.120503652039325
1739209696.66103;-32.816014438256545
1739209696.6610367;-45.120503652039325
1739209696.6610432;-33.981070128970906
1739209696.6610498;-31.141103565318915
1739209696.6610565;-45.120503652039325
1739209696.6610632;-38.13080360867914
1739209696.6610699;-38.13080360867914
1739209696.6610765;-38.13080360867914
1739209696.6610832;-32.816014438256545
1739209696.66109;-38.13080360867914
1739209696.6610966;-45.120503652039325
1739209696.6611032;-33.981070128970906
1739209696.6611097;-31.141103565318893
1739209696.6611164;-45.120503652039325
1739209696.661123;-45.120503652039325
1739209696.6611297;-38.13080360867914
1739209696.6611364;-45.120503652039325
1739209696.661143;-45.120503652039325
1739209696.6611497;-45.120503652039325
1739209696.6611564;-45.120503652039325
1739209696.661163;-38.13080360867914
1739209696.6611695;-38.13080360867914
1739209696.6611762;-45.120503652039325
1739209696.6611829;-45.120503652039325
1739209696.6611896;-38.13080360867914
1739209696.6611962;-38.13080360867914
1739209696.661203;-45.120503652039325
1739209696.6612096;-38.13080360867914
1739209696.6612163;-38.13080360867914
1739209696.661223;-38.13080360867914
1739209696.6612296;-38.13080360867914
1739209696.661236;-33.981070128970906
1739209696.6612427;-45.120503652039325
1739209696.6612494;-45.120503652039325
1739209696.661256;-32.816014438256545
1739209696.6612628;-45.120503652039325
1739209696.6612694;-45.120503652039325
1739209696.661276;-38.13080360867914
1739209696.6612828;-38.13080360867914
1739209696.6612895;-45.120503652039325
1739209696.661296;-45.120503652039325
1739209696.6613026;-38.13080360867914
1739209696.6613092;-35.57807855764607
1739209696.661316;-33.981070128970906
1739209696.6613226;-45.120503652039325
1739209696.6613293;-38.13080360867914
1739209696.661336;-38.13080360867914
1739209696.6613426;-38.13080360867914
1739209696.6613493;-38.13080360867914
1739209696.661356;-45.120503652039325
1739209696.6613624;-35.57807855764607
1739209696.661369;-45.120503652039325
1739209696.6613758;-45.120503652039325
1739209696.6613824;-45.120503652039325
1739209696.661389;-38.13080360867914
1739209696.6613958;-38.13080360867914
1739209696.6614025;-45.120503652039325
1739209696.6614091;-45.120503652039325
1739209696.6614158;-38.13080360867914
1739209696.6614223;-45.120503652039325
1739209696.661429;-38.13080360867914
1739209696.6614356;-38.13080360867914
1739209696.6614423;-45.120503652039325
1739209696.661449;-38.13080360867914
1739209696.6614556;-45.120503652039325
1739209696.6614623;-38.13080360867914
1739209696.661469;-45.120503652039325
1739209696.6614757;-38.13080360867914
1739209696.6614823;-32.816014438256545
1739209696.6614888;-38.13080360867914
1739209696.6614954;-45.120503652039325
1739209696.6615021;-38.13080360867914
1739209696.6615088;-32.816014438256545
1739209696.6615155;-38.13080360867914
1739209696.6615222;-45.120503652039325
1739209696.6615288;-45.120503652039325
1739209696.6615355;-38.13080360867914
1739209696.6615422;-38.13080360867914
1739209696.6615489;-45.120503652039325
1739209696.6615553;-45.120503652039325
1739209696.661562;-38.13080360867914
1739209696.6615686;-38.13080360867914
1739209696.6615753;-45.120503652039325
1739209696.661582;-38.13080360867914
1739209696.6615887;-35.57807855764607
1739209696.6615953;-45.120503652039325
1739209696.661602;-45.120503652039325
1739209696.6616087;-38.13080360867914
1739209696.6616151;-35.57807855764607
1739209696.6616218;-38.13080360867914
1739209696.6616285;-45.120503652039325
1739209696.6616352;-45.120503652039325
1739209696.6616418;-45.120503652039325
1739209696.6616485;-38.13080360867914
1739209696.6616552;-45.120503652039325
1739209696.6616619;-38.13080360867914
1739209696.6616685;-45.120503652039325
1739209696.6616752;-38.13080360867914
1739209696.6616817;-45.120503652039325
1739209696.6616883;-45.120503652039325
