CAN Message; 0x77:19d1fb7de98000d3
Timestamp;Amplitude
1739209725.99753;-32.816014438256545
1739209725.9975393;-45.120503652039325
1739209725.9975483;-45.120503652039325
1739209725.9975574;-45.120503652039325
1739209725.9975667;-35.57807855764607
1739209725.9975758;-38.13080360867914
1739209725.9975848;-38.13080360867914
1739209725.997594;-38.13080360867914
1739209725.9976032;-45.120503652039325
1739209725.9976125;-45.120503652039325
1739209725.9976215;-45.120503652039325
1739209725.9976306;-38.13080360867914
1739209725.99764;-32.816014438256545
1739209725.997649;-38.13080360867914
1739209725.997658;-45.120503652039325
1739209725.9976673;-38.13080360867914
1739209725.9976764;-32.816014438256545
1739209725.9976854;-33.981070128970906
1739209725.9976947;-45.120503652039325
1739209725.9977038;-45.120503652039325
1739209725.9977129;-45.120503652039325
1739209725.9977221;-38.13080360867914
1739209725.9977312;-45.120503652039325
1739209725.9977405;-38.13080360867914
1739209725.9977496;-35.57807855764607
1739209725.9977586;-33.981070128970906
1739209725.997768;-45.120503652039325
1739209725.997777;-38.13080360867914
1739209725.997786;-35.57807855764607
1739209725.9977953;-38.13080360867914
1739209725.9978044;-38.13080360867914
1739209725.9978135;-38.13080360867914
1739209725.9978228;-45.120503652039325
1739209725.9978318;-45.120503652039325
1739209725.997841;-45.120503652039325
1739209725.9978502;-35.57807855764607
1739209725.9978592;-38.13080360867914
1739209725.9978683;-45.120503652039325
1739209725.9978776;-45.120503652039325
1739209725.9978867;-45.120503652039325
1739209725.997896;-38.13080360867914
1739209725.997905;-32.816014438256545
1739209725.997914;-38.13080360867914
1739209725.9979234;-45.120503652039325
1739209725.9979324;-38.13080360867914
1739209725.9979415;-45.120503652039325
1739209725.9979508;-45.120503652039325
1739209725.9979599;-33.981070128970906
1739209725.997969;-45.120503652039325
1739209725.9979782;-38.13080360867914
1739209725.9979873;-45.120503652039325
1739209725.9979963;-38.13080360867914
1739209725.9980056;-35.57807855764607
1739209725.9980147;-38.13080360867914
1739209725.9980237;-45.120503652039325
1739209725.998033;-38.13080360867914
1739209725.998042;-45.120503652039325
1739209725.9980514;-38.13080360867914
1739209725.9980605;-45.120503652039325
1739209725.9980695;-38.13080360867914
1739209725.9980788;-38.13080360867914
1739209725.998088;-38.13080360867914
1739209725.998097;-28.58837851428586
1739209725.9981062;-35.57807855764607
1739209725.9981153;-45.120503652039325
1739209725.9981244;-28.992665084841942
1739209725.9981337;-35.57807855764607
1739209725.9981427;-38.13080360867914
1739209725.9981518;-38.13080360867914
1739209725.998161;-31.141103565318915
1739209725.9981701;-38.13080360867914
1739209725.9981794;-45.120503652039325
1739209725.9981885;-45.120503652039325
1739209725.9981976;-38.13080360867914
1739209725.9982069;-38.13080360867914
1739209725.998216;-38.13080360867914
1739209725.998225;-45.120503652039325
1739209725.9982343;-45.120503652039325
1739209725.9982433;-38.13080360867914
1739209725.9982524;-38.13080360867914
1739209725.9982617;-45.120503652039325
1739209725.9982708;-33.981070128970906
1739209725.9982798;-35.57807855764607
1739209725.998289;-38.13080360867914
1739209725.9982982;-38.13080360867914
1739209725.9983072;-33.981070128970906
1739209725.9983165;-38.13080360867914
1739209725.9983256;-45.120503652039325
1739209725.998335;-45.120503652039325
1739209725.998344;-32.816014438256545
1739209725.998353;-33.981070128970906
1739209725.9983623;-45.120503652039325
1739209725.9983714;-45.120503652039325
1739209725.9983804;-38.13080360867914
1739209725.9983897;-38.13080360867914
1739209725.9983988;-45.120503652039325
1739209725.9984078;-35.57807855764607
1739209725.9984171;-38.13080360867914
1739209725.9984262;-45.120503652039325
1739209725.9984353;-38.13080360867914
1739209725.9984446;-45.120503652039325
1739209725.9984536;-45.120503652039325
1739209725.998463;-45.120503652039325
1739209725.998472;-38.13080360867914
1739209725.998481;-45.120503652039325
1739209725.9984903;-32.816014438256545
1739209725.9984994;-29.438486411369333
1739209725.9985085;-38.13080360867914
1739209725.9985178;-38.13080360867914
1739209725.9985268;-38.13080360867914
1739209725.9985359;-38.13080360867914
1739209725.9985452;-38.13080360867914
1739209725.9985542;-38.13080360867914
1739209725.9985633;-45.120503652039325
1739209725.9985726;-38.13080360867914
1739209725.9985816;-33.981070128970906
1739209725.9985907;-45.120503652039325
1739209725.9986;-38.13080360867914
1739209725.998609;-35.57807855764607
1739209725.9986184;-45.120503652039325
1739209725.9986274;-38.13080360867914
1739209725.9986365;-38.13080360867914
1739209725.9986458;-38.13080360867914
1739209725.9986548;-35.57807855764607
1739209725.998664;-35.57807855764607
1739209725.9986732;-38.13080360867914
1739209725.9986823;-38.13080360867914
1739209725.9986913;-38.13080360867914
1739209725.9987006;-35.57807855764607
1739209725.9987097;-45.120503652039325
1739209725.9987187;-45.120503652039325
1739209725.998728;-38.13080360867914
1739209725.998737;-45.120503652039325
1739209725.9987464;-38.13080360867914
1739209725.9987555;-38.13080360867914
1739209725.9987645;-45.120503652039325
1739209725.9987738;-45.120503652039325
1739209725.9987829;-45.120503652039325
1739209725.998792;-45.120503652039325
1739209725.9988012;-38.13080360867914
1739209725.9988103;-45.120503652039325
1739209725.9988194;-45.120503652039325
1739209725.9988286;-45.120503652039325
1739209725.9988377;-38.13080360867914
1739209725.9988468;-45.120503652039325
1739209725.998856;-38.13080360867914
1739209725.9988651;-38.13080360867914
1739209725.9988742;-45.120503652039325
1739209725.9988835;-38.13080360867914
1739209725.9988925;-38.13080360867914
1739209725.9989018;-38.13080360867914
1739209725.998911;-38.13080360867914
1739209725.99892;-45.120503652039325
1739209725.9989293;-38.13080360867914
1739209725.9989383;-45.120503652039325
1739209725.9989474;-45.120503652039325
1739209725.9989567;-38.13080360867914
1739209725.9989657;-45.120503652039325
1739209725.9989748;-38.13080360867914
1739209725.998984;-35.57807855764607
1739209725.9989932;-35.57807855764607
1739209725.9990022;-45.120503652039325
1739209725.9990115;-45.120503652039325
1739209725.9990206;-45.120503652039325
1739209725.9990296;-45.120503652039325
1739209725.999039;-38.13080360867914
1739209725.999048;-45.120503652039325
1739209725.9990573;-45.120503652039325
1739209725.9990664;-33.981070128970906
1739209725.9990754;-45.120503652039325
1739209725.9990847;-45.120503652039325
1739209725.9990938;-45.120503652039325
1739209725.9991028;-45.120503652039325
1739209725.9991121;-45.120503652039325
1739209725.9991212;-45.120503652039325
1739209725.9991302;-38.13080360867914
1739209725.9991395;-38.13080360867914
1739209725.9991486;-38.13080360867914
1739209725.9991577;-45.120503652039325
1739209725.999167;-38.13080360867914
1739209725.999176;-38.13080360867914
1739209725.9991853;-45.120503652039325
1739209725.9991944;-45.120503652039325
1739209725.9992034;-33.981070128970906
1739209725.9992127;-45.120503652039325
1739209725.9992218;-38.13080360867914
1739209725.9992309;-35.57807855764607
1739209725.9992402;-38.13080360867914
1739209725.9992492;-45.120503652039325
1739209725.9992583;-45.120503652039325
1739209725.9992676;-35.57807855764607
1739209725.9992766;-38.13080360867914
1739209725.9992857;-38.13080360867914
1739209725.999295;-38.13080360867914
1739209725.999304;-45.120503652039325
1739209725.999313;-38.13080360867914
1739209725.9993224;-45.120503652039325
1739209725.9993315;-35.57807855764607
1739209725.9993408;-45.120503652039325
1739209725.9993498;-45.120503652039325
1739209725.999359;-35.57807855764607
1739209725.9993682;-45.120503652039325
1739209725.9993773;-38.13080360867914
1739209725.9993863;-38.13080360867914
1739209725.9993956;-45.120503652039325
1739209725.9994047;-38.13080360867914
1739209725.9994137;-35.57807855764607
1739209725.999423;-38.13080360867914
1739209725.999432;-45.120503652039325
1739209725.9994411;-45.120503652039325
1739209725.9994504;-45.120503652039325
1739209725.9994595;-38.13080360867914
1739209725.9994688;-38.13080360867914
1739209725.9994779;-45.120503652039325
1739209725.999487;-45.120503652039325
1739209725.9994962;-38.13080360867914
1739209725.9995053;-45.120503652039325
1739209725.9995143;-45.120503652039325
1739209725.9995236;-45.120503652039325
1739209725.9995327;-45.120503652039325
1739209725.9995418;-45.120503652039325
1739209725.999551;-45.120503652039325
1739209725.99956;-38.13080360867914
1739209725.9995692;-38.13080360867914
1739209725.9995785;-45.120503652039325
1739209725.9995875;-45.120503652039325
1739209725.9995966;-45.120503652039325
1739209725.999606;-35.57807855764607
1739209725.999615;-38.13080360867914
1739209725.9996243;-33.981070128970906
1739209725.9996333;-38.13080360867914
1739209725.9996424;-33.981070128970906
1739209725.9996517;-35.57807855764607
1739209725.9996607;-35.57807855764607
1739209725.9996698;-45.120503652039325
1739209725.999679;-31.14110356531892
1739209725.9996881;-45.120503652039325
1739209725.9996972;-38.13080360867914
1739209725.9997065;-38.13080360867914
1739209725.9997156;-38.13080360867914
1739209725.9997246;-45.120503652039325
1739209725.999734;-45.120503652039325
1739209725.999743;-38.13080360867914
1739209725.999752;-28.992665084841942
1739209725.9997613;-38.13080360867914
1739209725.9997704;-45.120503652039325
1739209725.9997797;-45.120503652039325
1739209725.9997888;-38.13080360867914
1739209725.9997978;-45.120503652039325
1739209725.9998071;-38.13080360867914
1739209725.9998162;-35.57807855764607
1739209725.9998252;-29.438486411369354
1739209725.9998345;-45.120503652039325
1739209725.9998436;-38.13080360867914
1739209725.9998527;-38.13080360867914
1739209725.999862;-38.13080360867914
1739209725.999871;-45.120503652039325
1739209725.99988;-38.13080360867914
1739209725.9998894;-38.13080360867914
1739209725.9998984;-28.992665084841942
1739209725.9999077;-38.13080360867914
1739209725.9999168;-31.141103565318915
1739209725.9999259;-35.57807855764607
1739209725.9999352;-35.57807855764607
1739209725.9999442;-45.120503652039325
1739209725.9999533;-38.13080360867914
1739209725.9999626;-33.981070128970906
1739209725.9999716;-35.57807855764607
1739209725.9999807;-45.120503652039325
1739209725.99999;-45.120503652039325
1739209725.999999;-45.120503652039325
1739209726.000008;-45.120503652039325
1739209726.0000174;-45.120503652039325
1739209726.0000265;-45.120503652039325
1739209726.0000355;-45.120503652039325
1739209726.0000448;-33.981070128970906
1739209726.000054;-38.13080360867914
1739209726.0000632;-38.13080360867914
1739209726.0000722;-38.13080360867914
1739209726.0000813;-38.13080360867914
1739209726.0000906;-38.13080360867914
1739209726.0000997;-45.120503652039325
1739209726.0001087;-45.120503652039325
1739209726.000118;-38.13080360867914
1739209726.000127;-38.13080360867914
1739209726.0001361;-45.120503652039325
1739209726.0001454;-45.120503652039325
1739209726.0001545;-35.57807855764607
1739209726.0001636;-35.57807855764607
1739209726.0001729;-45.120503652039325
1739209726.000182;-38.13080360867914
1739209726.0001912;-38.13080360867914
1739209726.0002003;-38.13080360867914
1739209726.0002093;-35.57807855764607
1739209726.0002186;-45.120503652039325
1739209726.0002277;-45.120503652039325
1739209726.0002367;-45.120503652039325
1739209726.000246;-38.13080360867914
1739209726.000255;-45.120503652039325
1739209726.0002642;-32.816014438256545
1739209726.0002735;-29.438486411369333
1739209726.0002825;-45.120503652039325
1739209726.0002916;-45.120503652039325
1739209726.000301;-33.981070128970906
1739209726.00031;-38.13080360867914
1739209726.000319;-45.120503652039325
1739209726.0003283;-45.120503652039325
1739209726.0003374;-45.120503652039325
1739209726.0003467;-45.120503652039325
1739209726.0003557;-38.13080360867914
1739209726.0003648;-38.13080360867914
1739209726.000374;-45.120503652039325
1739209726.0003831;-38.13080360867914
1739209726.0003922;-38.13080360867914
1739209726.0004015;-45.120503652039325
1739209726.0004106;-32.816014438256545
1739209726.0004196;-26.991370085610736
1739209726.000429;-45.120503652039325
1739209726.000438;-45.120503652039325
1739209726.000447;-38.13080360867914
1739209726.0004563;-35.57807855764607
1739209726.0004654;-45.120503652039325
1739209726.0004747;-45.120503652039325
1739209726.0004838;-45.120503652039325
1739209726.0004928;-45.120503652039325
1739209726.000502;-45.120503652039325
1739209726.0005112;-45.120503652039325
1739209726.0005202;-38.13080360867914
1739209726.0005295;-38.13080360867914
1739209726.0005386;-38.13080360867914
1739209726.0005476;-45.120503652039325
1739209726.000557;-38.13080360867914
1739209726.000566;-29.438486411369333
1739209726.000575;-45.120503652039325
1739209726.0005844;-45.120503652039325
1739209726.0005934;-38.13080360867914
1739209726.0006025;-45.120503652039325
1739209726.0006118;-45.120503652039325
1739209726.0006208;-45.120503652039325
1739209726.0006301;-45.120503652039325
1739209726.0006392;-45.120503652039325
1739209726.0006483;-45.120503652039325
1739209726.0006576;-38.13080360867914
1739209726.0006666;-38.13080360867914
1739209726.0006757;-45.120503652039325
1739209726.000685;-38.13080360867914
1739209726.000694;-45.120503652039325
1739209726.000703;-45.120503652039325
1739209726.0007124;-45.120503652039325
1739209726.0007215;-33.981070128970906
1739209726.0007305;-35.57807855764607
1739209726.0007398;-38.13080360867914
1739209726.0007489;-45.120503652039325
1739209726.000758;-38.13080360867914
1739209726.0007672;-32.816014438256545
1739209726.0007763;-38.13080360867914
1739209726.0007856;-38.13080360867914
1739209726.0007946;-38.13080360867914
1739209726.0008037;-38.13080360867914
1739209726.000813;-38.13080360867914
1739209726.000822;-32.816014438256545
1739209726.0008311;-38.13080360867914
1739209726.0008404;-32.816014438256545
1739209726.0008495;-38.13080360867914
1739209726.0008585;-45.120503652039325
1739209726.0008678;-45.120503652039325
1739209726.000877;-38.13080360867914
1739209726.000886;-38.13080360867914
1739209726.0008953;-45.120503652039325
1739209726.0009043;-38.13080360867914
1739209726.0009136;-35.57807855764607
1739209726.0009227;-45.120503652039325
1739209726.0009317;-38.13080360867914
1739209726.000941;-33.981070128970906
1739209726.00095;-35.57807855764607
1739209726.0009592;-38.13080360867914
