CAN Message; 0x1d3:0000f380296f15e1
Timestamp;Amplitude
1739209738.6361861;-38.13080360867914
1739209738.63619;-45.120503652039325
1739209738.6361935;-45.120503652039325
1739209738.636197;-45.120503652039325
1739209738.6362007;-45.120503652039325
1739209738.6362045;-45.120503652039325
1739209738.636208;-45.120503652039325
1739209738.6362116;-38.13080360867914
1739209738.6362154;-38.13080360867914
1739209738.636219;-38.13080360867914
1739209738.6362226;-45.120503652039325
1739209738.6362262;-33.981070128970906
1739209738.63623;-38.13080360867914
1739209738.6362336;-38.13080360867914
1739209738.6362371;-45.120503652039325
1739209738.636241;-38.13080360867914
1739209738.6362445;-38.13080360867914
1739209738.636248;-38.13080360867914
1739209738.636252;-35.57807855764607
1739209738.6362555;-38.13080360867914
1739209738.636259;-45.120503652039325
1739209738.6362627;-45.120503652039325
1739209738.6362665;-45.120503652039325
1739209738.63627;-45.120503652039325
1739209738.6362736;-38.13080360867914
1739209738.6362774;-38.13080360867914
1739209738.636281;-38.13080360867914
1739209738.6362846;-35.57807855764607
1739209738.6362882;-45.120503652039325
1739209738.636292;-33.981070128970906
1739209738.6362956;-38.13080360867914
1739209738.6362991;-45.120503652039325
1739209738.636303;-45.120503652039325
1739209738.6363065;-38.13080360867914
1739209738.63631;-38.13080360867914
1739209738.6363137;-38.13080360867914
1739209738.6363175;-38.13080360867914
1739209738.636321;-45.120503652039325
1739209738.6363246;-45.120503652039325
1739209738.6363285;-38.13080360867914
1739209738.636332;-45.120503652039325
1739209738.6363356;-45.120503652039325
1739209738.6363394;-45.120503652039325
1739209738.636343;-45.120503652039325
1739209738.6363466;-45.120503652039325
1739209738.6363502;-45.120503652039325
1739209738.636354;-45.120503652039325
1739209738.6363575;-45.120503652039325
1739209738.6363611;-45.120503652039325
1739209738.636365;-33.981070128970906
1739209738.6363685;-32.816014438256545
1739209738.636372;-45.120503652039325
1739209738.6363757;-45.120503652039325
1739209738.6363795;-32.816014438256545
1739209738.636383;-32.816014438256545
1739209738.6363866;-45.120503652039325
1739209738.6363904;-45.120503652039325
1739209738.636394;-45.120503652039325
1739209738.6363976;-38.13080360867914
1739209738.6364012;-45.120503652039325
1739209738.636405;-45.120503652039325
1739209738.6364086;-38.13080360867914
1739209738.6364121;-45.120503652039325
1739209738.636416;-38.13080360867914
1739209738.6364195;-45.120503652039325
1739209738.636423;-35.57807855764607
1739209738.6364267;-35.57807855764607
1739209738.6364305;-45.120503652039325
1739209738.636434;-45.120503652039325
1739209738.6364377;-30.49652367304973
1739209738.6364415;-26.991370085610736
1739209738.636445;-45.120503652039325
1739209738.6364486;-45.120503652039325
1739209738.6364524;-45.120503652039325
1739209738.636456;-38.13080360867914
1739209738.6364596;-45.120503652039325
1739209738.6364632;-38.13080360867914
1739209738.636467;-45.120503652039325
1739209738.6364706;-38.13080360867914
1739209738.6364741;-45.120503652039325
1739209738.636478;-38.13080360867914
1739209738.6364815;-38.13080360867914
1739209738.636485;-45.120503652039325
1739209738.6364887;-38.13080360867914
1739209738.6364925;-38.13080360867914
1739209738.636496;-35.57807855764607
1739209738.6364996;-30.49652367304973
1739209738.6365035;-35.57807855764607
1739209738.636507;-35.57807855764607
1739209738.6365106;-38.13080360867914
1739209738.6365142;-35.57807855764607
1739209738.636518;-38.13080360867914
1739209738.6365216;-38.13080360867914
1739209738.6365252;-45.120503652039325
1739209738.636529;-45.120503652039325
1739209738.6365325;-38.13080360867914
1739209738.6365361;-38.13080360867914
1739209738.63654;-38.13080360867914
1739209738.6365435;-45.120503652039325
1739209738.636547;-45.120503652039325
1739209738.6365507;-33.981070128970906
1739209738.6365545;-45.120503652039325
1739209738.636558;-45.120503652039325
1739209738.6365616;-45.120503652039325
1739209738.6365654;-45.120503652039325
1739209738.636569;-45.120503652039325
1739209738.6365726;-45.120503652039325
1739209738.6365762;-45.120503652039325
1739209738.63658;-45.120503652039325
1739209738.6365836;-38.13080360867914
1739209738.6365871;-26.991370085610722
1739209738.636591;-38.13080360867914
1739209738.6365945;-45.120503652039325
1739209738.636598;-35.57807855764607
1739209738.6366017;-32.816014438256545
1739209738.6366055;-45.120503652039325
1739209738.636609;-38.13080360867914
1739209738.6366127;-38.13080360867914
1739209738.6366165;-33.981070128970956
1739209738.63662;-45.120503652039325
1739209738.6366236;-45.120503652039325
1739209738.6366274;-38.13080360867914
1739209738.636631;-45.120503652039325
1739209738.6366346;-38.13080360867914
1739209738.6366382;-38.13080360867914
1739209738.636642;-38.13080360867914
1739209738.6366456;-28.992665084841942
1739209738.6366491;-33.981070128970906
1739209738.636653;-45.120503652039325
1739209738.6366565;-38.13080360867914
1739209738.63666;-45.120503652039325
1739209738.6366637;-45.120503652039325
1739209738.6366675;-45.120503652039325
1739209738.636671;-38.13080360867914
1739209738.6366746;-45.120503652039325
1739209738.6366785;-45.120503652039325
1739209738.636682;-45.120503652039325
1739209738.6366856;-45.120503652039325
1739209738.6366892;-38.13080360867914
1739209738.636693;-35.57807855764607
1739209738.6366966;-38.13080360867914
1739209738.6367002;-38.13080360867914
1739209738.636704;-45.120503652039325
1739209738.6367075;-45.120503652039325
1739209738.6367111;-35.57807855764607
1739209738.6367147;-35.57807855764607
1739209738.6367185;-38.13080360867914
1739209738.636722;-38.13080360867914
1739209738.6367257;-33.981070128970906
1739209738.6367295;-45.120503652039325
1739209738.636733;-33.981070128970906
1739209738.6367366;-35.57807855764607
1739209738.6367404;-45.120503652039325
1739209738.636744;-45.120503652039325
1739209738.6367476;-45.120503652039325
1739209738.6367512;-31.141103565318915
1739209738.636755;-38.13080360867914
1739209738.6367586;-45.120503652039325
1739209738.6367621;-45.120503652039325
1739209738.636766;-45.120503652039325
1739209738.6367695;-32.816014438256545
1739209738.636773;-45.120503652039325
1739209738.6367767;-45.120503652039325
1739209738.6367805;-33.981070128970906
1739209738.636784;-35.57807855764607
1739209738.6367877;-45.120503652039325
1739209738.6367915;-45.120503652039325
1739209738.636795;-45.120503652039325
1739209738.6367986;-38.13080360867914
1739209738.6368022;-38.13080360867914
1739209738.636806;-45.120503652039325
1739209738.6368096;-45.120503652039325
1739209738.6368132;-38.13080360867914
1739209738.636817;-38.13080360867914
1739209738.6368206;-45.120503652039325
1739209738.6368241;-45.120503652039325
1739209738.636828;-38.13080360867914
1739209738.6368315;-45.120503652039325
1739209738.636835;-38.13080360867914
1739209738.6368387;-45.120503652039325
1739209738.6368425;-45.120503652039325
1739209738.636846;-33.981070128970906
1739209738.6368496;-45.120503652039325
1739209738.6368535;-45.120503652039325
1739209738.636857;-45.120503652039325
1739209738.6368606;-38.13080360867914
1739209738.6368642;-38.13080360867914
1739209738.636868;-45.120503652039325
1739209738.6368716;-38.13080360867914
1739209738.6368752;-38.13080360867914
1739209738.636879;-38.13080360867914
