CAN Message; 0x1b8:0300ba43d62d9c94
Timestamp;Amplitude
1739209759.2634428;-38.13080360867914
1739209759.2634475;-45.120503652039325
1739209759.2634525;-45.120503652039325
1739209759.2634573;-38.13080360867914
1739209759.263462;-38.13080360867914
1739209759.2634668;-31.141103565318915
1739209759.2634718;-45.120503652039325
1739209759.2634766;-45.120503652039325
1739209759.2634814;-38.13080360867914
1739209759.2634861;-32.816014438256545
1739209759.263491;-45.120503652039325
1739209759.263496;-45.120503652039325
1739209759.2635007;-45.120503652039325
1739209759.2635055;-33.981070128970956
1739209759.2635102;-45.120503652039325
1739209759.2635152;-45.120503652039325
1739209759.26352;-38.13080360867914
1739209759.2635248;-45.120503652039325
1739209759.2635295;-33.981070128970906
1739209759.2635345;-45.120503652039325
1739209759.2635393;-38.13080360867914
1739209759.263544;-25.826314394896357
1739209759.2635489;-31.141103565318915
1739209759.2635536;-45.120503652039325
1739209759.2635586;-38.13080360867914
1739209759.2635634;-35.57807855764607
1739209759.2635682;-45.120503652039325
1739209759.263573;-45.120503652039325
1739209759.263578;-38.13080360867914
1739209759.2635827;-45.120503652039325
1739209759.2635875;-45.120503652039325
1739209759.2635922;-38.13080360867914
1739209759.263597;-38.13080360867914
1739209759.263602;-45.120503652039325
1739209759.2636068;-38.13080360867914
1739209759.2636116;-45.120503652039325
1739209759.2636163;-38.13080360867914
1739209759.2636213;-35.57807855764607
1739209759.263626;-45.120503652039325
1739209759.2636309;-35.57807855764607
1739209759.2636356;-45.120503652039325
1739209759.2636404;-45.120503652039325
1739209759.2636454;-45.120503652039325
1739209759.2636502;-38.13080360867914
1739209759.263655;-45.120503652039325
1739209759.2636597;-38.13080360867914
1739209759.2636647;-35.57807855764607
1739209759.2636695;-38.13080360867914
1739209759.2636743;-45.120503652039325
1739209759.263679;-38.13080360867914
1739209759.263684;-35.57807855764607
1739209759.2636888;-45.120503652039325
1739209759.2636936;-38.13080360867914
1739209759.2636983;-45.120503652039325
1739209759.263703;-38.13080360867914
1739209759.263708;-38.13080360867914
1739209759.263713;-45.120503652039325
1739209759.2637177;-45.120503652039325
1739209759.2637224;-45.120503652039325
1739209759.2637274;-35.57807855764607
1739209759.2637322;-38.13080360867914
1739209759.263737;-33.981070128970906
1739209759.2637417;-33.981070128970906
1739209759.2637465;-38.13080360867914
1739209759.2637515;-45.120503652039325
1739209759.2637563;-38.13080360867914
1739209759.263761;-32.816014438256545
1739209759.2637658;-45.120503652039325
1739209759.2637708;-45.120503652039325
1739209759.2637756;-38.13080360867914
1739209759.2637804;-38.13080360867914
1739209759.2637851;-38.13080360867914
1739209759.26379;-45.120503652039325
1739209759.263795;-38.13080360867914
1739209759.2637997;-45.120503652039325
1739209759.2638044;-33.981070128970906
1739209759.2638092;-45.120503652039325
1739209759.2638142;-45.120503652039325
1739209759.263819;-32.816014438256545
1739209759.2638237;-35.57807855764607
1739209759.2638285;-45.120503652039325
1739209759.2638333;-45.120503652039325
1739209759.2638383;-35.57807855764607
1739209759.263843;-38.13080360867914
1739209759.2638478;-38.13080360867914
1739209759.2638526;-35.57807855764607
1739209759.2638576;-38.13080360867914
1739209759.2638624;-45.120503652039325
1739209759.2638671;-38.13080360867914
1739209759.263872;-38.13080360867914
1739209759.263877;-45.120503652039325
1739209759.2638817;-45.120503652039325
1739209759.2638865;-38.13080360867914
1739209759.2638912;-38.13080360867914
1739209759.263896;-38.13080360867914
1739209759.263901;-45.120503652039325
1739209759.2639058;-45.120503652039325
1739209759.2639105;-45.120503652039325
1739209759.2639153;-35.57807855764607
1739209759.2639203;-35.57807855764607
1739209759.263925;-45.120503652039325
1739209759.2639298;-38.13080360867914
1739209759.2639346;-38.13080360867914
1739209759.2639394;-45.120503652039325
1739209759.2639444;-38.13080360867914
1739209759.2639492;-35.57807855764607
1739209759.263954;-38.13080360867914
1739209759.2639587;-45.120503652039325
1739209759.2639637;-38.13080360867914
1739209759.2639685;-38.13080360867914
1739209759.2639732;-45.120503652039325
1739209759.263978;-45.120503652039325
1739209759.2639828;-38.13080360867914
1739209759.2639878;-33.981070128970906
1739209759.2639925;-45.120503652039325
1739209759.2639973;-45.120503652039325
1739209759.264002;-33.981070128970906
1739209759.264007;-45.120503652039325
1739209759.2640119;-35.57807855764607
1739209759.2640166;-35.57807855764607
1739209759.2640214;-38.13080360867914
1739209759.2640264;-35.57807855764607
1739209759.2640312;-38.13080360867914
1739209759.264036;-35.57807855764607
1739209759.2640407;-45.120503652039325
1739209759.2640455;-35.57807855764607
1739209759.2640505;-45.120503652039325
1739209759.2640553;-45.120503652039325
1739209759.26406;-38.13080360867914
1739209759.2640648;-38.13080360867914
1739209759.2640698;-45.120503652039325
1739209759.2640746;-45.120503652039325
1739209759.2640793;-38.13080360867914
1739209759.264084;-45.120503652039325
1739209759.2640889;-35.57807855764607
1739209759.2640939;-32.816014438256545
1739209759.2640986;-38.13080360867914
1739209759.2641034;-38.13080360867914
1739209759.2641082;-38.13080360867914
1739209759.2641132;-38.13080360867914
1739209759.264118;-45.120503652039325
1739209759.2641227;-38.13080360867914
1739209759.2641275;-45.120503652039325
1739209759.2641323;-45.120503652039325
1739209759.2641373;-45.120503652039325
1739209759.264142;-45.120503652039325
1739209759.2641468;-45.120503652039325
1739209759.2641516;-45.120503652039325
1739209759.2641566;-45.120503652039325
1739209759.2641613;-45.120503652039325
1739209759.264166;-45.120503652039325
1739209759.264171;-45.120503652039325
1739209759.264176;-35.57807855764607
1739209759.2641807;-45.120503652039325
1739209759.2641854;-38.13080360867914
1739209759.2641902;-35.57807855764607
1739209759.264195;-38.13080360867914
1739209759.2642;-45.120503652039325
1739209759.2642047;-35.57807855764607
1739209759.2642095;-29.438486411369333
1739209759.2642143;-45.120503652039325
1739209759.2642193;-45.120503652039325
1739209759.264224;-45.120503652039325
1739209759.2642288;-38.13080360867914
1739209759.2642336;-45.120503652039325
1739209759.2642384;-38.13080360867914
1739209759.2642434;-45.120503652039325
1739209759.2642481;-38.13080360867914
1739209759.264253;-45.120503652039325
1739209759.2642577;-45.120503652039325
1739209759.2642627;-45.120503652039325
1739209759.2642674;-45.120503652039325
1739209759.2642722;-45.120503652039325
1739209759.264277;-45.120503652039325
1739209759.2642817;-32.816014438256545
1739209759.2642868;-26.991370085610722
1739209759.2642915;-38.13080360867914
1739209759.2642963;-45.120503652039325
1739209759.264301;-45.120503652039325
1739209759.264306;-38.13080360867914
1739209759.2643108;-45.120503652039325
1739209759.2643156;-38.13080360867914
1739209759.2643204;-38.13080360867914
1739209759.2643254;-38.13080360867914
1739209759.2643301;-38.13080360867914
1739209759.264335;-33.981070128970906
1739209759.2643397;-45.120503652039325
1739209759.2643445;-38.13080360867914
1739209759.2643495;-38.13080360867914
1739209759.2643542;-45.120503652039325
1739209759.264359;-45.120503652039325
1739209759.2643638;-45.120503652039325
1739209759.2643688;-38.13080360867914
1739209759.2643735;-38.13080360867914
1739209759.2643783;-38.13080360867914
1739209759.264383;-45.120503652039325
1739209759.2643878;-38.13080360867914
1739209759.2643929;-45.120503652039325
1739209759.2643976;-35.57807855764607
1739209759.2644024;-27.267205301931607
1739209759.2644072;-38.13080360867914
1739209759.2644122;-38.13080360867914
1739209759.264417;-38.13080360867914
1739209759.2644217;-31.141103565318915
1739209759.2644265;-38.13080360867914
1739209759.2644312;-45.120503652039325
1739209759.2644362;-35.57807855764607
1739209759.264441;-35.57807855764607
1739209759.2644458;-38.13080360867914
1739209759.2644506;-45.120503652039325
1739209759.2644556;-33.981070128970906
1739209759.2644603;-38.13080360867914
1739209759.264465;-45.120503652039325
1739209759.2644699;-45.120503652039325
1739209759.2644749;-45.120503652039325
1739209759.2644796;-33.981070128970906
1739209759.2644844;-38.13080360867914
1739209759.2644892;-45.120503652039325
1739209759.264494;-45.120503652039325
1739209759.264499;-38.13080360867914
1739209759.2645037;-38.13080360867914
1739209759.2645085;-45.120503652039325
1739209759.2645133;-45.120503652039325
1739209759.2645183;-45.120503652039325
1739209759.264523;-45.120503652039325
1739209759.2645278;-45.120503652039325
1739209759.2645326;-38.13080360867914
1739209759.2645373;-35.57807855764607
1739209759.2645423;-38.13080360867914
1739209759.264547;-45.120503652039325
1739209759.2645519;-38.13080360867914
1739209759.2645566;-33.981070128970906
1739209759.2645617;-38.13080360867914
1739209759.2645664;-45.120503652039325
1739209759.2645712;-38.13080360867914
1739209759.264576;-38.13080360867914
1739209759.2645807;-45.120503652039325
1739209759.2645857;-38.13080360867914
1739209759.2645905;-45.120503652039325
1739209759.2645953;-38.13080360867914
1739209759.2646;-35.57807855764607
1739209759.264605;-35.57807855764607
1739209759.2646098;-45.120503652039325
1739209759.2646146;-45.120503652039325
1739209759.2646194;-32.816014438256545
1739209759.264624;-35.57807855764607
1739209759.2646291;-38.13080360867914
1739209759.264634;-38.13080360867914
1739209759.2646387;-38.13080360867914
1739209759.2646434;-38.13080360867914
1739209759.2646484;-38.13080360867914
1739209759.2646532;-45.120503652039325
1739209759.264658;-45.120503652039325
1739209759.2646627;-38.13080360867914
1739209759.2646677;-45.120503652039325
1739209759.2646725;-38.13080360867914
1739209759.2646773;-35.57807855764607
1739209759.264682;-38.13080360867914
1739209759.2646868;-45.120503652039325
1739209759.2646918;-38.13080360867914
1739209759.2646966;-33.981070128970906
1739209759.2647014;-35.57807855764607
