CAN Message; 0x98:000040a958853437
Timestamp;Amplitude
1739209779.503178;-38.13080360867914
1739209779.5031805;-38.13080360867914
1739209779.5031834;-45.120503652039325
1739209779.503186;-45.120503652039325
1739209779.5031888;-38.13080360867914
1739209779.5031915;-33.981070128970906
1739209779.5031943;-45.120503652039325
1739209779.5031972;-45.120503652039325
1739209779.5031998;-38.13080360867914
1739209779.5032027;-38.13080360867914
1739209779.5032053;-38.13080360867914
1739209779.5032082;-45.120503652039325
1739209779.5032108;-45.120503652039325
1739209779.5032136;-45.120503652039325
1739209779.5032163;-45.120503652039325
1739209779.5032191;-38.13080360867914
1739209779.503222;-45.120503652039325
1739209779.5032246;-45.120503652039325
1739209779.5032275;-38.13080360867914
1739209779.50323;-38.13080360867914
1739209779.503233;-45.120503652039325
1739209779.5032356;-45.120503652039325
1739209779.5032384;-33.981070128970906
1739209779.5032413;-38.13080360867914
1739209779.503244;-38.13080360867914
1739209779.5032468;-33.981070128970906
1739209779.5032494;-38.13080360867914
1739209779.5032523;-38.13080360867914
1739209779.503255;-45.120503652039325
1739209779.5032578;-38.13080360867914
1739209779.5032606;-35.57807855764607
1739209779.5032632;-33.981070128970906
1739209779.503266;-45.120503652039325
1739209779.5032687;-45.120503652039325
1739209779.5032716;-45.120503652039325
1739209779.5032742;-45.120503652039325
1739209779.503277;-45.120503652039325
1739209779.5032797;-38.13080360867914
1739209779.5032825;-38.13080360867914
1739209779.5032854;-33.981070128970906
1739209779.503288;-45.120503652039325
1739209779.503291;-35.57807855764607
1739209779.5032935;-35.57807855764607
1739209779.5032964;-38.13080360867914
1739209779.503299;-45.120503652039325
1739209779.5033019;-45.120503652039325
1739209779.5033047;-38.13080360867914
1739209779.5033073;-33.981070128970906
1739209779.5033102;-33.981070128970906
1739209779.5033128;-27.267205301931607
1739209779.5033157;-45.120503652039325
1739209779.5033183;-45.120503652039325
1739209779.5033212;-32.816014438256545
1739209779.503324;-35.57807855764607
1739209779.5033267;-45.120503652039325
1739209779.5033295;-38.13080360867914
1739209779.5033321;-38.13080360867914
1739209779.503335;-38.13080360867914
1739209779.5033376;-45.120503652039325
1739209779.5033405;-38.13080360867914
1739209779.503343;-35.57807855764607
1739209779.503346;-45.120503652039325
1739209779.5033488;-45.120503652039325
1739209779.5033514;-38.13080360867914
1739209779.5033543;-35.57807855764607
1739209779.503357;-38.13080360867914
1739209779.5033598;-45.120503652039325
1739209779.5033624;-45.120503652039325
1739209779.5033653;-38.13080360867914
1739209779.5033681;-38.13080360867914
1739209779.5033708;-45.120503652039325
1739209779.5033736;-45.120503652039325
1739209779.5033762;-45.120503652039325
1739209779.503379;-33.981070128970906
1739209779.5033817;-45.120503652039325
1739209779.5033846;-45.120503652039325
1739209779.5033875;-45.120503652039325
1739209779.50339;-35.57807855764607
1739209779.503393;-32.816014438256545
1739209779.5033956;-38.13080360867914
1739209779.5033984;-45.120503652039325
1739209779.503401;-38.13080360867914
1739209779.503404;-45.120503652039325
1739209779.5034065;-45.120503652039325
1739209779.5034094;-45.120503652039325
1739209779.5034122;-38.13080360867914
1739209779.5034149;-45.120503652039325
1739209779.5034177;-38.13080360867914
1739209779.5034204;-45.120503652039325
1739209779.5034232;-38.13080360867914
1739209779.5034258;-35.57807855764607
1739209779.5034287;-38.13080360867914
1739209779.5034316;-38.13080360867914
1739209779.5034342;-35.57807855764607
1739209779.503437;-35.57807855764607
1739209779.5034397;-38.13080360867914
1739209779.5034425;-45.120503652039325
1739209779.5034451;-33.981070128970906
1739209779.503448;-32.816014438256545
1739209779.5034509;-38.13080360867914
1739209779.5034535;-45.120503652039325
1739209779.5034564;-45.120503652039325
1739209779.503459;-38.13080360867914
1739209779.5034618;-38.13080360867914
1739209779.5034645;-45.120503652039325
1739209779.5034673;-38.13080360867914
1739209779.5034702;-45.120503652039325
1739209779.5034728;-45.120503652039325
1739209779.5034757;-45.120503652039325
1739209779.5034783;-33.981070128970906
1739209779.5034811;-38.13080360867914
1739209779.5034838;-38.13080360867914
1739209779.5034866;-45.120503652039325
1739209779.5034893;-38.13080360867914
1739209779.503492;-31.141103565318893
1739209779.503495;-38.13080360867914
1739209779.5034976;-38.13080360867914
1739209779.5035005;-38.13080360867914
1739209779.503503;-32.816014438256545
1739209779.503506;-38.13080360867914
1739209779.5035086;-45.120503652039325
1739209779.5035114;-45.120503652039325
1739209779.5035143;-38.13080360867914
1739209779.503517;-38.13080360867914
1739209779.5035198;-38.13080360867914
1739209779.5035224;-45.120503652039325
1739209779.5035253;-45.120503652039325
1739209779.5035279;-38.13080360867914
1739209779.5035307;-35.57807855764607
1739209779.5035336;-45.120503652039325
1739209779.5035362;-45.120503652039325
1739209779.503539;-38.13080360867914
1739209779.5035417;-45.120503652039325
1739209779.5035446;-33.981070128970906
1739209779.5035472;-45.120503652039325
1739209779.50355;-35.57807855764607
1739209779.5035527;-38.13080360867914
1739209779.5035555;-35.57807855764607
1739209779.5035584;-26.991370085610736
1739209779.503561;-38.13080360867914
1739209779.503564;-38.13080360867914
1739209779.5035665;-38.13080360867914
1739209779.5035694;-45.120503652039325
1739209779.503572;-45.120503652039325
1739209779.5035748;-38.13080360867914
1739209779.5035777;-45.120503652039325
1739209779.5035803;-31.141103565318943
1739209779.5035832;-45.120503652039325
1739209779.5035858;-38.13080360867914
1739209779.5035887;-38.13080360867914
1739209779.5035913;-45.120503652039325
1739209779.5035942;-45.120503652039325
1739209779.503597;-45.120503652039325
1739209779.5035996;-38.13080360867914
1739209779.5036025;-33.981070128970906
1739209779.5036051;-38.13080360867914
1739209779.503608;-45.120503652039325
1739209779.5036106;-45.120503652039325
1739209779.5036135;-38.13080360867914
1739209779.503616;-45.120503652039325
1739209779.503619;-38.13080360867914
1739209779.5036218;-38.13080360867914
1739209779.5036244;-45.120503652039325
1739209779.5036273;-45.120503652039325
1739209779.50363;-45.120503652039325
1739209779.5036328;-45.120503652039325
1739209779.5036354;-35.57807855764607
1739209779.5036383;-38.13080360867914
1739209779.5036411;-45.120503652039325
1739209779.5036438;-38.13080360867914
1739209779.5036466;-38.13080360867914
1739209779.5036492;-45.120503652039325
1739209779.503652;-38.13080360867914
1739209779.5036547;-45.120503652039325
1739209779.5036576;-45.120503652039325
1739209779.5036604;-38.13080360867914
1739209779.503663;-45.120503652039325
1739209779.503666;-45.120503652039325
1739209779.5036685;-27.8777449560314
1739209779.5036714;-33.981070128970906
1739209779.503674;-45.120503652039325
1739209779.503677;-33.981070128970906
1739209779.5036795;-32.816014438256545
1739209779.5036824;-45.120503652039325
1739209779.5036852;-45.120503652039325
1739209779.5036879;-45.120503652039325
1739209779.5036907;-45.120503652039325
1739209779.5036933;-45.120503652039325
1739209779.5036962;-45.120503652039325
1739209779.5036988;-38.13080360867914
1739209779.5037017;-35.57807855764607
1739209779.5037045;-33.981070128970906
1739209779.5037072;-45.120503652039325
1739209779.50371;-45.120503652039325
1739209779.5037127;-35.57807855764607
1739209779.5037155;-35.57807855764607
1739209779.5037181;-33.981070128970906
1739209779.503721;-38.13080360867914
1739209779.5037239;-38.13080360867914
1739209779.5037265;-35.57807855764607
1739209779.5037293;-38.13080360867914
1739209779.503732;-45.120503652039325
1739209779.5037348;-35.57807855764607
1739209779.5037374;-38.13080360867914
1739209779.5037403;-45.120503652039325
1739209779.503743;-45.120503652039325
1739209779.5037458;-35.57807855764607
1739209779.5037487;-38.13080360867914
1739209779.5037513;-45.120503652039325
1739209779.5037541;-38.13080360867914
1739209779.5037568;-45.120503652039325
1739209779.5037596;-45.120503652039325
1739209779.5037622;-45.120503652039325
1739209779.5059988;-45.120503652039325
1739209779.5059993;-38.13080360867914
1739209779.5059996;-35.57807855764607
1739209779.5059998;-38.13080360867914
1739209779.5060003;-45.120503652039325
1739209779.5060005;-33.981070128970906
1739209779.5060008;-35.57807855764607
1739209779.5060012;-45.120503652039325
1739209779.5060015;-45.120503652039325
1739209779.5060017;-45.120503652039325
1739209779.5060022;-38.13080360867914
1739209779.5060024;-45.120503652039325
1739209779.5060027;-45.120503652039325
1739209779.5060031;-45.120503652039325
1739209779.5060034;-45.120503652039325
1739209779.5060036;-38.13080360867914
1739209779.506004;-35.57807855764607
1739209779.5060043;-45.120503652039325
1739209779.5060046;-45.120503652039325
1739209779.506005;-45.120503652039325
1739209779.5060053;-45.120503652039325
1739209779.5060055;-38.13080360867914
1739209779.506006;-45.120503652039325
1739209779.5060062;-38.13080360867914
1739209779.5060065;-45.120503652039325
1739209779.506007;-32.816014438256545
1739209779.5060072;-27.8777449560314
1739209779.5060074;-45.120503652039325
1739209779.506008;-45.120503652039325
1739209779.5060081;-33.981070128970906
1739209779.5060084;-32.816014438256545
1739209779.5060089;-45.120503652039325
1739209779.506009;-45.120503652039325
1739209779.5060093;-45.120503652039325
1739209779.5060098;-33.981070128970956
1739209779.50601;-38.13080360867914
1739209779.5060103;-45.120503652039325
1739209779.5060108;-38.13080360867914
1739209779.506011;-45.120503652039325
1739209779.5060112;-38.13080360867914
1739209779.5060117;-45.120503652039325
1739209779.506012;-35.57807855764607
1739209779.5060122;-35.57807855764607
1739209779.5060127;-45.120503652039325
1739209779.506013;-38.13080360867914
1739209779.5060132;-35.57807855764607
1739209779.5060136;-38.13080360867914
1739209779.5060139;-38.13080360867914
1739209779.506014;-35.57807855764607
1739209779.5060146;-38.13080360867914
1739209779.5060148;-35.57807855764607
1739209779.506015;-38.13080360867914
1739209779.5060155;-45.120503652039325
1739209779.5060158;-33.981070128970906
1739209779.506016;-35.57807855764607
1739209779.5060165;-45.120503652039325
1739209779.5060167;-32.816014438256545
1739209779.506017;-45.120503652039325
1739209779.5060174;-33.981070128970956
1739209779.5060177;-38.13080360867914
1739209779.506018;-38.13080360867914
1739209779.5060184;-45.120503652039325
1739209779.5060186;-45.120503652039325
1739209779.5060189;-38.13080360867914
1739209779.5060194;-45.120503652039325
1739209779.5060196;-33.981070128970906
1739209779.5060198;-29.438486411369333
1739209779.5060203;-38.13080360867914
1739209779.5060205;-38.13080360867914
1739209779.5060208;-45.120503652039325
1739209779.5060213;-45.120503652039325
1739209779.5060215;-38.13080360867914
1739209779.5060217;-32.816014438256545
1739209779.5060222;-45.120503652039325
1739209779.5060225;-45.120503652039325
1739209779.5060227;-38.13080360867914
1739209779.5060232;-35.57807855764607
1739209779.5060234;-38.13080360867914
1739209779.5060236;-38.13080360867914
1739209779.5060241;-38.13080360867914
1739209779.5060244;-45.120503652039325
1739209779.5060246;-38.13080360867914
1739209779.506025;-38.13080360867914
1739209779.5060253;-38.13080360867914
1739209779.5060256;-45.120503652039325
1739209779.506026;-33.981070128970906
1739209779.5060263;-38.13080360867914
1739209779.5060265;-33.981070128970906
1739209779.506027;-38.13080360867914
1739209779.5060272;-38.13080360867914
1739209779.5060275;-32.816014438256545
1739209779.506028;-38.13080360867914
1739209779.5060282;-45.120503652039325
1739209779.5060284;-38.13080360867914
1739209779.506029;-35.57807855764607
1739209779.5060291;-38.13080360867914
1739209779.5060294;-45.120503652039325
1739209779.5060298;-38.13080360867914
1739209779.50603;-45.120503652039325
1739209779.5060303;-45.120503652039325
1739209779.5060308;-45.120503652039325
1739209779.506031;-45.120503652039325
1739209779.5060313;-45.120503652039325
1739209779.5060318;-33.981070128970906
1739209779.506032;-45.120503652039325
1739209779.5060322;-38.13080360867914
1739209779.5060327;-30.49652367304973
1739209779.506033;-35.57807855764607
1739209779.5060332;-45.120503652039325
1739209779.5060337;-38.13080360867914
1739209779.506034;-35.57807855764607
1739209779.5060341;-38.13080360867914
1739209779.5060346;-45.120503652039325
1739209779.5060349;-38.13080360867914
1739209779.506035;-45.120503652039325
1739209779.5060356;-45.120503652039325
1739209779.5060358;-45.120503652039325
1739209779.506036;-38.13080360867914
1739209779.5060365;-45.120503652039325
1739209779.5060368;-45.120503652039325
1739209779.506037;-45.120503652039325
1739209779.5060375;-45.120503652039325
1739209779.5060377;-38.13080360867914
1739209779.506038;-38.13080360867914
1739209779.5060384;-38.13080360867914
1739209779.5060387;-38.13080360867914
1739209779.506039;-38.13080360867914
1739209779.5060391;-45.120503652039325
1739209779.5060396;-38.13080360867914
1739209779.5060399;-45.120503652039325
1739209779.50604;-45.120503652039325
1739209779.5060406;-33.981070128970906
1739209779.5060408;-35.57807855764607
1739209779.506041;-38.13080360867914
1739209779.5060415;-38.13080360867914
1739209779.5060418;-35.57807855764607
1739209779.506042;-45.120503652039325
1739209779.5060425;-38.13080360867914
1739209779.5060427;-38.13080360867914
1739209779.506043;-38.13080360867914
1739209779.5060434;-35.57807855764607
1739209779.5060437;-38.13080360867914
1739209779.506044;-45.120503652039325
1739209779.5060444;-45.120503652039325
1739209779.5060446;-32.816014438256545
1739209779.5060449;-38.13080360867914
1739209779.5060453;-45.120503652039325
1739209779.5060456;-33.981070128970906
1739209779.5060458;-35.57807855764607
1739209779.5060463;-38.13080360867914
1739209779.5060465;-45.120503652039325
1739209779.5060468;-38.13080360867914
1739209779.5060472;-32.816014438256545
1739209779.5060475;-38.13080360867914
1739209779.5060477;-45.120503652039325
1739209779.5060482;-33.981070128970906
1739209779.5060484;-35.57807855764607
1739209779.5060487;-45.120503652039325
1739209779.5060492;-45.120503652039325
1739209779.5060494;-38.13080360867914
1739209779.5060496;-38.13080360867914
1739209779.50605;-45.120503652039325
1739209779.5060503;-45.120503652039325
1739209779.5060506;-35.57807855764607
1739209779.506051;-45.120503652039325
1739209779.5060513;-45.120503652039325
1739209779.5060515;-38.13080360867914
1739209779.506052;-38.13080360867914
1739209779.5060523;-38.13080360867914
1739209779.5060525;-45.120503652039325
1739209779.506053;-45.120503652039325
1739209779.5060532;-31.141103565318915
1739209779.5060534;-31.141103565318893
1739209779.506054;-45.120503652039325
1739209779.5060542;-45.120503652039325
1739209779.5060544;-45.120503652039325
1739209779.5060549;-45.120503652039325
1739209779.506055;-33.981070128970906
1739209779.5060554;-45.120503652039325
1739209779.5060558;-45.120503652039325
1739209779.506056;-45.120503652039325
1739209779.5060563;-45.120503652039325
1739209779.5060568;-45.120503652039325
1739209779.506057;-45.120503652039325
1739209779.5060573;-45.120503652039325
1739209779.5060577;-38.13080360867914
