CAN Message; 0x1d3:00004cb9e1dd0972
Timestamp;Amplitude
1739209782.435489;-45.120503652039325
1739209782.4354897;-45.120503652039325
1739209782.4354901;-38.13080360867914
1739209782.4354906;-45.120503652039325
1739209782.435491;-38.13080360867914
1739209782.4354918;-38.13080360867914
1739209782.4354923;-38.13080360867914
1739209782.4354928;-38.13080360867914
1739209782.4354932;-38.13080360867914
1739209782.435494;-45.120503652039325
1739209782.4354944;-38.13080360867914
1739209782.435495;-45.120503652039325
1739209782.4354954;-38.13080360867914
1739209782.435496;-35.57807855764607
1739209782.4354966;-45.120503652039325
1739209782.435497;-38.13080360867914
1739209782.4354978;-38.13080360867914
1739209782.4354982;-35.57807855764607
1739209782.4354987;-45.120503652039325
1739209782.4354992;-38.13080360867914
1739209782.4355;-38.13080360867914
1739209782.4355004;-45.120503652039325
1739209782.4355009;-35.57807855764607
1739209782.4355013;-35.57807855764607
1739209782.435502;-45.120503652039325
1739209782.4355025;-45.120503652039325
1739209782.435503;-33.981070128970906
1739209782.4355035;-45.120503652039325
1739209782.4355042;-45.120503652039325
1739209782.4355047;-38.13080360867914
1739209782.4355052;-35.57807855764607
1739209782.4355059;-38.13080360867914
1739209782.4355063;-38.13080360867914
1739209782.4355068;-32.816014438256545
1739209782.4355073;-33.981070128970906
1739209782.435508;-38.13080360867914
1739209782.4355085;-45.120503652039325
1739209782.435509;-45.120503652039325
1739209782.4355094;-35.57807855764607
1739209782.4355102;-35.57807855764607
1739209782.4355106;-38.13080360867914
1739209782.435511;-45.120503652039325
1739209782.4355118;-35.57807855764607
1739209782.4355123;-38.13080360867914
1739209782.4355128;-38.13080360867914
1739209782.4355133;-35.57807855764607
1739209782.435514;-45.120503652039325
1739209782.4355145;-33.981070128970906
1739209782.435515;-38.13080360867914
1739209782.4355154;-45.120503652039325
1739209782.435516;-45.120503652039325
1739209782.4355166;-45.120503652039325
1739209782.435517;-45.120503652039325
1739209782.4355175;-45.120503652039325
1739209782.4355183;-33.981070128970906
1739209782.4355187;-38.13080360867914
1739209782.4355192;-45.120503652039325
1739209782.43552;-45.120503652039325
1739209782.4355204;-38.13080360867914
1739209782.435521;-38.13080360867914
1739209782.4355214;-45.120503652039325
1739209782.435522;-45.120503652039325
1739209782.4355226;-38.13080360867914
1739209782.435523;-45.120503652039325
1739209782.4355235;-35.57807855764607
1739209782.4355242;-38.13080360867914
1739209782.4355247;-45.120503652039325
1739209782.4355252;-45.120503652039325
1739209782.4355257;-45.120503652039325
1739209782.4355264;-38.13080360867914
1739209782.4355268;-31.141103565318915
1739209782.4355273;-45.120503652039325
