CAN Message; 0x1a7:000085cbe9f10634
Timestamp;Amplitude
1739209786.5254273;-38.13080360867914
1739209786.525431;-35.57807855764607
1739209786.5254343;-45.120503652039325
1739209786.5254378;-35.57807855764607
1739209786.5254414;-32.816014438256545
1739209786.525445;-38.13080360867914
1739209786.5254483;-35.57807855764607
1739209786.525452;-35.57807855764607
1739209786.5254555;-38.13080360867914
1739209786.525459;-33.981070128970906
1739209786.5254624;-35.57807855764607
1739209786.525466;-38.13080360867914
1739209786.5254695;-38.13080360867914
1739209786.525473;-38.13080360867914
1739209786.5254767;-45.120503652039325
1739209786.52548;-45.120503652039325
1739209786.5254836;-32.816014438256545
1739209786.5254872;-38.13080360867914
1739209786.5254908;-45.120503652039325
1739209786.525494;-38.13080360867914
1739209786.5254977;-33.981070128970906
1739209786.5255013;-33.981070128970906
1739209786.5255048;-35.57807855764607
1739209786.5255082;-38.13080360867914
1739209786.5255117;-35.57807855764607
1739209786.5255153;-33.981070128970906
1739209786.525519;-45.120503652039325
1739209786.5255225;-38.13080360867914
1739209786.5255258;-35.57807855764607
1739209786.5255294;-38.13080360867914
1739209786.525533;-45.120503652039325
1739209786.5255365;-45.120503652039325
1739209786.5255399;-38.13080360867914
1739209786.5255435;-38.13080360867914
1739209786.525547;-45.120503652039325
1739209786.5255506;-45.120503652039325
1739209786.525554;-33.981070128970906
1739209786.5255575;-38.13080360867914
1739209786.525561;-45.120503652039325
1739209786.5255647;-45.120503652039325
1739209786.5255682;-45.120503652039325
1739209786.5255716;-45.120503652039325
1739209786.5255752;-45.120503652039325
1739209786.5255787;-45.120503652039325
1739209786.5255823;-45.120503652039325
1739209786.5255857;-38.13080360867914
1739209786.5255892;-38.13080360867914
1739209786.5255928;-38.13080360867914
1739209786.5255964;-45.120503652039325
1739209786.5255997;-45.120503652039325
1739209786.5256033;-35.57807855764607
1739209786.5256069;-38.13080360867914
1739209786.5256104;-38.13080360867914
1739209786.525614;-35.57807855764607
1739209786.5256174;-35.57807855764607
1739209786.525621;-31.141103565318915
1739209786.5256245;-35.57807855764607
1739209786.525628;-35.57807855764607
1739209786.5256314;-38.13080360867914
1739209786.525635;-38.13080360867914
1739209786.5256386;-45.120503652039325
1739209786.5256422;-38.13080360867914
1739209786.5256455;-35.57807855764607
1739209786.525649;-38.13080360867914
1739209786.5256526;-45.120503652039325
1739209786.5256562;-38.13080360867914
1739209786.5256598;-38.13080360867914
1739209786.5256631;-38.13080360867914
1739209786.5256667;-45.120503652039325
1739209786.5256703;-45.120503652039325
1739209786.5256739;-45.120503652039325
1739209786.5256772;-38.13080360867914
1739209786.5256808;-38.13080360867914
1739209786.5256844;-38.13080360867914
1739209786.525688;-45.120503652039325
1739209786.5256913;-38.13080360867914
1739209786.5256948;-45.120503652039325
1739209786.5256984;-45.120503652039325
1739209786.525702;-45.120503652039325
1739209786.5257056;-45.120503652039325
1739209786.525709;-38.13080360867914
1739209786.5257125;-45.120503652039325
1739209786.525716;-45.120503652039325
1739209786.5257196;-38.13080360867914
1739209786.525723;-38.13080360867914
1739209786.5257266;-45.120503652039325
1739209786.5257301;-45.120503652039325
1739209786.5257337;-33.981070128970906
1739209786.525737;-38.13080360867914
1739209786.5257406;-45.120503652039325
1739209786.5257442;-38.13080360867914
1739209786.5257478;-32.816014438256545
1739209786.5257514;-35.57807855764607
1739209786.5257547;-38.13080360867914
1739209786.5257583;-45.120503652039325
1739209786.5257618;-33.981070128970906
1739209786.5257654;-33.981070128970906
1739209786.5257688;-38.13080360867914
1739209786.5257723;-45.120503652039325
1739209786.525776;-45.120503652039325
1739209786.5257795;-35.57807855764607
1739209786.5257828;-35.57807855764607
1739209786.5257864;-45.120503652039325
1739209786.52579;-30.49652367304973
1739209786.5257936;-31.141103565318915
1739209786.5257971;-45.120503652039325
1739209786.5258005;-45.120503652039325
1739209786.525804;-38.13080360867914
1739209786.5258076;-33.981070128970906
1739209786.5258112;-38.13080360867914
1739209786.5258145;-45.120503652039325
1739209786.525818;-45.120503652039325
1739209786.5258217;-33.981070128970906
1739209786.5258253;-32.816014438256545
1739209786.5258286;-45.120503652039325
1739209786.5258322;-45.120503652039325
1739209786.5258358;-45.120503652039325
1739209786.5258393;-38.13080360867914
1739209786.525843;-45.120503652039325
1739209786.5258462;-33.981070128970906
1739209786.5258498;-33.981070128970906
1739209786.5258534;-38.13080360867914
1739209786.525857;-45.120503652039325
1739209786.5258603;-38.13080360867914
1739209786.525864;-45.120503652039325
1739209786.5258675;-38.13080360867914
1739209786.525871;-45.120503652039325
1739209786.5258746;-45.120503652039325
1739209786.525878;-38.13080360867914
1739209786.5258815;-33.981070128970906
1739209786.525885;-38.13080360867914
1739209786.5258887;-38.13080360867914
1739209786.525892;-45.120503652039325
1739209786.5258956;-45.120503652039325
1739209786.5258992;-45.120503652039325
1739209786.5259027;-38.13080360867914
1739209786.525906;-38.13080360867914
1739209786.5259097;-45.120503652039325
1739209786.5259132;-45.120503652039325
1739209786.5259168;-38.13080360867914
1739209786.5259204;-45.120503652039325
1739209786.5259237;-38.13080360867914
1739209786.5259273;-45.120503652039325
1739209786.525931;-38.13080360867914
1739209786.5259345;-38.13080360867914
1739209786.5259378;-45.120503652039325
1739209786.5259414;-32.816014438256545
1739209786.525945;-38.13080360867914
1739209786.5259485;-45.120503652039325
1739209786.5259519;-45.120503652039325
1739209786.5259554;-38.13080360867914
1739209786.525959;-45.120503652039325
1739209786.5259626;-45.120503652039325
1739209786.5259662;-45.120503652039325
1739209786.5259695;-45.120503652039325
1739209786.525973;-38.13080360867914
1739209786.5259767;-45.120503652039325
1739209786.5259802;-45.120503652039325
1739209786.5259836;-45.120503652039325
1739209786.5259871;-38.13080360867914
1739209786.5259907;-28.58837851428586
1739209786.5259943;-45.120503652039325
1739209786.5259976;-45.120503652039325
1739209786.5260012;-38.13080360867914
1739209786.5260048;-38.13080360867914
1739209786.5260084;-38.13080360867914
1739209786.526012;-38.13080360867914
1739209786.5260153;-45.120503652039325
1739209786.5260189;-38.13080360867914
1739209786.5260224;-45.120503652039325
1739209786.526026;-45.120503652039325
1739209786.5260293;-45.120503652039325
1739209786.526033;-38.13080360867914
1739209786.5260365;-33.981070128970906
1739209786.52604;-38.13080360867914
1739209786.5260434;-35.57807855764607
1739209786.526047;-26.487275050834715
1739209786.5260506;-33.981070128970906
1739209786.5260541;-45.120503652039325
1739209786.5260577;-45.120503652039325
1739209786.526061;-35.57807855764607
1739209786.5260646;-38.13080360867914
1739209786.5260682;-45.120503652039325
1739209786.5260718;-38.13080360867914
1739209786.5260751;-45.120503652039325
1739209786.5260787;-38.13080360867914
1739209786.5260823;-45.120503652039325
1739209786.5260859;-45.120503652039325
1739209786.5260892;-35.57807855764607
1739209786.5260928;-38.13080360867914
1739209786.5260963;-45.120503652039325
1739209786.5261;-45.120503652039325
1739209786.5261035;-31.141103565318893
1739209786.5261068;-32.816014438256545
1739209786.5261104;-45.120503652039325
1739209786.526114;-45.120503652039325
1739209786.5261176;-38.13080360867914
1739209786.526121;-38.13080360867914
1739209786.5261245;-45.120503652039325
1739209786.526128;-45.120503652039325
1739209786.5261316;-45.120503652039325
1739209786.526135;-38.13080360867914
1739209786.5261385;-45.120503652039325
1739209786.5261421;-45.120503652039325
1739209786.5261457;-38.13080360867914
1739209786.5261493;-35.57807855764607
1739209786.5261526;-45.120503652039325
1739209786.5261562;-45.120503652039325
1739209786.5261598;-38.13080360867914
1739209786.5261633;-38.13080360867914
1739209786.5261667;-35.57807855764607
1739209786.5261703;-38.13080360867914
1739209786.5261738;-45.120503652039325
1739209786.5261774;-45.120503652039325
1739209786.5261807;-38.13080360867914
1739209786.5261843;-45.120503652039325
1739209786.526188;-45.120503652039325
1739209786.5261915;-38.13080360867914
1739209786.526195;-38.13080360867914
1739209786.5261984;-38.13080360867914
1739209786.526202;-32.816014438256545
1739209786.5262055;-33.981070128970906
1739209786.526209;-45.120503652039325
1739209786.5262125;-33.981070128970906
1739209786.526216;-45.120503652039325
1739209786.5262196;-45.120503652039325
1739209786.5262232;-38.13080360867914
1739209786.5262265;-45.120503652039325
1739209786.52623;-45.120503652039325
1739209786.5262337;-33.981070128970906
1739209786.5262372;-32.816014438256545
1739209786.5262408;-38.13080360867914
1739209786.5262442;-32.816014438256545
1739209786.5262477;-31.141103565318893
1739209786.5262513;-45.120503652039325
1739209786.526255;-45.120503652039325
1739209786.5262582;-35.57807855764607
1739209786.5262618;-38.13080360867914
1739209786.5262654;-45.120503652039325
1739209786.526269;-45.120503652039325
1739209786.5262723;-45.120503652039325
1739209786.5262759;-45.120503652039325
1739209786.5262794;-45.120503652039325
1739209786.526283;-45.120503652039325
1739209786.5262866;-45.120503652039325
1739209786.52629;-38.13080360867914
1739209786.5262935;-38.13080360867914
1739209786.526297;-38.13080360867914
1739209786.5263007;-35.57807855764607
1739209786.526304;-35.57807855764607
1739209786.5263076;-45.120503652039325
1739209786.5263112;-38.13080360867914
1739209786.5263147;-35.57807855764607
1739209786.526318;-38.13080360867914
1739209786.5263216;-45.120503652039325
1739209786.5263252;-45.120503652039325
1739209786.5263288;-45.120503652039325
1739209786.5263324;-45.120503652039325
1739209786.5263357;-38.13080360867914
1739209786.5263393;-38.13080360867914
1739209786.5263429;-38.13080360867914
1739209786.5263464;-38.13080360867914
1739209786.5263498;-38.13080360867914
1739209786.5263534;-38.13080360867914
1739209786.526357;-35.57807855764607
1739209786.5263605;-33.981070128970906
1739209786.5263638;-45.120503652039325
1739209786.5263674;-45.120503652039325
1739209786.526371;-35.57807855764607
1739209786.5263746;-35.57807855764607
1739209786.5263782;-38.13080360867914
1739209786.5263815;-45.120503652039325
1739209786.526385;-38.13080360867914
1739209786.5263886;-45.120503652039325
1739209786.5263922;-45.120503652039325
1739209786.5263956;-38.13080360867914
1739209786.5263991;-45.120503652039325
1739209786.5264027;-38.13080360867914
1739209786.5264063;-45.120503652039325
1739209786.5264096;-38.13080360867914
1739209786.5264132;-38.13080360867914
1739209786.5264168;-38.13080360867914
1739209786.5264204;-35.57807855764607
1739209786.526424;-38.13080360867914
1739209786.5264273;-45.120503652039325
1739209786.5264308;-45.120503652039325
1739209786.5264344;-38.13080360867914
1739209786.526438;-38.13080360867914
1739209786.5264413;-45.120503652039325
1739209786.526445;-38.13080360867914
1739209786.5264485;-38.13080360867914
1739209786.526452;-38.13080360867914
1739209786.5264554;-45.120503652039325
1739209786.526459;-38.13080360867914
1739209786.5264626;-38.13080360867914
1739209786.5264661;-38.13080360867914
1739209786.5264697;-38.13080360867914
1739209786.526473;-38.13080360867914
1739209786.5264766;-38.13080360867914
